BinBase name,F_PAC_16_016,F_PAC_17_017,F_PAC_18_018,normF_PAC_16_016,normF_PAC_17_017,normF_PAC_18_018
mannitol,2813536,3163025,3362203,0.04345032995111294,0.049537622493254406,0.051584779929018595
maltose,9203,3786,9361,1.421248516244656e-4,5.9294327031705785e-5,1.4362164477146178e-4
malonic acid,107,77,241,1.6524349803127043e-6,1.2059332227790136e-6,3.69755543103539e-6
malic acid,1253257,1478899,1194230,0.019354445851605222,0.023161732951099485,0.01832253785230454
maleic acid,6524,4158,3560,1.0075220384635592e-4,6.512039403006674e-5,5.461949101446468e-5
lyxose,774236,119084,122276,0.01195677242446156,0.0018650305441742345,0.0018760260908103044
lysine,34333,32369,35221,5.302154222343559e-4,5.06946136209531e-4,5.403800823091181e-4
loganin,399,484,367,6.1618837116333555e-6,7.580151686039514e-6,5.630717191659702e-6
linolenic acid,618,1227,594,9.543970260123844e-6,1.921662421233571e-5,9.113476871514613e-6
linoleic acid,2820,7247,2944,4.355015555590492e-5,1.1349867617505859e-4,4.51684779625236e-5
lignoceric acid,3786,3898,4706,5.8468400331438304e-5,6.104841171938435e-5,7.220205750395247e-5
levoglucosan,1799,1657,1539,2.7782528313855655e-5,2.5951056495387344e-5,2.3612190076196953e-5
leucrose,6328,6713,6802,9.77253136020448e-5,1.0513545096773401e-4,1.0436004996640135e-4
leucine,25140,45144,27257,3.882450037856204e-4,7.070214208978674e-4,4.1819198499473703e-4
lauric acid,3392,6217,1702,5.238373320767003e-5,9.736736163658607e-5,2.611302632208396e-5
lactic acid,25870,29813,26950,3.9951862561392207e-4,4.6691541780143807e-4,4.1348182102242224e-4
kojic acid,8221,7411,7057,1.2695951376776396e-4,1.1606715732487363e-4,1.0827240114861721e-4
itaconic acid,8884,10028,11004,1.371984333186735e-4,1.570532254289344e-4,1.6882946042785657e-4
isothreonic acid,2999,2669,2854,4.631450940147477e-5,4.180046456619724e-5,4.3787648133506235e-5
isomaltose,9298,8026,8797,1.435919667939021e-4,1.2569896163668005e-4,1.349684445096196e-4
isoleucine,7912,17219,13899,1.2218752863770203e-4,2.696748592601537e-4,2.132461532612485e-4
isocitric acid,14711,13161,14489,2.2718664481663733e-4,2.0612061227265712e-4,2.222982599181401e-4
indole-3-propionic acid,1199,1505,891,1.8516537770046098e-5,2.357051299068072e-5,1.367021530727192e-5
homoserine,1313,1619,1127,2.0277075973369915e-5,2.5355920619210687e-5,1.7291057970028565e-5
histidine,3462,4230,3217,5.3464765437781146e-5,6.624801990071724e-5,4.9356995110542944e-5
hexadecylglycerol NIST,3700,3701,3530,5.7140275020158934e-5,5.796310204552116e-5,5.415921440479223e-5
heptadecanoic acid,4921,8353,5283,7.599656577681138e-5,1.3082026246588442e-4,8.105471096331936e-5
guanosine,309,341,224,4.771985130061922e-6,5.340561415164203e-6,3.4367320188876655e-6
guanine,430,387,306,6.640626556396849e-6,6.060989054746471e-6,4.694821418659043e-6
glycolic acid,5230,4040,3342,8.07685509068733e-5,6.327234051983396e-5,5.127481431751151e-5
glycine,5802,7180,7813,8.960212855863841e-5,1.124493576565366e-4,1.1987137171236308e-4
glycerol-alpha-phosphate,1023,1008,674,1.5798513877195296e-5,1.5786762189107087e-5,1.0340881163974494e-5
glycerol-3-galactoside,16939,15762,16789,2.615943563693168e-4,2.4685609684990667e-4,2.575861333263617e-4
glycerol,541368,482444,502809,0.008360517947868486,0.007555782438057122,0.007714374061093251
glyceric acid,11630,10362,10786,1.7960578337417523e-4,1.6228415655111867e-4,1.654847837309034e-4
glutaric acid,1443,1322,810,2.2284707257861985e-5,2.070446390277735e-5,1.242746846115629e-5
glutamine,3174,2481,3120,4.901708997675256e-5,3.885610812616536e-5,4.7868767405935344e-5
glutamic acid,4307,13613,6528,6.65143687869796e-5,2.1319959690507419e-4,1.0015619026472625e-4
glucose,3383490,1221023,2291108,0.05225231057512366,0.019123015603601294,0.03515144742111465
gluconic acid lactone,3715921,4181664,4307869,0.05738614807923892,0.06549100706622053,0.06609371127443567
gluconic acid,45433,41259,50900,7.016362472948327e-4,6.461766082940172e-4,7.80935981077599e-4
glucoheptulose,4031,6632,8657,6.225201313682721e-5,1.0386687186325218e-4,1.3282048699781482e-4
galacturonic acid,1393156,1343881,1620029,0.021514950536752578,0.021047152537162123,0.024855381856368597
galactonic acid,37802,36604,45759,5.837882908951482e-4,5.732724634623768e-4,7.020599127333959e-4
galactinol,5052,3456,6315,7.801964037887647e-5,5.41260417912243e-5,9.688822633605181e-5
fumaric acid,1804,2041,11048,2.7859744901720736e-5,3.196506113885671e-5,1.695045327887095e-4
fucose,48044,41182,48331,7.419587494779772e-4,6.449706750712382e-4,7.415209607359811e-4
fructose,5026790,6980440,5990013,0.07763031434286073,0.10932395461838361,0.09190209585113109
flavin adenine,1559,1682,1258,2.4076132096331833e-5,2.6342593256029883e-5,1.9300932498931623e-5
ethanolamine,170402,117102,134043,0.0026315722010770604,0.0018339895097904942,0.002056561919677497
ethanol phosphate NIST,293,279,216,4.524892048893667e-6,4.3695502487707115e-6,3.3139915896416773e-6
erythrose major,972,747,697,1.5010904680971482e-5,1.1699118407999002e-5,1.069375989805671e-5
erythronic acid lactone,923,1014,818,1.4254182119893703e-5,1.5880731011661296e-5,1.2550208890402278e-5
erythritol,4449,4257,4158,6.870731988234787e-5,6.667087960221117e-5,6.379433810060229e-5
dihydroxyacetone,3162,3192,2009,4.8831770165876366e-5,4.9991413598839106e-5,3.082319029439875e-5
digitoxose,15436,9242,15833,2.3838305005707388e-4,1.4474330967433304e-4,2.429186520314661e-4
digalacturonic acid,170150,164540,196271,0.0026276804850486604,0.002576938343844921,0.0030112983485674153
dehydroascorbic acid,32478,30360,34148,5.015680681364113e-4,4.754822421242968e-4,5.239175222365e-4
dehydroabietic acid,753,3660,2010,1.1628818132480993e-5,5.73209817580674e-5,3.0838532848054497e-5
conduritol-beta-epoxide,378,362,370,5.837574042600021e-6,5.669452294103934e-6,5.676744852626947e-6
citric acid,1061880,931880,1046526,0.016398950064434155,0.01459461106030269,0.01605638130713586
citramalic acid,2205,1976,2623,3.405251524850012e-5,3.094706556118611e-5,4.024351823902833e-5
cis-p-coumaric acid HMDB,134,113,1387,2.0694045547841342e-6,1.7697461581042667e-6,2.128012192052318e-5
cinnamic acid,207,484,192,3.196766737614297e-6,7.580151686039514e-6,2.9457703019037134e-6
chlorogenic acid,641,860,419,9.89916656430321e-6,1.3468864566103268e-5,6.4285299817586245e-6
