BinBase name,F_PAC_16_016,F_PAC_17_017,F_PAC_18_018,normF_PAC_16_016,normF_PAC_17_017,normF_PAC_18_018
351749,123,155,133,1.899528061480959e-6,2.4275279159837286e-6,2.0405596362145514e-6
350283,1933,1919,2124,2.985193286863979e-5,3.0054361746921132e-5,3.258758396480983e-5
348913,1322,1171,618,2.0416065831527057e-5,1.8339581868496428e-5,9.481698159252578e-6
347748,276,487,356,4.262355650152396e-6,7.6271360973166186e-6,5.461949101446468e-6
347663,682,2434,953,1.0532342584796863e-5,3.812001901615739e-5,1.4621453633928326e-5
347660,882,809,451,1.3621006099400048e-5,1.2670129574392493e-5,6.9194916987425766e-6
346561,618,423,281,9.543970260123844e-6,6.624801990071724e-6,4.31125757726533e-6
346225,3200,2202,1148,4.941861623365097e-5,3.448655787739465e-5,1.7613251596799285e-5
345140,14726,14064,13999,2.2741829458023256e-4,2.2026292006706554e-4,2.1478040862682335e-4
342554,9596,8128,10962,1.4819407543066086e-4,1.2729643162010158e-4,1.6818507317431513e-4
341252,1139,886,421,1.7589938715665143e-5,1.3876062797171508e-5,6.4592150890701215e-6
334782,308,529,367,4.756541812488906e-6,8.28491785519608e-6,5.630717191659702e-6
330511,1306,1208,961,2.0168972750358803e-5,1.8919056274247384e-5,1.4744194063174315e-5
330432,3378,3047,3165,5.216752676164781e-5,4.77205003871124e-5,4.855918232044402e-5
330287,1077,941,1082,1.6632453026138155e-5,1.4737443670585088e-5,1.6600643055519885e-5
330286,4142,5384,2338,6.396622138743198e-5,8.432135677197674e-5,3.587089044714001e-5
329366,1111,1055,924,1.7157525823620697e-5,1.6522851299115055e-5,1.417651957791162e-5
329362,641,606,573,9.89916656430321e-6,9.490851077975094e-6,8.791283244743894e-6
329361,3808,3269,3968,5.880815331804466e-5,5.119734682161812e-5,6.0879252906010076e-5
327365,348,340,332,5.374274515409543e-6,5.324899944738501e-6,5.093727813708504e-6
324872,613,194,248,9.466753672258765e-6,3.0383252625860864e-6,3.8049533066256298e-6
324726,28357,19365,26283,4.3792615641801265e-4,3.0328437479370905e-4,4.03248337734038e-4
324718,5100,4781,4001,7.876091962238123e-5,7.487749010527876e-5,6.138555717664977e-5
320865,1700,1718,1994,2.6253639874127077e-5,2.6906406191355134e-5,3.059305198956252e-5
318789,2447,2512,810,3.778979810116998e-5,3.9341613709362106e-5,1.242746846115629e-5
253506,4151,1773,505,6.410521124558912e-5,2.7767787064768716e-5,7.747989596152995e-6
250808,6954,7092,7373,1.0739283040275276e-4,1.1107114825907487e-4,1.1312064810383374e-4
250761,442,417,432,6.8259463672730405e-6,6.530833167517515e-6,6.6279831792833545e-6
232333,192,151,433,2.9651169740190584e-6,2.364882034280923e-6,6.643325732939103e-6
232329,340,248,181,5.250727974825415e-6,3.884044665573966e-6,2.7770022116904796e-6
232320,619,497,490,9.559413577696859e-6,7.783750801573634e-6,7.517851291316768e-6
230854,1032,3801,3986,1.593750373535244e-5,5.9529249088091304e-5,6.115541887181354e-5
228439,232,213,201,3.5828496769396954e-6,3.3358932006744144e-6,3.0838532848054497e-6
228300,6919,5996,7082,1.0685231428769721e-4,9.390617667250604e-5,1.0865596499001092e-4
228290,367,332,228,5.6676975492968455e-6,5.19960818133289e-6,3.4981022335106596e-6
227260,259,447,271,3.999819251411125e-6,7.000677280288559e-6,4.1578320407078455e-6
223095,2098,1775,2395,3.2400080268187416e-5,2.7799110005620118e-5,3.6745416005517674e-5
217691,4633,6755,4866,7.15488903157828e-5,1.0579323272561346e-4,7.465686608887224e-5
214730,1996,6677,2846,3.082486187573979e-5,1.0457163803240875e-4,4.366490770426025e-5
213020,3232,2610,2948,4.991280239598748e-5,4.087643781108085e-5,4.52298481771466e-5
213019,2015,1963,1935,3.1118284909627096e-5,3.0743466445651994e-5,2.968784132387336e-5
210804,22085,5790,2456,3.4106566860005676e-4,9.067991376481154e-5,3.7681311778518334e-5
210803,4441,5568,723,6.858377334176373e-5,8.720306733030581e-5,1.109266629310617e-5
210797,734,412,1843,1.1335395098593691e-5,6.452525815389008e-6,2.82763263875445e-5
210790,6478,6476,739,1.0004181123799719e-4,1.0142368247684275e-4,1.1338147151598146e-5
210694,4650709,5006977,5344983,0.07182237602668333,0.0784166222076675,0.08200568846656361
210345,220,317,837,3.3975298660635044e-6,4.9646861249473675e-6,1.28417174098615e-5
210305,31654,2042,4996,4.888427744562462e-4,3.198072260928241e-5,7.665139806411954e-5
210297,13782,12114,3058,2.1283980279130553e-4,1.8972305273694766e-4,4.6917529079278935e-5
210289,2822,2899,3191,4.358104219105095e-5,4.5402602764108574e-5,4.895808871549348e-5
210283,17744,15795,18892,2.740262270155946e-4,2.473729253739548e-4,2.898515236644008e-4
210272,19800,19508,27532,3.057776879457154e-4,3.055239650645844e-4,4.2241118725006786e-4
210267,363,232,210,5.605924279004782e-6,3.6334611387627425e-6,3.2219362677071865e-6
210261,1402,1866,1411,2.165153123736833e-5,2.9224303814358952e-5,2.1648343208261144e-5
209679,43547,39670,38810,6.725101503521246e-4,6.212905317875776e-4,5.954445073795996e-4
208616,11713,10655,782,1.8088757873273558e-4,1.6687296738584923e-4,1.1997876958795331e-5
208244,2128,2327,2195,3.2863379795377894e-5,3.6444241680607336e-5,3.3676905274367975e-005
205795,1734,1486,1965,2.677871267160962e-5,2.3272945052592393e-5,3.0148117933545816e-5
204855,1166,1147,1858,1.800690829013657e-5,1.7963706578279593e-5,2.8506464692380727e-5
204582,107,136,83,1.6524349803127043e-6,2.1299599778954006e-6,1.273431953427126e-6
203815,1477,1514,1629,2.2809780055344525e-5,2.3711466224512034e-5,2.4993019905214317e-5
196521,1095,898,864,1.6910432742452443e-5,1.4064000442279925e-5,1.3255966358566709e-5
196436,704,459,677,1.0872095571403214e-5,7.188614925396977e-6,1.0386908824941739e-5
196278,1550,1355,1818,2.393714223817469e-5,2.12212924268255e-5,2.7892762546150786e-5
190001,385,367,224,5.945677265611132e-6,5.747759646232442e-6,3.4367320188876655e-6
189936,20432,17906,18329,3.1553786465186146e-4,2.804342894426106e-4,2.812136659562144e-4
189286,1199,1055,858,1.8516537770046098e-5,1.6522851299115055e-5,1.3163911036632218e-5
188945,2756,2311,2451,4.25617832312319e-5,3.619365815379611e-5,3.760459901023959e-5
187301,1680,1917,1694,2.594477352266676e-5,3.0023038806069727e-5,2.599028589283797e-5
187055,792,658,911,1.2231107517828615e-5,1.0305247540111571e-5,1.397706638038689e-5
171968,34806,5754,40657,5.375201114463924e-4,9.011610082948628e-5,6.23782203981767e-4
171596,1285,776,179,1.984466308132547e-5,1.2153301050344346e-5,2.7463171043789825e-6
171564,96330,3146487,100155,0.0014876547818086243,0.04927861309535416,0.0015366334613914918
171297,113584,125880,132575,0.0017541137832134412,0.001971465897187302,0.002034039050910858
170725,46890,43878,48346,7.241371609987169e-4,6.871939993389293e-4,7.417510990408173e-4
168874,14786,11894,1324,2.2834489363461353e-4,1.8627752924329336e-4,2.0313541040211022e-5
168871,194,73,117,2.99600360916509e-6,1.1432873410762076e-6,1.7950787777225752e-6
168860,380,626,268,5.868460677746052e-6,9.804080486489123e-6,4.1118043797406e-6
168835,241,232,117,3.7218395350968388e-6,3.6334611387627425e-6,1.7950787777225752e-6
168800,14066,13359,12628,2.1722570498204204e-4,2.0922158341694601e-4,1.9374576756479213e-4
168759,4439,5310,5399,6.855288670661771e-5,8.316240796047484e-5,8.283444718738619e-5
167348,392500,459718,258867,0.006061502147408752,0.007199859861162631,0.003971680837202648
163872,2177,2038,1480,3.3620102356455675e-5,3.191807672757961e-5,2.270697941050779e-5
161846,88204,99561,102746,0.001362162383210297,0.0015592716570532645,0.001576386017913536
160822,51771,64265,67632,7.995159940726076e-4,0.0010064843969077053,0.001037647588845583
160463,444436,522474,1424880,0.006863566288880907,0.008182711099197952,0.02186129785300293
146868,625,539,816,9.652073483134955e-6,8.441532559453094e-6,1.2519523783090781e-5
146430,7569,7141,4804,1.1689047071015757e-4,1.1183856030993424e-4,7.370562776221583e-5
146262,306,402,323,4.725655177342874e-6,6.2959111111319935e-6,4.955644830806767e-6
138111,551,495,520,8.509267982731777e-6,7.75242786072223e-6,7.978127900989223e-6
136141,4429,3403,5532,6.839845353088755e-5,5.329598385866212e-5,8.487500682360074e-5
135888,3613,2400,632,5.579670639130655e-5,3.758752902168354e-5,9.696493910433057e-6
135773,714,624,678,1.1026528747133373e-5,9.772757545637721e-6,1.0402251378597488e-5
135765,1617,898,940,2.4971844515566757e-5,1.4064000442279925e-5,1.4422000436403596e-5
135618,1158,1519,187,1.7883361749552444e-5,2.3789773576640542e-5,2.8690575336249708e-6
135617,817,779,121,1.2617190457154013e-5,1.220028546162145e-5,1.8564489923455693e-6
135613,6087,5099,5525,9.400347406694796e-5,7.985783770065182e-5,8.47676089480105e-5
135609,863248,647321,3027,0.013331413008270855,0.010137998697435504,4.644190991595073e-5
135193,1664,1843,1059,2.5697680441498504e-5,2.8864089994567818e-5,1.624776432143767e-5
135163,149,328,158,2.3010543183793733e-6,5.136962299630084e-6,2.4241234776082642e-006
135128,78,76,75,1.2045787706952425e-6,1.1902717523533121e-6,1.150691524181138e-6
134941,767,856,719,1.1845024578503216e-5,1.3406218684400463e-5,1.1031296078483176e-5
134750,394,407,426,6.084667123768276e-6,6.3742184632605e-6,6.535927857348864e-6
134464,12252,12372,10712,1.8921152690459114e-4,1.9376371210677866e-4,1.64349434760378e-4
134365,2046,2277,12897,3.159702775439059e-5,3.566116815932226e-5,1.978729144981885e-4
134132,551,495,520,8.509267982731777e-6,7.75242786072223e-6,7.978127900989223e-6
133780,532,458,176,8.215844948844473e-6,7.1729534549712754e-6,2.7002894434117374e-6
133675,1810,1588,1143,2.7952404807158832e-5,2.4870415036013943e-5,1.7536538828520542e-5
133610,210,225,96,3.243096690333345e-6,3.523830845782832e-6,1.4728851509518567e-6
133584,1666,1556,165,2.5728567076644538e-5,2.4369247982391495e-5,2.5315213531985035e-6
133018,4968,5416,4078,7.672240170274313e-5,8.482252382559918e-5,6.256693380814241e-5
133012,481,399,190,7.428235752620661e-6,6.248926699854888e-6,2.9150851945922163e-6
133010,21134,14857,5272,3.2637907358811863e-4,2.3268246611464683e-4,8.088594287310612e-5
132978,2085,8979,1397,3.219931713973821e-5,1.4062434295237356e-4,2.1433547457080665e-5
131663,2358,6828,6255,3.641534283717156e-5,1.0693652006668967e-4,9.59676731167069e-5
131662,7006,6195,7680,1.081958829165496e-4,9.702280928722065e-5,1.1783081207614853e-4
131597,235,129,137,3.629179629658743e-6,2.02032968491549e-6,2.1019298508375456e-6
131464,20450,17318,18916,3.1581584436817575e-4,2.712253448322981e-4,2.9021974495213875e-4
131450,9475,8899,8352,1.4632543400432593e-4,1.3937142531831743e-4,1.2814100813281153e-4
131202,1648,1138,1472,2.545058736033025e-5,1.782275334444828e-5,2.25842389812618e-5
131168,4146,3638,3578,6.402799465772404e-5,5.697642940870197e-5,5.489565698026816e-5
131166,2266,2190,2297,3.4994557620454095e-5,3.429862023228623e-5,3.524184574725432e-5
130638,551,495,520,8.509267982731777e-6,7.75242786072223e-6,7.978127900989223e-6
130597,3802,3605,3101,5.871549341260656e-5,5.645960088465382e-5,4.757725888647612e-5
130558,594,352,372,9.17333063837146e-6,5.512837589846919e-6,5.7074299599384444e-006
128297,18756,324,4268,2.8965486439948675e-4,5.074316417927278e-6,6.548201900273463e-5
128051,1114,1065,1003,1.7203855776339743e-5,1.667946600337207e-5,1.538858131671575e-5
128047,4735,3904,1830,7.312410870823042e-5,6.114238054193856e-5,2.8076873190019768e-5
127640,7552,7185,8178,1.1662793431141629e-4,1.125276650086651e-4,1.2547140379671128e-4
127380,2559702,1000546,5344983,0.03953029087828402,0.01567002158855391,0.08200568846656361
127358,3377,1636,3518,5.215208344407479e-5,2.5622165616447615e-5,5.3975103760923245e-5
127344,125,93,262,1.930414696626991e-6,1.4565167495902372e-6,4.019749057806109e-6
127277,48781,18028,12022,7.5334047452929e-4,2.823449888345462e-4,1.8444818004940855e-4
126690,134,75,153,2.0694045547841342e-6,1.1746102819276106e-6,2.3474107093295216e-6
126585,787,714,658,1.2153890929963536e-5,1.1182289883950854e-5,1.0095400305482517e-5
126582,559,575,466,8.632814523315904e-6,9.005345494778348e-6,7.149630003578804e-6
125960,15153,16894,16046,2.3401259118391036e-4,2.6458488137180074e-4,2.4618661596014055e-4
125884,488,736,756,7.536338975631773e-6,1.1526842233316285e-5,1.1598970563745871e-5
125816,1451,1080,1673,2.2408253798446112e-5,1.6914388059757594e-5,2.5668092266067252e-5
125811,20500,21873,35143,3.165880102468265e-4,3.425633426213684e-4,5.391833631239697e-4
125810,6129,5773,3965,9.465209340501463e-5,9.041366876757462e-5,6.083322524504283e-5
125802,6335,6115,6652,9.78334168250559e-5,9.576989165316452e-5,1.0205866691803907e-4
125785,125,93,262,1.930414696626991e-6,1.4565167495902372e-6,4.019749057806109e-6
125241,119,228,133,1.8377547911888956e-6,3.5708152570599364e-6,2.0405596362145514e-6
125070,614,545,571,9.48219698983178e-6,8.535501382007305e-6,8.760598137432397e-6
124960,3772,4100,4167,5.825219388541608e-5,6.421202874537605e-5,6.393242108350403e-5
124615,3452,18706,7878,5.3310332262050985e-5,2.929634657831718e-4,1.2086863769998674e-4
124607,752,2108,1141,1.1613374814907978e-5,3.301437965737871e-5,1.7505853721209045e-5
124605,5922,24580,11067,9.145532666740032e-5,3.8495894306374225e-4,1.6979604130816872e-4
124602,2708,3099,1310,4.182050398772713e-5,4.853489684924887e-5,2.0098745289030543e-5
124356,994,692,1354,1.5350657667577834e-5,1.0837737534585421e-5,2.0773817649883478e-5
123962,5266,4500,41076,8.132451033950188e-5,7.047661691565664e-5,6.302107339635257e-4
121482,484,572,583,7.474565705339709e-6,8.958361083501244e-6,8.944708781301379e-6
120954,882,747,679,1.3621006099400048e-5,1.1699118407999002e-5,1.0417593932253236e-5
120744,4703,3655,5659,7.262992254589391e-5,5.7242674405938896e-5,8.682351113788079e-5
120466,444436,522474,1436275,0.006863566288880907,0.008182711099197952,0.022036126251910187
119025,825,712,332,1.274073699773814e-5,1.115096694309945e-5,5.093727813708504e-6
118964,606,883,423,9.358650449247653e-6,1.3829078385894403e-5,6.489900196381619e-6
117982,6904,7643,8190,1.0662066452410197e-4,1.1970061846363638e-4,1.2565551444058027e-4
113563,370,78,48,5.714027502015894e-6,1.2215946932047152e-6,7.364425754759284e-7
111826,2914,6485,2973,4.500182740776842e-5,1.0156463571067406e-4,4.561341201854031e-5
111821,18561,15867,15977,2.8664341747274864e-4,2.485005512446053e-4,2.451279797578939e-4
111776,498,370,677,7.690772151361933e-6,5.794744057509546e-6,1.0386908824941739e-5
111399,44813,32062,19920,6.920613903995628e-4,5.021380647888407e-4,3.0562366882251027e-4
110889,21424,24102,3838,3.3085763568429323e-4,3.7747276020025697e-4,5.888472093076277e-5
110873,8186,13778,1284,1.2641899765270838e-4,2.1578373952531492e-4,1.969983889398108e-5
110842,14733,13868,296,2.2752639780324366e-4,2.1719327186362806e-4,4.541395882101558e-6
110801,6248,5062,371,9.648984819620352e-5,7.927836329490087e-5,5.692087406282696e-6
110604,12310,925,269887,1.9010723932382607e-4,1.4486860143773865e-5,0.0041407557784889975
110368,1810,1588,1601,2.7952404807158832e-5,2.4870415036013943e-5,2.4563428402853358e-5
110134,421,288,372,6.501636698239706e-6,4.510503482602025e-6,5.7074299599384444e-006
110022,124,169,112,1.914971379053975e-6,2.6467885019435493e-6,1.7183660094438327e-6
109990,6658,5803,620,1.0282160840114005e-4,9.088351288034566e-5,9.512383266564075e-6
109714,3306,5062,371,5.105560789639066e-5,7.927836329490087e-5,5.692087406282696e-6
109532,443,388,506,6.841389684846056e-6,6.076650525172173e-6,7.763332149808744e-6
109395,6248,5062,371,9.648984819620352e-5,7.927836329490087e-5,5.692087406282696e-6
108950,2594,2615,2681,4.005996578440332e-5,4.095474516320936e-5,4.1133386351061746e-5
108834,1478,1226,168,2.2825223372917543e-5,1.920096274191001e-5,2.577549014165749e-6
108829,322,260,122,4.972748258511129e-6,4.071982310682384e-6,1.8717915460013178e-6
108825,28409,24006,669,4.387292089318095e-4,3.7596925903938963e-4,1.0264168395695751e-5
108314,758629,2753490,4378795,0.0117157485670995,0.04312370220246475,0.06718189723502328
107237,6147,10379,3747,9.493007312132891e-5,1.6255040154835562e-4,5.748854854808965e-5
106482,291,286,315,4.494005413747635e-6,4.479180541750622e-6,4.83290440156078e-6
106387,13668,12975,13662,2.110792645879817e-4,2.0320757877347664e-4,2.096099680448361e-4
106385,2548,2613,2285,3.934957317604458e-5,4.0923422222357955e-5,3.5057735103385335e-5
106384,11898,11341,18588,1.8374459248374353e-4,1.7761673609788042e-4,2.8518738735305323e-4
105630,40369,36999,41160,6.2343128710508e-4,5.794587442805288e-4,6.314995084706085e-4
105516,2324,2581,2319,3.589027003968902e-5,4.042225516873551e-5,3.5579381927680785e-5
105081,311,479,495,4.8028717652079535e-6,7.5018443339110065e-6,7.594564059595511e-6
104922,8690,9571,11070,1.3420242970950841e-4,1.4989593344438883e-4,1.6984206896913598e-4
104366,179,157,189,2.764353845569851e-6,2.4588508568351316e-6,2.899742640936468e-6
104365,1153,933,1028,1.7806145161687367e-5,1.4612151907179476e-5,1.5772145158109464e-5
104288,3969,9152,5620,6.129452744730022e-5,1.433337773360199e-4,8.622515154530661e-5
103129,22053,63409,35743,3.4057148243772027e-4,9.93078178223305e-4,5.483888953174189e-4
102809,2711,2054,2499,4.186683394044618e-5,3.216866025439083e-5,3.834104158571552e-5
102715,1420,1158,1734,2.192951095368262e-5,1.813598275296231e-5,2.660398803906791e-5
102679,886,819,1012,1.3682779369692112e-5,1.2826744278649509e-5,1.5526664299617488e-5
102223,14665,13380,14027,2.264762522082786e-4,2.0955047429588574e-4,2.152100001291843e-4
100947,940,765,906,1.4516718518634972e-5,1.1981024875661629e-5,1.3900353612108147e-5
100916,612,534,784,9.451310354685747e-6,8.363225207324588e-6,1.2028562066106828e-5
100897,47802,41022,46131,7.382214666253074e-4,6.42464839803126e-4,7.077673426933343e-4
100896,128,115,157,1.976744649346039e-6,1.8010690989556697e-6,2.4087809239525157e-6
100879,11976,11252,11832,1.8494917125443875e-4,1.76222865229993e-4,1.8153309485481633e-4
100877,1536,1149,1309,2.3720935792152467e-5,1.7995029519130995e-5,2.0083402735374794e-5
100876,41583,46432,42299,6.421794746387213e-4,7.271933948061709e-4,6.48974677084506e-4
100865,328596,242631,234345,0.005074612381222742,0.0037999582308583745,0.0035954507364563838
100343,1756,1783,2007,2.711846565821597e-5,2.7924401769025732e-5,3.079250518708725e-5
100017,2915,3321,3419,4.501727072534143e-5,5.20117432837546e-5,5.245619094900415e-5
97828,229291,227639,299415,0.0035410137296343954,0.0035651614662362582,0.004593790702835939
89252,1323,544,1202,2.0431509149100073e-5,8.519839911581602e-6,1.8441749494209705e-5
89241,47698,43502,46012,7.366153615977137e-4,6.813052864588656e-4,7.059415788083003e-4
89209,926,515,1064,1.4300512072612749e-5,8.06565726923626e-6,1.632447708971641e-5
88847,18549,10274,12356,2.8645809766187247e-4,1.6090594715365697e-4,1.8957259297042856e-4
87951,743,699,713,1.1474384956750835e-5,1.094736782756533e-5,1.0939240756548684e-5
87822,1103,7340,5531,1.703397928303657e-5,1.1495519292464883e-4,8.4859664269945e-5
85117,361,292,382,5.57503764385875e-6,4.5731493643048304e-6,5.86085549649593e-6
85067,2534,3021,769,3.913336673002236e-5,4.7313302156044155e-5,1.1798423761270602e-5
84910,57471,50688,48086,8.875429042387984e-4,7.938486129379564e-4,7.377620350903227e-4
84326,23466,21618,23321,3.6239289016839175e-4,3.385696676628145e-4,3.578036938057109e-4
84216,1531,474,475,2.3643719204287387e-5,7.4235369817824996e-6,7.2877129864805404e-6
84181,10902,10363,12361,1.6836304818101965e-4,1.6229981802154438e-4,1.896493057387073e-4
84151,5532,5616,5569,8.543243281392411e-5,8.795481791073948e-5,8.544268130886344e-5
84116,828,531,1399,1.2787066950457188e-5,8.316240796047484e-6,2.1464232564392162e-5
84105,6076,6091,6465,9.383359757364478e-5,9.539401636294769e-5,9.918960938441409e-5
84063,6466,20304,9672,9.985649142712099e-5,3.1799049552344274e-4,1.4839317895839956e-4
66305,344,461,362,5.312501245117479e-6,7.21993786624838e-6,5.554004423380959e-6
62639,213,699,713,3.2894266430523928e-6,1.094736782756533e-5,1.0939240756548684e-5
62566,2857,2033,820,4.4121558306106506e-5,3.1839769375451096e-5,1.2580893997713775e-5
46351,389600,371914,421477,0.006016716526447006,0.0058247201119043385,0.006466533487163913
43762,939,155,1589,1.4501275201061957e-5,2.4275279159837286e-6,2.4379317758984376e-5
42357,6226,6283,9168,9.615009520959717e-5,9.840101868468236e-5,1.406605319159023e-4
42187,1765,2373,1049,2.7257455516373112e-5,3.71646693201896e-5,1.6094338784880184e-5
42007,123,168,229,1.899528061480959e-6,2.631127031517848e-6,3.513444787166408e-6
41805,280,228,284,4.32412892044446e-6,3.5708152570599364e-6,4.3572852382325756e-6
41682,1214,984,1804,1.8748187533641337e-5,1.5410886898890253e-5,2.7677966794970306e-5
37755,21902,18808,20897,3.382395414841949e-4,2.9456093576659336e-4,3.2061334374417654e-4
34444,3808,3269,3968,5.880815331804466e-5,5.119734682161812e-5,6.0879252906010076e-5
34183,9103,7961,515,1.40580519867164e-4,1.2468096605900943e-4,7.90141513271048e-6
34113,33256,29707,30604,5.135829692082178e-4,4.652553019363137e-4,4.695435120805273e-4
34078,316,260,308,4.880088353073033e-6,4.071982310682384e-6,4.72550652597054e-6
34033,65,60,126,1.0038156422460353e-6,9.396882255420885e-7,1.9331617606243117e-6
34029,434,414,155,6.702399826688913e-6,6.483848756240411e-6,2.3780958166410187e-6
34012,1762,6333,3609,2.7211125563654066e-5,9.918409220596745e-5,5.537127614359636e-5
33993,6243,5937,6281,9.641263160833844e-5,9.298214991738966e-5,9.636657951175636e-5
31601,1100,1130,923,1.698764933031752e-5,1.7697461581042668e-5,1.4161177024255872e-5
31362,4217,8986,3036,6.512447020540817e-5,1.4073397324535346e-4,4.657999289885247e-5
26868,16755,33073,3373,2.5875278593588186e-4,5.179718113892249e-4,5.1750433480839715e-5
26755,507,682,508,7.829762009519075e-6,1.0681122830328406e-5,7.794017257120241e-6
26641,49785,37415,5607,7.68845565372598e-4,5.859739159776207e-4,8.602569834778188e-5
25326,21196,17127,12402,3.2733655927764564e-4,2.6823400398098916e-4,1.90278350438593e-4
22885,801,532,582,1.2370097375985759e-5,8.331902266473185e-6,8.92936622764563e-6
22803,614,558,473,9.48219698983178e-6,8.739100497541423e-6,7.257027879169043e-6
22735,4830,2695,174,7.459122387766694e-5,4.2207662797265474e-5,2.6696043361002403e-6
21709,20500,21873,35143,3.165880102468265e-4,3.425633426213684e-4,5.391833631239697e-4
21704,21812,20603,12807,3.368496429026234e-4,3.226732751807275e-4,1.9649208466917113e-4
20330,4525,11038,3234,6.988101201789707e-5,1.728713105588929e-4,4.961781852269067e-5
20281,6873,13603,2618,1.0614192167933848e-4,2.1304298220081716e-4,4.016680547074959e-5
18488,311,800,580,4.8028717652079535e-6,1.252917634056118e-5,8.898681120334133e-6
18388,988,1235,1362,1.5257997762139736e-5,1.934191597574132e-5,2.0896558079129466e-5
18382,6497,5810,6235,1.0033523427188449e-4,9.099314317332557e-5,9.5660822043591945e-005
18361,3072,2934,3208,4.7441871584304934e-5,4.5950754229008125e-5,4.921891212764121e-5
18321,1835,1531,1768,2.833848774648423e-5,2.397771122174896e-5,2.712563486336336e-5
18318,1705,1383,1503,2.6330856461992158e-5,2.1659813598745142e-5,2.3059858144590006e-5
18305,8348,7216,151852,1.2892081509953697e-4,1.1301317059186184e-4,0.002329797457732722
18226,1093,952,781,1.687954610730641e-5,1.4909719845267804e-5,1.1982534405139583e-5
18176,2548,2501,2358,3.934957317604458e-5,3.916933753467939e-5,3.617774152025498e-5
18173,9814,7479,9645,1.5156071866157832e-4,1.1713213731382134e-4,1.4797893000969434e-4
18164,11083,9521,10854,1.7115828866173552e-4,1.4911285992310374e-4,1.665280773794943e-4
18157,465,325,366,7.181142671452406e-6,5.08997788835298e-6,5.615374638003953e-6
18023,413,771,278,6.378090157655579e-6,1.2074993698215838e-5,4.265229916298085e-6
17962,2914,7327,2665,4.500182740776842e-5,1.1475159380911471e-4,4.088790549256977e-5
17948,1431,865,1329,2.2099387446985793e-5,1.3547171918231776e-5,2.0390253808489765e-5
17872,2594,2615,2681,4.005996578440332e-5,4.095474516320936e-5,4.1133386351061746e-5
17775,6034,5771,5707,9.318497823557811e-5,9.038234582672322e-5,8.755995371335672e-5
17710,293,109,199,4.524892048893667e-6,1.7071002764014609e-6,3.0531681774939527e-6
17702,514,286,352,7.937865232530187e-6,4.479180541750622e-6,5.400578886823475e-6
17663,5535,1763,1873,8.547876276664317e-5,2.76111723605117e-5,2.873660299721695e-5
17504,1588,2043,1713,2.4523988305949295e-5,3.199638407970811e-5,2.628179441229719e-5
17480,190,292,307,2.934230338873026e-6,4.5731493643048304e-6,4.710163972314792e-6
17471,4199,4042,4413,6.484649048909389e-5,6.330366346068536e-5,6.770668928281817e-5
17425,12638,11514,10231,1.951726474877753e-4,1.8032617048152678e-4,1.5696966645196297e-4
17350,790,691,703,1.2200220882682584e-5,1.0822076064159719e-5,1.0785815219991201e-5
17349,684,678,1138,1.0563229219942894e-5,1.06184769486256e-5,1.74598260602418e-5
17334,1235,1219,1025,1.907249720267467e-5,1.9091332448930097e-5,1.572611749714222e-5
17297,5183,4769,7373,8.004271498094156e-5,7.468955246017033e-5,1.1312064810383374e-4
17289,1988,1684,1719,3.070131533515567e-5,2.6373916196881284e-5,2.637384973423168e-5
17225,845,1093,973,1.304960334919846e-5,1.7117987175291712e-5,1.4928304707043297e-5
17191,787,714,798,1.2153890929963536e-5,1.1182289883950854e-5,1.2243357817287308e-5
17188,331,397,447,5.111738116668272e-6,6.217603759003486e-6,6.8581214841195825e-6
17186,452,460,539,6.980379543003199e-6,7.204276395822679e-6,8.269636420448445e-6
17069,497,484,549,7.675328833788917e-6,7.580151686039514e-6,8.42306195700593e-6
17045,1448,1639,1430,2.2361923845727063e-5,2.5669150027724718e-5,2.1939851727720363e-5
17011,6318,6306,6110,9.757088042631463e-5,9.87612325044735e-5,9.374300283662338e-5
17010,18305,16310,18261,2.826899281740566e-4,2.5543858264319105e-4,2.801703723076235e-4
16857,1933,5049,1596,2.985193286863979e-5,7.907476417936675e-5,2.4486715634574616e-5
16852,14665,13380,14027,2.264762522082786e-4,2.0955047429588574e-4,2.152100001291843e-4
16817,446,515,799,6.887719637565104e-6,8.06565726923626e-6,1.2258700370943056e-5
16810,419,422,290,6.470750063093674e-6,6.609140519646023e-6,4.449340560167067e-6
16794,31013,55612,15422,4.7894360789194296e-4,8.709656933141105e-4,2.3661286247895347e-4
16793,5206,4261,3086,8.039791128512093e-5,6.673352548391399e-5,4.7347120581639894e-5
16747,27658,25363,27633,4.2713127743447456e-4,3.972218744070665e-4,4.239607851692985e-4
16688,397,443,431,6.130997076487324e-6,6.938031398585754e-6,6.612640625627606e-6
16594,5839,5547,5994,9.017353130884e-5,8.687417645136609e-5,9.196326661255655e-5
16549,90,122,60,1.3898985815714335e-6,1.91069939193558e-6,9.205532193449104e-7
14835,1539,1422,874,2.3767265744871514e-5,2.22706109453475e-5,1.3409391895124194e-5
14816,89,59,69,1.3744552639984176e-6,9.24026755116387e-7,1.058636202246647e-6
14796,2147,1557,1017,3.31568028292652e-5,2.4384909452817195e-5,1.560337706789623e-5
14778,6243,5937,6281,9.641263160833844e-5,9.298214991738966e-5,9.636657951175636e-5
14740,1421,1415,1613,2.1944954271255635e-5,2.2160980652367587e-5,2.474753904672234e-5
