BinBase name,F_PACT_22_022,F_PACT_23_023,F_PACT_24_024,normF_PACT_22_022,normF_PACT_23_023,normF_PACT_24_024
saccharopine,146,103,86,1.870131701335151e-6,1.3228689518752605e-6,1.100247207636555e-6
saccharic acid,3494,2641,2078,4.475506961962341e-5,3.3919387397112265e-5,2.6585042993822804e-5
ribulose MassBank,14903,12470,14169,1.9089433386984764e-4,1.6015704689208252e-4,1.8127212424421331e-4
ribose,76231,58737,70664,9.764521214005472e-4,7.543820740417202e-4,9.040449846561572e-4
ribonic acid,4016,2866,3342,5.144143090795868e-5,3.680914967062618e-5,4.27561182316438e-5
ribitol,11859,22487,25704,1.5190336880913395e-4,2.8880926330892214e-4,3.2884597936151173e-4
resveratrol,79,99,59,1.0119205781197051e-6,1.2714954003461242e-6,7.548207587274039e-7
raffinose,3973,3170,3015,5.089063869455175e-5,4.071353958684054e-5,3.857262012818852e-5
quinic acid,1231113,1304448,1969172,0.015769475679628917,0.016753531636269706,0.025192744120419653
pyrophosphate,65564,57182,70972,8.39817225111903e-4,7.344106058847684e-4,9.079854048881579e-4
putrescine,23398,16000,16394,2.99707818820821e-4,2.0549420611654532e-4,2.0973782234876373e-4
propyleneglycol,111676,36604,83394,0.0014304714238240024,4.7011937004312653e-4,0.0010669071585307308
proline,5851,29657,33787,7.494616838706828e-5,3.80896354424899e-4,4.3225642330716607e-4
pipecolinic acid,1452,3897,1289,1.8598844043415337e-5,5.005068257726107e-5,1.6490914542366502e-5
pinitol,1611,1135,1251,2.063549432089677e-5,1.4577245246392433e-5,1.6004758799457327e-5
phosphate,106666,55140,87974,0.0013662977264014742,7.081844078291443e-4,0.0011255017191234683
phenylethylamine,3268,2627,1477,4.186020821892653e-5,3.373957996676028e-5,1.889610611254874e-5
phenylalanine,9239,7224,9327,1.183434711550374e-4,9.278063406162021e-5,1.1932564773983893e-4
pentono-gamma-lactone,2891,2043,2381,3.70311695106844e-5,2.623904144350638e-5,3.0461495364914387e-5
pentitol,1876,2194,2631,2.402991145003249e-5,2.8178393013731277e-5,3.3659888410369485e-5
palmitoleic acid,204,149,159,2.613060733372403e-6,1.9136647944603285e-6,2.0341779769094445e-6
oxoproline,187395,149210,189814,0.0024003652751486346,0.001916361905915608,0.0024283991101200584
oleic acid,2026,2324,1206,2.5951279636335727e-5,2.9848033438428207e-5,1.542904805127541e-5
oleamide NIST,1337,1840,1729,1.7125795100582856e-5,2.3631833703402712e-5,2.2120086302367483e-5
nicotinic acid MassBank,221544,521709,498047,0.0028377839564424296,0.006700511048678547,0.006371800244439107
N-acetylmannosamine,649,413,229,8.313119686072007e-6,5.304319195383326e-6,2.929728029636873e-6
N-acetyl-D-galactosamine,2521,1696,1885,3.229179465113641e-5,2.1782385848353803e-5,2.4115883562731466e-5
myristic acid,34424,26309,30692,4.4094118963535097e-4,3.378966917950119e-4,3.9266031740443186e-4
mucic acid,28898,21591,23911,3.701579856519397e-4,2.7730158776639565e-4,3.059071044395077e-4
montanic acid,1640,2188,1673,2.1006958836915395e-5,2.8101332686437573e-5,2.140364626018554e-5
methylmalonic acid,14372,17963,31993,1.840926904903342e-4,2.3070577652946898e-4,4.093047548129802e-4
methionine sulfoxide,1168,876,1052,1.4961053610681208e-5,1.1250807784880856e-5,1.3458837935275066e-5
methionine,140,506,631,1.7932769738830215e-6,6.498754268435746e-6,8.072744046728677e-6
melezitose,255,167,181,3.2663259167155035e-6,2.1448457763414418e-6,2.3156365649094936e-6
mannoheptulose,2883,2951,7790,3.6928696540748226e-5,3.7900837640620324e-5,9.966192729638096e-5
mannitol,1599339,3044558,3602666,0.020486127158093555,0.03910243932411106,0.046090967517990196
maltose,12900,9920,3742,1.6523766402207842e-4,1.274064077922581e-4,4.787354710437196e-5
malonic acid,236,164,85,3.0229526131170935e-6,2.1063156126945894e-6,1.0874536354547345e-6
malic acid,2079020,1541729,1833298,0.02663041924458771,0.019801023556365958,0.023454430293786986
maleic acid,5788,4628,8574,7.413919374882092e-5,5.9439199119210735e-5,1.0969208788692816e-4
lyxose,1007249,722759,862251,0.012901974561904997,0.00928267418241176,0.011031270407346826
lysine,45217,35173,41757,5.791900352004899e-4,4.5174048198357806e-4,5.342211935962746e-4
loganin,410,245,407,5.251739709228849e-6,3.1466300311596003e-6,5.206983878000905e-6
linolenic acid,1479,907,718,1.894469031694992e-5,1.1648952809231663e-5,9.185784826547051e-6
linoleic acid,7400,6221,3231,9.478749719095971e-5,7.989871601568927e-5,4.133603171946173e-5
lignoceric acid,4937,1892,3586,6.323863157186056e-5,2.4299689873281486e-5,4.587774984400797e-5
levoglucosan,2130,1838,2139,2.728342824550597e-5,2.3606146927638144e-5,2.7365450896913847e-5
leucrose,8782,6998,6852,1.1248970274743354e-4,8.987802840022401e-5,8.766155658983341e-5
leucine,29210,44049,48873,3.7415443147945045e-4,5.657383928267315e-4,6.252602532421087e-4
lauric acid,4805,2166,3941,6.15478275679137e-5,2.7818778153027322e-5,5.041946796855422e-5
lactic acid,35522,46834,29162,4.5500560475909065e-4,6.015072280788927e-4,3.730861519662467e-4
kojic acid,11482,7607,8031,1.4707433010089182e-4,9.769965162053501e-5,1.0274517819219968e-4
itaconic acid,10975,9713,10382,1.4058010563118686e-4,1.247478265006253e-4,1.3282286639165945e-4
isothreonic acid,3699,2676,2899,4.7380939474237835e-5,3.4368905972992204e-5,3.7088565755097353e-5
isomaltose,12551,9786,10873,1.6076728070861288e-4,1.2568539381603203e-4,1.3910451033293328e-4
isoleucine,15091,17748,18999,1.933024486633477e-4,2.279444481347779e-4,2.430650778824059e-4
isocitric acid,19766,14477,18323,2.531850904697986e-4,1.8593372637182667e-4,2.344166230874953e-4
indole-3-propionic acid,2338,2018,911,2.994772546384646e-5,2.591795674644928e-5,1.165494425763839e-5
homoserine,2454,1319,1423,3.1433583527920965e-5,1.6940428616732706e-5,1.8205253214730436e-5
histidine,5229,4605,5143,6.697889497453085e-5,5.91438011979182e-5,6.579734173110234e-5
hexadecylglycerol NIST,4849,3771,4012,6.211142890256265e-5,4.843241570409327e-5,5.132781159346347e-5
heptadecanoic acid,2836,3120,4903,3.632666784237321e-5,4.007137019272634e-5,6.272688440746544e-5
guanosine,299,311,359,3.829927251364453e-6,3.9942936313903495e-6,4.592892413273526e-6
guanine,522,439,517,6.686361288335266e-6,5.638247280322712e-6,6.614276818001149e-6
glycolic acid,5404,4066,4517,6.922049119188463e-5,5.222121512936708e-5,5.7788565545282774e-5
glycine,7947,6944,10524,1.0179408651034551e-4,8.918448545458067e-5,1.3463955364147794e-4
glycerol-alpha-phosphate,1246,730,1075,1.596016506755889e-5,9.37567315406738e-6,1.3753090095456935e-5
glycerol-3-galactoside,22978,4667,18912,2.943279878991719e-4,5.994009124661981e-5,2.419520371025875e-4
glycerol,686620,492962,590833,0.00879499882719686,0.006331302177226526,0.007558864632901495
glyceric acid,13899,11123,12519,1.7803397614285797e-4,1.4285700341464585e-4,1.6016273014420965e-4
glutaric acid,1851,1354,1522,2.370968341898195e-5,1.738994719261265e-5,1.947181686073066e-5
glutamine,4192,3362,4504,5.369583624655447e-5,4.3179470060239086e-5,5.7622249106919105e-5
glutamic acid,5481,10912,14796,7.020679352752029e-5,1.401470485714839e-4,1.892936940022147e-4
glucose,3951151,1356337,1636728,0.05061077220453482,0.017419962190093546,0.02093959781000655
gluconic acid lactone,4316710,3944038,4686331,0.055293261756646984,0.05065480985646795,0.059954913916402605
gluconic acid,62653,44344,48588,8.025298731763782e-4,5.695271922520053e-4,6.216140851702899e-4
glucoheptulose,9613,5994,9833,1.2313408249955347e-4,7.698326696641079e-5,1.2579919526384004e-4
galacturonic acid,1858309,1444013,1649717,0.023803305286139886,0.018546019066060685,0.021105773519076214
galactonic acid,55241,40415,44144,7.075886665305143e-4,5.190655212625112e-4,5.6475945039428e-4
galactinol,6405,5108,5656,8.204242155514824e-5,6.560402530270709e-5,7.236044426037621e-5
fumaric acid,2472,2101,2008,3.166414771027735e-5,2.6983957940678857e-5,2.5689492941095373e-5
fucose,61005,40892,48669,7.814204413695267e-4,5.251918172823607e-4,6.226503645170174e-4
fructose,6077874,6269181,7785972,0.07785222495973068,0.08051752328724561,0.09961039478763259
flavin adenine,2088,1843,601,2.6745445153341064e-5,2.3670363867049564e-5,7.688936881274063e-6
ethanolamine,216119,155018,105251,0.0027682944737044625,0.001990956302735914,0.0013465362657087796
ethanol phosphate NIST,224,221,340,2.8692431582128344e-6,2.8383887219847824e-6,4.349814541818938e-6
erythrose major,1108,1011,635,1.4192506336159914e-5,1.2984665148989208e-5,8.123918335455958e-6
erythronic acid lactone,962,917,1054,1.2322374634824763e-5,1.1777386688054504e-5,1.3484425079638708e-5
erythritol,5668,5001,5055,7.260209919977834e-5,6.42297827993027e-5,6.467150737910216e-5
dihydroxyacetone,3956,2885,3514,5.067288363343738e-5,3.7053174040389575e-5,4.49566126469169e-5
digitoxose,19659,11864,12826,2.518145144969023e-4,1.5237395383541836e-4,1.6409035680402853e-4
digalacturonic acid,232040,178510,217382,0.0029722284929986882,0.0022926731708665317,0.0027810923080284836
dehydroascorbic acid,41356,31811,36153,5.297340180850446e-4,4.0856101192333894e-4,4.625260150893531e-4
dehydroabietic acid,577,818,865,7.3908629566464536e-6,1.0505891287708379e-5,1.1066439937274651e-5
conduritol-beta-epoxide,630,516,345,8.069746382473596e-6,6.627188147258587e-6,4.4137824027280395e-6
citric acid,1474752,1058423,1234245,0.018890277169913813,0.013593737132530766,0.015790402497550926
citramalic acid,3521,2568,2982,4.510091589315799e-5,3.298182008170552e-5,3.8150432246188446e-5
cis-p-coumaric acid HMDB,212,135,471,2.7155337033085754e-6,1.7338573641083511e-6,6.025772497637411e-6
cinnamic acid,218,222,333,2.792388430760705e-6,2.8512321098670664e-6,4.260259536546195e-6
chlorogenic acid,975,466,727,1.2488893210971043e-5,5.985018753144383e-6,9.300926976183434e-6
cerotinic acid,509,858,1250,6.5198427121889855e-6,1.1019626802999743e-5,1.5991965227275507e-5
cellobiose,13939,21102,22085,1.7854634099253883e-4,2.710211710919587e-4,2.8254604163550364e-4
catechin,13278,11136,11268,1.7007951185156258e-4,1.4302396745711555e-4,1.4415797134475234e-4
caproic acid HMDB,16553,5374,10466,2.1202938391918325e-4,6.902036647939466e-5,1.3389752645493236e-4
campesterol HMDB,2142,1239,1039,2.743713770041023e-5,1.5912957586149978e-5,1.3292521496911402e-5
beta-sitosterol,14114,12744,8139,1.807879372098926e-4,1.6367613517182834e-4,1.0412688398783629e-4
beta-mannosylglycerate,675,743,558,8.646156838364568e-6,9.542637196537074e-6,7.138813277455787e-6
beta-gentiobiose,4150,3348,3467,5.315785315438957e-5,4.299966262988711e-5,4.435531475437135e-5
beta-alanine,2820,1333,2338,3.612172190250086e-5,1.7120236047084682e-5,2.991137176109611e-5
benzoic acid,24007,12104,15701,3.0750857365721213e-4,1.5545636692716654e-4,2.008718768267622e-4
aspartic acid,40247,58485,77680,5.155287026276426e-4,7.511455402953845e-4,9.938046870838092e-4
asparagine,496218,436783,506205,0.006356116524473466,0.0056097734893876885,0.006476170206298398
arbutin,592,436,480,7.582999775276777e-6,5.59971711667586e-6,6.140914647273794e-6
arachidic acid,9409,8019,8169,1.2052102176618107e-4,1.0299112742803606e-4,1.0451069115329089e-4
arabitol,286028,183015,277038,0.0036637673306129494,0.002350532633276221,0.0035443056501071614
alpha-ketoglutarate,825,862,833,1.0567525024667805e-5,1.1071000354528879e-5,1.0657045627456398e-5
alanine,237584,283828,337101,0.0030432422611644558,0.0036453130958529266,0.004312725976063841
adipic acid,2755,2746,2585,3.528912902176946e-5,3.526794312475209e-5,3.307138409000575e-5
adenosine,7816,6793,332,1.0011609162764068e-4,8.724513388435577e-5,4.247465964364374e-6
adenine,12939,12012,9361,1.6573721975051726e-4,1.542747752419964e-4,1.1976062919402081e-4
aconitic acid,687,716,774,8.799866293268828e-6,9.195865723715403e-6,9.902224868728994e-6
6-deoxyhexitol NIST,902,677,895,1.1553827360303467e-5,8.6949735963063245e-006,1.1450247102729263e-5
6-deoxyglucose,220290,173238,213606,0.0028217213184049345,0.00222496282995113,0.0027327837794699295
6-deoxyglucitol,11912,8771,8362,1.525822522349611e-4,1.126493551155137e-4,1.0697985058438223e-4
5-methyluridine NIST,1794,1644,323,2.297956350818672e-5,2.1114529678475032e-5,4.132323814727991e-6
5-hydroxynorvaline NIST,981,1392,1659,1.2565747938423173e-5,1.7877995932139443e-5,2.1224536249640052e-5
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,26917,17511,19319,3.447831164714949e-4,2.2490056520667656e-4,2.471590209805884e-4
5'-deoxy-5'-methylthioadenosine,122,108,218,1.562712791526633e-6,1.3870858912866808e-6,2.7889987356368486e-6
4-hydroxymandelic acid,1167,238,1001,1.4948244489439187e-5,3.0567263159836117e-6,1.2806365754002227e-5
4-hydroxybutyric acid,305,177,194,3.906781978816583e-6,2.2732796551642828e-6,2.481953003273159e-6
4-hydroxybenzoic acid,1837,1379,1465,2.3530355721593647e-5,1.771103188966975e-5,1.8742583246366894e-5
4-aminobutyric acid,28249,20937,24729,3.618448659658677e-4,2.6890201209138183e-4,3.163722464842368e-4
3-phenyllactic acid,601,455,432,7.69828186645497e-6,5.843741486439257e-6,5.526823182546415e-6
3-hydroxybutyric acid,21114,14144,17561,2.7045178590404367e-4,1.8165687820702607e-4,2.2466792108494815e-4
3-hydroxy-3-methylglutaric acid,252,161,215,3.227898552989439e-6,2.0677854490477375e-6,2.750618019091387e-6
3-dehydroshikimic acid,1340,1148,1225,1.716422246430892e-5,1.4744209288862126e-5,1.567212592273e-5
"3,6-anhydro-D-galactose",118387,94027,106993,0.001516433436479209,0.0012076252324075254,0.0013688226684495106
"3,4-dihydroxycinnamic acid",1792,1534,1949,2.2953945265702676e-5,1.970175701142378e-5,2.493467218236797e-5
"3,4-dihydroxybenzoic acid",25505,19398,22153,3.266966372777605e-4,2.491360381405466e-4,2.8341600454386744e-4
3-(4-hydroxyphenyl)propionic acid,1392,540,1164,1.7830296768894043e-5,6.9354294564334046e-6,1.4891718019638953e-5
2-monoolein,13060,9831,9876,1.6728712342080186e-4,1.2626334627073482e-4,1.2634931886765832e-4
2-isopropylmalic acid,324,285,384,4.150155282414993e-6,3.6603655464509636e-6,4.912731717819036e-6
2-hydroxyglutaric acid,355,414,365,4.547238040917662e-6,5.31716258326561e-6,4.669653846364448e-6
2-deoxytetronic acid,595,398,533,7.621427139002842e-6,5.111668377149065e-6,6.818973972910276e-6
2-deoxyerythritol,8730,9141,10783,1.1182362844284842e-4,1.1740140863195879e-4,1.3795308883656943e-4
"2,3-dihydroxypyridine",899,709,1032,1.1515399996577402e-5,9.105962008539415e-6,1.3202966491638659e-5
"2,3-dihydroxybutanoic acid NIST",303,193,229,3.881163736332539e-6,2.478773861280828e-6,2.929728029636873e-6
1-monostearin,2306,1982,4326,2.953783358410177e-5,2.545559478268705e-5,5.534499325855507e-5
1-monopalmitin,1240,1544,1087,1.5883310340106762e-5,1.9830190890246625e-5,1.3906612961638781e-5
1-methylinosine NIST,1196,1057,864,1.5319709005457812e-5,1.3575460991574276e-5,1.105364636509283e-5
1-methyladenosine,6928,5484,2049,8.874159196472553e-5,7.04331391464459e-5,2.621402940055001e-5
1-kestose,3179,3143,3599,4.0720196428386614e-5,4.036676811401887e-5,4.604406628237164e-5
1-deoxyerythritol,8730,9141,10783,1.1182362844284842e-4,1.1740140863195879e-4,1.3795308883656943e-4
519282,13000,12110,10987,1.6651857614628058e-4,1.5553342725446024e-4,1.405629775616608e-4
519270,4343,3459,3646,5.563001355409973e-5,4.442527868482064e-5,4.6645364174917197e-5
519264,4501,3592,4502,5.7653854710339144e-5,4.613344927316443e-5,5.7596661962555465e-5
519261,6183,4562,4615,7.919879663941944e-5,5.8591535518979986e-5,5.904233561910117e-5
519249,1428,1099,1160,1.829142513360682e-5,1.4114883282630206e-5,1.484054373091167e-5
519244,20473,19996,19840,2.6224113918790786e-4,2.568163840941525e-4,2.5382447208731687e-4
513995,1174,1617,1364,1.5037908338133337e-5,2.0767758205653362e-5,1.7450432456003032e-5
513551,1853,1391,978,2.373530166146599e-5,1.786515254425716e-5,1.2512113593820356e-5
511927,41,110,91,5.251739709228848e-7,1.412772667051249e-6,1.164215068545657e-6
509528,630,516,345,8.069746382473596e-6,6.627188147258587e-6,4.4137824027280395e-6
486482,115,131,208,1.473048942832482e-6,1.6824838125792148e-6,2.6610630138186444e-6
486432,24818,1610,3240,3.1789677098449166e-4,2.0677854490477374e-5,4.1451173869098115e-5
480022,3828,614,2246,4.903331611445862e-5,7.885840159722427e-6,2.873436312036863e-5
475884,791,602,555,1.0132014902439072e-5,7.731719505135018e-6,7.100432560910325e-6
475793,3240,3518,3621,4.150155282414993e-5,4.51830385698754e-5,4.632552487037169e-5
474908,809,1939,1827,1.0362579084795461e-5,2.4903329103748836e-5,2.337385637618588e-5
474901,6846,9606,9601,8.769124402287975e-5,1.233735839972209e-4,1.228310865176577e-4
472871,188243,173733,261877,0.002411227409961869,0.0022313203069528604,0.0033503423022585824
425117,3223,2383,2646,4.128379776303556e-5,3.0605793323482965e-5,3.3851791993096795e-5
418204,38276,48995,46852,4.902819246596182e-4,6.292617892925086e-4,5.994044438626496e-4
417918,1594,2037,1133,2.0417739259782402e-5,2.6161981116212676e-5,1.449511728200252e-5
414322,139,142,132,1.780467852641e-6,1.8237610792843398e-6,1.6887515280002935e-6
408463,128925,152795,136018,0.0016514159561276326,0.0019624054514735963,0.001740156101026848
408457,1113,798,880,1.4256551942370022e-5,1.0249023530062697e-5,1.1258343520001957e-5
406896,3033,3715,4577,3.885006472705146e-5,4.771318598268536e-5,5.8556179876192e-5
404202,3848,3085,2320,4.928949853929905e-5,3.96218516168464e-5,2.968108746182334e-5
403831,992,898,843,1.270664827208541e-5,1.1533362318291107e-5,1.0784981349274602e-5
403585,3143,2121,2238,4.025906806367383e-5,2.724082569832454e-5,2.8632014542914066e-5
403523,4039,3161,3517,5.173604069652517e-5,4.0597949095899987e-005,4.4994993363462366e-5
402069,283,464,553,3.624981311492108e-6,5.959331977379814e-6,7.074845416546684e-6
401267,37469,44193,42145,4.7994496381730667e-4,5.675878406817804e-4,5.39185099602821e-4
401125,513,697,850,6.5710791971570716e-6,8.951841353952006e-6,1.0874536354547345e-5
401121,80,176,214,1.0247296993617266e-6,2.2604362672819984e-6,2.7378244469095667e-6
399830,408,378,347,5.226121466744806e-6,4.8548006195033835e-6,4.439369547091681e-6
395982,10003,6349,3254,1.2812963978394188e-4,8.154266966462163e-5,4.16302838796436e-5
395904,2982,1705,1644,3.819679954370836e-5,2.1897976339294362e-5,2.1032632666912746e-5
393358,17999,13052,15639,2.3055137323514647e-4,1.6763189863957184e-4,2.0007867535148932e-4
391872,4342,2898,3615,5.561720443285771e-5,3.7220138082859274e-5,4.624876343728077e-5
391843,2565,2300,1985,3.285539598578536e-5,2.953979212925339e-5,2.5395240780913504e-5
391842,3234,4887,6052,4.14246980966978e-5,6.276563658072231e-5,7.742669884437709e-5
390218,58091,42457,42022,7.440946620702757e-4,5.452917193181353e-4,5.376114902244571e-4
390208,6763,1204,4193,8.662808695979196e-5,1.5463439010270036e-5,5.364344815837296e-5
390198,351,218,224,4.496001555949575e-6,2.79985855833793e-6,2.865760168727771e-6
390194,998,1056,1592,1.2783502999537539e-5,1.356261760369199e-5,2.0367366913458085e-5
390185,3813,1655,1417,4.8841179295828295e-5,2.1255806945180156e-5,1.8128491781639513e-5
390140,206898,178425,210088,0.0026501815667317814,0.0022915814828965374,0.0026877759925342855
390135,2211,2343,5680,2.832096706610972e-5,3.0092057808191606e-5,7.26674899927399e-5
390126,18766,17646,16368,2.4037596922777703e-4,2.2663442257078492e-4,2.0940518947203639e-4
390122,184346,129947,147130,0.0023613102644817105,0.0016689597251391697,0.0018823182751112363
390121,14928985,17569719,15921819,0.19122717888532156,0.22565471609973642,0.2036969406423796
389994,91447,16085,0,0.0011713557102191476,2.0658589408653947e-4,0
389988,18295,13730,15394,2.3434287312278486e-4,1.7633971562376047e-4,1.9694425016694332e-4
387768,172,83,1364,2.2031688536277123e-6,1.0660011942295789e-6,1.7450432456003032e-5
386842,573,2417,2357,7.339626471678367e-6,3.104246851148063e-5,3.0154449632550694e-5
386187,225,123,156,2.882052279454856e-6,1.5797367095209422e-6,1.9957972603639834e-6
385941,41180,32424,28150,5.274796127464488e-4,4.164340086951791e-4,3.601390569182444e-4
384976,1664,895,1061,2.1314377746723915e-5,1.1494832154644253e-5,1.357398008491145e-5
384941,838,580,665,1.0734043600814087e-5,7.449164971724768e-6,8.50772550091057e-6
384919,85,87,116,1.0887753055718344e-6,1.1173747457587152e-6,1.484054373091167e-6
384908,4143,3479,3536,5.3068189305695415e-5,4.4682146442466325e-5,4.5238071234916955e-5
384907,426,320,265,5.456685649101194e-6,4.109884122330906e-6,3.3902966281824073e-6
384906,14903,12470,14169,1.9089433386984764e-4,1.6015704689208252e-4,1.8127212424421331e-4
384897,1282,974,1132,1.642129343227167e-5,1.2509459797344696e-5,1.44823237098207e-5
384838,855,531,851,1.0951798661928454e-5,6.819838965492848e-6,1.0887329926729165e-5
382960,4553,5776,6053,5.831992901492426e-5,7.418340840807285e-5,7.743949241655892e-5
382944,505,397,750,6.4686062272208994e-6,5.098824989266781e-6,9.595179136365305e-6
382905,422,360,253,5.405449164133108e-6,4.6236196376222694e-6,3.2367737620005624e-6
382601,522,439,517,6.686361288335266e-6,5.638247280322712e-6,6.614276818001149e-6
381214,1359,1086,1172,1.740759576790733e-5,1.3947919240160513e-5,1.4994066597093516e-5
380761,378,643,1415,4.841847829484159e-6,8.258298408308664e-6,1.8102904637275873e-5
380017,14466,11606,14365,1.852967478870842e-4,1.4906035976178906e-4,1.8377966439185012e-4
379842,268,208,232,3.432844492861784e-6,2.671424679515089e-6,2.968108746182334e-6
379014,9970,7861,8456,1.2770693878295518e-4,1.0096187214263517e-4,1.0818244636947335e-4
378986,2098,2127,2359,2.687353636576128e-5,2.7317886025618244e-5,3.0180036776914338e-5
378843,230,257,315,2.946097885664964e-6,3.3007506857470093e-6,4.0299752372734275e-6
378828,5475,3909,4475,7.012993880006817e-5,5.020480323184848e-5,5.7251235513646316e-5
378287,11333,7708,8574,1.4516577103583058e-4,9.899683379664571e-5,1.0969208788692816e-4
377751,1362,1030,1299,1.7446023131633394e-5,1.3228689518752605e-5,1.661885026418471e-5
377697,3733,4784,4589,4.781644959646657e-5,6.144276762884706e-5,5.8709702742373844e-5
377474,3243,2335,2599,4.153998018787599e-5,2.998931070513333e-5,3.3250494100551234e-5
377073,526,406,509,6.737597773303352e-6,5.214415480207337e-6,6.511928240546586e-6
372460,1764,1685,1581,2.2595289870926073e-5,2.164110858164868e-5,2.0226637619458063e-5
372445,885,494,669,1.1336072299189101e-5,6.344633613848337e-6,8.558899789637852e-6
371546,60824,43666,31088,7.791019904247208e-4,5.608193752678168e-4,3.977265719884328e-4
371280,1419,1038,1528,1.8176143042428627e-5,1.3331436621810877e-5,1.9548578293821578e-5
371262,235,249,204,3.010143491875072e-6,3.1980035826887367e-6,2.609888725091363e-6
370223,3244,2506,2736,4.1552789309118016e-5,3.218553003300391e-5,3.500321348946063e-5
370160,5843,4473,4630,7.484369541713211e-5,5.74484739974567e-5,5.923423920182848e-5
362287,2081,1041,1906,2.6655781304646914e-5,1.336996678545773e-5,2.4384548578549695e-5
362282,2960,2399,2400,3.7914998876383886e-5,3.0811287529599516e-5,3.070457323636897e-5
362184,1019,552,1015,1.3052494545619993e-5,7.089550111020813e-6,1.2985475764547711e-5
362181,4776748,4463526,1915183,0.06118594427458411,0.05732679574065994,0.02450203195189535
362105,469,365,362,6.007477862508122e-6,4.68783657703369e-6,4.631273129818987e-6
362065,12412,9431,10595,1.589868128559719e-4,1.2112599111782119e-4,1.355478972663872e-4
362022,2019,1733,2146,2.5861615787641576e-5,2.2257591199998317e-5,2.745500590218659e-5
360846,1185,1221,1116,1.5178808671795576e-5,1.5681776604268863e-5,1.4277626554911573e-5
360154,28686,19929,18176,3.6744245194863113e-4,2.559558771060395e-4,2.325359679767677e-4
360146,220227,155018,179129,0.002820914343766687,0.001990956302735914,0.0022916997913573073
357409,7641,2985,1514,9.787449541028691e-5,3.8337512828617986e-5,1.9369468283276096e-5
357337,66539,63371,71541,8.523061183228741e-4,8.138983334882246e-4,9.152649474596136e-4
357024,382,322,246,4.893084314452245e-6,4.135570898095475e-6,3.14721875672782e-6
356925,3212,3584,3821,4.114289742937332e-5,4.603070217010615e-5,4.888423930673577e-5
351749,108,142,112,1.383385094138331e-6,1.8237610792843398e-6,1.4328800843638854e-6
350283,992,1609,2346,1.270664827208541e-5,2.066501110259509e-5,3.001372033855067e-5
348913,1419,1038,1528,1.8176143042428627e-5,1.3331436621810877e-5,1.9548578293821578e-5
