BinBase name,F_PACT_22_022,F_PACT_23_023,F_PACT_24_024,normF_PACT_22_022,normF_PACT_23_023,normF_PACT_24_024
zymosterol,1526,1675,1640,1.9546719015324936e-5,2.151267470282584e-5,2.0981458378185467e-5
xylose,3217773,2325365,2786840,0.041216844486303514,0.029865564662887527,0.03565363869918438
xylonic acid,1785,1539,1641,2.2864281417008525e-5,1.97659739508352e-5,2.0994251950367286e-5
xylitol,25066,19049,21966,3.2107343305251296e-4,2.4465369576962947e-4,2.81023606545867e-4
vanillic acid,770,587,429,9.863023356356619e-6,7.5390686869007565e-6,5.488442466000954e-6
valine,6491,2130,8431,8.314400598196209e-5,2.7356416189265096e-5,1.0786260706492785e-4
uridine,1355,8113,9052,1.7356359282939243e-5,1.0419840588897076e-4,1.1580741538983831e-4
uric acid,602,427,496,7.711090987696992e-6,5.4841266257353034e-6,6.345611802182921e-6
urea,10234,14800,23882,1.310885467908489e-4,1.9008214065780441e-4,3.055360908462349e-4
UDP-glucuronic acid,14466,11606,14365,1.852967478870842e-4,1.4906035976178906e-4,1.8377966439185012e-4
tyrosol,261,253,228,3.343180644167633e-6,3.249377134217873e-6,2.9169344574550523e-6
tryptophan,2338,2018,2337,2.994772546384646e-5,2.591795674644928e-5,2.989857818891429e-5
trehalose,32300,23542,27387,4.137346161172971e-4,3.023590375247319e-4,3.503775613435154e-4
trans-phytol,603,831,276,7.723900108939014e-6,1.0672855330178072e-5,3.531025922182432e-6
tocopherol alpha-,3842,2971,1540,4.921264381184692e-5,3.815770539826601e-5,1.9702101160003424e-5
threose,489,417,471,6.2636602873485535e-6,5.355692746912462e-6,6.025772497637411e-6
threonine,3872,11136,14349,4.959691744910757e-5,1.4302396745711555e-4,1.83574967236941e-4
threonic acid,19964,15278,15985,2.5572129647571885e-4,1.9622128006553622e-4,2.0450525132639918e-4
tartaric acid,524,389,436,6.711979530819309e-6,4.996077886208508e-6,5.577997471273697e-6
sucrose,2264622,2052946,1355518,0.0290078177653494,0.026366781779383577,0.017341917376756832
succinic acid,12703,9023,10871,1.6271426713740017e-4,1.1588588886184927e-4,1.3907892318856962e-4
succinate semialdehyde,520,677,711,6.660743045851223e-6,8.6949735963063245e-006,9.096229821274308e-6
stigmasterol,1370,1498,853,1.754849610156957e-5,1.9239395047661555e-5,1.0912917071092807e-5
squalene,7699,5934,4494,9.861742444232416e-5,7.621266369347375e-5,5.7494313385100905e-5
spermidine,847,886,893,1.084932569199228e-5,1.1379241663703697e-5,1.1424659958365622e-5
sorbitol,1361276,5850810,891566,0.017436749327854172,0.07514422225554654,0.011406313975856891
shikimic acid,21075,19900,19958,2.699522301756049e-4,2.5558341885745326e-4,2.5533411360477166e-4
serine,14576,94436,102599,1.867057512237066e-4,0.0012128781780513795,0.0013126077122825918
salicylic acid,936,1374,1180,1.1989337482532202e-5,1.764681495025833e-5,1.5096415174548079e-5
