BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
362282,1338,1535,1224,1.3638317229399298e-5,1.6818685302982534e-5,1.2266848574142712e-5
362184,955,1087,793,9.73437440513926e-6,1.191003969012509e-5,7.947394541907818e-6
362181,31556,36828,25503,3.216522709199733e-4,4.03516965692665e-4,2.555894110999686e-4
362105,626,666,633,6.380856939913274e-6,7.297227629828253e-6,6.343884924372824e-6
362065,8456,5023,4256,8.619253399985088e-5,5.5035997574515483e-005,4.265335582643087e-5
362022,2020,1931,1746,2.0589985652755295e-5,2.115757740720474e-5,1.7498298701350632e-5
360846,1842,2024,1815,1.877562058038379e-5,2.217655964380238e-5,1.81898122239126e-5
360154,38724,61373,40659,3.947161408006416e-4,6.724515785667408e-4,4.0748185962097104e-4
360146,297188,350411,360985,0.003029255770381703,0.0038393826291227445,0.0036177682455366886
357409,6865,2814,1993,6.997537203275499e-5,3.0832430255760814e-5,1.9973716673420282e-5
357337,129429,36340,71695,0.0013192778480447846,3.9817004815008813e-4,7.185226376823216e-4
357024,1403,1355,1201,1.4300866272681028e-5,1.4846461619245168e-5,1.2036344066622056e-5
356925,2337,2450,3375,2.3821186371529267e-5,2.6844155695314144e-5,3.38240309948788e-5
351749,570,248,535,5.810045456470553e-6,2.7172859642603704e-6,5.36173528363264e-6
350283,1074,1053,964,1.0947348807455042e-5,1.1537508549863589e-5,9.661145445648345e-6
348913,9529,7534,8074,9.712968974510158e-5,8.254851796265174e-5,8.091710407485969e-5
347748,110,168,147,1.1212368424767734e-6,1.8407421048215413e-6,1.4732244611102767e-6
347663,687,10694,676,7.002633734377667e-6,1.1717200041048548e-4,6.774828134085354e-6
347660,676,222,246,6.890510050129989e-6,2.432409209942751e-6,2.465396036960055e-6
346561,1561,819,2215,1.591137010096585e-5,8.973617761005013e-6,2.219858626775009e-5
346225,6926,2814,1993,7.059714882721939e-5,3.0832430255760814e-5,1.9973716673420282e-5
345140,26572,27871,26344,2.7085004889357115e-4,3.053769238302451e-4,2.6401785852713693e-4
342554,32486,28188,36344,3.311318187700042e-4,3.0885022887327146e-4,3.642372096230741e-4
341252,1356,439,544,1.3821792349077316e-5,4.810034428670575e-6,5.451932699618983e-6
334782,1036,2865,2026,1.0560012443690339e-5,3.139122696615307e-5,2.0304440532036876e-5
330511,1670,3176,2212,1.7022413881238286e-5,3.479879121972152e-5,2.2168520462421308e-5
330432,1129,1302,770,1.150796722869343e-5,1.4265751312366944e-5,7.716890034387164e-6
330287,12101,13408,10613,1.233462457346494e-4,1.4690875084194776e-4,1.0636279731811814e-4
330286,6917,9538,6845,7.050541126738038e-5,1.0450594164159441e-4,6.860014582516901e-5
329366,12306,13432,11200,1.2543582348653793e-4,1.4717171399977942e-4,1.1224567322744965e-4
329362,896,938,734,9.132983735083536e-6,1.0277476751920272e-5,7.3561003704417896e-6
329361,75086,81409,71781,7.653562686746456e-4,8.919819881631955e-4,7.193845241017467e-4
327365,12195,11980,11243,1.2430439358185685e-4,1.3126244295096466e-4,1.1267661643716218e-4
324872,2369,2779,3612,2.4147364362067967e-5,3.0448942317256327e-5,3.619922961585251e-5
324726,285403,315209,319760,0.0029091305323036233,0.003453681417373174,0.0032046139706436876
324718,21588,19974,22696,2.2004782686716896e-4,2.1885108810538968e-4,2.2745783924733905e-4
320865,6313,7113,5939,6.434880169596247e-5,7.79357059023549e-5,5.95202726158771e-5
318789,5029,3491,4825,5.1260909825597214e-5,3.8250182666261906e-5,4.835583690378969e-5
253506,6443,1567,4270,6.567389978252592e-5,1.7169302846758065e-5,4.279366291796518e-5
250808,5495,3103,2898,5.6010876812817e-5,3.3998944947983585e-5,2.9043567947602596e-5
250761,7192,7944,7111,7.330850337357231e-5,8.704080524227574e-5,7.126598056432093e-5
232333,1290,1886,1206,1.3149050243591252e-5,2.0664521486270396e-5,1.2086453742170024e-5
232329,975,1188,924,9.938235649225946e-6,1.3016676312666613e-5,9.260268041264597e-6
232320,5886,6684,4802,5.9996364134711715e-5,7.323523945611417e-5,4.8125332396269035e-5
230854,15783,16997,1753,1.6087710077100832e-4,1.8623269973602223e-4,1.7568452247117788e-5
228439,1129,1075,884,1.150796722869343e-5,1.1778558111209267e-5,8.859390636880847e-6
228300,8145,8917,7119,8.30224916543029e-5,9.77017699327005e-5,7.134615604519768e-5
228290,4700,4665,3836,4.790739236037123e-5,5.111346380352672e-5,3.8444143080401503e-5
227260,986,929,780,1.0050359333473625e-5,1.0178865567733404e-5,7.8171093854831e-6
223095,4167,4885,4383,4.247449020546104e-5,5.3523959416983504e-5,4.392614158534927e-5
217691,29963,28569,32122,3.0541472282846874e-4,3.130247690038489e-4,3.2192459959036945e-4
214730,1289,827,1229,1.3138857181386918e-5,9.061272146948896e-6,1.231695824969068e-5
213020,5977,5988,4917,6.092393279530614e-5,6.560930787899636e-5,4.9277854933872316e-5
213019,607,586,525,6.1871887580309225e-6,6.420683770389424e-6,5.261515932536702e-6
210804,34596,5920,14500,3.526391800211496e-4,6.486424559847336e-5,1.4531805908910892e-4
210803,4473,2551,4253,4.5593567239987344e-5,2.7950792317855664e-5,4.2623290021102086e-5
210797,2160,2279,1757,2.2017014361362098e-5,2.4970543195763644e-5,1.7608539987556163e-5
210790,19725,12021,8763,2.0105815198049416e-4,1.3171167167892706e-4,8.782221736536976e-5
210694,4671716,4701903,4741766,0.04761909178898384,0.051517802529087615,0.04752167115687777
210345,5130,5158,4907,5.229040910823498e-5,5.651516533731851e-5,4.917763558277638e-5
210305,11623,15733,9498,1.1847396200097762e-4,1.7238330675688874e-4,9.518833967092115e-5
210297,20925,25471,18451,2.1328982662569533e-4,2.790806080470802e-4,1.849147247071137e-4
210289,2551,2851,2237,2.600250168325681e-5,3.123783179075127e-5,2.2419068840161148e-5
210283,17486,17190,16917,1.7823588570498963e-4,1.883473617969184e-4,1.6954107624899694e-4
210272,14825,18085,17064,1.5111214717925605e-4,1.9815369622439033e-4,1.7101430071010722e-4
210267,312,363,297,3.1802354077523028e-6,3.9773177622036876e-6,2.9765147275493347e-6
210261,1212,1314,1004,1.2353991391653177e-5,1.439723289128277e-5,1.0062022850032094e-5
209679,27533,28810,22218,2.806455816719364e-4,3.1566535738040833e-4,2.2266735426495324e-4
208616,40466,18883,16735,4.1247245516059193e-4,2.0689722122229265e-4,1.6771708405905088e-4
208244,2341,3247,2348,2.3861958620346607e-5,3.557672389497348e-5,2.3531503637326053e-5
205795,5691,6533,6083,5.800871700486652e-5,7.158076292142339e-5,6.096343127165859e-5
204855,7542,1888,1768,7.687607514508932e-5,2.0686435082756367e-5,1.7718781273761694e-5
204582,6513,6466,6121,6.638741413682932e-5,7.084665743914337e-5,6.134426480582316e-5
203815,5593,5770,4400,5.700979690884176e-5,6.322072586202555e-5,4.4096514482212366e-5
196521,1783,3266,2479,1.8174229910328066e-5,3.5784903061590203e-5,2.484437713668283e-5
196436,603,542,540,6.146416509213585e-6,5.938584647698068e-6,5.411844959180608e-6
196278,728,1068,615,7.420549284755374e-6,1.1701860523508369e-5,6.163490092400137e-6
190001,149,200,135,1.5187662684458112e-6,2.1913596485970727e-6,1.352961239795152e-6
189936,31043,32096,28454,3.164232300091498e-4,3.516693964068583e-4,2.8516414160837967e-4
189286,1964,1998,2530,2.0019174169312574e-5,2.1891682889484758e-5,2.535549582727211e-5
188945,1515,1633,1520,1.544248923956647e-5,1.7892451530795102e-5,1.5233341366582452e-5
187301,9192,9175,8699,9.369462778224092e-5,1.0052862387939072e-4,8.718081351835576e-5
187055,1709,1685,1223,1.7419943307207327e-5,1.846220503943034e-5,1.2256826639033118e-5
171968,14598,14689,16073,1.4879832205887217e-4,1.6094440939121203e-4,1.6108256301649985e-4
171596,104,141,110,1.0600784692507677e-6,1.5449085522609365e-6,1.102412862055309e-6
171564,1331173,1407098,1291623,0.01356872919373031,0.015417288894108221,0.012944561892058767
171297,110404,107757,128890,0.0011253548396073245,0.001180671708269374,0.0012917272162755345
170725,12173,12075,9620,1.2408014621336148e-4,1.3230333878404827e-4,9.641101575429157e-5
168874,31143,11289,13727,3.174425362295832e-4,1.2369129536506177e-4,1.37571103249393e-4
168871,320,309,336,3.2617799053869773e-6,3.385650657082478e-6,3.3673701968234897e-6
168860,3000,1256,1179,3.057918661300291e-5,1.3761738593189617e-5,1.1815861494210995e-5
168835,1408,1597,1069,1.43518315837027e-5,1.749800679404763e-5,1.0713448632155686e-5
168800,12811,6575,12308,1.3058331989972678e-4,7.204094844762878e-5,1.233499773288795e-4
168759,8684,9760,5854,8.85165521824391e-5,1.0693835085153715e-4,5.866840813156163e-5
167348,423503,393674,365411,0.0043167924227221904,0.00431340659150902,0.0036621253303317503
163872,10802,11016,9966,1.1010545793121915e-4,1.2070008944472678e-4,9.9878605302211e-5
161846,125583,126546,39739,0.001280075330806915,0.001386538990456826,3.982616793201448e-4
160822,4856,8607,8570,4.949751006424738e-5,9.430516247737503e-5,8.588798388921817e-5
160463,610133,599726,687305,0.006219123621917102,0.006571076783072641,0.006888126110499311
146868,201,262,334,2.048805503071195e-6,2.8706811396621657e-6,3.3473263266043022e-6
146430,24936,31341,27454,2.541741991272802e-4,3.4339701373340434e-4,2.75142206498786e-4
146262,667,682,782,6.798772490290981e-6,7.472536401716018e-6,7.837153255702287e-6
138111,3054,3256,3025,3.112961197203696e-5,3.567533507916035e-5,3.0316353706521e-5
136141,30299,26846,22779,3.088395917291251e-4,2.941462056311851e-4,2.2828965986143533e-4
135888,14494,6823,13508,1.4773824358962142e-4,7.475823441188914e-5,1.3537629946039196e-4
135773,2084,2257,1551,2.124234163383269e-5,2.472949363441797e-5,1.554402135497986e-5
135765,1567,1312,1003,1.5972528474191856e-5,1.4375319294796798e-5,1.00520009149225e-5
135618,14348,7272,4130,1.462500565077886e-4,7.967783682298957e-5,4.1390592002622056e-5
135617,2399,3104,2665,2.4453156228197996e-5,3.400990174622657e-5,2.670845706706726e-5
135613,6316,3714,3420,6.437938088257547e-5,4.0693548674447644e-5,3.427501807481052e-5
135609,1496598,105680,134811,0.015254916508882312,0.0011579144383186933,0.001351067094059439
135193,926,1089,694,9.438775601213566e-6,1.1931953286611062e-5,6.955222966058041e-6
135163,635,295,419,6.472594499752283e-6,3.2322554816806826e-6,4.199190810919768e-6
135128,3309,1784,2601,3.372884283414221e-5,1.954692806548589e-5,2.6067053220053262e-5
134941,5946,6789,5905,6.060794786697177e-5,7.438570327162765e-5,5.917952682215091e-5
134750,1155,1900,1520,1.1772986846006122e-5,2.0817916661672194e-5,1.5233341366582452e-5
134464,10208,9992,9334,1.0405077898184457e-4,1.0948032804390976e-4,9.354474231294777e-5
134365,1805,1813,1616,1.839847727882342e-5,1.9864675214532468e-5,1.619544713710345e-5
134132,1115,1410,1083,1.1365264357832749e-5,1.5449085522609364e-5,1.0853755723689998e-5
133780,1242,261,362,1.2659783257783206e-5,2.85972434141918e-6,3.627940509672926e-6
133675,2926,6193,2365,2.9824900009882174e-5,6.785545151880836e-5,2.3701876534189147e-5
133610,1548,1220,788,1.5778860292309504e-5,1.3367293856442144e-5,7.89728486635985e-6
133584,29098,12134,7538,2.965977240217196e-4,1.3294978988038442e-4,7.554534685611746e-5
133018,8562,8930,6181,8.727299859351032e-5,9.78442083098593e-5,6.194558091239878e-5
133012,563,1020,568,5.738694021040213e-6,1.1175934207845072e-5,5.692459142249232e-6
133010,31039,12719,9905,3.1638245776033244e-4,1.3935951685253086e-4,9.926726726052579e-5
132978,9433,7382,9766,9.61511557734855e-5,8.088308462971797e-5,9.787421828029226e-5
131663,15563,16056,13729,1.5863462708605477e-4,1.7592235258937302e-4,1.3759114711961218e-4
131662,7698,8279,2947,7.846619284896548e-5,9.071133265367584e-5,2.953464276797269e-5
131597,893,835,626,9.102404548470534e-6,9.14892653289278e-6,6.273731378605668e-6
131464,32117,32161,30657,3.2737057881660484e-4,3.523815882926523e-4,3.072424646548146e-4
131450,50827,39902,47779,5.180827726596997e-4,4.37198163491602e-4,4.788380376012783e-4
131202,1540,1684,1203,1.569731579467483e-5,1.8451248241187355e-5,1.2056387936841243e-5
131168,2354,8563,7283,2.399446842900295e-5,9.382306335468368e-5,7.298975340317106e-5
131166,4159,10370,8603,4.239294570782637e-5,1.1362199777975823e-4,8.621870774783476e-5
130638,1115,3529,3025,1.1365264357832749e-5,3.866654099949535e-5,3.0316353706521e-5
130597,13150,14174,10091,1.340387679869961e-4,1.5530165829607455e-4,1.0113134719091022e-4
130558,4178,5326,3762,4.258661388970872e-5,5.835590744214005e-5,3.7702519882291573e-005
128297,2982,1696,2250,3.0395711493324895e-5,1.8582729820103178e-5,2.2549353996585866e-5
128051,9589,9954,7547,9.774127347736164e-5,1.0906396971067632e-4,7.56355442721038e-5
128047,6998,7390,5700,7.133104930593146e-5,8.097073901566185e-5,5.71250301246842e-5
127640,8923,92937,5972,9.0952694049275e-5,0.0010182919583083309,5.985099647449369e-5
127380,4656768,3592597,4660921,0.047466725895153446,0.03936336049735449,0.04671144781294267
127358,4415,4802,4037,4.5002369632135955e-5,5.261454516281572e-5,4.0458552037429845e-5
127344,1794,1960,1810,1.8286353594575743e-5,2.1475324556251314e-5,1.813970254836463e-5
127277,214839,84748,70498,0.0021898672909169774,9.285667374965237e-4,7.06526381356138e-4
126690,635,715,613,6.472594499752283e-6,7.834110743734536e-6,6.14344622218095e-6
126585,24666,25686,22178,2.514220723321099e-4,2.814363196693221e-4,2.222664768605695e-4
126582,572,1140,1210,5.830431580879222e-6,1.2490749997003315e-5,1.21265414826084e-5
125960,9284,7028,8111,9.463238950503968e-5,7.700437805170115e-5,8.128791567391466e-5
125884,559,606,608,5.697921772222876e-6,6.639819735249131e-6,6.093336546632981e-6
125816,3094,3687,2751,3.1537334460210334e-5,4.039771512188704e-5,2.757034348649232e-5
125811,15358,18677,18594,1.5654504933416624e-4,2.0464012078423767e-4,1.863478614277856e-4
125810,346,492,323,3.526799522699669e-6,5.3907447355487995e-6,3.237085040398771e-6
125802,2591,4102,3737,2.641022417143018e-5,4.4944786392725964e-5,3.745197150455173e-5
125785,1794,1331,1922,1.8286353594575743e-5,1.458349846141352e-5,1.9262159280639127e-5
125241,339,256,371,3.455448087269329e-6,2.804940350204253e-6,3.7181379256592697e-6
125070,1638,1179,1596,1.669623589069959e-5,1.2918065128479745e-5,1.5995008434911574e-5
124960,18716,8920,16577,1.9077335221632084e-4,9.773464032742945e-5,1.6613361831173507e-4
124615,35501,8085,13826,3.6186390131607215e-4,8.858571379453667e-5,1.3856327482524274e-4
124607,710,787,637,7.237074165077356e-6,8.623000217229482e-6,6.3839726648111985e-6
124605,12661,3230,1315,1.2905436056907663e-4,3.539045832484273e-5,1.317884466911574e-5
124602,265,266,255,2.7011614841485904e-6,2.914508332634107e-6,2.5555934529463985e-6
124356,815,362,945,8.307345696532457e-6,3.966360963960702e-6,9.470728678566064e-6
123962,16736,17983,15748,1.705910890517389e-4,1.970361028036058e-4,1.5782543410588188e-4
121482,284,343,216,2.894829666030942e-6,3.75818179734398e-6,2.164737983672243e-6
120954,5846,6351,5031,5.9588641646538344e-5,6.958662564120006e-5,5.0420355536366e-5
120744,13293,5312,12577,1.354963758822159e-4,5.8202512266738254e-5,1.260458778733602e-4
120466,610133,599726,687305,0.006219123621917102,0.006571076783072641,0.006888126110499311
119025,2012,1765,1094,2.050844115512062e-5,1.9338748898869168e-5,1.0963997009895529e-5
118964,1089,980,675,1.1100244740520056e-5,1.0737662278125657e-5,6.764806198975761e-6
117982,194521,183186,174330,0.001982764653049313,0.002007132042939517,0.001747123947655473
113563,379,251,289,3.863170575442701e-6,2.7501563589893267e-6,2.896339246672585e-6
111826,1520,1580,1799,1.5493454550588144e-5,1.7311741223916878e-5,1.80294612621591e-5
111821,34233,37314,32131,3.489390984409762e-4,4.088419696387559e-4,3.220147970063558e-4
111776,1632,1595,1107,1.6635077517473583e-5,1.7476093197561657e-5,1.1094282166320248e-5
111399,76718,24127,29165,7.819913461921191e-4,2.643546712085079e-4,2.922897374713008e-4
110889,14147,8797,16386,1.442012510047174e-4,9.638695414354225e-5,1.642194287058027e-4
110873,8378,7385,9278,8.53974751479128e-5,8.091595502444692e-5,9.298351394681053e-5
110842,24056,4818,5848,2.4520430438746603e-4,5.2789853934703485e-5,5.860827652090407e-5
110801,28086,12695,8022,2.8628234507093326e-4,1.390965536946992e-4,8.039596344916082e-5
110604,720136,719738,11847,0.007340391043580488,0.0078860240538098,1.1872986524335679e-4
110368,3243,2981,2772,3.3056100728656146e-5,3.2662215562339375e-5,2.778080412379379e-5
110134,5043,5254,3931,5.1403612696457896e-5,5.7567017968645106e-5,3.939622691581291e-5
110022,863,1226,1262,8.796612682340504e-6,1.3433034645900057e-5,1.2647682108307274e-5
109990,17930,11144,14408,1.8276160532371407e-4,1.221025596198289e-4,1.443960410590263e-4
109714,28310,12695,8022,2.885655910047042e-4,1.390965536946992e-4,8.039596344916082e-5
109532,229,306,261,2.3342112447925558e-6,3.3527802623535216e-6,2.6157250636039605e-6
109395,28310,12565,8022,2.885655910047042e-4,1.376721699231111e-4,8.039596344916082e-5
108950,3247,3040,2645,3.309687297747349e-5,3.330866665867551e-5,2.6508018364875387e-5
108834,4838,2373,1797,4.931403494456936e-5,2.600048223060427e-5,1.8009417391939913e-5
108829,11690,1160,6745,1.1915689716866802e-4,1.2709885961863023e-5,6.759795231420964e-5
108825,91352,41520,31852,9.311566184903473e-4,4.5492626304875235e-4,3.1921867711077914e-4
108314,4007956,3991667,4520742,0.0408533448202349,0.04373588997218266,0.045306582971214926
107237,13009,6204,27928,1.3260154621618495e-4,6.79759762994812e-5,2.7989260374073336e-4
106482,1895,1972,1763,1.9315852877213505e-5,2.160680613516714e-5,1.7668671598213725e-5
106387,7550,2449,6325,7.6957619642724e-5,2.6833198897071158e-5,6.338873956818027e-5
106385,3367,3516,1686,3.43200404419936e-5,3.8524102622336545e-5,1.689698259477501e-5
106384,21441,18338,13030,2.185494467231318e-4,2.009257661798656e-4,1.3058581447800615e-4
105630,107413,122359,101211,0.0010948673905541606,0.0013406628762134463,0.00101433007437709
105516,328,239,253,3.343324403021652e-6,2.618674780073502e-6,2.535549582727211e-6
105081,5411,5328,3996,5.515465958765292e-5,5.837782103862602e-5,4.00476526979365e-5
104922,12184,12021,12449,1.2419226989760916e-4,1.3171167167892706e-4,1.2476307017933222e-4
104366,3683,4445,3669,3.7541048098563244e-5,4.870296819006995e-5,3.6770479917099356e-5
104365,10810,13676,12378,1.1018700242885382e-4,1.4984517277106784e-4,1.2405151278655106e-4
104288,512,552,578,5.218847848619164e-6,6.048152630127921e-6,5.79267849334517e-6
103129,58257,50528,55390,5.938172248379036e-4,5.536251016215645e-4,5.55114985720396e-4
102809,827,733,784,8.42966244298447e-6,8.031333112108272e-6,7.857197125921475e-6
102715,1654,2426,2138,1.685932488596894e-5,2.6581192537482494e-5,2.142689726431137e-5
102679,687,531,349,7.002633734377667e-6,5.8180598670252285e-6,3.497655353248208e-6
102223,34698,38538,32555,3.536788723659917e-4,4.2225309068816996e-4,3.2626409749282354e-4
100947,2003,2431,2153,2.041670359528161e-5,2.663597652869742e-5,2.1577226290955277e-5
100916,1871,1978,1602,1.9071219384309483e-5,2.167254692462505e-5,1.6055140045569137e-5
100897,31689,33426,31143,3.2300794819314975e-4,3.662419380700288e-4,3.121131251180772e-4
100896,3155,3599,3576,3.215911125467473e-5,3.9433516876504325e-5,3.583843995190714e-5
100879,14852,16223,2581,1.5138735985877308e-4,1.7775213789595156e-4,2.5866614517861387e-5
100877,913,1071,564,9.30626579255722e-6,1.1734730918237325e-5,5.652371401810857e-6
100876,60457,66803,56112,6.16241961687439e-4,7.319469930261514e-4,5.623508228695227e-4
100865,2010800,1954188,1562910,0.020496209480475418,0.021411643644863084,0.01566338260213512
100343,417,385,403,4.2505069392074046e-6,4.2183673235493655e-6,4.0388398491662686e-6
100017,7319,9086,5967,7.460302227352277e-5,9.955346883576502e-5,5.980088679894572e-5
97828,549878,135023,404700,0.005604940658794939,0.001479419769162613,0.004055877138852578
89252,718,665,648,7.31861866271203e-6,7.286270831585267e-6,6.49421395101673e-6
89241,16794,16023,16119,1.711822866595903e-4,1.755607782473545e-4,1.6154357203154116e-4
89209,535,301,436,5.453288279318852e-6,3.2979962711385946e-6,4.369563707782861e-6
88847,7084,5711,6157,7.220765265550421e-5,6.257427476568942e-5,6.170505446976853e-5
87951,633,763,573,6.452208375343614e-6,8.360037059397834e-6,5.742568817797201e-6
87822,8008,8823,7450,8.162604213230911e-5,9.667183089785987e-5,7.466341656647321e-5
85117,2004,2244,2159,2.0426896657485945e-5,2.4587055257259157e-5,2.163735790161284e-5
85067,4757,2251,2523,4.8488396906018286e-5,2.4663752844960056e-5,2.5285342281504954e-5
84910,962343,1052374,944385,0.009809222060905688,0.01153064959416348,0.009464565188473665
84326,9946,13394,11891,1.0138019668430898e-4,1.4675535566654598e-4,1.1917083038817891e-4
84216,2016,347,1650,2.0549213403937956e-5,3.8020089903159217e-6,1.6536192930829636e-5
84181,14553,14861,14612,1.4833963425967713e-4,1.628289786890055e-4,1.4644051582138342e-4
84151,4964,5422,5570,5.059836078231549e-5,5.9407760073466645e-5,5.5822178560437014e-5
84116,36085,38869,33476,3.6781664964340334e-4,4.2587979090659813e-4,3.354942997287593e-4
84105,12714,13254,10874,1.2959459286590634e-4,1.4522140391252803e-4,1.0897852238172209e-4
84063,4010,1146,921,4.087417943938056e-5,1.2556490786461228e-5,9.230202235935815e-6
66305,3863,3814,3585,3.9375799295343415e-5,4.178922849874618e-5,3.592863736789348e-5
62639,596,468,573,6.075065073783245e-6,5.1277815777171504e-6,5.742568817797201e-6
62566,13676,14422,14546,1.3940031870647595e-4,1.5801894426033494e-4,1.4577906810415024e-4
46351,1088881,1128813,1185155,0.011099031766117741,0.012368176295059038,0.011877546504810543
43762,1482,2444,795,1.5106118186823439e-5,2.677841490585623e-5,7.967438412127006e-6
42357,2223,7472,6501,2.2659177280235157e-5,8.186919647158664e-5,6.515260014746877e-5
42187,2849,1671,2268,2.9040034220148433e-5,1.8308809864028543e-5,2.2729748828558554e-5
42007,2615,3210,4003,2.6654857664334205e-5,3.517132235998302e-5,4.011780624370366e-5
41805,682,713,918,6.9516684233559954e-6,7.812197147248565e-6,9.200136430607034e-6
41682,4098,3663,2757,4.177116891336198e-5,4.0134751964055394e-5,2.7630475097149882e-5
37755,385471,399924,352531,0.003929129880966949,0.004381886580527679,0.0035330428061201833
34444,74814,81930,71273,7.625837557550667e-4,8.976904800477909e-4,7.142933810660731e-4
34183,119022,88315,114575,0.0012131986496842775,9.676496368292525e-4,0.0011482632151817004
34113,36428,38701,35315,3.7131286997949003e-4,4.240390488017766e-4,3.539246383953022e-4
34078,180,518,365,1.8347511967801747e-6,5.675621489866419e-6,3.6580063150017073e-6
34033,642,611,390,6.543945935182623e-6,6.694603726464058e-6,3.90855469274155e-6
34029,848,1865,1711,8.64371674927549e-6,2.0434428723167706e-5,1.7147530972514854e-5
34012,4241,10934,1812,4.322877680858178e-5,1.1980163198880198e-4,1.815974641858382e-5
33993,1296,20652,21054,1.3210208616817257e-5,2.2627979731413376e-4,2.1100182179738616e-4
31601,2331,2419,2252,2.3760027998303264e-5,2.6504494949781598e-5,2.2569397866805054e-5
31362,2791,2828,3066,2.8448836612297044e-5,3.098582543116261e-5,3.0727253046014344e-5
26868,43469,21494,16614,4.430822209602079e-4,2.3550542143472742e-4,1.6650442991079004e-4
26755,7611,7560,7498,7.757939643718839e-5,8.283339471696935e-5,7.514446945173371e-5
26641,37375,14733,10305,3.8096569988699464e-4,1.6142650851390337e-4,1.0327604130436327e-4
25326,30573,9205,19678,3.116324907731127e-4,1.0085732782668029e-4,1.972116390865852e-4
22885,15430,5961,13154,1.572789498128783e-4,6.531347432643576e-5,1.3182853443159578e-4
22803,1634,1048,2222,1.6655463641882254e-5,1.1482724558648663e-5,2.2268739813517242e-5
22735,4342,825,1832,4.425827609121955e-5,9.039358550462926e-6,1.8360185120775694e-5
21709,15358,13141,18594,1.5654504933416624e-4,1.4398328571107067e-4,1.863478614277856e-4
21704,13612,13772,12381,1.3874796272539855e-4,1.5089702540239445e-4,1.2408157859187984e-4
20330,1840,1409,2309,1.875523445597512e-5,1.5438128724366378e-5,2.3140648168051897e-5
20281,1219,1043,1015,1.2425342827083516e-5,1.1427940567433735e-5,1.0172264136237625e-5
18488,1097,1171,899,1.1181789238154731e-5,1.2830410742535862e-5,9.009719663524753e-6
18388,15587,16735,14452,1.588792605789588e-4,1.8336201859636009e-4,1.4483700620384843e-4
18382,2541,3079,2522,2.5900571061213466e-5,3.373598179015194e-5,2.527532034639536e-5
18361,8054,9181,8181,8.209492299370849e-5,1.0059436466884863e-4,8.198945113158622e-5
18321,2011,2354,2045,2.0498248092916286e-5,2.5792303063987547e-5,2.0494857299119157e-5
18318,9919,11149,9944,1.0110498400479197e-4,1.2215734361104382e-4,9.965812272979994e-5
18305,6072,5156,5056,6.189227370471789e-5,5.649325174083254e-5,5.0670903914105845e-5
18226,8774,10782,9939,8.943392778082918e-5,1.181361986558682e-4,9.960801305425197e-5
18176,2653,3129,2590,2.704219402809891e-5,3.42838217023012e-5,2.595681193384773e-5
18173,85948,92068,85706,8.760733103381248e-4,0.0010087705006351765,8.589399705028393e-4
18164,2331,2092,3386,2.3760027998303264e-5,2.2921621924325383e-5,3.3934272281084334e-5
18157,654,760,616,6.666262681634635e-6,8.327166664668877e-6,6.173512027509731e-6
18023,1196,770,580,1.2190902396383827e-5,8.436734647098731e-6,5.812722363564357e-6
17962,1520,1580,1799,1.5493454550588144e-5,1.7311741223916878e-5,1.80294612621591e-5
17948,7724,5807,7090,7.873121246627816e-5,6.362612739701601e-5,7.105551992701946e-5
17872,3247,3036,2645,3.309687297747349e-5,3.326483946570357e-5,2.6508018364875387e-5
17775,7273,9084,7946,7.413414141212339e-5,9.953155523927905e-5,7.963429638083169e-5
17710,1921,1689,1444,1.9580872494526198e-5,1.850603223240228e-5,1.447167429825333e-5
17702,201,349,341,2.048805503071195e-6,3.823922586801892e-6,3.417479872371458e-6
17663,2643,2143,1684,2.6940263406055566e-5,2.3480418634717636e-5,1.6876938724555823e-5
17504,519,489,564,5.290199284049504e-6,5.357874340819844e-6,5.652371401810857e-6
17480,2025,2214,1717,2.0640950963776965e-5,2.4258351309969597e-5,1.7207662583172417e-5
17471,4077,3960,3470,4.155711460707096e-5,4.338892104222204e-5,3.47761148302902e-5
17425,32337,38079,29293,3.296130525015584e-4,4.172239202946397e-4,2.935725451653288e-4
17350,207,164,220,2.109963876297201e-6,1.7969149118495998e-6,2.204825724110618e-6
17349,31008,33648,30944,3.160664728319981e-4,3.6867434727997153e-4,3.10118760031268e-4
17334,919,886,840,9.367424165783225e-6,9.707723243285033e-6,8.418425492058724e-6
17297,3341,1154,2631,3.405502082468091e-5,1.2644145172405111e-5,2.6367711273341074e-5
17289,3912,4267,2815,3.98752593433558e-5,4.6752658102818553e-5,2.821174733350632e-5
17225,536,368,424,5.463481341523187e-6,4.0321017534186145e-6,4.249300486467737e-6
17191,24278,25994,22416,2.4746716419682825e-4,2.8481101352816155e-4,2.246516974166528e-4
17188,1129,1256,982,1.150796722869343e-5,1.3761738593189617e-5,9.841540277621032e-6
17186,3613,4755,4580,3.682753374425984e-5,5.209957564539541e-5,4.590046280193923e-5
17069,618,817,496,6.2993124422786e-6,8.951704164519044e-6,4.970879814358485e-6
17045,27040,26643,27132,2.756204020051996e-4,2.919219755878591e-4,2.719151433934968e-4
17011,2733,3458,2519,2.785763900444565e-5,3.788860832424339e-5,2.524525454106658e-5
17010,25762,106045,61573,2.6259366850806036e-4,0.001161913669677383,6.17080610503014e-4
