BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
maltose,10725,10842,9031,1.0932059214148541e-4,1.1879360655044732e-4,9.050809597474087e-5
malonic acid,2432,3397,3734,2.4789527280941026e-5,3.7220243631421284e-5,3.742190569922295e-5
malic acid,917637,932413,875776,0.009353531021998717,0.010216261120136712,0.00877697024253955
maleic acid,3820,3993,1834,3.893749762055704e-5,4.375049538424056e-5,1.838022899099488e-5
lyxose,2268409,2376565,2150964,0.023122034041871773,0.026039543216340513,0.021556821631072143
lysine,229577,269738,208180,0.0023400926416844567,0.0029554648444663862,0.0020863664511152204
loganin,804,884,419,8.19522201228478e-6,9.685809646799062e-6,4.199190810919768e-6
linolenic acid,2041,1541,83,2.0804039959046315e-5,1.6884426092440448e-5,8.318206140962787e-7
linoleic acid,19307,8364,16796,1.967974519790824e-4,9.164266050432959e-5,1.683284221007361e-4
lignoceric acid,1209,10073,10682,1.2323412205040174e-5,1.1036782870159158e-4,1.0705431084068011e-4
levoglucosan,3011,3038,3538,3.069131029725059e-5,3.328675306218954e-5,3.5457606417742576e-5
leucrose,4571,4921,3893,4.6592487336012105e-5,5.391840415373098e-5,3.9015393381648347e-5
leucine,200556,312781,167515,0.002044279783452471,0.0034270783112392055,0.001678824459883592
lauric acid,8854,4428,10663,9.024937275717592e-5,4.8516702619939194e-5,1.0686389407359783e-4
lactic acid,84603,70213,80176,8.623636416732951e-4,7.693096750347314e-4,8.03518669346786e-4
kojic acid,109293,128836,121166,0.001114030347498309,0.0014116300584332624,0.0012143177894890324
itaconic acid,32656,32330,22699,3.3286463934474104e-4,3.5423328719571683e-4,2.2748790505266783e-4
isothreonic acid,10726,9928,9866,1.0933078520368975e-4,1.087790929563587e-4,9.887641179125163e-5
isomaltose,3149,3586,2712,3.209795288144872e-5,3.929107849934552e-5,2.7179488017218164e-5
isoleucine,93314,126224,77117,9.511554065352513e-4,0.0013830109014225846,7.728615698465388e-4
isocitric acid,118271,82088,116739,0.0012055436599688225,8.994216541701826e-4,0.001169950682758861
indole-3-propionic acid,34762,6247,31588,3.5433122834706906e-4,6.844711862392957e-5,3.165728862418464e-4
homoserine,13258,25677,12162,1.351396187050642e-4,2.813377084851352e-4,1.218867748028788e-4
histidine,18826,22803,15389,1.918945890587976e-4,2.4984787033479526e-4,1.5422755940153773e-4
hexadecylglycerol NIST,3608,2638,2456,3.677656843323817e-5,2.890403376499539e-5,2.4613872629162173e-5
heptadecanoic acid,8617,7080,8973,8.78336170147487e-5,7.757413156033638e-5,8.992682373838443e-5
guanosine,2003,2190,1927,2.041670359528161e-5,2.3995388152137947e-5,1.9312268956187095e-5
guanine,4715,2162,5251,4.806028829343625e-5,2.3688597801334358e-5,5.262518126047662e-5
glycolic acid,29000,23607,32376,2.9559880392569484e-4,2.586571361221555e-4,3.2447017110820626e-4
glycine,23896,30709,23640,2.4357341443477252e-4,3.364723172438376e-4,2.3691854599079551e-4
glycerol-alpha-phosphate,4194,3555,4517,4.274970288497807e-5,3.8951417753812974e-5,4.5269080890034826e-005
glycerol-3-galactoside,99247,104623,88044,0.0010116308445935667,0.0011463331025758578,8.823712547890694e-4
glycerol,3414468,2126005,1393085,0.03480388471870894,0.0232942078485781,0.013961407472148366
