BinBase name,F_SAT_4_004,F_SAT_5_005,F_SAT_6_006,normF_SAT_4_004,normF_SAT_5_005,normF_SAT_6_006
362184,981,801,955,9.523319142908266e-6,7.553982399164425e-6,7.913285963823522e-6
362181,2818,3056,4956,2.735648658992405e-5,2.882018753039511e-5,4.1066225378753274e-5
362105,2012,1462,1646,1.9532026621336834e-5,1.3787668249161536e-5,1.3639024813040333e-5
362065,4112,4567,624,3.9918336713189394e-5,4.306995957176521e-5,5.170565907252228e-6
362022,2876,1750,2583,2.79195370591276e-5,1.650370686459144e-5,2.140315983723158e-5
360846,2569,2223,2369,2.4939252679032963e-5,2.0964423062849585e-5,1.9629920888270077e-5
360154,23991,35797,62593,2.3289903114934987e-4,3.3759039693244565e-4,5.186558202446134e-4
360146,450543,354195,242512,0.004373766337006441,0.0033403031159451235,0.002009494037339026
357409,3403,3561,4695,3.303553011551155e-5,3.358268579703436e-5,3.8903536754085274e-5
357337,96279,141550,149266,9.346540711111774e-4,0.0013349141181045248,0.0012368424530639602
357024,1387,1293,1727,1.3464672427333094e-5,1.2193881700523849e-5,1.4310204041385574e-5
356925,3139,2044,2118,3.0472679703964373e-5,1.9276329617842806e-5,1.7550093896731122e-5
351749,466,474,587,4.523819287049187e-6,4.470146887895053e-6,4.863977864674772e-6
350283,884,740,772,8.581665771998886e-6,6.9787103313129525e-6,6.396918077562052e-6
348913,16603,12698,13081,1.611780506928705e-4,1.1975089700947551e-4,1.083913022961e-4
347748,148,84,103,1.436749473140085e-6,7.921779295003893e-7,8.534748212291338e-7
347663,181,164,103,1.7571057745834825e-6,1.546633100453141e-6,8.534748212291338e-7
347660,477,436,385,4.630604720863653e-6,4.111780681692497e-6,3.1901728754681216e-6
346561,1778,2749,2791,1.7260409211101833e-5,2.5924965811863927e-5,2.3126681806315655e-5
346225,3403,3561,4695,3.303553011551155e-5,3.358268579703436e-5,3.8903536754085274e-5
345140,26666,17900,22803,2.588673070996859e-4,1.688093445006782e-4,1.8894938202415474e-4
342554,32084,37133,55747,3.114639871366655e-4,3.5018979828735656e-4,4.619287462044711e-4
341252,1792,1575,1792,1.7396317945047515e-5,1.4853336178132298e-5,1.4848804656724348e-5
334782,2171,1825,1922,2.1075561528291385e-5,1.7211008587359646e-5,1.5926005887401894e-5
330511,1502,3769,3776,1.4581065599029782e-5,3.554426924151151e-5,3.12885526695263e-5
330432,1767,667,768,1.7153623777287368e-5,6.290269987818567e-6,6.363773424310435e-6
330287,7919,6054,5598,7.687580457970496e-5,5.709339506184948e-5,4.638594222563778e-5
330286,14021,12055,11728,1.3611259704660226e-4,1.1368696357294276e-4,9.71801233337406e-5
329366,17598,11645,15650,1.7083727856972443e-4,1.0982038082180991e-4,1.296784558469509e-4
329362,107,97,128,1.03873103801344e-6,9.147768947802114e-7,1.0606289040517392e-6
329361,107313,88420,94659,0.001041769568993797,8.338615776955288e-4,7.843599330361998e-4
327365,513,421,485,4.980084322438268e-6,3.970320337138855e-6,4.018789206758543e-6
324872,4942,3399,3902,4.7975783082826354e-5,3.2054914075855035e-5,3.233260924695223e-5
324726,813180,740692,846559,0.007894161733567936,0.006985236368541694,0.007014726128008877
324718,4386,2690,3680,4.257826479184063e-5,2.5368555123286276e-5,3.04930809914875e-5
320865,12755,8591,9677,1.2382256439122827e-4,8.101905467068862e-5,8.018520237897406e-5
318789,4643,4857,5783,4.507316083641497e-5,4.580485956646894e-5,4.791888243852506e-5
253506,3624,11557,9825,3.518094655851127e-5,1.0899048013376189e-4,8.141155454928388e-5
250808,5068,6014,3952,4.919896168833751e-5,5.6716167476373106e-5,3.274691741259744e-5
250761,955,805,1045,9.270917208437711e-6,7.591705157712064e-6,8.6590406619849e-6
232333,2459,1597,1870,2.3871398340888306e-5,1.5060811350144305e-5,1.5495125395130877e-5
232329,2617,1634,1544,2.540522548113245e-5,1.540974686670995e-5,1.2793836155124104e-5
232320,7935,6139,6743,7.703112884707146e-5,5.789500368098678e-5,5.58735992189131e-5
230854,18969,17700,13683,1.8414662672969103e-4,1.669232065732963e-4,1.1337957261046833e-4
228439,1872,1305,1560,1.8172939281879995e-5,1.230704997616676e-5,1.292641476813057e-5
228300,10506,3796,4367,1.0198979705952524e-4,3.579889786170806e-5,3.6185675187452694e-5
228290,6589,5405,5428,6.396447485486501e-5,5.097287748749528e-5,4.4977294462444066e-5
227260,1701,1166,1477,1.6512911174400573e-5,1.0996184116636355e-5,1.2238663213159521e-5
223095,4103,4004,3627,3.983096681279574e-5,3.776048130618522e-5,3.0053914335903575e-5
217691,26235,27083,28475,2.546832596475009e-4,2.5541136743641716e-4,2.3594850033494745e-4
214730,1160,933,1270,1.1261009384070938e-5,8.798833431236466e-6,1.0523427407388348e-5
213020,9528,7880,8641,9.249560121674818e-5,7.431383433884604e-5,7.16007371868053e-5
213019,675,466,382,6.552742529524037e-6,4.394701370799778e-6,3.165314385529409e-6
210804,15500,35144,32955,1.504703840112927e-4,3.314321565995438e-4,2.730705119767583e-4
210803,8560,4891,7068,8.30984830410752e-5,4.612550301412385e-5,5.856660229560697e-5
210797,3086,2442,2917,2.9958168068312855e-5,2.3029744093332742e-5,2.4170738383741588e-5
210790,7057,7786,17652,6.8507709675335e-5,7.342734951297656e-5,1.4626735479938516e-4
210694,4622617,4557003,5184621,0.04487528742755676,0.04297568096746503,0.04296061632151275
210345,6802,4802,5060,6.603222916418148e-5,4.5286171636438914e-5,4.1927986363295315e-5
210305,13195,2891,4643,1.280939817438069e-4,2.7264123740305063e-5,3.847265626181425e-5
210297,29973,24922,27622,2.9097089161099845e-4,2.3503164713105596e-4,2.2888040302904014e-4
210289,8589,7319,8099,8.338000827567697e-5,6.902321745253987e-5,6.710963667121122e-5
210283,17617,13620,17431,1.7102172613722214e-4,1.2844599285470596e-4,1.4443611270723331e-4
210272,21732,14304,17028,2.1096918615054277e-4,1.34896584566352e-4,1.410967888921329e-4
210267,626,204,303,6.0770619607141435e-6,1.9238606859295165e-6,2.510707483809976e-6
210261,1458,1283,1119,1.4153923863771919e-5,1.2099574804154754e-5,9.272216747139814e-6
209679,27731,25448,22707,2.6920607864626823e-4,2.399921898800703e-4,1.8815391034611594e-4
208616,25447,33752,30076,2.47033539479701e-4,3.183046366249659e-4,2.4921464779890706e-4
208244,2999,3099,3475,2.9113592364507534e-5,2.9225707184782216e-5,2.8794417512342135e-5
205795,4459,2632,3884,4.3286931761700265e-5,2.482157512434553e-5,3.218345830731996e-5
204855,2411,9311,1860,2.3405425538788818e-5,8.780915120926338e-5,1.5412263762001834e-5
204582,8010,6390,6970,7.77592113503519e-5,6.026210677985104e-5,5.7754558290942356e-5
203815,7178,4441,2279,6.968234944729413e-5,4.1881692677514625e-5,1.88841661901087e-5
196521,1914,1354,1642,1.8580665483717047e-5,1.276915376837532e-5,1.3605880159788717e-5
196436,604,535,513,5.863491093085212e-6,5.045418955746527e-6,4.25080177951986e-6
196278,850,776,866,8.251601703845084e-6,7.318215158241691e-6,7.175817428975048e-6
190001,167,145,165,1.6211970406377988e-6,1.3674499973518624e-6,1.367216946629195e-6
189936,21314,14817,15873,2.0691133966559307e-4,1.397345283500865e-4,1.3152627026572855e-4
189286,1784,1227,1779,1.731865581136427e-5,1.1571456184487829e-5,1.4741084533656593e-5
188945,4678,3652,3658,4.5412932671279175e-5,3.4440878553993114e-5,3.031078539860361e-5
187301,19438,11728,14100,1.8869956931687144e-4,1.1060312806167339e-4,1.168349027119494e-4
187055,1836,2192,2136,1.782345968030538e-5,2.0672071684105396e-5,1.7699244836363397e-5
171968,17158,15737,22448,1.665658612171458e-4,1.4841076281604316e-4,1.8600779404807376e-4
171596,168,279,358,1.6309048073482048e-6,2.6311624086977213e-6,2.966446466019708e-6
171564,1456986,1147264,1283986,0.014144080188327567,0.010819490715599222,0.010639317687482627
171297,103472,114433,161427,0.0010044820370591276,0.001079182107220453,0.0013376104851121882
170725,22560,18278,17665,2.1900721698675892e-4,1.7237414518342993e-4,1.463750749224529e-4
168874,39141,28742,32690,3.7997169681200046e-4,2.710568815440498e-4,2.708746786988387e-4
168871,17109,1312,4400,1.6609018064833592e-4,1.2373064803625128e-5,3.6459118576778534e-5
168860,4364,2299,2869,4.23646939242117e-5,2.16811554752547e-5,2.3773002544722185e-5
168835,3189,1664,1899,3.0958068039484675e-5,1.5692667555817232e-5,1.57354241312051e-5
168800,29277,22196,23617,2.842142859805559e-4,2.0932358718084095e-4,1.9569431896085878e-4
168759,14021,12055,9918,1.3611259704660226e-4,1.1368696357294276e-4,8.218216773738398e-5
167348,358220,414960,170354,0.0034775161910016303,0.003913358971731923,0.0014115810650064842
163872,15731,14065,15649,1.5271287812139648e-4,1.3264264974313064e-4,1.2967016968363801e-4
161846,120714,97761,44149,0.0011718633506799475,9.219536495938994e-4,3.6582582410140806e-4
160822,32504,25805,29182,3.15541249155036e-4,2.4335894608044695e-4,2.418068177971707e-4
160463,565549,632208,853083,0.005490217755303391,0.005962157433971215,0.007068785057462264
146868,239,221,306,2.320156243787029e-6,2.0841824097569763e-6,2.535565973748689e-6
146430,61900,55688,59621,6.009107593741302e-4,5.251762445002105e-4,4.94029342878662e-4
146262,1207,1009,1137,1.1717274419460019e-5,9.51556584364158e-6,9.421367686772088e-6
138111,2880,1799,2047,2.7958368125969224e-5,1.6965810656800003e-5,1.6961776301514922e-5
136141,8085,7710,7519,7.848729385363235e-5,7.271061710057144e-5,6.230366194972677e-5
135888,19485,11386,13966,1.8915583435226053e-4,1.0737783220585037e-4,1.1572455682802022e-4
135773,2984,2364,2626,2.8967975863851447e-5,2.229415030165381e-5,2.175946485968646e-5
135765,3664,2170,2448,3.5569257226927514e-5,2.046459651209339e-5,2.0284527789989513e-5
135618,7710,8481,5756,7.48468813372301e-5,7.998167881062859e-5,4.7695156029076645e-5
135617,632,7803,6802,6.13530856097658e-6,7.358767123680401e-5,5.636248285437445e-5
135613,5644,6440,3759,5.479063531353135e-5,6.073364126169651e-5,3.1147687893206934e-5
135609,1338413,1293169,834697,0.012993001166174599,0.012195475487072486,0.006916435658791207
135193,942,917,1003,9.144716241202433e-6,8.647942397045915e-6,8.311021802842925e-6
135163,274,425,338,2.6599280786512385e-6,4.008043095686493e-6,2.8007231997616238e-6
135128,2787,1745,2537,2.7055545821901468e-5,1.6456553416406895e-5,2.1021996324837984e-5
134941,7023,3013,6813,6.81776456071812e-5,2.841466787600801e-5,5.6453630650816396e-5
134750,1202,1282,1751,1.1668735585907988e-5,1.2090144114517845e-5,1.4509071960895275e-5
134464,5400,3820,4164,5.2421940236192294e-5,3.602523441299389e-5,3.450358403493314e-5
134365,2124,2177,2173,2.0619296492902302e-5,2.0530611339551754e-5,1.800583287894085e-5
134132,2880,1799,2047,2.7958368125969224e-5,1.6965810656800003e-5,1.6961776301514922e-5
133780,653,1345,617,6.339171661895105e-6,1.2684277561643138e-5,5.112562764061899e-6
133675,3602,2928,6900,3.496737569088234e-5,2.761305925687071e-5,5.717452685903906e-5
133610,2051,1799,1511,1.9910629523042667e-5,1.6965810656800003e-5,1.2520392765798264e-5
133584,16347,20522,15846,1.5869286241500656e-4,1.935366127286546e-4,1.3130254385628013e-4
133018,14236,12478,12280,1.3819976688933953e-4,1.1767614528935543e-4,1.0175408548246372e-4
133012,1372,1157,1045,1.3319055926677005e-5,1.091130790990417e-5,8.6590406619849e-6
133010,36675,26754,21665,3.5603234410413933e-4,2.5230867054587395e-4,1.7951972817406976e-4
132978,8378,8549,10208,8.133166949978131e-5,8.062296570593842e-5,8.45851550981262e-5
131663,6421,5414,5796,6.23335700475168e-5,5.105775369422747e-5,4.8026602561592816e-5
131662,7415,6210,7947,7.198309015766034e-5,5.8564582645207346e-5,6.585013984764978e-5
131597,949,782,342,9.212670608175276e-6,7.374799296063147e-6,2.8338678530132407e-6
131464,33600,22661,26805,3.2618096146964096e-4,2.137088578620038e-4,2.221106076023974e-4
131450,31441,27688,38526,3.052218931418744e-4,2.6111693466674736e-4,3.192327277929477e-4
131202,1699,1430,1784,1.6493495640979762e-5,1.3485886180780435e-5,1.4782515350221114e-5
131168,8877,10328,9097,8.617584508827389e-5,9.740016257000024e-5,7.537922765748962e-5
131166,13705,8905,10797,1.3304494276611395e-4,8.398029121667816e-5,8.946570528942678e-5
130638,2742,1542,2047,2.66186963199332e-5,1.4542123420114288e-5,1.6961776301514922e-5
130597,14110,9217,13980,1.369765882838284e-4,8.692266638339389e-5,1.1584056311440088e-4
130558,8438,6047,6813,8.191413550240566e-5,5.7027380234391114e-5,5.6453630650816396e-5
128297,3620,2539,2608,3.514211549166965e-5,2.3944520988112955e-5,2.1610313920054185e-5
128051,11992,8338,8278,1.1641553839118851e-4,7.863309019255054e-5,6.859285990422107e-5
128047,10957,7907,9582,1.0636799984591833e-4,7.456846295904258e-5,7.939801686424816e-5
127640,58880,46305,53250,5.715933039087041e-4,4.3668808363708957e-4,4.412381964121493e-4
127380,4622617,4552074,5184621,0.04487528742755676,0.0429291970982447,0.04296061632151275
127358,4801,3880,3789,4.660698797665911e-5,3.6591075791208456e-5,3.139627279259406e-5
127344,717,1699,2239,6.960468731361088e-6,1.6022741693109063e-5,1.855271965759253e-5
127277,149875,140921,106960,0.0014549515357220964,0.0013289822143229088,8.862880279482345e-4
126690,1004,706,828,9.746597777247605e-6,6.658066883658033e-6,6.860943223084688e-6
126585,9024,7169,6153,8.760288679470357e-5,6.760861400700345e-5,5.0984762864299615e-5
126582,5276,5248,8064,5.1218177164101955e-5,4.949225921450051e-5,6.681962095525957e-5
125960,9142,7606,7738,8.874840326653147e-5,7.172982537833286e-5,6.41183317152528e-5
125884,2808,2662,4195,2.7259408922819994e-5,2.510449581345281e-5,3.476045509763317e-5
125816,4154,3673,3817,4.032606291502644e-5,3.463892303636821e-5,3.162828536535538e-5
125811,42588,37496,41678,4.1343436866276987e-4,3.536131386255547e-4,3.4535071455522176e-4
125810,148,180,286,1.436749473140085e-6,1.6975241346436912e-6,2.3698427074906046e-6
125802,4844,4173,4106,4.702442194520657e-5,3.9354267854822906e-5,3.402298656278469e-5
125785,871,941,2239,8.455464804763608e-6,8.87427894833174e-6,1.855271965759253e-5
125241,566,482,548,5.4945959580897845e-6,4.545592404990329e-6,4.540817495471508e-6
125070,10077,8474,9069,9.782516514076106e-5,7.991566398317021e-5,7.51472150847283e-5
124960,35016,19931,22159,3.399271591315758e-4,1.8796307515324116e-4,1.8361309285064444e-4
124615,76868,33705,34629,7.462166114954869e-4,3.178613942120312e-4,2.8694154936256e-4
124607,483,553,563,4.6888513211260885e-6,5.215171369210895e-6,4.665109945165071e-6
124605,4909,1167,1481,4.7655426781382956e-5,1.1005614806273265e-5,1.2271807866411137e-5
124602,199,227,307,1.93184557537079e-6,2.1407665475784327e-6,2.543852137061593e-6
124356,567,1117,1302,5.504303724800191e-6,1.0534080324427795e-5,1.0788584633401284e-5
123962,4588,5951,6017,4.453923366734264e-5,5.612203402924781e-5,4.9857844653744646e-5
121482,209,157,117,2.02892324247485e-6,1.480618272994775e-6,9.694811076097927e-7
120954,11039,8888,9819,1.0716403671617161e-4,8.381996949285071e-5,8.136183756940646e-5
120744,3710,13918,19329,3.601581449560619e-5,1.3125633836650496e-4,1.6016325067512552e-4
120466,613952,632208,853083,0.005960102787387172,0.005962157433971215,0.007068785057462264
119025,2471,1349,1722,2.3987891541413177e-5,1.2722000320190774e-5,1.4268773224821053e-5
118964,1227,813,703,1.1911429753668138e-5,7.667150674807339e-6,5.825172808971661e-6
117982,218763,216271,276820,0.0021237001688685433,0.002039584678464032,0.002293775728278144
113563,921,654,806,8.940853140283909e-6,6.167671022538745e-6,6.678647630200795e-6
111826,2082,1771,2753,2.021157029106525e-5,1.670175134696654e-5,2.2811807600425295e-5
111821,91504,9836,56111,8.882994850689888e-4,9.276026326864081e-5,4.649449096503682e-4
111776,2783,1924,2490,2.7016714755059843e-5,1.8144646861413678e-5,2.0632546649131487e-5
111399,81483,73001,73625,7.910179548640105e-4,6.884497741840228e-4,6.100687739125727e-4
110889,33728,14941,23721,3.274235556085729e-4,1.4090393386506327e-4,1.9655607994540082e-4
110873,21230,25671,23498,2.0609588726191896e-4,2.4209523366910108e-4,1.9470826552662318e-4
110842,25799,22010,18803,2.504506733617639e-4,2.075694789083758e-4,1.558047287725379e-4
110801,15149,18404,17255,1.470629578959402e-4,1.735624120776805e-4,1.4297774796416217e-4
110604,12240,5233,6666,1.188230645353692e-4,4.9350798869946865e-5,5.5235564643819476e-005
110368,3602,4053,4782,3.496737569088234e-5,3.822258509839378e-5,3.962443296230794e-5
110134,10572,6919,7584,1.0263050966241203e-4,6.525094159777611e-5,6.284226256506555e-5
110022,1487,1178,1312,1.4435449098373693e-5,1.1109352392279268e-5,1.0871446266530326e-5
109990,18227,17673,21994,1.769434638305698e-4,1.6666857795309974e-4,1.8224587590401524e-4
109714,16712,18572,16949,1.6223619726430475e-4,1.751467679366813e-4,1.404421819904135e-4
109532,463,690,468,4.4946959869179685e-6,6.507175849467483e-6,3.877924430439171e-6
109395,16712,18572,17255,1.6223619726430475e-4,1.751467679366813e-4,1.4297774796416217e-4
108950,3478,2674,3167,3.3763612618792e-5,2.5217664089095722e-5,2.624227921196764e-5
108834,4761,4760,3617,4.6218677308242874e-5,4.489008267168872e-5,2.9971052702774536e-5
108829,19135,9283,926,1.8575811600361845e-4,8.754509189942992e-5,7.672987227749301e-6
108825,35964,75560,51540,3.491301219730407e-4,7.12582908964874e-4,4.270688571470831e-4
108314,3550971,4120610,5601624,0.03447199806341703,0.03886019402474523,0.046415971281483746
107237,19932,18426,20539,1.93495206071812e-4,1.7376988724969252e-4,1.7018950828373962e-4
106482,2663,1696,1852,2.5851782749811125e-5,1.5994449624198336e-5,1.5345974455498602e-5
106387,5348,1290,13478,5.191713636725118e-5,1.216558963161312e-5,1.1168090913132297e-4
106385,4613,3760,4378,4.4781927835102786e-5,3.5459393034779324e-5,3.627682298389464e-5
106384,19377,17793,18337,1.881073955475367e-4,1.6780026070952888e-4,1.5194337666872454e-4
105630,279404,223351,232662,0.0027123888499542724,0.0021063539610933503,0.0019278753287069199
105516,158,257,290,1.533827140244145e-6,2.4236872366857147e-6,2.4029873607422215e-6
105081,767,953,2713,7.445857066881387e-6,8.987447223974654e-6,2.2480361067909128e-5
104922,13439,10514,11266,1.3046267682114598e-4,9.915427084246538e-5,9.335191588317885e-5
104366,4126,3553,4144,4.0054245447135076e-5,3.350724027993908e-5,3.4337860768675053e-5
104365,17023,12890,14779,1.65255312711241e-4,1.2156158941976211e-4,1.2246120760141135e-4
104288,563,442,779,5.465472657958567e-6,4.168364819513953e-6,6.454921220752381e-6
103129,62851,44521,48646,6.101428455157263e-4,4.198637333248432e-4,4.030887005195383e-4
102809,1031,818,855,1.0008707478428566e-5,7.714304122991885e-6,7.0846696325331014e-6
102715,2900,2340,2502,2.8152523460177342e-5,2.2067813750367987e-5,2.0731980608886337e-5
102679,556,543,1792,5.397518290985725e-6,5.120864472841802e-6,1.4848804656724348e-5
102223,42437,34541,39894,4.119684958894986e-4,3.257454507484874e-4,3.3056819920500064e-4
100947,1721,2001,2753,1.6707066508608694e-5,1.88708099634557e-5,2.2811807600425295e-5
100916,2651,2268,2501,2.5735289549286254e-5,2.138880409651051e-5,2.0723694445573435e-5
100897,27798,37951,42269,2.698564990158654e-4,3.5790410241034847e-4,3.5024783707314814e-4
100896,3085,2872,3682,2.994846030160245e-5,2.7084940637203786e-5,3.0509653318113308e-5
100879,15150,7316,5984,1.4707266566265062e-4,6.899492538362914e-5,4.9584401264418806e-5
100877,444,977,715,4.310248419420256e-6,9.21378377526048e-6,5.924606768726512e-6
100876,61114,53289,61176,5.932804547397511e-4,5.025520200612648e-4,5.06914326830228e-4
100865,3676064,2723679,2910798,0.03568637172452185,0.025686171319567744,0.024119347598874956
100343,532,413,460,5.164531889935982e-6,3.89487482004358e-6,3.8116351239359376e-6
100017,6732,6146,7272,6.535268549445306e-5,5.7961018508445146e-5,6.025697961143943e-5
97828,197871,119641,857511,0.0019208855067547417,0.001128297138849477,0.007105476188611804
89252,235,203,411,2.2813251769454056e-6,1.9144299962926073e-6,3.405613121603631e-6
89241,12203,11797,15937,1.1846387716708417e-4,1.1125384564662014e-4,1.3205658471775444e-4
89209,453,558,407,4.397618319813909e-6,5.2623248173954425e-6,3.3724684683520145e-6
88847,12564,6914,15241,1.2196838094954073e-4,6.520378814959156e-5,1.262894150519731e-4
87951,2212,1702,1210,2.147357996341803e-5,1.605103376201979e-5,1.0026257608614096e-5
87822,13166,9260,1628,1.2781245650920513e-4,8.732818603778101e-5,1.3489873873408058e-5
85117,3463,876,3580,3.361799611813591e-5,8.26128412193263e-6,2.9664464660197078e-5
85067,5336,4597,4682,5.180064316672631e-5,4.335288026087249e-5,3.879581663101752e-5
84910,3502368,2675774,2868300,0.03400017147799117,0.0252343941325116,0.023767202230403153
84326,7663,6471,10658,7.439061630184103e-5,6.1025992640440696e-5,8.831392858893309e-5
84216,810,2274,2199,7.863291035428844e-6,2.1445388234331967e-5,1.8221273125076362e-5
84181,22767,17398,24199,2.2101672469581295e-4,1.6407513830294968e-4,2.0051686600896902e-4
84151,3731,2804,2766,3.6219677596524714e-005,2.6443653741893946e-5,2.291952772349305e-5
84116,21988,38638,38514,2.134543744284067e-4,3.643829861909052e-4,3.1913329383319284e-4
84105,2785,13423,5709,2.7036130288480654e-5,1.265881469962348e-4,4.7305706353370145e-5
84063,1755,609,1185,1.7037130576762496e-5,5.743289988877822e-6,9.819103525791491e-6
66305,8042,5045,5250,7.806985988508489e-5,4.75778292182079e-5,4.3502357392747115e-5
62639,2212,1702,1218,2.147357996341803e-5,1.605103376201979e-5,1.009254691511733e-5
62566,2737,2347,2904,2.657015748638117e-5,2.2133828577826352e-5,2.4063018260673833e-5
46351,1301396,1234911,1562085,0.012633648765855501,0.011646062370205419,0.012943691418637975
43762,1032,2023,273,1.0018415245138972e-5,1.9078285135467706e-5,2.26212258442285e-6
42357,8351,2139,3163,8.106955979860034e-5,2.0172245133349196e-5,2.6209134558716023e-5
42187,1714,2501,3838,1.663911214163585e-5,2.3586154781910397e-5,3.180229479492636e-5
42007,3956,3610,3434,3.8403925106366056e-5,3.4044789589242915e-5,2.8454684816513063e-5
41805,310,373,534,3.009407680225854e-6,3.5176472345672046e-6,4.424811209090849e-6
41682,5645,4395,4432,5.480034308024176e-5,4.144788095421679e-5,3.672427580279147e-5
37755,563528,390102,423553,0.005470598358781662,0.003678930888737629,0.0035096293296705177
34444,108674,89149,97307,0.0010549818394866594,8.407365504408357e-4,8.063016934887701e-4
34183,1856,1207,1655,1.80176150145135e-5,1.138284239174964e-5,1.3713600282856472e-5
34113,5589,4231,4510,5.425670814445902e-5,3.990124785376365e-5,3.737059654119799e-5
34078,582,522,678,5.6499202254562804e-6,4.9228199904667046e-6,5.6180187261490556e-6
34033,563,300,298,5.465472657958567e-6,2.8292068910728186e-6,2.4692766672454553e-6
34029,2928,1478,2476,2.842434092806871e-5,1.3938559283352086e-5,2.051654036275083e-5
34012,14597,11953,12977,1.417042706717961e-4,1.12725033229978e-4,1.0752954131155796e-4
33993,29831,20148,25023,2.895923887381208e-4,1.900095348044505e-4,2.073446645788021e-4
31601,766,240,303,7.436149300170981e-6,2.263365512858255e-6,2.510707483809976e-6
31362,3626,3144,3921,3.520036209193208e-5,2.965008821844314e-5,3.249004634989741e-5
26868,72950,31019,39992,7.081815815241163e-4,2.9253056184729253e-4,3.3138024320966523e-4
26755,8009,8500,9860,7.774950358364149e-5,8.016086191372986e-5,8.170157026523553e-5
26641,49991,47217,37170,4.8530096561990536e-4,4.4528887258595093e-4,3.0799669034064955e-4
25326,26031,10457,14898,2.5270287523857806e-4,9.861672153316155e-5,1.2344726103564695e-4
22885,14459,6631,9013,1.4036459886576007e-4,6.25349029823462e-5,7.468318993920566e-5
22803,1119,1131,1896,1.0862990948944292e-5,1.0666109979344526e-5,1.5710565641266387e-5
22735,1603,3590,2779,1.5561550036780786e-5,3.385617579650473e-5,2.3027247846560805e-5
21709,43007,37496,8103,4.1750192291443e-4,3.536131386255547e-4,6.714278132446283e-5
21704,18815,16528,17774,1.8265163065628851e-4,1.5587043831883848e-4,1.4727826672355945e-4
20330,1502,1418,1732,1.4581065599029782e-5,1.3372717905137523e-5,1.4351634857950095e-5
20281,1112,999,1502,1.079503658197145e-5,9.421258947272486e-6,1.2445817295982126e-5
18488,1637,195,1013,1.589161410493459e-5,1.8389844791973322e-6,8.393883435971967e-6
18388,2264,1651,1566,2.1978383832359138e-5,1.5570068590537413e-5,1.2976131748007997e-5
18382,1217,901,1102,1.1814352086564077e-5,8.497051362855365e-6,9.131351970820442e-6
18361,11341,8961,9034,1.1009578226271422e-4,8.450840983634509e-5,7.485719936877665e-5
18321,3097,2538,1992,3.006495350212732e-5,2.3935090298476047e-5,1.650603731930519e-5
18318,19326,16117,16182,1.8761229944530599e-4,1.5199442487806873e-4,1.3408669472941595e-4
18305,6607,2270,2716,6.41392146556523e-5,2.1407665475784328e-5,2.250521955784784e-5
18226,10117,6148,10298,9.82134758091773e-5,5.797987988771896e-5,8.533090979628758e-5
18176,5007,3886,3763,4.860678791900274e-5,3.664765992902991e-5,3.118083254645855e-5
18173,109135,92905,46732,0.0010594571199401567,8.761582207170674e-4,3.8722898393863964e-4
18164,1568,1205,1343,1.5221778201916577e-5,1.1363981012475821e-5,1.1128317329230356e-5
18157,2935,1606,2055,2.8492295295041553e-5,1.514568755687649e-5,1.7028065608018157e-5
18023,1034,650,817,1.0037830778559784e-5,6.129948263991107e-6,6.769795426642741e-6
17962,2082,1771,2753,2.021157029106525e-5,1.670175134696654e-5,2.2811807600425295e-5
17948,6477,8495,12691,6.287720498329954e-5,8.011370846554531e-5,1.0515969860406735e-4
17872,3309,2082,3167,3.2123000044733386e-5,1.963469582404536e-5,2.624227921196764e-5
17775,17419,10074,11971,1.6909958832856176e-4,9.500476740222525e-5,9.919366101877632e-5
17710,2735,1787,2729,2.6550741952960355e-5,1.685264238115709e-5,2.2612939680915595e-5
17702,339,324,445,3.2909329148276273e-6,3.055543442358644e-6,3.6873426742423745e-6
17663,2712,1242,2171,2.632746331862102e-5,1.171291652904147e-5,1.7989260552315045e-5
17504,647,609,834,6.28092506163267e-6,5.743289988877822e-6,6.9106602029621126e-6
17480,2253,2087,2230,2.1871598398544672e-5,1.9681849272229907e-5,1.8478144187776392e-5
17471,7327,5012,6213,7.112880668714461e-5,4.726661646018989e-5,5.148193266307387e-5
17425,44415,11242,39163,4.3117045844268164e-4,1.0601981289813542e-4,3.2451101382326766e-4
17350,248,354,278,2.407526144180683e-6,3.338464131465926e-6,2.303553400987371e-6
17349,2256,1386,1655,2.190072169867589e-5,1.3070935836756423e-5,1.3713600282856472e-5
17334,5895,3994,5098,5.7227284757843254e-5,3.7666174409816127e-5,4.2242860569185675e-5
17297,4578,3144,3911,4.444215600023858e-5,2.965008821844314e-5,3.2407184716768374e-5
17289,1167,2184,2351,1.1328963751043779e-5,2.059662616701012e-5,1.9480769948637802e-5
17225,558,448,641,5.416933824406537e-6,4.224948957335409e-6,5.3114306835716e-6
17191,8212,6709,7767,7.972018022585391e-5,6.327049677402514e-5,6.435863045132702e-5
17188,1347,1188,1170,1.3076361758916856e-5,1.1203659288648361e-5,9.694811076097929e-6
17186,5244,5268,5325,5.090752862936896e-5,4.9680873007238696e-5,4.412381964121493e-5
17069,711,565,891,6.902222131098652e-6,5.328339644853808e-6,7.382971511797653e-6
17045,39010,31165,35356,3.7869997937293727e-4,2.939074425342813e-4,2.929655900910413e-4
17011,4940,3828,3818,4.795636754940554e-5,3.6100679930089163e-5,3.1636571528668284e-5
17010,35903,23868,26836,3.4853794820370593e-4,2.2509170025375346e-4,2.2236747866509742e-4
