BinBase name,F_SAT_4_004,F_SAT_5_005,F_SAT_6_006,normF_SAT_4_004,normF_SAT_5_005,normF_SAT_6_006
mannitol,1534858,1194295,1350922,0.014900043397600302,0.011263025479912706,0.011193960314995184
maltose,13713,10156,11732,1.3312260489979722e-4,9.577808395245182e-5,9.721326798699221e-5
malonic acid,889,334,1078,8.630204605550917e-6,3.1498503387277383e-6,8.932484051310741e-6
malic acid,1149629,905541,984207,0.011160330135517317,0.008539876124496571,0.008155299935703516
maleic acid,7996,4480,4213,7.762330261640622e-5,4.2249489573354094e-5,3.490960603726544e-5
lyxose,499002,2436741,416750,0.004844195004026005,0.022980148096532236,0.0034532585606528304
lysine,408364,275959,327012,0.003964302444928227,0.00260248368151188,0.002709674837279432
loganin,727,582,749,7.057546398465148e-6,5.488661368681268e-6,6.206336321365255e-6
linolenic acid,4057,2059,2793,3.9384409544117065e-5,1.9417789962396445e-5,2.3143254132941465e-5
linoleic acid,21992,12681,16028,2.1349320549524832e-4,1.1959057528564804e-4,1.3281062557922872e-4
lignoceric acid,7861,795,23142,7.631275411050142e-5,7.4973982613429695e-6,1.9175839138722928e-4
levoglucosan,1588,1501,2042,1.5415933536124696e-5,1.4155465145001003e-5,1.6920345484950402e-5
leucrose,4844,4173,4106,4.702442194520657e-5,3.9354267854822906e-5,3.402298656278469e-5
leucine,459449,204833,204579,0.004460223707329318,0.0019317164503970623,0.0016951750043906308
lauric acid,7256,4806,6585,7.04395552507058e-5,4.532389439498655e-5,5.4564385415474236e-5
lactic acid,107709,84863,83669,0.0010456138446111177,8.00316614657042e-4,6.932949982273825e-4
kojic acid,831,467,557,8.06715413634737e-6,4.4041320604366876e-6,4.615392965287646e-6
itaconic acid,7655,17032,23102,7.431295416815778e-5,1.6062350589584083e-4,1.914269448547131e-4
isothreonic acid,9354,7021,7627,9.080644980913754e-5,6.621287194074086e-5,6.319856758752043e-5
isomaltose,4256,3778,2449,4.1316255119487854e-5,3.5629145448243694e-5,2.0292813953302415e-5
isoleucine,175448,84966,105707,0.0017032082538073084,8.012879756896437e-4,8.759054653171655e-4
isocitric acid,162452,132033,163558,0.0015770461176388723,0.0012451622448300583,0.0013552682991319872
indole-3-propionic acid,63517,37014,3921,6.166082181448566e-4,3.490675462205644e-4,3.249004634989741e-5
homoserine,2926,1916,3656,2.8404925394647898e-5,1.80692013443184e-5,3.0294213071977798e-5
histidine,10319,19695,6337,1.0017444468467932e-4,1.8573743239893055e-4,5.250941691387399e-5
hexadecylglycerol NIST,4056,3407,3799,3.937470177740665e-5,3.213035959295031e-5,3.1479134425723104e-5
heptadecanoic acid,9777,7059,7928,9.491283512763927e-5,6.657123814694342e-5,6.56927027447046e-5
guanosine,153,173,280,1.485288306692115e-6,1.6315093071853255e-6,2.3201257276131793e-6
guanine,3790,2887,4251,3.6792435832438664e-5,2.7226400981757424e-5,3.52244802431558e-5
glycolic acid,7247,9466,9498,7.035218535031215e-5,8.927090810298433e-5,7.870197914596421e-5
glycine,37648,22336,29486,3.6547800111336436e-4,2.1064388373000825e-4,2.443258114442936e-4
glycerol-alpha-phosphate,6369,4234,5975,6.18287661785757e-5,3.992953992267438e-5,4.9509825794602665e-5
glycerol-3-galactoside,149910,110949,117850,0.0014552913075569604,0.0010463255845254604,9.765243464257613e-4
glycerol,1888300,2821058,4021005,0.01833117587925961,0.026604522445720345,0.0333187041120044
