BinBase name,F_SAC_7_007,F_SAC_8_008,F_SAC_9_009,normF_SAC_7_007,normF_SAC_8_008,normF_SAC_9_009
513551,369,164,312,3.6436953006906226e-6,1.58064507050583e-6,3.0063583901806477e-6
511927,166,207,343,1.63916915966028e-6,1.9950824975287e-6,3.305067076384494e-6
509528,65912,61530,85270,6.508489015152312e-4,5.930310438306324e-4,8.216416023419994e-4
486482,1199,1311,1458,1.1839541098992022e-5,1.2635522484348433e-5,1.4048944015651872e-5
486432,2154,2753,3439,2.1269701023543633e-5,2.653363340916189e-5,3.3137392640484766e-5
480022,1414,4642,1856,1.3962561396142385e-5,4.473996595907355e-5,1.7883978115946417e-5
475884,1065,555,989,1.0516356355651797e-5,5.349134232504486e-6,9.529770666309809e-6
475793,13729,10283,13705,1.3556718911431317e-4,9.910837353665518e-5,1.3205814659431338e-4
474908,3116,3581,2529,3.076898253916526e-5,3.451396339927669e-5,2.436884733579121e-5
474901,17011,18741,22059,1.679753408131387e-4,1.806272516240839e-4,2.1255531964421443e-4
472871,258141,232205,264686,0.0025490166629148453,0.0022380102963219894,0.0025504518489210095
425117,4025,4364,4637,3.974491486525679e-5,4.206057980297221e-5,4.468103799765277e-5
418204,29201,42241,48713,2.8834565440505924e-4,4.071221245319315e-4,4.693869751950958e-4
417918,3091,753,709,3.052211971391522e-5,7.257474012749329e-6,6.8317567264041e-6
414322,503,360,456,4.966880044030849e-6,3.469708691354261e-6,4.39390841641787e-6
408463,286254,263784,127480,0.002826618847165023,0.0025423712151116454,0.001228367203782785
408457,2220,1339,1810,2.1921418882203743e-5,1.2905388715898209e-5,1.7440732968676194e-5
406896,5679,8724,11727,5.607735938379958e-5,8.408260728715158e-5,1.1299860526169377e-4
404202,5895,4082,2640,5.821025419395994e-5,3.9342641328078036e-5,2.5438417147682404e-5
403831,3220,3995,3981,3.1795931892205434e-5,3.850412839433409e-5,3.8359976767016536e-5
403585,4615,4039,4095,4.557087754115779e-5,3.892820390105516e-5,3.9458453871121e-5
403523,6016,5029,5618,5.9405070268170146e-5,4.8469902802279386e-5,5.4133722551393844e-5
402069,5490,3854,1808,5.421107642490926e-5,3.7145159156887e-5,1.742146144053401e-5
401267,48592,65304,31937,4.7982233618200197e-4,6.29405156611663e-4,3.077373971384594e-4
401125,882,1027,827,8.709320474821487e-6,9.89830785005785e-6,7.968776886792935e-6
401121,1421,1438,1708,1.4031682987212398e-5,1.385955860602063e-5,1.6457885033424828e-005
399830,3209,2559,3583,3.168731224909541e-5,2.466384594770987e-5,3.452494266672199e-5
395982,9582,10105,8938,9.461758366183617e-5,9.739279535037446e-5,8.612445926741868e-5
395904,7291,3204,3193,7.19950743559223e-5,3.088040735305292e-5,3.076699467899618e-5
393358,10739,6880,8993,1.0604239521440811e-4,6.63099883236592e-5,8.665442629132873e-5
391872,3400,3358,2998,3.357334423400573e-5,3.236467162657669e-5,2.8888020685133275e-5
391843,952,871,995,9.400536385521606e-6,8.39476741713767e-6,9.58758525073636e-6
391842,6600,5350,5248,6.517178586601113e-5,5.1563726385403596e-5,5.0568489845089866e-5
390218,37201,36671,43792,3.6734175848507274e-4,3.534380206129225e-4,4.21969380201253e-4
390208,41493,10872,8491,4.09723168324e-4,1.0478520247889867e-4,8.181727272764063e-5
390198,790,583,559,7.800865277901333e-6,5.619000464054262e-6,5.386392115740327e-6
390194,3243,1543,1753,3.202304569143547e-5,1.487155697433229e-5,1.689149441662396e-5
390185,2955,597,503,2.9179185944554984e-5,5.7539335798291496e-6,4.846789327759185e-6
390140,253850,224811,264571,0.002506645127588928,0.002166746335033452,0.0025493437360528336
390135,2236,3562,4132,2.2079411090363773e-5,3.433083988501077e-5,3.98149771417514e-5
390126,24122,23756,22186,2.3819300282726068e-4,2.2896222131058838e-4,2.137790616812431e-4
390122,201224,15164,129476,0.0019869890059245796,1.4615184054360004e-4,0.0012476001888686843
390121,14661116,26297938,25427388,0.14477138068314388,0.2534616223424875,0.24501231171211127
389994,160364,0,0,0.0015835164043359105,0,0
389988,12750,12514,13321,1.259000408775215e-4,1.2061092934335338e-4,1.2835801319101414e-4
387768,251,571,595,2.4785027655104236e-6,5.503343507675786e-6,5.733279622299633e-6
386842,132,147,120,1.3034357173202227e-6,1.4167977156363231e-6,1.1562916885310183e-6
386187,471,401,330,4.650895627710795e-6,3.864869958980718e-6,3.1798021434603004e-6
385941,38981,30830,33063,3.849183916428758e-4,2.9714199709569963e-4,3.185872674825088e-4
384976,7198,6265,6643,7.107674464599215e-5,6.038256930926234e-5,6.401038072426295e-5
384941,7936,6412,8452,7.836413524737338e-5,6.179936702489867e-5,8.144147792886805e-5
384919,397,435,416,3.92018166497067e-6,4.192564668719732e-6,4.008477853574197e-6
384908,389,3101,3444,3.841185560890656e-6,2.9887685144137673e-5,3.3185571460840225e-5
384907,438,454,429,4.325036698380739e-6,4.375688182985652e-6,4.133742786498391e-6
384906,39452,26770,36814,3.8956928727058653e-4,2.580113935209821e-4,3.5473101851317423e-4
384897,765,571,637,7.55400245265129e-6,5.503343507675786e-6,6.137981713285489e-6
384838,1753,1031,1655,1.7310021306532956e-5,9.936860168850675e-6,1.594718953765696e-5
382960,50443,44374,53927,4.981000597635151e-4,4.2768014852820547e-4,5.196278490617685e-4
382944,789,264,431,7.79099076489133e-6,2.5444530403264578e-6,4.1530143146405745e-6
382905,4249,3054,4077,4.1956805779497165e-5,2.943469539832198e-5,3.9285010117841346e-5
382601,5706,5326,5979,5.634397123506962e-5,5.133241247264665e-5,5.7612233381057986e-5
381214,5621,5745,5248,5.550463762921948e-5,5.537076786619508e-5,5.0568489845089866e-5
380761,1050,901,814,1.0368238660501771e-5,8.683909808083858e-6,7.84351195386874e-6
380017,87687,74830,16342,8.65866422308018e-4,7.21217503816776e-4,1.574676564497825e-4
379842,2684,2416,2782,2.6503192918844528e-5,2.3285600550866372e-5,2.6806695645777443e-5
379014,2312,2315,2333,2.28298740791239e-5,2.231215450134754e-5,2.2480237577857213e-5
378986,4529,4408,4420,4.472166942229764e-5,4.2484655309693284e-5,4.259007719422584e-5
378843,721,426,609,7.1195238802112166e-6,4.105821951435875e-6,5.868180319294918e-6
378828,64558,45776,59273,6.374788108996889e-4,4.411927362650907e-4,5.711406437858254e-4
378287,35708,27385,28723,3.5259911056114026e-4,2.63938812535379e-4,2.7676805141397035e-4
377751,2455,1126,758,2.424192943955414e-5,1.0852477740180271e-5,7.303909165887599e-6
377697,18210,20891,19979,1.798148819121307e-4,2.0134912297522739e-4,1.9251293037634345e-4
377474,6825,4526,10222,6.739355129326151e-5,4.362194871408163e-5,9.849678033470058e-5
377073,2380,2468,2532,2.3501340963804016e-5,2.37867806951731e-5,2.4397754628004487e-5
372460,904,722,941,8.926559761041525e-6,6.958693542104934e-6,9.067253990897402e-6
372445,2546,2959,3454,2.5140510123464293e-5,2.851907782699238e-5,3.328192910155114e-5
371546,34528,43717,51857,3.4094718520933824e-4,4.2134793016648396e-4,4.996818174346085e-4
371280,11426,9090,11427,1.1282618565227927e-4,8.761014445669508e-5,1.1010787604036622e-4
371262,901,817,1249,8.89693622201152e-6,7.87431111343453e-6,1.2035069324793682e-5
370223,10250,9491,12570,1.0121375835251729e-4,9.147501441567581e-5,1.2112155437362416e-4
370160,7462,5967,6420,7.368361608063259e-5,5.7510421559196876e-5,6.186160533640948e-5
362287,5017,3607,4588,4.9540431771178466e-5,3.476455347143005e-5,4.420888555816927e-5
362282,1072,1323,1491,1.0585477946721808e-5,1.275117944072691e-5,1.4366924229997902e-5
362184,938,605,923,9.262293203381583e-6,5.8310382174147994e-6,8.89381023761775e-6
362181,31576,30449,32060,3.1179762280381324e-4,2.9346988873068305e-4,3.0892259611920374e-4
362105,888,818,655,8.768567552881497e-6,7.883949193132738e-6,6.311425466565141e-6
362065,4552,4613,9193,4.494878322152768e-5,4.446046164782557e-5,8.85815791055471e-5
362022,1833,1741,2120,1.809998234733309e-5,1.6779896754577133e-5,2.0427819830714657e-5
360846,2132,1711,459,2.1052461737323595e-5,1.6490754363630945e-5,4.4228157086311455e-6
360154,48042,46633,44367,4.7439135402650105e-4,4.4945257056645344e-4,4.275099445421307e-4
360146,386606,320040,356764,0.0038175459767447123,0.003084571026613938,0.003437693733059002
357409,36216,2745,2821,3.576153631702211e-4,2.645652877157624e-5,2.718249044455002e-5
357337,90496,77610,69734,8.936039293531127e-4,7.480113653777894e-4,6.719403717335169e-4
357024,1685,825,1799,1.663855442185284e-5,7.951415751020181e-6,1.7334739563894182e-5
356925,3860,2676,2536,3.811562021860651e-5,2.5791501272400007e-5,2.4436297684288855e-5
