BinBase name,F_PF_13_013,F_PF_14_014,F_PF_15_015,normF_PF_13_013,normF_PF_14_014,normF_PF_15_015
350283,401,931,829,5.7794534894012535e-6,1.3732138834903097e-5,1.0962849336847458e-5
348913,1148,1463,1284,1.6545667346216057e-5,2.157907531199058e-5,1.697985349639582e-5
347748,96,191,125,1.3836098129239908e-6,2.817227193841559e-6,1.6530231207550449e-6
347663,438,721,677,6.3127197714657084e-006,1.0634663909736984e-5,8.952773222009324e-6
347660,602,826,855,8.67638653521086e-6,1.218340137232004e-5,1.1306678145964507e-5
346561,305,880,502,4.395843676477262e-6,1.2979894924505612e-5,6.63854085295226e-6
346225,1838,1576,1417,2.649036287660724e-5,2.324581181934187e-5,1.873867009687919e-5
345140,5382,7248,8375,7.756862513705124e-5,1.0690713456001895e-4,1.10752549090588e-4
342554,11372,9204,11199,1.6390011242262107e-4,1.3575790100585187e-4,1.4809764743468597e-4
341252,473,843,941,6.817160849094246e-6,1.2434149342452535e-5,1.2443958053043978e-5
334782,1560,2372,2339,2.248365946001485e-5,3.4986716773781035e-5,3.09313686355684e-5
330511,1149,1336,1350,1.6560079948434016e-5,1.9705840476294883e-5,1.7852649704154484e-5
330432,1815,3118,2856,2.6158873025594202e-5,4.599012769841875e-5,3.7768272263011264e-5
330287,459,829,703,6.615384418042831e-6,1.2227651014108127e-5,9.296602031126373e-6
330286,1004,5648,3686,1.4470252626830071e-5,8.330732560637238e-5,4.8744345784824764e-5
329366,1285,2340,2360,1.8520193850076337e-5,3.4514720594708105e-5,3.120907651985525e-5
329362,44,111,68,6.341544975901625e-7,1.6372367461592306e-6,8.992445776907444e-7
329361,4307,9697,8948,6.207507775274613e-5,1.4302959213969424e-4,1.1833000707612914e-4
327365,1856,2222,133,2.674978971653049e-5,3.277423468437667e-5,1.7588166004833677e-6
324872,189,144,991,2.723981819194107e-6,2.1239828058281912e-6,1.3105167301345995e-5
324726,65094,55673,47954,9.381739287757736e-4,8.211701024227284e-4,6.341525658614994e-4
324718,279,84,104,4.021116018810349e-6,1.2389899700664448e-6,1.3753152364681974e-6
320865,1651,2068,2010,2.379520626184905e-5,3.050275307258819e-5,2.658061178174112e-5
318789,1133,1905,1857,1.6329478312946683e-5,2.8098522535435444e-5,2.4557311481936945e-5
253506,1812,1627,3753,2.6115635218940328e-5,2.3998055729739355e-5,4.963036617754947e-5
250808,3353,8071,9052,4.832545523681397e-5,1.190462862905509e-4,1.1970532231259733e-4
250761,182,159,110,2.6230936036683993e-6,2.345231014768628e-6,1.4546603462644394e-6
232333,575,572,639,8.287246275325986e-6,8.436931700928648e-6,8.45025419329979e-6
232329,233,230,254,3.3581363167842696e-6,3.392472537086694e-6,3.358942981374251e-6
232320,2836,435,221,4.0874139890129566e-5,6.41619805927266e-6,2.9225448774949193e-6
230854,5033,6804,5150,7.253862696298381e-5,1.0035818757538203e-4,6.810455257510785e-5
228439,167,115,106,2.406904570399026e-6,1.696236268543347e-6,1.401763606400278e-6
228300,4566,7523,8054,6.580794172719731e-5,1.1096335172392696e-4,1.0650758571648905e-4
228290,162,1206,180,2.3348415593092345e-6,1.77883559988111e-5,2.3803532938872645e-6
227260,185,278,194,2.666331410322274e-6,4.100466805696091e-6,2.5654918834118297e-6
223095,1546,1969,1847,2.2281883028963436e-5,2.9042514893581308e-5,2.4425069632276542e-5
217691,4228,4986,4296,6.093648217752743e-5,7.354290465180112e-5,5.681109861410938e-5
214730,4511,16654,2295,6.50152486052096e-5,2.4564451144626874e-4,3.0349504497062626e-5
213020,8797,12605,12793,1.2678766171137862e-4,1.8592224491294687e-4,1.6917699827055432e-4
213019,1976,2796,2842,2.8479301982685477e-5,4.124066614649738e-5,3.75831336734867e-5
210804,3470,9333,15062,5.001172969631508e-5,1.3766063560273964e-4,1.9918267395849988e-4
210803,1753,3983,3411,2.526529168808079e-5,5.874877441398392e-5,4.510769491916366e-5
210797,273,426,462,3.934640405502599e-6,6.283449133908399e-6,6.109573454310646e-6
210790,1152,5750,5899,1.660331775508789e-5,8.481181342716735e-5,7.800946711467207e-5
210694,4382852,5044901,5003755,0.0631683024561827,0.07441168736878782,0.06617058164474927
210345,2505,2990,634,3.610356855598538e-5,4.4102142982127026e-5,8.384133268469588e-6
210305,26310,29104,26975,3.7919556435448126e-4,4.292805248668311e-4,3.567223894589387e-4
210297,211210,328134,333193,0.0030440857144549594,0.0048399373194974145,0.0044062058613898855
210289,3318,5493,5387,4.7821014159185436e-5,8.102109411398788e-5,7.123868441205941e-5
210283,5800,6889,7625,8.359309286415778e-5,1.016119274260445e-4,1.0083441036605773e-4
210272,4725,19160,19682,6.809954547985268e-5,2.8260771221991763e-4,2.6027840850160637e-4
210267,877,773,294,1.2639852145149375e-5,1.1401657700730498e-5,3.887910380015865e-6
210261,9957,12701,11954,1.4350628028421018e-4,1.8733823345016567e-4,1.5808190708404646e-4
209679,22905,72094,26433,3.3012065380233344e-4,0.0010633778916901222,3.495548812073448e-4
208616,1554,2681,8277,2.23971838467071e-5,3.9544429877954034e-5,1.0945657896391605e-4
208244,1737,2712,1719,2.503469005259346e-5,4.000167617643093e-5,2.2732373956623377e-5
205795,312,174,224,4.49673189200297e-6,2.5664792237090644e-6,2.9622174323930406e-6
204855,2460,1632,1475,3.5455001456177266e-5,2.4071805132719498e-5,1.950567282490953e-5
204582,149,181,97,2.1474777304757776e-6,2.669728387881268e-6,1.2827459417059148e-6
203815,1045,1609,1705,1.506116931776636e-5,2.373255787901083e-5,2.2547235367098813e-5
196521,147,239,234,2.118652526039861e-6,3.525221462450956e-6,3.094459282053444e-6
196436,232,702,663,3.343723714566311e-6,1.0354416178412431e-5,8.767634632484759e-6
196278,938,1122,1545,1.3519020880444828e-5,1.6549366028744657e-5,2.0431365772532354e-5
190001,374,260,506,5.390313229516381e-6,3.834968954967567e-6,6.691437592816422e-6
189936,5058,5964,5996,7.289894201843276e-5,8.796828787471758e-5,7.9292213056378e-5
189286,521,1677,1334,7.508965755556242e-6,2.4735549759540808e-5,1.764106274469784e-5
188945,4341,5349,5479,6.25651062281567e-5,7.889711130815968e-5,7.245530942893512e-5
187301,929,1065,1044,1.3389307460483204e-5,1.5708622834770998e-5,1.3806049104546135e-5
187055,2177,3816,3661,3.1376235028495085e-5,5.6285544354447065e-5,4.8413741160673753e-5
171968,36303,38907,5796,5.232206983185379e-4,5.738736043497044e-4,7.664737606316992e-5
171596,114,124,117,1.6430366528472392e-6,1.828985193907609e-6,1.547229641026722e-6
171564,67211,58702,75318,9.686854076711911e-4,8.658474907481006e-4,9.960191632722277e-4
171297,108349,132326,125806,0.001561591037713557,0.0019517926997501473,0.0016636818138376734
170725,40038,49653,49172,5.770517676026119e-4,7.323758212346332e-4,6.502596231501366e-4
168874,3750,13568,10604,5.404725831734339e-5,2.001263799269229e-4,1.4022925737989196e-4
168871,1235,851,1056,1.7799563739178423e-5,1.2552148387220769e-5,1.396473932413862e-5
168860,666,872,785,9.598793077160186e-6,1.286189587973738e-5,1.0380985198341682e-5
168835,155,175,231,2.233953343783527e-6,2.5812291043050933e-6,3.054786727155323e-6
168800,23148,27693,21535,3.3362291614129726e-4,4.08468443345834e-4,2.8478282324367914e-4
168759,4561,3706,3861,6.573587871610752e-5,5.466305748888386e-5,5.105857815388183e-5
167348,458409,295776,483971,0.006606866570132017,0.004362660683171105,0.0064001220221995185
163872,1535,2639,2289,2.2123344404565896e-5,3.8924934892920805e-5,3.0270159387266382e-5
161846,96928,91218,95546,0.0013969847077822562,0.001345454608208583,0.0012635179767652922
160822,5172,5304,5032,7.454197867128e-5,7.823336668133838e-5,6.654409874911509e-5
160463,2578590,575930,519628,0.03716419195320493,0.008494898731671042,0.006871656785533619
146868,583,694,543,8.402547093069652e-6,1.0236417133644198e-5,7.180732436559915e-6
146430,7347,14675,13802,1.0588938849533917e-4,2.1645449774672712e-4,1.8252020090128905e-4
146262,498,485,543,7.177475904543202e-6,7.153692089074116e-6,7.180732436559915e-6
138111,279,195,395,4.021116018810349e-6,2.8762267162256754e-6,5.223553061585942e-6
136141,770,1109,1122,1.1097703707827843e-5,1.6357617580996277e-5,1.4837535531897282e-5
135888,5989,3784,7205,8.631707468335189e-5,5.5813548175374135e-5,9.528025268032078e-5
135773,476,1076,1049,6.860398655748121e-6,1.5870871521327317e-5,1.3872170029376336e-5
135765,1233,1049,1180,1.7770738534742508e-5,1.5472624745234533e-5,1.5604538259927625e-5
135618,570,1349,1325,8.215183264236196e-6,1.9897588924043263e-5,1.7522045080003477e-5
135617,451,888,854,6.500083600299165e-6,1.3097893969273845e-5,1.1293453960998467e-5
135613,3458,6371,6485,4.9838778469699584e-5,9.397148927730143e-5,8.575883950477173e-5
135609,34232,314943,284220,4.933721991251464e-4,0.0046453716445551945,0.0037585778510479907
135193,983,1766,1540,1.4167587980252948e-5,2.6048289132587398e-5,2.0365244847702154e-5
135163,285,357,261,4.107591632118098e-6,5.26570737278239e-6,3.4515122761365336e-6
135128,75,49,96,1.0809451663468679e-6,7.227441492054262e-7,1.2695217567398744e-6
134941,555,1017,765,7.998994230966822e-6,1.5000628566161599e-5,1.0116501499020875e-5
134750,277,317,411,3.9922908143744316e-6,4.675712148941226e-6,5.435140021042587e-6
134464,2201,3491,3506,3.172213748172608e-5,5.1491833160737604e-5,4.63639924909375e-5
134365,1850,2423,4150,2.666331410322274e-5,3.573896068417852e-5,5.488036760906749e-5
134132,197,195,395,2.839282636937773e-6,2.8762267162256754e-6,5.223553061585942e-6
133780,198,300,302,2.853695239155731e-6,4.424964178808731e-6,3.993703859744189e-6
133675,1865,2436,2363,2.6879503136492113e-5,3.59307091319269e-5,3.124874907475337e-5
133610,161,157,99,2.3204289570912764e-6,2.3157312535765693e-6,1.3091943116379955e-6
133584,508,1638,1497,7.321601926722785e-6,2.4160304416295674e-5,1.9796604894162417e-5
133018,4876,6532,8131,7.027584841476437e-5,9.634622005326211e-5,1.0752584795887416e-4
133012,485,505,468,6.990112075709745e-6,7.448689700994698e-6,6.188918564106888e-6
133010,768,12575,12240,1.1068878503391926e-5,1.85479748495066e-4,1.61864023984334e-4
132978,1242,1733,9556,1.790045195470413e-5,2.5561543072918437e-5,1.2637031153548168e-4
131663,3242,5700,6257,4.6725656390620606e-5,8.40743193973659e-5,8.274372533251453e-5
131662,1796,6590,6898,2.5885033583452995e-5,9.72017131278318e-5,9.12204278957464e-5
131597,108,224,341,1.5565610395394898e-6,3.3039732535105194e-6,4.509447073419763e-6
131464,7633,10058,10660,1.1001139272967522e-4,1.4835429903486074e-4,1.4096981173799023e-4
131450,1260,2877,2305,1.815987879462738e-5,4.2435406474775736e-5,3.048174634672303e-5
131202,916,1246,131,1.3201943631649746e-5,1.8378351222652266e-5,1.732368230551287e-6
131168,28416,18681,44988,4.095485046255013e-4,2.755425194144197e-4,5.949296332522237e-4
131166,1401,2130,2798,2.019205570735949e-5,3.1417245669541995e-5,3.700126953498092e-5
130638,197,195,395,2.839282636937773e-6,2.8762267162256754e-6,5.223553061585942e-6
130597,825,1238,1089,1.1890396829815547e-5,1.826035217788403e-5,1.4401137428017952e-5
130558,250,195,300,3.6031505544895593e-6,2.8762267162256754e-6,3.967255489812108e-6
128297,5739,632,1473,8.271392412886232e-5,9.321924536690394e-6,1.947922445497745e-5
128051,4429,4644,6310,6.383341522333703e-5,6.849844548795916e-5,8.344460713571466e-5
128047,905,1952,1631,1.3043405007252204e-5,2.8791766923448812e-5,2.1568645679611825e-5
127640,77488,91834,92208,0.001116803720665148,0.0013545405346557368,0.0012193756473486495
127380,4382522,5044901,5003755,0.06316354629745077,0.07441168736878782,0.06617058164474927
127358,2707,3176,4056,3.901491420401295e-5,4.6845620772988436e-5,5.3637294222259696e-5
127344,324,291,239,4.669683118618469e-6,4.29221525344447e-6,3.160580206883646e-6
127277,35331,23769,21318,5.092116489626825e-4,3.505899118870158e-4,2.819131751060484e-4
126690,102,93,74,1.4700854262317404e-6,1.3717388954307068e-6,9.785896874869866e-7
126585,666,858,821,9.598793077160186e-6,1.2655397551392973e-5,1.0857055857119134e-5
126582,1051,1526,1424,1.5147644931074109e-5,2.2508317789540416e-5,1.8831239391641472e-5
125960,71439,112864,51277,0.0010296218898487185,0.0016647305235902288,6.780965325036515e-4
125884,979,1439,2033,1.4109937571381114e-5,2.1225078177685883e-5,2.688476803596005e-5
125816,1467,2006,1966,2.1143287453744734e-5,2.9588260475634384e-5,2.5998747643235347e-5
125811,115787,43449,43976,0.0016687919730107306,6.408675620168686e-4,5.815467580665908e-4
125810,401,409,491,5.7794534894012535e-6,6.032701163775904e-6,6.493074818325816e-6
125802,3891,6274,6508,5.607943523007551e-5,9.25407508594866e-5,8.606299575899066e-5
125785,324,291,239,4.669683118618469e-6,4.29221525344447e-6,3.160580206883646e-6
125241,240,309,251,3.459024532309977e-6,4.5577131041729935e-6,3.31927042647613e-6
125070,430,595,573,6.197418953722042e-6,8.776178954637318e-6,7.5774579855411256e-006
124960,5544,5424,6562,7.990346669636047e-5,8.000335235286187e-5,8.677710174715684e-5
124615,2754,9133,4023,3.9692306508256986e-5,1.3471065948353383e-4,5.3200896118380366e-5
124607,671,3435,908,9.670856088249978e-6,5.0665839847359975e-5,1.2007559949164646e-5
124605,14505,53457,8137,2.0905479517148424e-4,7.884843670219278e-4,1.076051930686704e-4
124602,1912,3177,2915,2.7556895440736152e-5,4.686037065358447e-5,3.854849917600765e-5
124356,1328,1068,1723,1.913993574544854e-5,1.5752872476559082e-5,2.278527069648754e-5
123962,56518,5736,4955,8.145714521545637e-4,8.460531509882295e-5,6.552583650672998e-5
121482,749,924,1329,1.079503906125072e-5,1.3628889670730894e-5,1.7574941819867637e-5
120954,317,489,498,4.568794903092761e-6,7.212691611458233e-6,6.5856441130880986e-6
120744,4954,6338,5275,7.140003138776511e-5,9.348474321763247e-5,6.975757569586289e-5
120466,2600481,575930,519628,0.037479698228358255,0.008494898731671042,0.006871656785533619
119025,270,692,768,3.8914025988487245e-6,1.020691737245214e-5,1.0156174053918995e-5
118964,535,755,873,7.710742186607657e-6,1.1136159850001974e-5,1.1544713475353234e-5
117982,8873,7956,10410,1.2788301947994345e-4,1.1735005002200757e-4,1.3766376549648014e-4
113563,70,71,281,1.0088821552570766e-6,1.0472415223180666e-6,3.715995975457341e-6
111826,6239,9369,2612,8.992022523784145e-5,1.3819163130419668e-4,3.454157113129742e-5
111821,7615,6093,3513,1.0975196588975198e-4,8.987102247160534e-5,4.6456561785699785e-5
111776,276,601,204,3.977878212156474e-6,8.864678238213491e-6,2.697733733072233e-6
111399,17090,24657,27410,2.4631137190490627e-4,3.6368780585628965e-4,3.624749099191662e-4
110889,7503,17465,11458,1.0813775444134066e-4,2.576066646096483e-4,1.5152271134089042e-4
110873,3057,7332,4203,4.4059324980298334e-5,1.081461245300854e-4,5.558124941226763e-5
110842,1407,7745,6552,2.027853132066724e-5,1.1423782521624542e-4,8.664485989749643e-5
110801,1917,3678,4738,2.7628958451825942e-5,5.4250060832195046e-5,6.265618836909923e-5
110604,154035,27544,23059,0.0022200451826431974,4.0627071113702565e-4,3.049364811319246e-4
110368,1865,2909,2363,2.6879503136492113e-5,4.2907402653848666e-5,3.124874907475337e-5
110134,579,784,765,8.34489668419782e-6,1.1563906387286819e-5,1.0116501499020875e-5
110022,96,387,93,1.3836098129239908e-6,5.7082037906632635e-6,1.2298492018417533e-6
109990,2092,6668,7090,3.0151163839968634e-5,9.835220381432208e-5,9.375947140922614e-5
109714,1917,3678,4738,2.7628958451825942e-5,5.4250060832195046e-5,6.265618836909923e-5
109532,2104,2972,3079,3.0324115066584133e-5,4.38366451313985e-5,4.0717265510438264e-5
109395,1917,3678,4738,2.7628958451825942e-5,5.4250060832195046e-5,6.265618836909923e-5
108950,3612,4529,4867,5.2058319211265156e-005,6.680220921941581e-5,6.436210822971843e-5
108834,353,856,1038,5.087648582939258e-6,1.2625897790200913e-5,1.3726703994749893e-5
108829,264,367,414,3.8049269855409747e-6,5.413206178742681e-6,5.474812575940709e-6
108825,4853,16366,13688,6.994435856375133e-5,2.4139654583461232e-4,1.8101264381516043e-4
108314,4246452,4235823,4111702,0.061202423513653195,0.06247788347591379,0.05437390777323808
107237,4260,5281,5054,6.13976854485021e-5,7.78941194276297e-5,6.683503081836798e-5
106482,307,77,177,4.424668880913179e-6,1.1357408058942412e-006,2.3406807389891436e-6
106387,9392,13275,14446,1.3536316003106376e-4,1.9580466491228636e-4,1.9103657601941902e-4
106385,669,1687,3725,9.642030883814061e-6,2.48830485655011e-5,4.9260088998500334e-5
106384,2614,14272,19781,3.767454219774283e-5,2.105102958665274e-4,2.6158760281324434e-4
105630,27136,31887,40423,3.911003737865147e-4,4.7032944256558007e-4,5.345612288822494e-4
105516,457,751,732,6.586559213606914e-6,1.1077160327617858e-5,9.680103395141543e-6
105081,241,570,351,3.473437134527935e-6,8.40743193973659e-6,4.641688923080166e-6
104922,7114,11383,11876,1.025312521785549e-4,1.678978908245993e-4,1.5705042065669532e-4
104366,198,331,220,2.853695239155731e-6,4.882210477285634e-6,2.909320692528879e-6
104365,499,227,1025,7.191888506761161e-6,3.3482228952986068e-6,1.3554789590191368e-5
104288,10100,11774,17768,1.455672824013782e-4,1.736650941376467e-4,2.349673184766051e-4
103129,73538,21880,67868,0.0010598739419042129,3.227273874411168e-4,8.974989852752271e-4
102809,1852,2907,2585,2.6692139307658658e-5,4.2877902892656605e-5,3.418451813721433e-5
102715,1609,2613,2889,2.3189876968694804e-5,3.854143799742405e-5,3.8204670366890595e-5
102679,296,465,506,4.266130256515638e-6,6.8586944771535335e-6,6.691437592816422e-6
102223,4964,15362,7896,7.154415740994469e-5,2.2658766571619912e-4,1.0441816449185467e-4
100947,2177,3816,3661,3.1376235028495085e-5,5.6285544354447065e-5,4.8413741160673753e-5
100916,4296,6818,6941,6.19165391283486e-5,1.0056468590372644e-4,9.178906784928614e-5
100897,49119,47888,53372,7.079326083438907e-4,7.063422819826418e-4,7.05801200007506e-4
100896,200,131,259,2.8825204435916475e-6,1.9322343580798128e-6,3.425063906204453e-6
100879,8444,12135,12123,1.2170001312843937e-4,1.789898010328132e-4,1.6031679434330728e-4
100877,623,1164,1059,8.979051181787983e-6,1.716886101377788e-5,1.400441187903674e-5
100876,32981,51705,57747,4.753420337504806e-4,7.626425762176849e-4,7.636570092339326e-4
100865,14563,461343,501654,2.098907261001258e-4,0.006804754163813855,0.00663396528495401
100343,1603,2267,1802,2.3103401355387055e-5,3.3437979311197984e-5,2.3829981308804728e-5
100017,906,1888,1819,1.3057817609470164e-5,2.7847774565302952e-5,2.4054792453227415e-5
97828,386742,269554,463849,0.005573958606977605,0.003975889314182029,0.0061340249723128544
89252,1328,766,1752,1.913993574544854e-5,1.1298408536558294e-5,2.316877206050271e-5
89241,5945,49447,51563,8.568292018576172e-5,7.293373458318512e-4,6.818786494039391e-4
89209,1000,492,1295,1.4412602217958237e-5,7.256941253246319e-6,1.7125319531022263e-5
88847,212849,334179,340943,0.003067707969490193,0.004929100347700411,0.004508693294876698
87951,1761,1672,1423,2.5380592505824458e-5,2.4661800356560662e-5,1.8818015206675432e-5
87822,2293,7542,7835,3.304809688577824e-5,1.1124359945525152e-4,1.0361148920892621e-4
85117,345,463,474,4.972347765195592e-6,6.829194715961476e-6,6.26826367390313e-6
85067,1176,2103,1725,1.694922020831889e-5,3.101899889344921e-5,2.281171906641962e-5
84910,106011,115849,123260,0.0015278943737279708,0.0017087589171693757,0.0016300130389141348
84326,3391,23513,25144,4.887313412109638e-5,3.4681394245443233e-4,3.3250890678611876e-4
84216,778,447,791,1.121300452557151e-5,6.59319662642501e-6,1.0460330308137924e-5
84181,9622,12655,12153,1.3867805854119415e-4,1.8665973894274832e-4,1.6071351989228847e-4
84151,13808,4390,4087,1.9900921142556734e-4,6.475197581656777e-5,5.404724395620695e-5
84116,2286,2886,2413,3.294720867025253e-5,4.256815540014e-5,3.190995832305539e-5
84105,6481,1988,6621,9.340807497458734e-5,2.932276262490586e-5,8.755732866015321e-5
84063,11964,52353,4796,1.7243237293565236e-4,7.722004988439117e-4,6.342319109712957e-5
66305,184,165,249,2.651918808104316e-6,2.4337302983448022e-6,3.2928220565440493e-6
62639,1761,1946,2048,2.5380592505824458e-5,2.870326763987264e-5,2.7083130810450655e-5
62566,1254,1246,1228,1.807340318131963e-5,1.8378351222652266e-5,1.6239299138297562e-5
46351,636837,651021,650204,0.00917847835867787,0.009602482015507464,0.008598417961659305
43762,2182,829,1529,3.1448298039584875e-5,1.2227651014108127e-5,2.021977881307571e-5
42357,2972,6179,6510,4.283425379177188e-5,9.113951220286385e-5,8.608944412892273e-5
42187,1838,767,1678,2.649036287660724e-5,1.1313158417154323e-5,2.2190182373015723e-5
42007,709,920,1124,1.0218534972532391e-5,1.3569890148346777e-5,1.4863983901829364e-5
41805,143,188,270,2.061002117168028e-6,2.7729775520534718e-6,3.570529940830897e-6
41682,399,856,828,5.7506282849653365e-6,1.2625897790200913e-5,1.0949625151881418e-5
37755,14154,20714,20895,2.0399597179298089e-4,3.055290266661469e-4,2.763193448654133e-4
34444,5232,9573,8566,7.54067348043575e-5,1.4120060694578662e-4,1.1327836841910171e-4
34183,199,172,212,2.8681078413736894e-6,2.536979462517006e-6,2.803527212800556e-6
34113,1596,1290,1480,2.3002513139861346e-5,1.9027345968877545e-5,1.9571793749739733e-5
34078,282,325,346,4.064353825464223e-6,4.793711193709459e-6,4.5755679982499645e-6
34033,131,79,68,1.8880508905525292e-6,1.1652405670862993e-6,8.992445776907444e-7
34029,137,271,434,1.9745265038602784e-6,3.997217641523888e-6,5.739296275261516e-6
34012,15676,4177,1585,2.2593195236871334e-4,6.161025124961358e-5,2.0960333171173968e-5
33993,973,1911,6441,1.4023461958073365e-5,2.818702181901162e-5,8.517697536626596e-5
31601,149,181,144,2.1474777304757776e-6,2.669728387881268e-6,1.9042826351098118e-6
31362,7643,12174,4815,1.1015551875185482e-4,1.7956504637605831e-4,6.367445061148432e-5
26868,4837,18860,9605,6.971375692826399e-5,2.781827480411089e-4,1.2701829659881765e-4
26755,387,697,449,5.577677058349838e-6,1.0280666775432287e-5,5.937659049752121e-6
26641,5336,17985,12485,7.690564543502515e-5,2.6527660251958343e-4,1.6510394930101388e-4
25326,15348,18295,18994,2.2120461884122302e-4,2.698490655043525e-4,2.5118016924497057e-4
22885,982,527,2779,1.4153175378034989e-5,7.773187074107338e-6,3.675001002062616e-5
22803,808,658,724,1.1645382592110256e-5,9.705421432187151e-6,9.57430991541322e-6
22735,381,2206,1508,5.491201445042088e-6,3.253823659484021e-5,1.994207092878886e-5
21709,115787,43449,43976,0.0016687919730107306,6.408675620168686e-4,5.815467580665908e-4
21704,9528,19543,21691,1.373232739327061e-4,2.882569164881968e-4,2.868457960983814e-4
20330,9781,13041,4370,1.4096966229384952e-4,1.9235319285281556e-4,5.778968830159637e-5
20281,11306,20125,5956,1.6294888067623585e-4,2.968413469950857e-4,7.876324565773637e-5
18488,474,879,376,6.831573451312205e-6,1.2965145043909584e-5,4.972293547231175e-6
18388,611,962,938,8.806099955172484e-6,1.4189385133379999e-5,1.2404285498145856e-5
18382,2494,5200,4998,3.5945029931587843e-5,7.669937909935135e-5,6.609447646026971e-5
18361,1796,3939,3188,2.5885033583452995e-5,5.8099779667758646e-5,4.215870167173666e-5
18321,698,1240,1237,1.005999634813485e-5,1.828985193907609e-5,1.6358316802991926e-5
18318,1574,2006,2247,2.2685435891066267e-5,2.9588260475634384e-5,2.9714743618692688e-5
18305,196582,14720,12653,0.0028332581692106663,2.1711824237354843e-4,1.6732561237530865e-4
18226,2494,4805,1881,3.5945029931587843e-5,7.087317626391985e-5,2.4874691921121916e-5
18176,776,1079,956,1.1184179321135592e-5,1.5915121163115405e-5,1.2642320827534583e-5
18173,13385,17814,13059,1.9291268068737102e-4,2.627543729376625e-4,1.7269463147152105e-4
18164,9170,13686,14153,1.3216356233867704e-4,2.0186686583725433e-4,1.871618898243692e-4
18157,254,433,464,3.6608009633613925e-6,6.3866982980806025e-6,6.136021824242726e-6
18023,713,747,621,1.0276185381404224e-5,1.1018160805233741e-5,8.212218863911063e-6
17962,5791,9369,3101,8.346337944419615e-5,1.3819163130419668e-4,4.100819757969115e-5
17948,895,1559,1350,1.2899278985072623e-5,2.2995063849209376e-5,1.7852649704154484e-5
17872,3612,4529,4867,5.2058319211265156e-005,6.680220921941581e-5,6.436210822971843e-5
17775,5477,5921,6441,7.893782234775727e-5,8.733404300908833e-5,8.517697536626596e-5
17710,254,189,373,3.6608009633613925e-6,2.787727432649501e-6,4.932620992333054e-6
17702,393,538,536,5.664152671657587e-6,7.935435760663658e-6,7.0881631417976325e-6
17663,3907,6778,7075,5.6310036865562836e-5,9.997469067988528e-5,9.356110863473555e-5
17504,795,1457,1640,1.1458018763276798e-5,2.1490576028414406e-5,2.168766334430619e-5
17480,244,318,271,3.51667494118181e-6,4.690462029537256e-6,3.583754125796937e-6
17471,3093,3728,4339,4.457817866014483e-5,5.4987554861996505e-5,5.737973856764912e-5
17425,11636,22504,21704,1.6770503940816204e-4,3.3193131293303896e-4,2.8701771050293994e-4
17350,562,886,746,8.09988244649253e-6,1.3068394208081787e-5,9.865241984666108e-6
17349,71,79,112,1.0232947574750349e-6,1.1652405670862993e-6,1.4811087161965203e-6
17334,4426,5527,5708,6.379017741668316e-5,8.152259005425286e-5,7.548364778615837e-5
17297,3303,6022,5247,4.760482512591606e-5,8.882378094928727e-5,6.938729851681376e-5
17289,830,1983,1938,1.1962459840905337e-5,2.9249013221925715e-5,2.5628470464186217e-5
17225,333,1053,821,4.799396538580093e-6,1.5531624267618648e-5,1.0857055857119134e-5
17191,666,916,917,9.598793077160186e-6,1.351089062596266e-5,1.212657761385901e-5
17188,212,358,344,3.0554716702071463e-6,5.28045725337842e-6,4.549119628317884e-6
17186,299,406,709,4.309368063169513e-6,5.988451521987817e-6,9.375947140922614e-6
17069,329,475,476,4.74174612970826e-6,7.0061932831138245e-6,6.294712043835211e-6
17045,1308,1532,1641,1.8851683701089375e-5,2.259681707311659e-5,2.170088752927223e-5
17011,4231,5956,6137,6.0979719984181304e-5,8.785028882994935e-5,8.115682313658969e-5
17010,12796,16934,17505,1.844236579809936e-4,2.4977447801315686e-4,2.3148935783053647e-4
16857,3977,5531,5391,5.731891902081991e-5,8.158158957663699e-5,7.129158115192357e-5
16852,4964,15362,15252,7.154415740994469e-5,2.2658766571619912e-4,2.0169526910204756e-4
16817,228,326,358,3.2860733056944783e-6,4.808461074305488e-6,4.734258217842449e-6
16810,737,1140,990,1.0622087834635221e-5,1.681486387947318e-5,1.3091943116379955e-5
16794,15469,53905,62798,2.2294854370959598e-4,7.950923135289489e-4,8.304523674974025e-4
16793,2090,2773,307,3.012233863553272e-5,4.090141889278871e-5,4.059824784574391e-6
16747,28111,30753,32532,4.05152660949024e-4,4.536030779696831e-4,4.3020918531522494e-4
16688,81,126,105,1.1674207796546173e-6,1.8584849550996672e-6,1.3885394214342377e-6
16594,4854,5333,4965,6.995877116596928e-5,7.866111321862322e-5,6.565807835639039e-5
16549,294,201,255,4.237305052079722e-6,2.9647259998018502e-6,3.3721671663402915e-6
14835,246,317,377,3.5455001456177265e-6,4.675712148941226e-6,4.985517732197215e-6
14816,256,88,54,3.6896261677973087e-6,1.2979894924505613e-6,7.141059881661794e-7
14796,1190,1985,2305,1.7150996639370302e-5,2.9278512983117773e-5,3.048174634672303e-5
14778,5952,6724,6441,8.578380840128743e-5,9.917819712769971e-5,8.517697536626596e-5
14740,995,1388,1619,1.4340539206868447e-5,2.0472834267288397e-5,2.1409955460019342e-5
14739,80,166,91,1.153008177436659e-6,2.4484801789408315e-6,1.2034008319096727e-6
