BinBase name,F_SF_10_010,F_SF_11_011,F_SF_12_012,normF_SF_10_010,normF_SF_11_011,normF_SF_12_012
350283,579,716,619,5.696365872050847e-6,8.492286459766814e-6,6.372657112945217e-6
348913,16716,14267,11774,1.6445673906252496e-4,1.6921711022554908e-4,1.2121432124041516e-4
347748,126,87,65,1.2396236612753138e-6,1.031883969273342e-6,6.691804722801924e-7
347663,164,209,110,1.6134784162631068e-6,2.4788936733118215e-6,1.1324592607818641e-6
347660,718,460,327,7.06388721266409e-6,5.455938228341808e-6,3.366492529778814e-6
346561,1703,2521,884,1.6754595993268727e-5,2.990091363836891e-5,9.100854423010617e-6
346225,1699,10034,11229,1.6715242861164747e-5,1.1901061778952544e-4,1.1560350035745047e-4
345140,20171,19043,15501,1.9844800691733614e-4,2.2586398191807186e-4,1.5958410001254251e-4
342554,27847,37410,23376,2.7396666742487036e-4,4.4371010678753703e-4,2.4065788800033504e-4
341252,1408,1427,1000,1.3852302500600333e-5,1.692526924313861e-5,1.0295084188926037e-5
334782,1514,1656,1480,1.4895160501355755e-5,1.964137762203051e-5,1.5236724599610536e-5
330511,3055,3093,3340,3.005595464441336e-5,3.6685254217959155e-5,3.438558119101296e-5
330432,1492,1450,5043,1.4678718274783875e-5,1.71980661545557e-5,5.1918109564754005e-5
330287,5782,5833,4573,5.688495245630051e-5,6.918366888242993e-5,4.707941999595877e-5
330286,10249,10269,7908,1.0083256273341819e-4,1.2179789058009136e-4,8.14135257660271e-5
329366,11243,12503,12177,1.1061181606125677e-4,1.4829477319338615e-4,1.2536324016855236e-4
329362,93,91,101,9.149603214174935e-7,1.0793269103893577e-6,1.0398035030815298e-6
329361,75109,80706,72820,7.389435997994249e-4,9.572325014272912e-4,7.49688030637594e-4
327365,390,519,294,3.836930380137876e-6,6.15572160980304e-6,3.026754751544255e-6
324872,3203,3604,2884,3.1512020532260556e-5,4.2746089945530164e-5,2.969102280086269e-5
324726,687304,727663,612010,0.0067618912768981606,0.008630618215325837,0.006300694474464624
324718,3321,2855,2944,3.2672937929327915e-5,3.386239922155622e-5,3.0308727852198253e-5
320865,9688,5039,7530,9.531328595583524e-5,5.9766245070900805e-5,7.752198394261306e-5
318789,4403,5178,3970,4.331796016345402e-5,6.141488727468235e-5,4.087148423003637e-5
253506,3958,6016,2637,3.893992421688645e-5,7.135418343848765e-5,2.714813700619796e-5
250808,3227,2780,1958,3.174813932488443e-5,3.2972844075630926e-5,2.015777484191718e-5
250761,879,839,670,8.647850779849213e-6,9.951156899084298e-6,6.897706406580445e-6
232333,1568,1544,1413,1.542642778475946e-5,1.8312975270782068e-5,1.4546953958952491e-5
232329,1044,1216,1003,1.0271167479138314e-5,1.442265409926878e-5,1.0325969441492816e-5
232320,6298,5768,5009,6.19615064977137e-5,6.841272108929467e-5,5.156807670233052e-5
230854,13147,19821,1362,1.293439069427504e-4,2.3509163396513691e-4,1.4021904665317263e-5
228439,1884,1408,1393,1.853532522097374e-5,1.6699915272837535e-5,1.434105227517397e-5
228300,3977,7278,3465,3.912685159438034e-5,8.63224313605906e-5,3.5672466714628716e-5
228290,5583,5338,4505,5.49271341341276e-5,6.331260491932299e-5,4.63793542711118e-5
227260,1455,1187,1269,1.4314701802822076e-5,1.4078692776177666e-5,1.3064461835747141e-5
223095,3238,3533,2684,3.1856360438170367e-5,4.190397774072089e-5,2.7632005963077484e-5
217691,33320,29902,23635,3.2781159042613855e-4,3.546597063127755e-4,2.433243148052669e-4
214730,2726,1279,1045,2.6819159528861155e-5,1.5169880421846027e-5,1.075836297742771e-5
213020,11793,8919,6185,1.1602287172555377e-4,1.0578589795343606e-4,6.367509570850754e-5
213019,729,497,366,7.1721083259500295e-6,5.894785433664954e-6,3.7680008131469298e-6
210804,9057,31758,3501,8.910532936643268e-5,3.7667323099060685e-4,3.6043089745430055e-5
210803,3964,5291,5329,3.899895391504241e-5,6.27551503612098e-5,5.486250364278685e-5
210797,2532,2437,1804,2.4910532621818212e-5,2.890461187493258e-5,1.857233187682257e-5
210790,20392,15483,9716,2.0062226746608096e-4,1.8363976432481785e-4,1.0002703797960538e-4
210694,4485889,4496453,3744313,0.044133445605195686,0.05333123872748306,0.038548017564690215
210345,4515,4079,3391,4.441984786236541e-5,4.8379939203057034e-5,3.491063048464819e-5
210305,3426,1265,3214,3.370595764705734e-5,1.5003830127939972e-5,3.3088400583208286e-5
210297,22681,23280,20168,2.2314209731258248e-4,2.761179172952115e-4,2.0763125792226032e-4
210289,6389,6880,5757,6.285679025307921e-5,8.160185871954704e-5,5.9268799675647196e-5
210283,14754,14235,14137,1.4515402776552364e-4,1.6883756669662094e-4,1.455416051788474e-4
210272,13291,15211,11498,1.307606196984936e-4,1.804136443289288e-4,1.1837287800427158e-4
210267,271,527,469,2.666174700044524e-6,6.250607492035072e-6,4.828394484606311e-6
210261,713,1196,664,7.014695797534117e-6,1.4185439393688701e-5,6.835935901446888e-6
209679,22691,23251,16889,2.2324048014284243e-4,2.757739559721204e-4,1.7387367686677184e-4
208616,40284,33634,8701,3.963253934191646e-4,3.989239703740182e-4,8.957752752784545e-5
208244,1036,2602,2266,1.0192461214930358e-5,3.086163319596823e-5,2.33286607721064e-5
205795,3117,3224,2977,3.066592819202502e-5,3.8239010539508676e-5,3.064846563043281e-5
204855,1742,1836,1046,1.7138289031282514e-5,2.1776309972251215e-5,1.0768658061616635e-5
204582,7451,6698,5388,7.330504682668542e-5,7.944320489876833e-5,5.546991360993349e-5
203815,4840,4668,4184,4.761728984581364e-5,5.5365912282390347e-5,4.307463224646654e-5
196521,1369,1260,1105,1.3468609462586544e-5,1.4944526451544953e-5,1.137606802876327e-5
196436,487,595,449,4.7912438336593474e-6,7.057137491007339e-6,4.62249280082779e-6
196278,704,718,630,6.926151250300166e-6,8.516007930324823e-6,6.485903039023403e-6
190001,190,194,140,1.8692737749389652e-6,2.3009826441267625e-6,1.4413117864496452e-6
189936,13845,14262,12017,1.362110284948946e-4,1.6915780654915406e-4,1.237160266983242e-4
189286,1726,973,1293,1.69808765028666e-5,1.1540495426470825e-5,1.3311543856281367e-5
188945,3426,2622,2494,3.370595764705734e-5,3.109884790154831e-5,2.5675939967181538e-5
187301,12875,13903,10739,1.266678939596799e-4,1.6489980258399165e-4,1.1055890910487671e-4
187055,1683,1680,787,1.6557830332748834e-5,1.9926035268726604e-5,8.102231256684791e-6
171968,17800,17902,13733,1.7512143786270305e-4,2.1233088296472837e-4,1.4138239116652128e-4
171596,198,148,428,1.9479800391469216e-6,1.7553888212925817e-6,4.406296032860344e-6
171564,1077212,1154526,928817,0.010597916534997646,0.013693527258727292,0.009562249211105715
171297,138014,127526,117556,0.0013578207935496123,0.0015125521271902552,0.0012102489169133893
170725,17567,19289,12666,1.7282911791764632e-4,2.2878172279670682e-4,1.303975363369372e-4
168874,23727,12692,21017,2.334329413577728e-4,1.505364521611179e-4,2.1637178439865853e-4
168871,9049,9686,8595,8.902662310222472e-5,1.1488308191243207e-4,8.848624860381929e-5
168860,5755,3567,2785,5.661931881459866e-5,4.2307242740207024e-5,2.8671809466159013e-5
168835,1541,1614,1447,1.5160794143057608e-5,1.9143226740312343e-5,1.4896986821375975e-5
168800,21504,22414,17417,2.1156243819098688e-4,2.658465205435941e-4,1.7930948131852478e-4
168759,10398,10269,7989,1.0229846690429137e-4,1.2179789058009136e-4,8.224742758533011e-5
167348,480063,502422,189905,0.004722995664308023,0.0059590943403477125,0.001955087962897999
163872,10781,12591,9613,1.0606652930324729e-4,1.4933851789793848e-4,9.8966644308146e-5
161846,114328,105200,94605,0.0011247912217959054,0.0012477493513512136,9.739664396933477e-4
160822,23708,25835,24463,2.332460139802789e-4,3.0642209593306655e-4,2.5184864451369767e-4
160463,730399,691038,619258,0.007185872083903397,0.008196218785732318,0.00637531324466596
146868,237,210,185,2.3316730771607094e-6,2.4907544085908255e-6,1.904590574951317e-6
146430,50607,49353,45909,4.978859890965064e-4,5.85362868224681e-4,4.726370200294054e-4
146262,911,885,862,8.962675836681039e-6,1.0496750721918479e-5,8.874362570854243e-6
138111,1707,2079,1810,1.6793949125372703e-5,2.4658468645049173e-5,1.863410238195613e-5
136141,7481,5453,6521,7.360019531746526e-5,6.467658947640843e-5,6.713424399598669e-5
135888,29024,16581,11990,2.8554632654646594e-4,1.9666285166116418e-4,1.2343805942522317e-4
135773,2104,2384,2016,2.069974748669254e-5,2.827599290514537e-5,2.0754889724874892e-5
135765,41585,2113,2101,4.0912499963598355e-4,2.5061733644535306e-5,2.1629971880933603e-5
135618,9862,8546,3959,9.70251472023583e-5,1.0136184369436759e-4,4.075823830395818e-5
135617,3839,2545,3280,3.776916853679309e-5,3.0185571285065003e-5,3.37678761396774e-5
135613,6380,6278,1183,6.276824570584526e-5,7.446169608158668e-5,1.2179084595499501e-5
135609,876512,1195289,612917,0.008623373131680538,0.01417700641090533,0.00631003211582398
135193,950,909,784,9.346368874694826e-6,1.0781408368614573e-5,8.071346004118013e-6
135163,674,595,499,6.631002759520329e-6,7.057137491007339e-6,5.137247010274093e-6
135128,5042,2969,2569,4.960462301706454e-5,3.521452304336267e-5,2.6448071281350988e-5
134941,4949,5618,4818,4.868966269564705e-5,6.663361079744409e-5,4.960171562224565e-5
134750,1360,1475,1111,1.3380064915352593e-5,1.7494584536530797e-5,1.1437838533896827e-5
134464,3484,3242,3018,3.427657806256503e-5,3.845250377453074e-5,3.107056408217878e-5
134365,1618,1690,1426,1.591834193605919e-5,2.004464262151664e-5,1.4680790053408529e-5
134132,1570,2079,1810,1.544610435081145e-5,2.4658468645049173e-5,1.863410238195613e-5
133780,1056,931,493,1.0389226875450249e-5,1.104234454475266e-5,5.075476505140536e-6
133675,4932,4341,4958,4.852241188420514e-5,5.148745184615606e-5,5.1043027408695294e-5
133610,1795,1331,1085,1.7659718031660224e-5,1.5786638656354233e-5,1.117016634498475e-5
133584,21259,17662,12354,2.0915205884961823e-4,2.0948430649776742e-4,1.2718547006999227e-4
133018,10862,11165,8936,1.0686343022835285e-4,1.324251093900789e-4,9.199687231224307e-5
133012,1113,925,755,1.0950009007931938e-5,1.0971180133078635e-5,7.772788562639159e-6
133010,22921,25248,13226,2.2550328523882117e-4,2.994598443242912e-4,1.3616278348273578e-4
132978,7900,7673,7414,7.772243590535698e-5,9.100742179579716e-5,7.632775417669764e-5
131663,5411,5163,4502,5.323494945365653e-5,6.123697624549729e-5,4.634846901854502e-5
131662,2772,3482,56684,2.7271720548056903e-5,4.1299080241491686e-5,5.835665521650835e-4
131597,360,836,578,3.5417818893580395e-6,9.915574693247286e-6,5.950558661199249e-6
131464,25434,25624,17743,2.502268904831455e-4,3.0391948078919675e-4,1.8266567876411467e-4
131450,49193,33673,24166,4.839746568977501e-4,3.9938653904989934e-4,2.487910045095866e-4
131202,1381,1071,1282,1.3586668858898479e-5,1.270284748381321e-5,1.3198297930203179e-5
131168,7028,1847,6530,6.914345310668973e-5,2.190677806032026e-5,6.722689975368703e-5
131166,6676,9495,6924,6.568037748153965e-5,1.1261768147414232e-4,7.128316292412389e-5
130638,1707,2039,1810,1.6793949125372703e-5,2.4184039233889013e-5,1.863410238195613e-5
130597,9673,9010,8135,9.516571171044533e-5,1.0686522486382541e-4,8.375050987691332e-5
130558,6338,6457,5498,6.235503781875348e-5,7.658476769652837e-5,5.6602372870715354e-5
128297,2432,2272,2111,2.3926704319218756e-5,2.694759055389693e-5,2.1732922722822864e-5
128051,8205,8001,6563,8.072311222828532e-5,9.489774296731045e-5,6.756663753192158e-5
128047,7495,8775,6848,7.373793127982919e-5,1.0407795207325949e-4,7.05007365257655e-5
127640,42629,41892,2463,0.00041939616711512187,4.968699223080326e-4,2.535679235732483e-5
127380,4485889,4573154,3772651,0.044133445605195686,0.05424096898411794,0.038839759660436006
127358,1654,3833,2308,1.6272520124994994e-5,4.546219832442206e-5,2.3761054308041295e-5
127344,1387,1701,1210,1.3645698557054447e-5,2.0175110709585687e-5,1.2457051868600506e-5
127277,56467,222703,317582,5.555383276288345e-4,0.002641421328840012,0.0032695334268875087
126690,881,676,623,8.667527345901202e-6,8.017857048606658e-6,6.413837449700921e-6
126585,6429,7207,5693,6.325032157411898e-5,8.548031915578133e-5,5.860991428755593e-5
126582,9132,8188,7260,8.984320059338226e-5,9.711570046448418e-5,7.474231121160303e-5
125960,3056,33059,1291,3.0065792927439356e-5,3.9210404758859094e-4,1.3290953687903514e-5
125884,4599,4052,3538,4.524626363654895e-5,4.8059699350523925e-5,3.642400786042032e-5
125816,3374,3484,2853,3.319436692970563e-5,4.1322801712049695e-5,2.9371875191005985e-5
125811,34121,35972,29652,3.356920551299602e-4,4.266543694563294e-4,3.0526983637003485e-4
125810,236,346,279,2.321834794134715e-6,4.10381440653536e-6,2.872328488710364e-6
125802,3415,3597,2080,3.35977365337714e-5,4.2663064798577136e-5,2.1413775112966158e-5
125785,1387,1600,1689,1.3645698557054447e-5,1.897717644640629e-5,1.7388397195096075e-5
125241,1040,743,652,1.0231814347034336e-5,8.812526312299921e-6,6.7123948911797765e-6
125070,7329,7826,5880,7.210477629751409e-5,9.282211429348476e-5,6.05350950308851e-5
124960,37071,22572,19040,3.647149900566441e-4,2.677205167176767e-4,1.9601840295715176e-4
124615,62995,32087,50829,6.19762639222527e-4,3.805754128973991e-4,5.232888342389215e-4
124607,889,597,670,8.746233610109158e-6,7.080858961565347e-6,6.897706406580445e-6
124605,2582,2501,1067,2.5402446773117937e-5,2.966369893278883e-5,1.0984854829584082e-5
124602,243,311,291,2.3907027753166767e-6,3.6886886717702223e-6,2.995869498977477e-6
124356,466,961,481,4.584639890113462e-6,1.1398166603122777e-5,4.951935494873424e-6
123962,5492,5327,3559,5.403185037876209e-5,6.318213683125393e-5,3.664020462838776e-5
121482,113,186,153,1.1117259819373847e-6,2.206096761894731e-6,1.5751478809056836e-6
120954,10119,9138,7135,9.95535859400389e-5,1.0838339897953792e-4,7.345542568798727e-5
120744,5912,12360,5720,5.81639292496798e-5,1.4659868804848858e-4,5.888788156065693e-5
120466,730399,691038,619258,0.007185872083903397,0.008196218785732318,0.00637531324466596
119025,1272,1446,1018,1.2514296009065072e-5,1.7150623213439683e-5,1.0480395704326705e-5
118964,1418,1100,1177,1.3950685330860277e-5,1.3046808806904323e-5,1.2117314090365945e-5
117982,225573,231152,195913,0.0022192510170226695,0.0027416326812123165,0.002016940828705067
113563,794,749,653,7.811596722639676e-6,8.883690723973944e-6,6.722689975368702e-6
111826,4396,2245,1749,4.324909218227206e-5,2.6627350701363824e-5,1.8006102246431638e-5
111821,48410,56746,4055,4.7627128128839634e-4,6.730492841423571e-4,4.174656638609508e-5
111776,1857,2284,1884,1.8269691579271888e-5,2.7089919377244976e-5,1.9395938611936655e-5
111399,57660,75574,52330,5.67275399278846e-4,8.96363207975443e-4,5.387417556064995e-4
110889,16338,13533,18312,1.6073786807869903e-4,1.605113305307602e-4,1.8852358166761358e-4
110873,23033,9603,16875,2.2660517293773255e-4,1.1389864088427475e-4,1.7372954568812686e-4
110842,18294,21147,12665,1.7998154967754438e-4,2.508189689450961e-4,1.3038724125274826e-4
110801,21224,18958,9333,2.0880771894370842e-4,2.2485581941935652e-4,9.60840207352467e-5
110604,8457,5395,4843,8.320235955083594e-5,6.398866683022621e-5,4.9859092726968795e-5
110368,3251,3284,3016,3.1984258117508294e-5,3.895065465624891e-5,3.104997391380093e-5
110134,7196,7301,6301,7.079628465505681e-5,8.65952282720077e-5,6.486932547442296e-5
110022,976,1025,1037,9.602164233370685e-6,1.2157253660979029e-5,1.06760023039163e-5
109990,15490,19121,9825,1.5239500407265564e-4,2.2678911926983416e-4,1.0114920215619832e-4
109714,21567,18958,4106,2.1218225002162455e-4,2.2485581941935652e-4,4.227161567973031e-5
109532,509,422,382,5.007686060231228e-6,5.005230287739659e-6,3.932722160169746e-6
109395,21567,18581,12227,2.1218225002162455e-4,2.2038432221917204e-4,1.2587799437799866e-4
108950,1884,1947,1943,1.853532522097374e-5,2.3092851588220654e-5,2.000334857908329e-5
108834,2801,2525,2944,2.7557030755810747e-5,2.9948356579484925e-5,3.0308727852198253e-5
108829,12220,11003,7943,1.2022381857765345e-4,1.3050367027488024e-4,8.177385371263951e-5
108825,76480,15325,45099,7.524318858280635e-4,1.8176576815073523e-4,4.642980018363753e-4
108314,4903597,4484685,4062108,0.048242975131417815,0.05319166159471974,0.04181974384450997
107237,13786,8137,13306,1.3563056979636092e-4,9.651080296525498e-5,1.3698639021784986e-4
106482,2246,1966,1768,2.209678367638377e-5,2.3318205558521728e-5,1.8201708846021235e-5
106387,4795,12356,2396,4.7174567109643885e-5,1.4655124510737258e-4,2.4667021716666784e-5
106385,2599,2936,2610,2.5569697584559845e-5,3.482311877915554e-5,2.6870169733096957e-5
106384,16654,18318,11261,1.638467655149133e-4,2.17264948840794e-4,1.1593294305149611e-4
105630,205139,203533,176046,0.002018215541669497,0.002414051033541507,0.001812408391123673
105516,262,1116,128,2.577630152810573e-6,1.3236580571368387e-5,1.3177707761825328e-6
105081,922,5573,1097,9.070896949966978e-6,6.60998777098889e-5,1.1293707355251863e-5
104922,9301,11211,8040,9.150587042477535e-5,1.3297070321291308e-4,8.277247687896534e-5
104366,3069,3365,2953,3.0193690606777288e-5,3.991137421384823e-5,3.0401383609898586e-5
104365,11341,12464,10638,1.1157596779780423e-4,1.4783220451750499e-4,1.0951910560179518e-4
104288,823,671,770,8.096906930393519e-6,7.958553372211637e-6,7.92721482547305e-6
103129,63623,45514,40922,6.259410809628515e-4,5.398295054885849e-4,4.2129543517923127e-4
102809,803,774,743,7.900141269873626e-6,9.180209105949043e-6,7.649247552372045e-6
102715,1314,2123,621,1.2927503896156844e-5,2.5180340997325343e-5,6.393247281323069e-6
102679,457,344,183,4.496095342879511e-6,4.080092935977352e-6,1.8840004065734649e-6
102223,35064,39558,28482,3.44969556023473e-4,4.6918696616683747e-4,2.932245878689914e-4
100947,2188,2375,1902,2.1526163260876084e-5,2.8169246287634334e-5,1.9581250127337324e-5
100916,2000,1992,1856,1.9676566051989108e-5,2.362658467577583e-5,1.9107676254646725e-5
100897,36960,33872,26798,3.636229406407587e-4,4.017468253704211e-4,2.758876660948399e-4
100896,4161,3824,2775,4.093709567116334e-5,4.5355451706911034e-5,2.8568858624269752e-5
100879,12234,13086,8733,1.2036155454001738e-4,1.5520958186104544e-4,8.990697022189108e-5
100877,797,692,633,7.84111157171766e-6,8.20762881307072e-6,6.516788291590181e-6
100876,31012,52171,47295,3.0510483320214313e-4,6.187864202409141e-4,4.8690600671525693e-4
100865,2281966,2632184,1908466,0.022450627363696688,0.031219637629629683,0.019647818141702918
100343,429,481,268,4.220623418151664e-6,5.705013669200891e-6,2.759082562632178e-6
100017,5600,5158,4887,5.5094384945569505e-5,6.117767256910227e-5,5.0312076431281547e-5
97828,184087,661598,229480,0.0018111000074062594,0.007847038739118442,0.002362515919674747
89252,255,358,342,2.5087621716286112e-6,4.246143229883407e-6,3.5209187926127047e-6
89241,13082,11934,10038,1.2870441854606076e-4,1.415460148196329e-4,1.0334205508843956e-4
89209,1190,973,324,1.1707556800933519e-5,1.1540495426470825e-5,3.335607277212036e-6
88847,12838,11846,9712,1.263038774877181e-4,1.4050227011508056e-4,9.998585764284967e-5
87951,1981,1556,941,1.948963867449521e-5,1.8455304094130118e-5,9.687674221779402e-6
87822,8524,8507,6291,8.386152451357758e-5,1.0089927501848644e-4,6.47663746325337e-5
85117,3296,2729,1849,3.242698085367805e-5,3.2367946576401724e-5,1.9035610665324243e-5
85067,5346,4868,4415,5.2595461056966884e-5,5.7738059338191135e-5,4.5452796694108455e-5
84910,2455021,2625424,2146529,0.024153191432760176,0.031139459059143615,0.022098696768971218
84326,10377,8206,7646,1.0209186296074549e-4,9.732919369950625e-5,7.871621370852848e-5
84216,798,1667,656,7.850949854743655e-6,1.9771845710099554e-5,6.75357522793548e-6
84181,31967,8049,17247,3.145003934919679e-4,9.546705826070264e-5,1.7755931700640736e-4
84151,3122,2572,2497,3.0715119607155e-5,3.050581113759811e-5,2.5706825219748313e-5
84116,36213,27459,30063,3.562737432203408e-4,3.2568393002616893e-4,3.0950111597168343e-4
84105,15391,15889,3371,1.5142101405308218e-4,1.8845522284809346e-4,3.470472880086967e-5
84063,1306,1050,544,1.2848797631948888e-5,1.2453772042954128e-5,5.600525798775764e-6
66305,5603,5090,4212,5.512389979464748e-5,6.0371142570130006e-5,4.336289460375647e-5
62639,1981,1556,990,1.948963867449521e-5,1.8455304094130118e-5,1.0192133347036777e-5
62566,1438,2482,1271,1.4147450991380168e-5,2.9438344962487756e-5,1.3085052004124993e-5
46351,1326345,1295933,1155150,0.013048957500112746,0.0153707182523254,0.011892366500837913
43762,3292,1687,2729,3.2387627721574075e-5,2.0009060415679632e-5,2.8095284751579156e-5
42357,5750,3463,5078,5.657012739946868e-5,4.107372627119061e-5,5.227843751136641e-5
42187,3856,4260,2259,3.7936419348235e-5,5.052673228855674e-5,2.3256595182783916e-5
42007,2441,3501,2816,2.4015248866452707e-5,4.152443421179276e-5,2.899095707601572e-5
41805,467,382,300,4.5944781731394565e-6,4.530800876579502e-6,3.0885252566778113e-6
41682,4258,4478,3234,4.189140912468481e-5,5.31123725793796e-5,3.329430226698681e-5
37755,362572,380178,308199,0.0035670859533008976,0.004509190616901157,0.003172934651942816
34444,75226,81124,73557,7.400946789134663e-4,9.621902887739149e-4,7.572755076848325e-4
34183,1970,1547,1388,1.9381417561209272e-5,1.834855747661908e-5,1.428957685422934e-5
34113,4106,3186,4123,4.039599010473364e-5,3.778830259890652e-5,4.244663211094205e-5
34078,440,516,462,4.328844531437604e-6,6.120139403966028e-6,4.756328895283829e-6
34033,250,284,202,2.4595707564986385e-6,3.3684488192371163e-6,2.0796070061630595e-6
34029,2819,2208,1897,2.7734119850278647e-5,2.6188503496040678e-5,1.9529774706392694e-5
34012,10676,11687,9658,1.0503350958551786e-4,1.3861641320571895e-4,9.942992309664766e-5
33993,21156,22314,18240,2.081387156979408e-4,2.646604470156937e-4,1.8778233560601092e-4
31601,363,536,100,3.571296738436023e-6,6.3573541095461065e-6,1.0295084188926036e-6
31362,5213,3567,2687,5.128696941450961e-5,4.2307242740207024e-5,2.7662891215644262e-5
26868,54254,35859,42838,5.337662072923085e-4,4.2531410636980195e-4,4.4102081648521356e-4
26755,7273,7665,6628,7.155383244805839e-5,9.091253591356513e-5,6.823581800420177e-5
26641,27910,42819,22724,2.74586479255508e-4,5.078648239116693e-4,2.3394549310915526e-4
25326,10670,30016,9209,1.0497447988736189e-4,3.56011830134582e-4,9.480743029581988e-5
22885,26464,13321,11119,2.603603219999199e-4,1.5799685465161137e-4,1.1447104109666861e-4
22803,866,1933,2898,8.519953100511284e-6,2.29268012943146e-5,2.9835153979507657e-5
22735,4758,4195,3376,4.6810550637682085e-5,4.975578449542149e-5,3.47562042218143e-5
21709,34023,34091,28143,3.347279033934127e-4,4.04344326396523e-4,2.8973455432894547e-4
21704,13720,15740,12370,1.3498124311664528e-4,1.8668797329152186e-4,1.2735019141701508e-4
20330,2015,1468,1424,1.9824140297379026e-5,1.741155938957777e-5,1.4660199885030677e-5
20281,1389,1167,1279,1.3665375123106435e-5,1.3841478070597587e-5,1.3167412677636402e-5
18488,1150,892,1183,1.1314025479893737e-5,1.0579775868871506e-5,1.2179084595499501e-5
18388,1375,1239,820,1.3527639160742512e-5,1.469545101068587e-5,8.44196903491935e-6
18382,699,926,779,6.876959835170193e-6,1.098304086835764e-5,8.019870583173382e-6
18361,7854,8314,5547,7.726987488616123e-5,9.861015310963868e-5,5.7106831995972725e-5
18321,2005,2329,2064,1.972575746711908e-5,2.7623652464800155e-5,2.124905376594334e-5
18318,11425,11224,10378,1.1240238357198778e-4,1.331248927715401e-4,1.0684238371267442e-4
18305,5240,2866,2605,5.1552603056211464e-5,3.3992867309625265e-5,2.6818694312152327e-5
18226,9212,6248,8573,9.063026323546183e-5,7.410587402321656e-5,8.825975675166292e-5
18176,3903,2295,2703,3.8398818650456744e-5,2.722038746531402e-5,2.7827612562667077e-5
18173,89860,91486,73578,8.840681127158706e-4,0.0010850912277349536,7.574917044527999e-4
18164,1180,1412,1429,1.1609173970673574e-5,1.674735821395355e-5,1.4711675305975307e-5
18157,1683,1752,1290,1.6557830332748834e-5,2.0780008208814888e-5,1.3280658603714588e-5
18023,2003,1151,687,1.9706080901067093e-5,1.3651706306133524e-5,7.072722837792187e-6
17962,4396,2245,1749,4.324909218227206e-5,2.6627350701363824e-5,1.8006102246431638e-5
17948,5772,9061,5207,5.6786569626040565e-5,1.0747012236305461e-4,5.3606503371737875e-5
17872,2450,2472,1656,2.410379341368666e-5,2.9319737609697718e-5,1.7048659416861518e-5
17775,10796,12708,10024,1.062141035486372e-4,1.5072622392558194e-4,1.031979239097946e-4
17710,2476,2216,1801,2.4359588772362514e-5,2.628338937827271e-5,1.8541446624255792e-5
17702,341,348,276,3.354854511864143e-6,4.127535877093368e-6,2.8414432361435862e-6
17663,2303,2456,1708,2.265756580886546e-5,2.9129965845233654e-5,1.7584003794685672e-5
17504,788,656,542,7.752567024483708e-6,7.780642343026578e-6,5.579935630397912e-6
17480,1416,332,655,1.3931008764808289e-5,3.937764112629305e-6,6.7432801437465545e-6
17471,5222,5122,4532,5.137551396174356e-5,6.0750686099058134e-5,4.66573215442128e-5
17425,31472,34358,29584,3.096304433941006e-4,4.0751114271601706e-4,3.045697706451879e-4
17350,285,229,170,2.803910662408448e-6,2.7161083788919e-6,1.7501643121174262e-6
17349,1948,1647,1239,1.916497533463739e-5,1.9534631004519476e-5,1.275560931007936e-5
17334,3924,3857,3084,3.860542259400263e-5,4.574685597111816e-5,3.17500396386479e-5
17297,3561,2561,2548,3.5034125855566607e-5,3.0375343049529067e-5,2.6231874513383543e-5
17289,1944,1927,1599,1.9125622202533413e-5,2.2855636882640573e-5,1.6461839618092734e-5
17225,458,403,396,4.505933625905506e-6,4.7798763174385845e-6,4.076853338814711e-6
17191,6072,6318,5418,5.9738054533838934e-5,7.493612549274684e-5,5.577876613560127e-5
17188,1113,1287,877,1.0950009007931938e-5,1.526476630407806e-5,9.028788833688134e-6
17186,4578,4583,3447,4.5039659693003065e-5,5.4357749783675015e-5,3.548715519922805e-5
17069,495,636,636,4.869950097867304e-6,7.5434276374465e-6,6.547673544156959e-6
17045,30015,29736,25048,2.9529606502522654e-4,3.526908242564609e-4,2.578712687642194e-4
17011,3247,3665,2797,3.1944904985404315e-5,4.34695947975494e-5,2.8795350476426124e-5
17010,23251,24612,19045,2.2874991863739937e-4,2.919164166868447e-4,1.9606987837809638e-4
16857,6530,6610,5647,6.424398815974443e-5,7.839946019421598e-5,5.813634041486533e-5
16852,35064,34411,28482,3.44969556023473e-4,4.0813976168580424e-4,2.932245878689914e-4
16817,2237,2072,1682,2.2008239129149818e-5,2.4575443498096145e-5,1.7316331605773593e-5
16810,3064,5594,5823,3.0144499191647313e-5,6.6348953150748e-5,5.9948275232116316e-5
16794,18928,28796,29865,1.8621902111602492e-4,3.4154173309419717e-4,3.074626893022761e-4
16793,4026,2227,3293,3.960892746265407e-5,2.6413857466341755e-5,3.390171223413344e-5
16747,21046,22099,17563,2.0705650456508137e-4,2.6211038893070787e-4,1.80812563610108e-4
16688,1251,978,955,1.2307692065519187e-5,1.1599799102865844e-5,9.831805400424365e-6
16594,89584,93795,76617,8.813527466006962e-4,0.0011124776654941736,7.887784653029462e-4
16549,1940,1944,1576,1.9086269070429433e-5,2.305726938238364e-5,1.6225052681747434e-5
14835,1181,1223,972,1.1619012253699569e-5,1.4505679246221807e-5,1.0006821831636109e-5
14816,4537,3230,2947,4.463629008893729e-5,3.8310174951182696e-5,3.0339613104765032e-5
