BinBase name,F_SF_10_010,F_SF_11_011,F_SF_12_012,normF_SF_10_010,normF_SF_11_011,normF_SF_12_012
maltose,9352,9929,8537,9.200762285910106e-5,1.1776524058523002e-4,8.788913372086158e-5
malonic acid,1102,564,972,1.0841787894645999e-5,6.6894546973582165e-6,1.0006821831636109e-5
malic acid,883901,915790,725416,0.008696068204959613,0.01086194276115901,0.00746821879199397
maleic acid,5158,3501,5576,5.074586384807991e-5,4.152443421179276e-5,5.740538943745158e-5
lyxose,366041,371667,1973658,0.0036012149571180724,0.004408243898941554,0.020318975270147383
lysine,282173,293530,250700,0.002776097836293961,0.0034814816264460238,0.0025809776061637576
loganin,781,716,390,7.683699043301747e-6,8.492286459766814e-6,4.015082833681155e-6
linolenic acid,8888,3903,258,8.74426595350396e-5,4.629244979395234e-5,2.6561317207429175e-6
linoleic acid,46063,22431,17470,4.5318083102638716e-4,2.660481530433372e-4,1.7985512078053787e-4
lignoceric acid,15051,20956,19664,1.4807599782424403e-4,2.4855356850680635e-4,2.024425354910416e-4
levoglucosan,1693,1551,1397,1.665621316300878e-5,1.8396000417735096e-5,1.4382232611929675e-5
leucrose,2976,3597,3011,2.9278730285359793e-5,4.2663064798577136e-5,3.09984984928563e-5
leucine,380378,226603,283093,0.0037422664208617566,0.002687678196428128,0.0029144662682956384
lauric acid,390,6790,4895,3.836930380137876e-6,8.053439254443669e-5,5.039443710479295e-5
lactic acid,87289,85000,86149,8.587738870560386e-4,0.0010081624987153342,8.869112077917892e-4
kojic acid,737,569,451,7.250814590157986e-6,6.748758373753237e-6,4.643082969205643e-6
itaconic acid,13050,19014,2938,1.2838959348922892e-4,2.2552002059498074e-4,3.0246957347064695e-5
isothreonic acid,6407,6681,5281,6.303387934754711e-5,7.924157239902526e-5,5.43683396017184e-5
isomaltose,2930,3450,2983,2.8826169266164044e-5,4.091953671256356e-5,3.071023613556637e-5
isoleucine,143023,90640,80994,0.0014071007532268191,0.0010750570456889163,8.338400487978754e-4
isocitric acid,148473,145411,123568,0.0014607193957184895,0.0017246813776552407,0.0012721429630572125
indole-3-propionic acid,57983,47720,36128,5.704531646962423e-4,5.659942875140676e-4,3.719408015775199e-4
homoserine,4468,2482,2572,4.3957448560143666e-5,2.9438344962487756e-5,2.6478956533917767e-5
histidine,3852,20797,16285,3.789706621613102e-5,2.4666771159744476e-4,1.6765544601666051e-4
hexadecylglycerol NIST,3122,3329,2470,3.0715119607155e-5,3.948438774380409e-5,2.542885794664731e-5
heptadecanoic acid,15790,9123,8817,1.55346488980454e-4,1.0820548795035286e-4,9.077175729376086e-5
guanosine,145,110,110,1.4265510387692104e-6,1.3046808806904323e-6,1.1324592607818641e-6
guanine,4305,3607,2218,4.235380842690655e-5,4.278167215136718e-5,2.283449673103795e-5
glycolic acid,7402,8981,4711,7.282297095841168e-5,1.065212635407343e-4,4.850014161403056e-5
glycine,28403,25455,25972,2.794367527873233e-4,3.0191501652704507e-4,2.6738392655478705e-4
glycerol-alpha-phosphate,3873,4544,3477,3.810367015967691e-5,5.389518110779386e-5,3.579600772489583e-5
glycerol-3-galactoside,104703,107622,82235,0.0010300977476707077,0.001276476052196961,8.466162482763327e-4
glycerol,5164241,2008978,4518781,0.050807264572445145,0.023827956239342758,0.046521230826319385
glyceric acid,70924,60427,55442,6.977703853356378e-4,7.167086507043705e-4,5.707800576024374e-4
glutaric acid,602,1076,500,5.922646381648722e-6,1.2762151160208229e-5,5.1475420944630186e-6
glutamine,85454,81294,69016,8.407206377033386e-4,9.642066137713455e-4,7.105255303829194e-4
glutamic acid,68999,33172,54674,6.788316905105982e-4,3.934443106751184e-4,5.628734329453422e-4
glucose,2820777,3595886,3038656,0.02775160247921584,0.042649851939476326,0.031283219341185234
gluconic acid lactone,5547893,5093220,4596150,0.05458174153193401,0.0604093341377284,0.04731775119493241
gluconic acid,732341,753384,611496,0.007204978029539877,0.008935688187437098,0.006295402801191516
glucoheptulose,7041,15112,15339,6.927135078602766e-5,1.792394315363074e-4,1.5791629637393648e-4
galacturonic acid,5513825,3929360,3524331,0.05424657090580442,0.046605098775906885,0.03628328435464189
galactonic acid,607242,570609,479240,0.005974218661270985,0.006767842296817154,0.004933816146700914
galactinol,12416,9389,14120,1.2215212205074838e-4,1.1136044353456791e-4,1.4536658874763565e-4
fumaric acid,1524,1288,1162,1.49935433316157e-5,1.5276627039357063e-5,1.1962887827532055e-5
fucose,82269,89810,69851,8.09385706265546e-4,0.0010652126354073431,7.191219256806726e-4
fructose,6621724,7299016,6507877,0.06514639483202077,0.08657169657321416,0.06699914160617541
flavin adenine,1489,1091,1476,1.4649203425705891e-5,1.2940062189393288e-5,1.5195544262854831e-5
ethanolamine,287859,153526,281754,0.002832038313579766,0.0018209312444443574,0.0029006811505666668
ethanol phosphate NIST,740,756,552,7.28032943923597e-6,8.966715870926972e-6,5.6828864722871724e-6
erythrose major,1521,1720,1546,1.4964028482537717e-5,2.040046467988676e-5,1.5916200156079653e-5
erythronic acid lactone,2098,1779,1598,2.0640717788536574e-5,2.1100248061347994e-5,1.6451544533903807e-5
erythritol,37699,38333,32162,3.708934317969687e-4,4.546575654500577e-4,3.311104976842392e-4
dihydroxyacetone,64112,79493,72388,6.307520013625629e-4,9.428454295338594e-4,7.45240554267978e-4
digitoxose,20491,22143,18924,2.015962574856544e-4,2.62632261282984e-4,1.9482417319123633e-4
digalacturonic acid,97768,79403,56488,9.618692548854355e-4,9.417779633587491e-4,5.815487156640539e-4
dehydroascorbic acid,17066,6019,36807,1.6790013812162307e-4,7.138976564432466e-5,3.7893116374180066e-4
dehydroabietic acid,3809,1477,1377,3.747402004601326e-5,1.7518306007088806e-5,1.4176330928151154e-5
conduritol-beta-epoxide,68922,75447,52443,6.780741427175966e-4,8.948568945950096e-4,5.399051001198482e-4
citric acid,2847083,5785759,6121660,0.028010408352497653,0.0686233558871145,0.06302300507598096
citramalic acid,10164,10709,8485,9.999630867620864e-5,1.270166141028531e-4,8.735378934303743e-5
cis-p-coumaric acid HMDB,2098,1673,1622,2.0640717788536574e-5,1.9843010121773577e-5,1.6698626554438034e-5
cinnamic acid,7225,6086,5227,7.108159486281065e-5,7.218443490801792e-5,5.3812405055516396e-5
chlorogenic acid,239,183,116,2.3513496432126985e-6,2.1705145560577195e-6,1.1942297659154203e-6
cerotinic acid,1907,1176,1025,1.8761605730571613e-5,1.3948224688108623e-5,1.0552461293649188e-5
cellobiose,35189,37068,34303,3.461993414017224e-4,4.3965373532211773e-4,3.531522729327298e-4
catechin,4087,5190,5349,4.0209062727239744e-5,6.15572160980304e-5,5.506840532656537e-5
caproic acid HMDB,7840,3525,8064,7.71321389237973e-5,4.180909185848886e-5,8.301955889949957e-5
campesterol HMDB,2176,1293,984,2.1408103864564148e-5,1.5335930715752082e-5,1.013036284190322e-5
beta-sitosterol,69045,39506,30972,6.79284251529794e-4,4.685702079323293e-4,3.188593474994172e-4
beta-mannosylglycerate,10694,7774,10298,1.0521059867998576e-4,9.220535605897656e-5,1.0601877697756033e-4
beta-gentiobiose,4578,5001,4319,4.5039659693003065e-5,5.931553713029866e-5,4.4464468611971553e-5
beta-alanine,5520,6413,5551,5.430732230348994e-5,7.606289534425221e-5,5.7148012332728435e-5
benzoic acid,25921,20119,18234,2.5501813431680483e-4,2.386261330782801e-4,1.8772056510087736e-4
aspartic acid,100415,57313,76113,9.879111900552432e-4,6.797743210455523e-4,7.835897428717275e-4
asparagine,123790,90341,99828,0.0012178810557878657,0.0010715106858404941,0.0010277376644121084
arbutin,786,848,755,7.73289045843172e-6,1.0057903516595334e-5,7.772788562639159e-6
arachidic acid,46774,24944,22147,4.6017585025786927e-4,2.9585418079947404e-4,2.2800522953214496e-4
arabitol,231730,281655,246062,0.002279825325613718,0.003340635395007852,0.0025332290056955184
alpha-ketoglutarate,25257,24464,20561,2.4848551438754444e-4,2.9016102786555214e-4,2.1167722600850825e-4
alanine,344208,324665,444945,0.0033864157238115335,0.003850765619357811,0.004580746234441695
adipic acid,11230,10471,8379,1.1048391838191885e-4,1.2419375910645015e-4,8.626251041901126e-5
adenosine,215,158,88,2.115230850588829e-6,1.8739961740826211e-6,9.059674086254913e-7
adenine,49555,33673,25472,4.8753611535316013e-4,3.9938653904989934e-4,2.6223638446032404e-4
aconitic acid,11656,10502,6877,1.1467502695099253e-4,1.2456144190009928e-4,7.079929396724436e-5
6-deoxyhexitol NIST,249,2125,132,2.449732473472644e-6,2.5204062467883352e-5,1.358951112938237e-6
6-deoxyglucose,298759,316631,254271,0.002939275598563107,0.0037554764721262936,0.0026177413518024125
6-deoxyglucitol,18867,7802,6499,1.8561888585143924e-4,9.253745664678867e-5,6.690775214383032e-5
5-methyluridine NIST,97,120,619,9.543134535214717e-7,1.4232882334804716e-6,6.372657112945217e-6
5-hydroxynorvaline NIST,4074,2447,916,4.008116504790181e-5,2.9023219227722618e-5,9.43029711705625e-6
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,89,159,107,8.756071893135153e-7,1.885856909361625e-6,1.101574008215086e-6
5'-deoxy-5'-methylthioadenosine,365,350,293,3.5909733044880123e-6,4.151257347651376e-6,3.016459667355329e-6
4-hydroxymandelic acid,476,453,417,4.683022720373408e-6,5.372913081388781e-6,4.2930501067821575e-6
4-hydroxybutyric acid,4364,4675,4117,4.2934267125440236e-5,5.5448937429343374e-5,4.2384861605808496e-5
4-hydroxybenzoic acid,37193,29509,18490,3.659152605858154e-4,3.4999843734812697e-4,1.9035610665324242e-4
4-aminobutyric acid,69387,72710,59273,6.826489443246841e-4,8.623940621363758e-4,6.10220525130213e-4
3-phenyllactic acid,3537,3789,2560,3.479800706294274e-5,4.4940325972145896e-5,2.6355415523650655e-5
