BinBase name,F_PAT_19_019,F_PAT_20_020,F_PAT_21_021,normF_PAT_19_019,normF_PAT_20_020,normF_PAT_21_021
mannitol,3047579,4441572,2626503,0.043473709094689575,0.06345424479515048,0.035110625413567
maltose,6148,6329,4834,8.770120922678346e-5,9.041886865922861e-5,6.462005307025459e-5
malonic acid,101,173,169,1.4407648230164492e-6,2.4715538439005452e-006,2.2591619712190784e-6
malic acid,1227443,1097353,1535143,0.017509472244136428,0.015677266041998813,0.02052151885197142
maleic acid,5198,2161,3062,7.414946089148022e-5,3.087299339115074e-5,4.093227192824153e-5
lyxose,110886,72220,110291,0.0015817885956930888,0.0010317665815404472,0.0014743504909332744
lysine,29847,25589,38528,4.2576740269873223e-4,3.6557567232121995e-4,5.150354581486903e-4
loganin,361,298,398,5.149664367415229e-6,4.257358644406719e-6,5.320393281332505e-6
linolenic acid,882,1429,1438,1.2581728454460476e-5,2.0415320479386583e-5,1.9222928488834527e-5
linoleic acid,14415,11121,8031,2.05629949740417e-4,1.5887948149143332e-4,1.073569810110084e-4
lignoceric acid,5289,2116,6362,7.54475757320198e-5,3.0230103662968516e-5,8.504608556743064e-5
levoglucosan,1001,1183,1290,1.4279263245935302e-5,1.6900856631990434e-5,1.724449078622847e-5
leucrose,6694,4467,5730,9.54898982700209e-5,6.381752035088864e-5,7.659762186441018e-5
leucine,11687,15486,38838,1.6671503452072515e-4,2.2123978512510892e-4,5.191794830663111e-4
lauric acid,4850,4632,2756,6.918524150128494e-5,6.61747826875568e-5,3.684171829988036e-5
lactic acid,43912,31813,54284,6.264046030524586e-4,4.544944649480234e-4,7.256588665423459e-4
kojic acid,155,173,127,2.2110747283915805e-6,2.4715538439005452e-006,1.6977134339930354e-6
itaconic acid,9750,13021,14296,1.3908373291495425e-4,1.8602371445912715e-4,1.9110638781389316e-4
isothreonic acid,2425,2094,2777,3.459262075064247e-5,2.991580201807943e-5,3.7122442568493376e-5
isomaltose,9471,5799,9222,1.351037984038494e-4,8.284705630508244e-5,1.232780573880612e-4
isoleucine,7442,10809,14125,1.0616011695929124e-4,1.544221127093699e-4,1.888204901980443e-4
isocitric acid,14585,10088,14835,2.0805499944252386e-4,1.4412159062005027e-4,1.983116440416274e-4
indole-3-propionic acid,794,997,1646,1.1326408608663967e-5,1.4243579088837245e-5,2.200343553033493e-5
homoserine,1231,1391,1280,1.7560212842903453e-5,1.9872435820032707e-5,1.711081256307941e-5
histidine,3997,4789,1278,5.70171979960074e-5,6.841775351699254e-5,1.70840769184496e-5
hexadecylglycerol NIST,3581,2219,1440,5.108295872496935e-5,3.170160681858561e-5,1.9249664133464337e-5
heptadecanoic acid,8849,10041,4773,1.262309694937877e-4,1.4345012801505997e-4,6.380461590904534e-5
guanosine,175,170,204,2.4963746933453327e-6,2.428694528688397e-6,2.7270357522407814e-6
guanine,147,162,133,2.0969547424100795e-6,2.314403021456002e-6,1.77792036788247e-6
glycolic acid,2332,3410,2006,3.3265975913607516e-5,4.871675495780843e-5,2.6815851563701014e-5
glycine,7716,6272,9762,1.1006872647915764e-4,8.96045416701978e-5,1.3049668143811033e-4
glycerol-alpha-phosphate,203,280,359,2.895794644280586e-6,4.00020275313383e-6,4.799048211051178e-6
glycerol-3-galactoside,19150,12967,17738,2.7317471644321785e-4,1.8525224678530848e-4,2.371184322217989e-4
glycerol,2077535,1442334,1811617,0.02963603313450969,0.020605815849066178,0.024217374158662684
glyceric acid,11896,8181,10465,1.6969641915449187e-4,1.1687735258352809e-4,1.398942605254891e-4
glutaric acid,444,316,462,6.333659221973301e-6,4.514514535679608e-6,6.175933909486475e-6
glutamine,14102,11959,23910,2.0116500528889075e-4,1.708515168740267e-4,3.1962463154939743e-4
glutamic acid,5214,2047,10928,7.437770086344323e-5,2.924433941308911e-5,1.4608356225729048e-4
glucose,2101318,3143182,4120209,0.029975297587834446,0.04490487603571678,0.055078221812275674
gluconic acid lactone,3946018,5711913,5222175,0.056289939855343786,0.08160289324378898,0.06980910749734315
gluconic acid,66808,40659,54846,9.530160029315142e-4,5.808722990702443e-4,7.331715826833229e-4
glucoheptulose,5562,4654,5566,7.934192025363852e-5,6.648908433244587e-5,7.440529900476563e-5
galacturonic acid,2328138,1808678,2391176,0.03321088449037495,0.02583956683975925,0.03196481589166717
galactonic acid,1126,3198,4239,1.6062388026896255e-5,4.568803001614996e-5,5.6666198792885645e-5
galactinol,11963,6963,9510,1.7065217403708694e-4,9.947647060739593e-5,1.2712799021475407e-4
fumaric acid,1847,2345,2187,2.6347451763479026e-5,3.350169805749583e-5,2.9235427402698964e-5
fucose,29628,22677,33965,4.2264336808248864e-4,3.239735636886281e-4,4.5403808492577516e-4
fructose,5758951,7602538,6771713,0.08215142592351884,0.10861319085144487,0.09052305615153763
flavin adenine,164,203,212,2.339459712620769e-6,2.900146996022027e-6,2.8339783307600277e-6
ethanolamine,267833,216082,227471,0.003820637275672917,0.003087042183223801,0.0030407919097939352
ethanol phosphate NIST,789,395,705,1.125508361742553e-5,5.643143169599511e-6,9.424314732008582e-6
erythrose major,415,447,430,5.9199742727903604e-6,6.386037966610079e-6,5.74816359540949e-6
erythronic acid lactone,319,407,460,4.5505344410123495e-6,5.814580430448103e-6,6.149198264856664e-6
erythritol,5721,4441,6350,8.161005497502085e-5,6.344607295238335e-5,8.488567169965176e-5
dihydroxyacetone,570,3723,3394,8.131049001181941e-6,5.318841017827589e-5,4.537038893679025e-5
digitoxose,14053,11159,12785,2.0046602037475405e-4,1.5942236615078717e-4,1.7090760829607053e-4
digalacturonic acid,294322,231438,295933,0.004198502814255914,0.0033064247313563835,0.003955979761117015
dehydroascorbic acid,33021,24545,33159,4.7104450713689275e-4,3.5066063062739235e-4,4.432636201399611e-4
dehydroabietic acid,1245,617,828,1.775992281837108e-5,8.814732495298475e-6,1.1068556876741995e-5
conduritol-beta-epoxide,430,206,356,6.133949246505674e-6,2.943006311234175e-6,4.758944744106461e-6
citric acid,1036040,669493,935340,0.014779108784534277,0.009564670506442241,0.012503458924023983
citramalic acid,3443,2440,3138,4.911438896678846e-5,3.485890970588052e-5,4.194822642417437e-5
cis-p-coumaric acid HMDB,177,112,185,2.524904689840708e-6,1.600081101253532e-6,2.473047128257571e-6
cinnamic acid,368,458,351,5.2495193551490425e-6,6.543188789054622e-6,4.692105632531932e-6
chlorogenic acid,187,278,338,2.667554672317584e-6,3.971629876325731e-6,4.518323942438157e-6
cerotinic acid,1983,1083,460,2.8287491525164542e-5,1.5472212791585493e-5,6.149198264856664e-6
cellobiose,34961,22139,31766,4.987186037374067e-4,3.162874598272495e-4,4.2464224365529736e-4
catechin,224,318,306,3.1953596074820257e-6,4.5430874124877074e-006,4.090553628361172e-6
caproic acid HMDB,4658,20805,4562,6.644636183772891e-5,2.972293509962476e-4,6.098400540060021e-5
campesterol HMDB,1964,2458,1324,2.8016456558458476e-5,3.511606559715341e-5,1.7698996744935265e-5
beta-sitosterol,18158,20455,12787,2.590238381815117e-4,2.9222909755483034e-4,1.7093434394070033e-4
beta-mannosylglycerate,343,342,276,4.892894398956852e-6,4.8859619341848926e-6,3.689518958913998e-6
beta-gentiobiose,3829,2439,3958,5.462067829039588e-5,3.484462326747647e-5,5.290984072239712e-5
beta-alanine,1852,653,1911,2.6418776754717462e-5,9.329044277844254e-6,2.5545908443784966e-5
benzoic acid,11193,12078,8675,1.5966812538636748e-4,1.7255160304410858e-4,1.1596585858180773e-4
aspartic acid,22344,13471,32930,3.1873712084633205e-4,1.924526117409494e-4,4.4020238882984766e-4
asparagine,288961,183784,380241,0.004122028158650061,0.002625618795649814,0.005082994124842093
arbutin,432,316,493,6.1624792430010495e-6,4.514514535679608e-6,6.590336401248555e-6
arachidic acid,13712,12817,9190,1.9560165597229257e-4,1.8310928102470108e-4,1.2285028707398422e-4
arabitol,251849,189771,167646,0.003592625543681878,0.0027111517023748577,0.0022410619398046962
alpha-ketoglutarate,1852,1522,1484,2.6418776754717462e-5,2.174395925096318e-5,1.983784831532019e-5
alanine,167583,142680,334315,0.0023905712013422334,0.0020383890314897677,0.0044690635172077295
adipic acid,2214,3147,2732,3.158270612038038e-5,4.495942165754344e-5,3.652089056432262e-5
adenosine,94,133,104,1.3409098352826358e-6,1.9000963077385694e-6,1.3902535207502023e-6
adenine,3068,1427,1667,4.37650146239056e-5,2.0386747602578484e-5,2.228415979894795e-5
aconitic acid,476,740,810,6.790139165899305e-6,1.0571964418996551e-5,1.082793607507369e-5
6-deoxyhexitol NIST,823,617,785,1.1740093557846907e-5,8.814732495298475e-6,1.0493740517201045e-5
6-deoxyglucose,117156,88226,132607,0.0016712301347060904,0.0012604353146356618,0.0017726668137127122
6-deoxyglucitol,9725,6916,12581,1.3872710795876205e-4,9.880500800240561e-5,1.6818057254382974e-4
5-methyluridine NIST,160,173,139,2.2823997196300183e-6,2.4715538439005452e-006,1.8581273017719048e-6
5-hydroxynorvaline NIST,923,693,1021,1.316659338261567e-5,9.90050181400623e-6,1.3648546583518811e-5
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,139,170,799,1.9828347564285785e-6,2.428694528688397e-6,1.0680890029609726e-5
5'-deoxy-5'-methylthioadenosine,120,101,150,1.7117997897225139e-6,1.4429302788089888e-6,2.0051733472358685e-6
4-hydroxymandelic acid,293,1130,310,4.179644486572471e-6,1.6143675396575816e-5,4.144024917620795e-6
4-hydroxybutyric acid,432,410,309,6.1624792430010495e-6,5.857439745660252e-6,4.130657095305889e-6
4-hydroxybenzoic acid,1767,1496,2166,2.5206251903664017e-5,2.1372511852457894e-5,2.8954703134085943e-5
4-aminobutyric acid,17354,16229,24076,2.4755477959037086e-4,2.3185460885931762e-4,3.218436900536718e-4
3-phenyllactic acid,961,597,561,1.3708663316027798e-5,8.529003727217488e-6,7.499348318662148e-6
3-hydroxybutyric acid,21536,25465,17707,3.0721100226220046e-4,3.638041539591178e-4,2.3670402973003683e-4
3-hydroxy-3-methylglutaric acid,186,145,136,2.6532896740698964e-6,2.071533568587162e-6,1.8180238348271874e-6
3-dehydroshikimic acid,329,1092,1114,4.693184423489225e-6,1.5600790737221937e-5,1.489175405880505e-5
"3,6-anhydro-D-galactose",2638,1933,2772,3.763106537739993e-5,2.7615685435027478e-5,3.705560345691885e-5
"3,4-dihydroxycinnamic acid",1450,1103,1696,2.0684247459147043e-5,1.5757941559666482e-5,2.267182664608022e-5
"3,4-dihydroxybenzoic acid",4373,6178,6320,6.238083733713794e-5,8.826161646021716e-5,8.44846370302046e-5
3-(4-hydroxyphenyl)propionic acid,1065,1875,954,1.519222313378731e-5,2.6787072007592613e-5,1.2752902488420124e-5
2-monoolein,15701,10325,12278,2.2397473748694325e-4,1.4750747652181e-4,1.641301223824133e-4
2-isopropylmalic acid,1544,603,916,2.202515729442968e-5,8.614722357641784e-6,1.2244925240453704e-5
2-hydroxyglutaric acid,16246,4857,10474,2.31749161531933e-4,6.93892313284679e-5,1.4001457092632324e-4
2-deoxytetronic acid,137,279,254,1.9543047599332034e-6,3.985916314729781e-6,3.3954268679860707e-6
2-deoxyerythritol,10394,12534,12136,0.00014827039178646508,1.790662189563551e-4,1.6223189161369668e-4
"2,3-dihydroxypyridine",980,911,830,1.3979698282733862e-5,1.3014945386088998e-5,1.1095292521371807e-5
"2,3-dihydroxybutanoic acid NIST",236,217,267,3.366539586454277e-6,3.1001571336787184e-6,3.569208558079846e-6
1-monostearin,2270,1288,2233,3.2381546022250885e-5,1.8400932664415618e-5,2.9850347229184628e-5
1-monopalmitin,511,392,294,7.289414104568371e-6,5.600283854387362e-6,3.930139760582302e-6
1-methylinosine NIST,813,620,721,1.1597443575370031e-5,8.857591810510625e-6,9.638199889047075e-6
1-methyladenosine,5672,3753,5771,8.091107006088415e-5,5.361700333039738e-5,7.714570257932132e-5
1-kestose,201327,128752,136690,0.0028719293022122045,0.0018394075173981676,0.0018272476322244724
1-deoxyerythritol,10394,12534,12136,0.00014827039178646508,1.790662189563551e-4,1.6223189161369668e-4
519282,20298,11650,18953,2.8955093443156323e-4,1.6643700740717545e-4,2.5336033633440943e-4
519270,3646,2638,3498,5.201018361106904e-5,3.76876245098823e-5,4.6760642457540455e-5
519264,7694,3805,1265,1.097548965177085e-4,5.435989812740794e-5,1.6910295228355823e-5
519261,4033,2678,4147,5.753073793292415e-5,3.8259082046044276e-5,5.543635913991431e-5
519249,3480,1855,2828,4.96421939019529e-5,2.6501343239511625e-5,3.7804201506553576e-5
519244,25773,5366,18990,3.676517998376529e-4,7.666102847612905e-5,2.5385494576006095e-4
513995,3003,2152,1858,4.283778973780591e-5,3.0744415445514296e-5,2.4837413861094957e-5
513551,1062,666,1221,1.5149428139044247e-5,9.514767977096896e-6,1.632211104649997e-5
511927,82,131,147,1.1697298563103845e-6,1.8715234309304706e-6,1.965069880291151e-6
509528,533,206,356,7.603244066017499e-6,2.943006311234175e-6,4.758944744106461e-6
486482,93,97,118,1.3266448370349482e-6,1.3857845251927913e-6,1.5774030331588833e-6
486432,4037,3724,1959,5.7587797925914906e-5,5.3202696616679946e-5,2.6187563914900444e-5
480022,5592,11796,5204,7.976987020106915e-5,1.6852282741416664e-4,6.956614732676974e-5
475884,1061,777,706,1.513516314079656e-5,1.110056263994638e-5,9.437682554323487e-6
475793,2391,5245,4326,3.410761081022109e-5,7.493236942923907e-5,5.782919933428245e-5
474908,739,257,706,1.0541833705041148e-5,3.671614669840694e-6,9.437682554323487e-6
474901,9436,649,6056,1.3460452346518033e-4,9.271898524228057e-6,8.095553193906947e-5
472871,129172,67337,160298,0.0018426383536503047,9.62005902813474e-4,0.0021428351814347683
425117,2613,1741,1490,3.727444042120774e-5,2.4872689261449994e-5,1.9918055249209628e-5
418204,36322,8747,21810,5.181332663525095e-4,1.2496347672022004e-4,2.915522046880953e-4
417918,3030,1317,1300,4.3222944690493476e-5,1.881523937813305e-5,1.7378169009377526e-5
414322,129,117,156,1.8401847739517024e-6,1.671513293273779e-6,2.085380281125303e-6
408463,310721,268974,133787,0.0044324345205197435,0.0038426804832907818,0.001788440844044301
408457,364,137,404,5.192459362158292e-6,1.957242061354767e-6,5.40060021522194e-6
406896,2725,2665,1811,3.8872120224948754e-5,3.807335834679163e-5,2.4209126212294388e-5
404202,1285,5162,1240,1.8330522748278586e-5,7.374659504170297e-5,1.657609967048318e-5
403831,820,641,677,1.1697298563103844e-5,9.157607016995661e-6,9.05001570719122e-6
403585,4639,3229,4104,6.617532687102285e-5,4.613090960667549e-5,5.486154278037336e-5
403523,2825,1755,2629,4.0298620049717516e-5,2.5072699399106687e-5,3.514400486588732e-5
402069,391,447,304,5.577614314845858e-6,6.386037966610079e-6,4.06381798373136e-6
401267,31546,10118,20922,4.500036347215535e-4,1.4455018377217176e-4,2.7968157847245895e-4
401125,743,381,617,1.0598893698031898e-5,5.443133031942819e-6,8.247946368296873e-6
401121,159,410,218,2.2681347213823308e-6,5.857439745660252e-6,2.9141852646494624e-6
399830,243,279,163,3.4663945741880904e-6,3.985916314729781e-6,2.1789550373296437e-6
395982,1442,2676,3319,2.0570127473165542e-5,3.823050916923618e-5,4.4367802263172315e-5
395904,2974,1990,1269,4.242410478862297e-5,2.8430012424058294e-5,1.6963766517615446e-5
393358,3493,2857,3349,4.982763887917284e-5,4.081635452036912e-5,4.476883693261949e-5
391872,6078,3541,4201,8.670265934944532e-5,5.0588278388738905e-5,5.6158221544919224e-5
391843,1066,2096,1388,1.5206488132034997e-5,2.994437489488753e-5,1.8554537373089236e-5
391842,3368,2850,4718,4.804451409821189e-5,4.071634945154077e-5,6.306938568172552e-5
390218,37863,24233,37250,5.401156286521961e-4,3.4620326184532895e-4,4.979513812302407e-4
390208,3319,2045,3767,4.7345529184075196e-5,2.921576653628101e-5,5.0356586660250114e-5
390198,321,543,690,4.579064437507725e-6,7.75753605339882e-6,9.223797397284995e-6
390194,1247,733,1154,1.7788452814866457e-5,1.0471959350168206e-5,1.5426466951401283e-5
390185,3457,2305,1146,4.9314098942256083e-5,3.293024052133385e-5,1.5319524372882037e-5
390140,188645,249819,208509,0.00269102059443503,0.0035690237556612156,0.0027873112630586914
390135,1976,2490,1442,2.818763653743073e-5,3.557323162608299e-5,1.927639977809415e-5
390126,16375,20764,18847,2.335893463058847e-4,2.966436070216816e-4,2.5194334716902944e-4
390122,115710,98142,126504,0.001650602947239934,0.0014020996378502155,0.0016910829941248421
390121,14906114,11250272,15030984,0.21263569008983182,0.1607263179568016,0.2009315233301919
389994,96716,111842,17529,0.0013796535705233553,0.0015978238439856923,2.343245573579836e-4
389988,14044,9780,13618,2.0033763539052487e-4,1.3972136759160308e-4,1.8204300428438706e-4
387768,69,101,100,9.842848790904455e-7,1.4429302788089888e-6,1.3367822314905791e-6
386842,70,167,61,9.98549877338133e-7,2.3858352134762488e-6,8.154371612092532e-7
386187,157,124,201,2.2396047248869556e-6,1.7715183621021249e-6,2.686932285296064e-6
385941,29989,31312,32252,4.277930324499039e-4,4.473369593075946e-4,4.311390053003415e-4
