BinBase name,F_PAT_19_019,F_PAT_20_020,F_PAT_21_021,normF_PAT_19_019,normF_PAT_20_020,normF_PAT_21_021
350283,806,601,829,1.1497588587636217e-5,8.586149480833685e-6,1.10819246990569e-5
348913,1575,1034,473,2.2467372240107994e-5,1.4772177309787074e-5,6.322979954950439e-6
347748,283,220,234,4.036994504095595e-6,3.1430164488908667e-6,3.128070421687955e-6
347663,714,355,1617,1.0185208748848958e-5,5.071685633437535e-6,2.1615768683202663e-5
347660,979,751,581,1.3965433284486175e-5,1.0729115241441095e-5,7.766704764960265e-6
346561,438,539,677,6.248069232487176e-6,7.700390299782623e-6,9.05001570719122e-6
346225,2740,1652,1003,3.908609519866407e-5,2.3601196243489598e-5,1.3407925781850507e-5
345140,8119,5415,7725,1.1581752077297575e-4,7.736106395792746e-5,1.0326642738264723e-4
342554,10169,12913,10654,1.4506076718073536e-4,1.844807791114898e-4,1.424207789430063e-4
341252,884,724,754,1.2610258450955852e-5,1.0343381404531761e-5,1.0079338025438965e-5
334782,2549,1614,2136,3.636148053335573e-5,2.3058311584135722e-5,2.8553668464638768e-5
330511,1314,1056,1340,1.8744207697461527e-5,1.508647895467616e-5,1.7912881901973758e-5
330432,2907,2309,3171,4.1468349906027896e-5,3.298738627495005e-5,4.238936456056626e-5
330287,771,271,558,1.0998313648967152e-5,3.871624807497386e-6,7.459244851717431e-6
330286,5690,4014,4497,8.116784002934253e-5,5.734576375385427e-5,6.011509695013134e-5
329366,2337,1529,2374,3.333730090484596e-5,2.1843964319791524e-5,3.173521017558635e-5
329362,144,113,119,2.054159747667017e-6,1.6143675396575816e-6,1.590770855473789e-6
329361,9580,5487,8918,1.3665868321284736e-4,7.838968752301902e-5,1.1921423940432984e-4
327365,106,2454,89,1.5120898142548872e-6,3.505891984353721e-5,1.1897361860266153e-6
324872,964,167,697,1.3751458310770861e-5,2.3858352134762488e-6,9.317372153489336e-6
324726,53915,41598,47436,7.690973805240778e-4,5.942872647316466e-4,6.34116019329871e-4
324718,91,279,251,1.298114840539573e-6,3.985916314729781e-6,3.3553234010413534e-6
320865,1836,2237,2015,2.619053678275446e-5,3.1958762709858495e-5,2.693616196453517e-5
318789,1713,1264,1953,2.4435941998288884e-5,1.8058058142718432e-5,2.6107356981011008e-5
253506,2974,1990,1269,4.242410478862297e-5,2.8430012424058294e-5,1.6963766517615446e-5
250808,8165,4836,6804,1.1647371069236938e-4,6.908921612198287e-5,9.0954663030619e-5
250761,491,181,529,7.004114139614619e-6,2.5858453511329403e-6,7.071578004585163e-6
232333,598,336,396,8.530468952117195e-6,4.800243303760596e-6,5.293657636702693e-6
232329,208,192,452,2.9671196355190238e-006,2.7429961735774836e-6,6.042255686337417e-6
232320,352,344,285,5.021279383186041e-6,4.914534810992991e-6,3.80982935974815e-6
230854,8632,5941,8572,1.2313546487403948e-4,8.487573055845746e-5,1.1458897288337244e-4
228439,58,215,124,8.273698983658817e-7,3.07158425687062e-6,1.657609967048318e-6
228300,7376,4716,6621,1.0521862707494385e-4,6.737484351349695e-5,8.850835154699124e-5
228290,152,197,225,2.1682797336485174e-6,2.8144283655977304e-6,3.007760020853803e-6
227260,248,242,225,3.5377195654265287e-6,3.4573180937799532e-6,3.007760020853803e-6
223095,1842,1781,2044,2.6276126772240587e-5,2.544414679761197e-5,2.7323828811667435e-5
217691,5914,6297,6060,8.436319963682456e-5,8.996170263029904e-5,8.100900322832909e-5
214730,19856,1737,3233,2.832458052060853e-4,2.4815543507833797e-5,4.321816954409042e-5
213020,13129,8574,12495,1.872851619938907e-4,1.224919228763195e-4,1.6703093982474784e-4
213019,2887,2024,2118,4.1183049941074146e-5,2.8915751329795972e-5,2.8313047662970465e-5
210804,7783,9465,4048,1.110244813617527e-4,1.352211394943275e-4,5.411294473073864e-5
210803,4709,3169,3376,6.717387674836098e-5,4.527372330243253e-5,4.512976813512195e-5
210797,495,231,2367,7.061174132605369e-6,3.30016727133541e-6,3.1641635419382005e-5
210790,4353,1259,2445,6.209553737218419e-5,1.7986625950698186e-5,3.268432555994466e-5
210694,4822669,4747125,5712729,0.06879536483417738,0.06781950890882298,0.07636674620520945
210345,2993,1968,2819,4.269513975532903e-5,2.8115710779169206e-5,3.7683891105719424e-5
210305,34910,24205,36260,4.979910888267746e-4,3.4580324157001556e-4,4.8471723713848394e-4
210297,325245,225253,316826,0.004639619355069158,0.003218063109827338,0.004235273672742342
210289,6078,3541,4201,8.670265934944532e-5,5.0588278388738905e-5,5.6158221544919224e-5
210283,8636,4617,9774,1.2319252486703023e-4,6.596048611149605e-5,1.306570953058892e-4
210272,19192,14990,20216,2.737738463696207e-4,2.1415371167670042e-4,2.7024389591813545e-4
210267,693,526,715,9.885643785647517e-6,7.514666600529981e-6,9.55799295515764e-6
210261,13389,9342,13167,1.909940615382895e-4,1.3346390757062944e-4,1.7601411642036453e-4
209679,34307,16544,13678,4.89389294883419e-4,2.3635483695659318e-4,1.828450736232814e-4
208616,10500,5933,5798,1.4978248160071997e-4,8.476143905122505e-5,7.750663378182377e-5
208244,2183,1623,1663,3.114049117470206e-5,2.3186889529772166e-5,2.2230688509688328e-5
205795,135,155,169,1.9257747634378282e-6,2.214397952627656e-6,2.2591619712190784e-6
204855,1343,1837,1489,1.9157892646644467e-5,2.6244187348238738e-5,1.9904687426894723e-5
204582,165,142,189,2.3537247108684566e-6,2.028674253375014e-6,2.526518417517194e-6
203815,1767,1005,1370,2.5206251903664017e-5,1.4357870596069641e-5,1.8313916571420933e-5
196521,248,210,208,3.5377195654265287e-6,3.0001520648503726e-6,2.7805070415004045e-6
196436,588,695,584,8.387818969640318e-6,9.929074690814329e-6,7.806808231904981e-6
196278,1097,214,1268,1.5648703077713314e-5,3.05729781846657e-6,1.695039869530054e-5
190001,397,457,407,5.663204304331983e-6,6.528902350650573e-6,5.440703682166657e-6
189936,6143,3985,5777,8.762988423554502e-5,5.693145704013684e-5,7.722590951321075e-5
189286,1435,786,1313,2.047027248543173e-5,1.1229140585582823e-5,1.7551950699471304e-5
188945,4983,3789,5230,7.10824862682274e-5,5.413131511294315e-5,6.991371070695728e-5
187301,1314,1243,1189,1.8744207697461527e-5,1.7758042936233397e-5,1.5894340732422983e-5
187055,4036,2150,3676,5.757353292766721e-5,3.07158425687062e-5,4.914011482959368e-5
171968,6544,7387,46124,9.335014853286776e-5,1.0553392049071288e-4,6.165774364527147e-4
171596,144,137,162,2.054159747667017e-6,1.957242061354767e-6,2.165587215014738e-6
171564,91202,59322,36703,0.001300996370185606,8.475000990050181e-4,4.906391824239872e-4
171297,118883,165964,160997,0.0016958657866798467,0.0023710344632896538,0.0021521792892328874
170725,47386,35402,49575,6.759612069649253e-4,5.057684923801567e-4,6.627097912614545e-4
168874,10985,6078,10050,1.5670100575084845e-4,8.683297261981222e-5,1.343466142648032e-4
168871,925,590,854,1.3195123379111044e-5,8.428998658389143e-6,1.1416120256929545e-5
168860,1637,997,577,2.3351802131464627e-5,1.4243579088837245e-5,7.713233475700642e-6
168835,258,203,223,3.680369547903405e-6,2.900146996022027e-6,2.9810243762239913e-6
168800,27048,20137,27886,3.858396726034546e-4,2.8768601014234264e-4,3.727750930734629e-4
168759,1038,4292,5154,1.4807068181099744e-5,6.131739363018e-5,6.889775621102444e-5
167348,351806,617308,613804,0.005018511973525989,0.008819132718326923,0.008205222808178434
163872,2942,1791,2989,4.1967624844696966e-5,2.5587011181652464e-5,3.9956420899253407e-5
161846,94096,137558,54264,0.001342279275114414,0.0019652138939842264,7.253915100960478e-4
160822,5114,3967,4507,7.295120103867446e-5,5.667430114886394e-5,6.02487751732804e-5
160463,517912,779728,652694,0.0073880137724563885,0.011139536043912626,0.00872509741800512
146868,602,1886,416,8.587528945107945e-6,2.6944222830037155e-5,5.561014083000809e-6
146430,13280,11994,15553,1.8943917672929153e-4,1.7135154221816843e-4,2.0790974046372976e-4
146262,476,342,522,6.790139165899305e-6,4.8859619341848926e-6,6.9780032483808225e-6
138111,238,246,250,3.3950695829496526e-6,3.5144638473961508e-6,3.3419555787264476e-6
136141,858,782,749,1.2239368496515975e-5,1.1171994831966626e-5,1.0012498913864437e-5
135888,10386,9559,4890,1.4815627180048358e-4,1.3656406470430814e-4,6.536865111988932e-5
135773,1125,834,1067,1.6048123028648568e-5,1.1914889628977195e-5,1.4263466410004479e-5
135765,694,1080,1568,9.899908783895205e-6,1.5429353476373345e-5,2.096074538977228e-5
135618,1096,644,1026,1.5634438079465627e-5,9.200466332207809e-6,1.371538569509334e-5
135617,722,418,891,1.0299328734830458e-5,5.971731252892647e-6,1.1910729682581059e-5
135613,6471,4344,5486,9.230880366078656e-5,6.206028842719056e-5,7.333587321957316e-5
135609,274660,41039,113828,0.00391802441870988,5.86301145663783e-4,0.0015216324784610962
135193,1622,661,996,2.3137827157749313e-5,9.44333578507665e-6,1.3314351025646167e-5
135163,250,291,255,3.566249561921904e-6,4.157353575578374e-6,3.4087946903009765e-6
135128,43,104,91,6.133949246505675e-7,1.485789594021137e-6,1.2164718306564268e-6
134941,761,424,752,1.0855663666490276e-5,6.057449883316943e-6,1.0052602380809153e-5
134750,281,362,490,4.00846450760022e-6,5.171690702265881e-6,6.550232934303837e-6
134464,3021,2649,2847,4.3094559706264284e-5,3.7844775332326843e-005,3.805819013053678e-5
134365,888,1642,840,1.2667318443946602e-5,2.3458331859449105e-5,1.1228970744520864e-5
134132,238,246,250,3.3950695829496526e-6,3.5144638473961508e-6,3.3419555787264476e-6
133780,240,174,276,3.4235995794450277e-6,2.4858402823045945e-6,3.689518958913998e-6
133675,2405,1910,2310,3.430732078568872e-5,2.728709735173434e-5,3.0879669547432376e-5
133610,242,110,254,3.452129575940403e-6,1.5715082244454333e-6,3.3954268679860707e-6
133584,1285,534,1133,1.8330522748278586e-5,7.628958107762376e-6,1.5145742682788261e-5
133018,7334,2668,5652,1.0461949714854097e-4,3.811621766200378e-5,7.555493172384753e-5
133012,514,331,372,7.3322090993114345e-6,4.72881111174035e-6,4.972829901144954e-6
133010,10422,4357,9269,1.4866981173740032e-4,6.224601212644321e-5,1.2390634503686178e-4
132978,1533,493,10577,2.1868242313705113e-5,7.043214133196351e-6,1.4139145662475856e-4
131663,5875,3691,4920,8.380686470516473e-5,5.273124414934631e-5,6.576968578933649e-5
131662,2002,6591,7104,2.8558526491870605e-5,9.416191552108956e-5,9.496500972509074e-5
131597,137,139,156,1.9543047599332034e-6,1.9858149381628657e-6,2.085380281125303e-6
131464,10210,7706,8518,1.4564563210889056e-4,1.1009129434160462e-4,1.1386711047836752e-4
131450,3068,1427,1667,4.37650146239056e-5,2.0386747602578484e-5,2.228415979894795e-5
131202,1451,1152,928,2.069851245739473e-5,1.6457977041464903e-5,1.2405339108232574e-5
131168,47851,30881,44313,6.825944311501001e-4,4.411795043554493e-4,5.923683102404203e-4
131166,2091,1522,1652,2.9828111335914805e-5,2.174395925096318e-5,2.2083642464224367e-5
130638,238,246,250,3.3950695829496526e-6,3.5144638473961508e-6,3.3419555787264476e-6
130597,1153,1185,1427,1.644754297958382e-5,1.6929429508798533e-5,1.9075882443370562e-5
130558,203,355,191,2.895794644280586e-6,5.071685633437535e-6,2.5532540621470057e-6
128297,1339,871,997,1.9100832653653715e-5,1.2443487849927021e-5,1.3327718847961072e-5
128051,4713,4289,3755,6.723093674135173e-5,6.127453431496785e-5,5.019617279247124e-5
128047,1918,1717,1995,2.7360266639064847e-5,2.4529814739752808e-5,2.6668805518237053e-5
127640,102809,88342,107506,0.001466570204846516,0.0012620925414905315,0.0014371211057862619
127380,4822669,4747125,5466128,0.06879536483417738,0.06781950890882298,0.07307022785453136
127358,3887,1976,3182,5.544804818876176e-5,2.8230002286401604e-5,4.253641060603022e-5
127344,188,232,183,2.6818196705652715e-006,3.3144537097394592e-6,2.4463114836277594e-6
127277,40457,15239,21386,5.771190341066979e-4,2.177110348393087e-4,2.858842480265752e-4
126690,95,124,137,1.3551748335303233e-6,1.7715183621021249e-6,1.8313916571420932e-6
126585,614,675,716,8.758708924080196e-6,9.643345922733342e-6,9.571360777472545e-6
126582,1149,1137,1310,1.639048298659307e-5,1.624368046540416e-5,1.7511847232526586e-5
125960,107291,80830,103263,0.0015305059269926518,0.0011547728161993124,0.0013804014357041165
125884,875,637,1675,1.2481873466726663e-5,9.100461263379464e-6,2.2391102377467197e-5
125816,1704,1482,714,2.4307557014059696e-5,2.11725017148012e-5,9.544625132842734e-6
125811,39324,31656,41066,5.609567910920678e-4,4.522514941185876e-4,5.489629911839211e-4
125810,575,276,261,8.202373992420378e-6,3.943056999517633e-6,3.4890016241904112e-6
125802,6337,4257,5284,9.039729389559641e-5,6.0817368286038267e-5,7.06355731119622e-5
125785,188,232,183,2.6818196705652715e-006,3.3144537097394592e-6,2.4463114836277594e-6
125241,579,341,197,8.259433985411129e-6,4.871675495780843e-6,2.633460996036441e-6
125070,574,413,593,8.188108994172691e-6,5.9002990608723995e-6,7.927118632739134e-6
124960,10171,6809,5008,1.4508929717723073e-4,9.727635909317232e-5,6.69460541530482e-5
124615,3702,3081,14044,5.280902351293955e-5,4.4016516722876184e-5,1.8773769659053693e-4
124607,5979,982,1210,8.529042452292425e-5,1.4029282512776505e-005,1.6175065001036007e-5
124605,97376,7558,10578,0.0013890684693668293,1.0797690145780532e-4,1.4140482444707344e-4
124602,3218,2029,2778,4.590476436105875e-5,2.898718352181622e-5,3.713581039080829e-5
124356,386,1334,1312,5.50628932360742e-6,1.905810883100189e-5,1.7538582877156396e-5
123962,6848,6377,5919,9.768670800016479e-5,9.110461770262298e-5,7.912414028192737e-5
121482,1429,942,1283,2.0384682495945603e-5,1.3457824976614528e-5,1.715091603002413e-5
120954,499,409,630,7.11823412559612e-6,5.843153307256202e-6,8.421728058390647e-6
120744,7166,2480,5509,1.0222297744292945e-4,3.54303672420425e-5,7.3643333132816e-5
120466,517912,779728,652694,0.0073880137724563885,0.011139536043912626,0.00872509741800512
119025,777,207,847,1.1083903638453277e-5,2.9572927496382244e-6,1.1322545500725204e-5
118964,816,533,1011,1.1640238570113094e-5,7.614671669358327e-6,1.3514868360369753e-5
117982,11946,10961,8146,1.7040966906687626e-4,1.565936513467854e-4,1.0889428057722257e-4
113563,201,123,76,2.867264647785211e-6,1.7572319236980754e-6,1.01595449593284e-6
111826,13278,4967,4045,1.8941064673279616e-4,7.096073955291333e-5,5.4072841263793924e-5
111821,6829,3081,6306,9.741567303345872e-5,4.4016516722876184e-5,8.429748751779592e-5
111776,256,369,640,3.6518395514080297e-6,5.271695771094226e-6,8.555406281539705e-6
111399,25127,15954,22614,3.584366109696467e-4,2.2792583829820402e-4,3.0229993382927954e-4
110889,17261,16524,12753,2.462281347533359e-4,2.3606910818851218e-4,1.7047983798199355e-4
110873,4812,3720,6425,6.864317156787281e-5,5.314555086306374e-5,8.588825837326971e-5
110842,6810,2476,799,9.714463806675266e-5,3.53732214884263e-5,1.0680890029609726e-5
110801,3686,1950,3349,5.258078354097655e-5,2.785855488789632e-5,4.476883693261949e-5
110604,20147,3086,12674,2.8739691969616236e-4,4.408794891489643e-5,1.6942378001911598e-4
110368,2405,1910,1838,3.430732078568872e-5,2.728709735173434e-5,2.457005741479684e-5
110134,815,760,990,1.1625973571865407e-5,1.085769318707754e-5,1.3234144091756732e-5
110022,362,98,421,5.163929365662917e-6,1.4000709635968406e-6,5.627853194575338e-6
109990,5164,2227,5429,7.366445095105885e-5,3.1815898325818e-5,7.257390734762353e-5
109714,3595,1950,3349,5.128266870043698e-5,2.785855488789632e-5,4.476883693261949e-5
109532,2332,1403,1749,3.3265975913607516e-5,2.0043873080881298e-5,2.3380321228770227e-5
109395,3686,1950,3349,5.258078354097655e-5,2.785855488789632e-5,4.476883693261949e-5
108950,4754,3349,4147,6.781580166950693e-5,4.784528221516142e-5,5.543635913991431e-5
108834,909,396,665,1.2966883407148043e-5,5.65742960800356e-6,8.889601839412351e-6
108829,336,162,315,4.793039411223039e-6,2.314403021456002e-6,4.210864029195324e-6
108825,10921,3886,9755,1.5578804586299644e-4,5.551709963813594e-5,1.3040310668190598e-4
108314,1061539,5979134,5256706,0.015142851974852064,0.08542052960055747,0.07027071176969915
107237,6871,6547,7249,9.80148029598616e-5,9.353331223131138e-5,9.690334396075207e-5
106482,169,282,191,2.410784703859207e-6,4.028775629941929e-6,2.5532540621470057e-6
106387,13898,9493,13374,1.982549456463625e-4,1.356211597696409e-4,1.7878125563955004e-4
106385,1888,726,2686,2.6932316691634216e-5,1.037195428133986e-5,3.590597073783695e-5
106384,21579,22965,20185,3.0782439718685106e-4,3.280880579489943e-4,2.698294934263734e-4
105630,46724,29797,6035,6.665177781249561e-4,4.256930051254598e-4,8.067480767045644e-5
105516,1078,496,534,1.5377668111007248e-5,7.0860734484084995e-6,7.138417116159692e-6
105081,448,255,461,6.3907192149640515e-6,3.6430417930325955e-6,6.1625660871715695e-6
104922,10772,7906,11487,1.5366256112409098e-4,1.129485820224145e-4,1.5355617493132282e-4
104366,225,251,279,3.2096246057297133e-6,3.585896039416398e-6,3.7296224258587154e-6
104365,1222,834,1058,1.7431827858674265e-5,1.1914889628977195e-5,1.4143156009170326e-5
104288,10948,12833,6999,1.5617320081568402e-4,1.8333786403916587e-4,9.356138838202563e-5
103129,56682,50997,55314,8.085686306754294e-4,7.285654992913069e-4,7.394277235266989e-4
102809,2685,1860,1822,3.830152029504125e-5,2.657277543153187e-5,2.435617225775835e-5
102715,2554,1954,2602,3.643280552459417e-5,2.7915700641512516e-5,3.478307366338487e-5
102679,534,349,641,7.617509064265187e-6,4.985967003013238e-6,8.568774103854612e-6
102223,15900,11443,14659,2.2681347213823308e-4,1.634797146575372e-4,1.9595890731420398e-4
100947,4036,2150,3678,5.757353292766721e-5,3.07158425687062e-5,4.91668504742235e-5
100916,7709,4100,7296,1.0996887149142383e-4,5.8574397456602514e-5,9.753163160955265e-5
100897,51543,38607,49466,7.352608046805628e-4,5.51556527465135e-4,6.612526986291298e-4
100896,110,1047,191,1.5691498072456377e-6,1.4957901009039716e-5,2.5532540621470057e-6
100879,12840,7801,9864,1.8316257750030897e-4,1.1144850598998932e-4,1.318601993142307e-4
100877,1135,898,1215,1.6190773011125443e-5,1.2829221686836355e-5,1.6241904112610535e-5
100876,52149,39679,40765,7.439053936186614e-4,5.668715894342758e-4,0.00054493927666713455
100865,506728,272758,414505,0.00722847403205425,0.0038967403662117047,0.005541029188640025
100343,2413,1349,602,3.4421440771670215e-5,1.927240540706263e-5,8.047429033573285e-6
100017,1805,1096,1475,2.5748321837076146e-5,1.5657936490838137e-5,1.971753791448604e-5
97828,355741,541052,123952,0.00507464474163064,0.007729706071387733,0.0016569683115772026
89252,3360,877,2645,4.793039411223039e-5,1.2529206480351319e-5,3.5357890022925816e-5
89241,53904,37182,48752,7.689404655433532e-4,5.311983527393646e-4,6.51708073496287e-4
89209,2124,689,1567,3.0298856278088494e-5,9.843356060390033e-6,2.0947377567457372e-5
88847,357727,241113,334400,0.005102975028150548,0.0034446460229155614,0.004470199782104496
87951,1860,1272,1889,2.6532896740698966e-5,1.817234964995083e-5,2.5251816352857037e-5
87822,8652,1946,6907,1.2342076483899325e-4,2.7801409134280122e-5,9.23315487290543e-5
85117,506,406,443,7.218089113329933e-6,5.800293992044054e-6,5.921945285503265e-6
85067,1595,1217,1947,2.2752672205061747e-5,1.7386595537728113e-5,2.6027150047121575e-5
84910,118502,85685,118636,0.0016904308223474778,0.0012241334746509723,0.0015859049681511634
84326,26525,17207,22811,3.78379078519914e-4,2.458267456184779e-4,3.0493339482531596e-4
84216,867,753,403,1.2367753480745162e-5,1.0757688118249194e-5,5.387232392907034e-6
84181,10805,8123,10006,1.5413330606626468e-4,1.1604873915609322e-4,1.3375843008294733e-4
84151,1698,2372,3859,2.422196702457357e-5,3.3887431894405164e-5,5.158642631322144e-5
84116,2666,1994,2866,3.8030485328335185e-5,2.848715817767449e-5,3.831217875452e-5
84105,7819,5288,7186,1.1153802129866947e-4,7.55466862806132e-5,9.606117115491301e-5
84063,63005,9917,7602,8.987662145955582e-4,1.4167860965295784e-4,1.0162218523791382e-4
66305,155,229,206,2.2110747283915805e-6,3.271594394527311e-6,2.753771396870593e-6
62639,2112,1607,1940,3.0127676299116242e-5,2.2958306515307377e-5,2.5933575290917233e-5
62566,1598,975,998,2.2795467199804808e-5,1.392927744394816e-5,1.3341086670275979e-5
46351,634837,347721,646824,0.009055948692567263,0.004967694648294459,0.008646628301016623
43762,2117,2776,1598,3.019900129035468e-5,3.965915300964112e-5,2.1361780059219453e-5
42357,6777,4726,6807,9.667389312457897e-5,6.751770789753743e-5,9.099476649756372e-5
42187,1657,1200,1240,2.3637102096418377e-5,1.7143726084859272e-5,1.657609967048318e-5
42007,1032,91,237,1.472147819161362e-5,1.3000658947684948e-6,3.1681738886326724e-6
41805,319,197,142,4.5505344410123495e-6,2.8144283655977304e-6,1.8982307687166222e-6
41682,882,1125,1087,1.2581728454460476e-5,1.607224320455557e-5,1.4530822856302595e-5
37755,21112,13406,19168,3.0116264300518095e-4,1.9152399324468618e-4,2.562344181321142e-4
34444,9759,5243,8895,1.3921211789918344e-4,7.490379655243097e-5,1.1890677949108701e-4
34183,140,102,199,1.997099754676266e-6,1.457216717213038e-6,2.6601966406662525e-6
34113,1290,1431,1499,1.8401847739517025e-5,2.044389335619468e-5,2.003836565004378e-5
34078,336,269,279,4.793039411223039e-6,3.843051930689287e-6,3.7296224258587154e-6
34033,136,101,147,1.940039761685516e-6,1.4429302788089888e-6,1.965069880291151e-6
34029,230,229,298,3.2809495969681516e-6,3.271594394527311e-6,3.983611049841925e-6
34012,1692,1820,5018,2.4136377035087444e-5,2.6001317895369897e-5,6.707973237619726e-5
33993,6462,7383,7256,9.218041867655737e-5,1.0547677473709668e-4,9.699691871695641e-5
31601,189,95,203,2.696084668812959e-6,1.3572116483846925e-6,2.7136679299258756e-6
31362,17286,6840,4702,2.4658475970952814e-4,9.771923868369785e-5,6.285550052468703e-5
26868,17390,9802,16096,2.4806831952728766e-4,1.4003566923649215e-4,2.151684679807236e-4
26755,595,427,743,8.487673957374131e-6,6.100309198529091e-6,9.932291979975002e-6
26641,15523,7749,9203,2.2143556779885486e-4,1.1070561119297875e-4,1.23024068764078e-4
25326,19170,21722,17115,2.734600164081716e-4,3.1033001501276094e-4,2.287902789196126e-4
22885,1170,1229,970,1.669004794979451e-5,1.7558032798576704e-5,1.2966787645458617e-5
22803,1699,1061,1791,2.4236232022821257e-5,1.5157911146696407e-5,2.3941769765996272e-5
22735,1782,721,1338,2.542022687737933e-5,1.0300522089319613e-5,1.7886146257343948e-5
21709,39324,31656,41066,5.609567910920678e-4,4.522514941185876e-4,5.489629911839211e-4
21704,23303,14898,22229,3.324172541658645e-4,2.1283935934352787e-4,2.971533222380408e-4
20330,22639,5626,3696,3.229452953293999e-4,8.037550246118189e-5,4.94074712758918e-5
20281,28936,7539,5443,4.127719892950888e-4,1.0770545912812838e-4,7.276105686003222e-5
18488,523,316,619,7.460594083540623e-6,4.514514535679608e-6,8.274682012926685e-6
18388,937,674,897,1.3366303358083296e-5,9.62905948432929e-6,1.1990936616470493e-5
18382,5079,3381,2858,7.24519261000054e-5,4.8302448244091e-5,3.820523617600075e-5
18361,3905,2255,3363,5.5704818157220135e-5,3.221591860113138e-5,4.495598644502817e-5
18321,1209,776,1262,1.7246382881454325e-5,1.108627620154233e-5,1.6870191761411108e-5
18318,2055,1431,1766,2.931457139899805e-5,2.044389335619468e-5,2.3607574208123625e-5
18305,15617,4784,7623,2.2277647763413748e-4,6.83463213249723e-5,1.0190290950652684e-4
18226,7348,3157,3319,1.0481920712400859e-4,4.5102286041583936e-5,4.4367802263172315e-5
18176,1084,971,922,1.5463258100493375e-5,1.387213169033196e-5,1.2325132174343139e-5
18173,27327,15117,17257,3.898196071145595e-4,2.159680893540147e-4,2.3068850968832922e-4
18164,13423,7394,12993,1.9147907147871085e-4,1.0563392555954122e-4,1.7368811533757092e-4
18157,524,354,540,7.47485908178831e-6,5.0573991950334855e-6,7.218624050049127e-6
18023,780,521,490,1.112669863319634e-5,7.443234408509734e-6,6.550232934303837e-6
17962,13278,4967,4045,1.8941064673279616e-4,7.096073955291333e-5,5.4072841263793924e-5
17948,1242,1442,1768,1.7717127823628018e-5,2.0601044178639227e-5,2.3634309852753438e-5
17872,4754,3349,4147,6.781580166950693e-5,4.784528221516142e-5,5.543635913991431e-5
17775,6693,4275,5758,9.547563327177321e-5,6.107452417731115e-5,7.697192088922754e-5
17710,240,300,197,3.4235995794450277e-6,4.285931521214818e-6,2.633460996036441e-6
17702,384,445,575,5.4777593271120445e-6,6.3574650898019805e-6,7.68649783107083e-6
17663,6357,1014,1275,9.068259386055017e-5,1.4486448541706085e-5,1.7043973451504883e-5
17504,1666,968,1462,2.3765487080647568e-5,1.3829272375119813e-5,1.9543756224392266e-5
17480,298,282,515,4.250969477810909e-6,4.028775629941929e-6,6.884428492176482e-6
17471,4093,2946,4107,5.8386637827785406e-5,4.2087847538329515e-5,5.490164624731808e-5
17425,23609,14303,21525,3.367823436296569e-4,2.0433892849311847e-4,2.8774237532834713e-4
17350,908,489,670,1.2952618408900354e-5,6.986068379580154e-6,8.956440950986879e-6
17349,111,112,81,1.5834148054933253e-6,1.600081101253532e-6,1.082793607507369e-6
17334,911,3354,4768,1.2995413403643417e-5,4.791671440718167e-5,6.37377767974708e-5
17297,5363,4321,6932,7.650318560234869e-5,6.173170034389743e-5,9.266574428692694e-5
17289,1811,1121,1845,2.5833911826562272e-5,1.601509745093937e-5,2.4663632171001183e-5
17225,813,747,826,1.1597443575370031e-5,1.0671969487824898e-5,1.1041821232112183e-5
17191,889,675,863,1.268158344219429e-5,9.643345922733342e-6,1.1536430657763697e-5
17188,266,385,291,3.7944895338849058e-6,5.5002787855590164e-6,3.890036293637585e-6
17186,341,381,512,4.864364402461477e-6,5.443133031942819e-6,6.844325025231765e-6
17069,406,269,480,5.791589288561172e-6,3.843051930689287e-6,6.4165547111547794e-6
17045,1762,652,1756,2.5134926912425578e-5,9.314757839440205e-6,2.347389598497457e-5
17011,5264,4469,3413,7.50909507758276e-5,6.384609322769675e-5,4.562437756077346e-5
17010,17539,12128,16485,2.501938042661931e-4,1.7326592496431104e-4,2.2036855086122195e-4
16857,5371,4854,6246,7.661730558833018e-5,6.934637201325575e-5,8.349541817890157e-5
16852,15900,11443,14659,2.2681347213823308e-4,1.634797146575372e-4,1.9595890731420398e-4
16817,442,366,430,6.305129225477926e-6,5.2288364558820785e-6,5.74816359540949e-6
16810,1081,601,1123,1.5420463105750313e-5,8.586149480833685e-6,1.5012064459639203e-5
16794,5123,15083,94689,7.307958602290365e-5,2.15482350448277e-4,0.0012657857271761144
16793,2810,2153,2801,4.00846450760022e-5,3.075870188391834e-5,3.7443270304051115e-5
16747,31405,21098,29409,4.4799226996862957e-4,3.0141527744863414e-4,3.931342864590644e-4
16688,115,86,110,1.6404747984840758e-6,1.2286337027482478e-6,1.470460454639637e-6
16594,6831,4510,5349,9.744420302995409e-5,6.443183720226276e-5,7.150448156243107e-5
16549,137,119,213,1.9543047599332034e-6,1.7000861700818779e-6,2.8473461530749335e-6
14835,294,238,269,4.193909484820159e-6,3.4001723401637557e-6,3.5959442027096575e-6
14816,97,90,104,1.3837048300256987e-6,1.2857794563644455e-6,1.3902535207502023e-6
14796,2067,1001,2016,2.94857513779703e-5,1.4300724842453442e-5,2.6949529786850073e-5
14778,6462,7383,7256,9.218041867655737e-5,1.0547677473709668e-4,9.699691871695641e-5
14740,1348,1036,1467,1.9229217637882906e-5,1.4800750186595172e-5,1.9610595335966794e-5
14739,77,144,86,1.0984048650719465e-6,2.057247130183113e-6,1.1496327190818979e-6
