BinBase name,L1_SAT_748,L2_SAT_748,L3_SAT_748,normL1_SAT_748,normL2_SAT_748,normL3_SAT_748
n-epsilon-trimethyllysine,48686,35200,58834,1.7439553085500255e-4,1.4373034201745527e-4,2.118553633323802e-4
N-alpha-acetyllysine,11490,17584,11061,4.115771781464855e-5,7.179983903508334e-5,3.98295572937325e-5
N-acetylserine,22288,23398,12696,7.983665923871948e-5,9.553984495808006e-5,4.571702914756602e-5
N-acetylputrescine,241009,112790,153415,8.633055189547983e-4,4.605495817087721e-4,5.524321067008381e-4
N-acetylglucosamine-6-phosphate,6222,2777,4386,2.2287495234355378e-5,1.1339180675638446e-5,1.5793548349182778e-5
N-acetylgalactosamine,59671,45003,61838,2.137443150320186e-4,1.83758425619646e-4,2.226724675824817e-4
N-acetylaspartic acid,8190,8367,7310,2.9336963350911367e-5,3.4164538967615004e-5,2.63225805819713e-5
myristic acid,1161405,1016633,1095408,0.004160207072108085,0.004151165022620216,0.003944454904259373
myo-inositol,1518031,676774,2065981,0.005437658096770126,0.002763436320696627,0.007439391430002961
methionine sulfoxide,160273,440553,329582,5.741053879292574e-4,0.0017988873115572718,0.0011867918951254809
methionine,237250,1546680,311284,8.498406050065594e-4,0.006315478562260162,0.0011209026229655752
methanolphosphate,32467,11773,29419,1.162983136891379e-4,4.807208285714491e-5,1.0593488346662293e-4
melezitose,3995,933,1026,1.4310276994736376e-5,3.809670713133118e-6,3.694523622038653e-6
maltotriose,76721,55536,71157,2.748182130946607e-4,2.2676728051935783e-4,2.562292566992246e-4
maltotriitol,22532,16424,25102,8.071067865967459e-5,6.706327094587174e-5,9.038979723237258e-5
maltose,320037,242977,541876,0.0011463875140336533,9.9213543501066e-4,0.0019512414056684377
maltitol,1680,4623,2180,6.017838636084383e-6,1.887685713484931e-5,7.849962471778035e-6
malonic acid,4904,2041,3308,1.756635754247489e-5,8.333909888000744e-6,1.1911777915890706e-5
malonamide,1316,916,474,4.7139735982661e-6,3.7402554911360517e-6,1.7068267025792606e-6
malic acid,32880,80902,67148,1.1777769902050864e-4,3.303429582356865e-4,2.4179324773162912e-4
maleimide,48907,106047,26015,1.7518716319939222e-4,4.3301623806605335e-4,9.367741912995668e-5
lysine,6754927,4314815,4220521,0.024196464693172368,0.017618461241251313,0.015197674982271148
loganin,85510,66599,103139,3.0630082248308074e-4,2.7194025704603705e-4,3.7139324742051135e-4
linolenic acid,98307,43220,93962,3.521402754747306e-4,1.7647799380665955e-4,3.3834778613449893e-4
linoleic acid,220683,118583,201078,7.904968355517916e-4,4.8420383941636075e-4,7.240618137156806e-4
lignoceric acid,8138,4280,6618,2.9150696916937327e-5,1.7476302949849675e-5,2.3830757632214236e-5
leucrose,7546,23579,34527,2.7030125207079023e-5,9.627891290993119e-5,1.2432828177205514e-4
leucine,4873760,13717271,5113816,0.01745803644702537,0.0560110242152307,0.018414341141090855
L-DOPA,7083828,7431801,4555163,0.02537460347010498,0.03034588919135415,0.016402687432491674
lauric acid,218133,361227,134227,7.813626161934493e-4,0.0014749795527255487,4.833380333483258e-4
lactulose,88956,34991,86758,3.186445557806681e-4,1.4287694311172663e-4,3.124069009754673e-4
lactose,197237,64543,81506,7.065121661103426e-4,2.6354509843274477e-4,2.934949730388718e-4
lactobionic acid,38706,12593,48975,1.3864670371921555e-4,5.1420346506415174e-5,1.7635408809877487e-4
lactitol,1408915,982268,1550519,0.005046799477356445,0.004010844192977322,0.0055832642026508285
lactic acid,2774776,1481965,3590702,0.009939377511476,0.006051231145110741,0.012929759608870795
kynurenine,161353,35733,321289,5.779739984810259e-4,1.4590671338948093e-4,0.0011569296296307767
kynurenic acid,13400,9715,14319,4.799942721638734e-5,3.96687577471471e-5,5.156129019880261e-5
ketoisoleucine,21560,5661,41389,7.722892916308291e-5,2.311526892502313e-5,1.490376590570739e-4
isoxanthopterin,86651,7514,158450,3.1038793789008804e-4,3.068152812270338e-5,5.705626392904723e-4
isothreonic acid,22959,15980,19410,8.224021264634605e-5,6.525030867724247e-5,6.989347320055581e-5
isomaltotriose,10463,8217,292,3.747895574366125e-5,3.3552051714699715e-5,1.0514628631922871e-6
isomaltose,8839,3996,10297,3.166171172877968e-5,1.6316660417663388e-5,3.707846952839377e-5
isoleucine,3569147,9876870,3450264,0.012784851615752778,0.040329713158009754,0.012424056384278334
isoheptadecanoic acid,69199,40837,51597,2.478740570109543e-4,1.6674761298201196e-4,1.85795648466207e-4
isogluconic acid,1722845,1013346,748394,0.006171311431538571,0.0041377433852846654,0.0026948921165613994
inulotriose,107977,16309,471,3.8677866810028777e-4,6.659369738530335e-5,1.6960240019300249e-6
inosine-5-monophosphate,6119,8732,7212,2.191854441321449e-5,3.565492461637555e-5,2.5969692360762928e-5
inosine,2584112,2183316,1972562,0.009256410139029338,0.008915021460573363,0.007102998932685974
indole-3-acetate,7091,8108,14293,2.5400293909806168e-5,3.310697764424794e-5,5.146766679317589e-5
hypoxanthine,1676158,962890,2299685,0.006004076412251148,0.003931719006397372,0.008280936214179298
hypotaurine,13238,5809,13574,4.7419135633622065e-5,2.3719589681232887e-005,4.887861953757571e-5
homoserine,24768,16616,23183,8.872013532055834e-5,6.784725462960332e-5,8.347966971707806e-5
histidine,2838256,4146143,5148376,0.010166765842796617,0.016929731575093126,0.018538788252570052
heptanoic acid,24493,6923,32320,8.773507244858024e-5,2.8268328346217126e-5,1.1638109499443399e-4
heptadecanoic acid,101935,41594,56296,3.6513594129122714e-4,1.698386319850578e-4,2.027162785831267e-4
guanosine,91961,160322,67381,3.294086064362833e-4,6.5463454241257e-4,2.426322574820531e-4
glycyl-proline,28391,45548,26645,1.0169789090301888e-4,1.859837959719049e-4,9.59459862662962e-5
glycyl-glycine,44770,30233,7655,1.6036823555803443e-4,1.2344884744925355e-4,2.756489115663342e-5
glycolic acid,43422,25789,32097,1.5553963646193814e-4,1.0530289176954982e-4,1.1557809424617412e-4
glycine,2908185,2964511,2944943,0.010417254793976823,0.01210483465751444,0.010604445886020835
glycerol-alpha-phosphate,238716,145409,134127,8.550918856259045e-4,5.937410597277316e-4,4.829779433266846e-4
glycerol-3-galactoside,105777,68999,97643,3.78898165124463e-4,2.817400530926817e-4,3.516026998311113e-4
glycerol,5134074,2746213,4581255,0.01839049337959303,0.011213469708601757,0.016496642120938293
glyceric acid,114146,72620,105081,4.088763148538619e-4,2.9652549537805684e-4,3.7838619564078334e-4
glutaric acid,5321,5608,11549,1.9060071061074407e-5,2.2898856762326395e-5,4.158679659934152e-5
glutamine,1822765,10044948,3793979,0.006529229548513304,0.0410160173746464,0.013661739802162365
glutamate,5530832,6590974,4372134,0.019811699106721346,0.026912583728640773,0.01574361826678201
glucose-6-phosphate,40305,32297,12644,1.443743965639173e-4,1.31876672049368e-4,4.55297823363126e-5
glucose,13206702,5905972,13157388,0.047307024732650534,0.024115550440497565,0.04737844129661589
gluconic acid lactone,224910,127586,127308,8.056381474057968e-4,5.209653243363366e-4,4.584234047509716e-4
gluconic acid,286873,211712,207085,0.001027592513719902,8.644726752613491e-4,7.456924213156671e-4
galacturonic acid,76393,45886,101291,2.736433017419014e-4,1.8736393391514069e-4,3.6473878382058204e-4
galactose,288097,278159,243045,0.0010319769390119062,0.0011357922785577652,8.751807930978406e-4
galactinol,2104,2055,4430,7.536626482334251e-6,8.391075364939505e-6,1.5951987958704904e-5
fumaric acid,35397,86456,56287,1.2679371083421364e-4,3.530213195869634e-4,2.02683870481179e-4
fructose-6-phosphate,17950,16548,9071,6.429774018911588e-5,6.756959374161505e-5,3.266376586307273e-5
fructose-1-phosphate,8590,5268,6028,3.07697820737886e-5,2.1510552322385065e-5,2.170622650453119e-5
fructose,535137,392974,192504,0.0019168857822608862,0.001604610438180894,6.931876952601646e-4
ethanolamine,12060257,9001844,12814870,0.043200405080778055,0.036756764684880046,0.04614506815629091
erythritol,217421,183698,256913,7.788121988667278e-4,7.500845559068891e-4,9.251180772990414e-4
ergosterol,21663,10105,9776,7.75978799842238e-5,4.1261224604726856e-5,3.520240051564315e-5
Dopamine,1998765,389650,810742,0.007159669786579287,0.001591037720656291,0.002919401043254251
digalacturonic acid,5806,10453,14686,2.0797363762563055e-5,4.2682195031490336e-5,5.2882820578225784e-5
dehydroabietic acid,2605,2531,2184,9.331231932737987e-6,1.0334701580857366e-5,7.864366072643683e-6
cytidine,1971,5167,1533,7.060214256977571e-6,2.1098144238755438e-5,5.5201800317595075e-6
cystathionine,79319,38072,75964,2.841243706997483e-4,1.5545743128660673e-4,2.735387840395168e-4
citrulline,244949,344552,292817,8.774187833751391e-4,0.001406891386443132,0.0010544047986690958
citric acid,118884,187137,55105,4.2584805262634273e-4,7.641268469920604e-4,1.984276064253801e-4
cholesterol,107068,44774,66391,3.835225875525493e-4,1.82823361746862e-4,2.3906736626780526e-4
chenodeoxycholic acid,721,1057,949,2.5826557479862144e-6,4.315993508876426e-6,3.4172543053749332e-6
cerotinic acid,4307,1036,1487,1.542787559858062e-5,4.230245293468286e-6,5.354538621804559e-6
cellobiose minor,4137,4732,7834,1.4818927641357793e-5,1.9321931205301088e-5,2.8209452295371156e-5
caproic acid,54189,24562,48479,1.941075344349861e-4,1.0029274604070273e-4,1.7456804159143456e-4
capric acid,13389,8812,14333,4.796002470150822e-5,3.598158448459704e-5,5.1611702801832374e-5
campesterol,21154,7435,14604,7.577461815936252e-5,3.0358951502834656e-5,5.258754676048001e-5
butylamine,236291,148952,209436,8.464054221184613e-4,6.082080086415909e-4,7.541581377244516e-4
biphenyl,5568,4777,4699,1.99448366224511e-5,1.9505677381175677e-5,1.692063011691972e-5
biopterin,12286,6794,23567,4.400902707317425e-5,2.7741589308709972e-5,8.486241540018025e-5
beta-sitosterol,476174,354100,306364,0.00170567755636836,0.0014458782417153667,0.0011031861939008283
beta-alanyl lysine,478949,352627,335912,0.001715617736258321,0.0014398636168917386,0.0012095855934953685
beta-alanine,2190354,1748917,1562475,0.007845950552322603,0.0071412624593790285,0.00562631656563825
Benzaldehyde-4-carboxylic acid,1381,2380,3909,4.946806640733651e-6,9.718131079589305e-6,1.4075918945954282e-5
behenic acid,67434,31862,55749,2.415517443962585e-4,1.3010045901591362e-4,2.0074658616474938e-4
azelaic acid,3005,7153,20457,1.0764050655615221e-5,2.9207475467353908e-5,7.36636157271391e-5
aspartate,62783,1630286,55313,2.2489164469600346e-4,0.006656862624041735,1.9917659367039376e-4
asparagine,999836,1802467,938288,0.0035814593515167054,0.007359920408669788,0.0033786814622567287
arachidic acid,178166,77700,162991,6.381989514503632e-4,3.1726839701012145e-4,5.869143271731989e-4
arabitol,1719370,1132268,1566302,0.006158863818883575,0.004623331445892615,0.005640097210766458
arabinose,31955,12278,11772,1.1446430572385504e-4,5.013412327529306e-5,4.238979734760139e-5
alpha-ketoglutarate,1705889,1274985,1494985,0.006110574245875805,0.005206080401054693,0.005383291810032608
alpha-aminoadipic acid,5878,2027,1765,2.1055271132680954e-5,8.276744411061984e-6,6.355588881967078e-6
allantoin,11302,13339,23863,4.048429301489625e-5,5.446644977758056e-5,8.592828186423819e-5
allantoic acid,109459,79158,153324,3.9208726146854793e-4,3.2322177310845806e-4,5.521044247811447e-4
alanine,15463106,16683340,25739029,0.05538956947658824,0.06812222057367875,0.09268367509633327
adipic acid,28053,14953,24148,1.0048715908218762e-4,6.10568126189491e-5,8.695453842591558e-5
adenosine-5-monophosphate,10002,7928,6706,3.582763216554524e-5,3.2371992940749587e-5,2.4147636851258487e-5
adenosine,10199,11618,17259,3.6533295386562274e-5,4.7439179362465775e-5,6.214793683505372e-5
adenine,14998,9161,13916,5.3723538014281896e-5,3.7406638159713286e-5,5.011012741158859e-5
aconitic acid,1252,1989,1087,4.484722602605743e-6,8.121580973656776e-6,3.914178535239782e-6
9-myristoleate,109669,50053,128068,3.9283949129805847e-4,2.043788298011275e-4,4.611600889154446e-4
6-methylcholecalciferol,1766,754,949,6.325894661502988e-6,3.078769257987536e-6,3.4172543053749332e-6
5-methyluridine,992,595,378,3.5533904327355407e-6,2.4295327698973263e-6,1.3611402818037143e-6
5-aminovaleric acid,26470,20268,40749,9.481677898640097e-5,8.27592776139143e-5,1.4673308291857025e-4
4-hydroxybutyric acid,1088,852,884,3.897266926226077e-6,3.4789275965588605e-6,3.1831957913081573e-6
3-phosphoglycerate,47921,7982,26920,1.7165526504749984e-4,3.2592488351799086e-5,9.693623382580949e-5
3-hydroxypropionic acid,88487,49662,97245,3.1696457582809455e-4,2.02782279695195e-4,3.501695415449793e-4
3-hydroxykynurenine,103253,30037,508199,3.698570789831076e-4,1.226485307721109e-4,0.0018299738890803327
3-hydroxy-3-methylglutaric acid,6471,1832,8357,2.3179424889346454e-5,7.4805109822721034e-6,3.0092723108554604e-5
"3-Aminopiperidine-2,6-dione",45515,98045,20669,1.6303686042939326e-4,4.0034208474719893e-4,7.442700657301844e-5
3-aminoisobutyric acid,6370,8435,13981,2.2817638161819953e-5,3.444219985560327e-5,5.034418592565537e-5
"3,6-anhydro-D-galactose",20778,9215,13484,7.442776855985792e-5,3.762713357076279e-5,4.8554538518098634e-5
"3,4-dihydroxyphenylacetic acid",56750,14676,17916,2.032811563082076e-4,5.99257528252322e-5,6.451372827723637e-5
2-picolinic acid,4047,2621,6209,1.4496543428710415e-5,1.0702193932606541e-5,2.235798944370175e-5
2-monoolein,26147,17081,21952,9.36597778676776e-5,6.974596511364072e-5,7.904696155067497e-5
2-ketoisovaleric acid,19193,30685,48833,6.875022437045688e-5,1.2529447570470495e-4,1.7584276026804438e-4
2-ketoisocaproic acid,115420,82789,82411,4.134398424862259e-4,3.380480478773609e-4,2.967537877347246e-4
2-hydroxyglutaric acid,9357292,4551853,4792120,0.033518257932573396,0.01858634626429488,0.017255945945071998
2-Deoxyinosine,2598,2571,3149,9.306157605087635e-6,1.049803151496811e-5,1.1339234781481208e-5
2-amino-4-oxo-4-phenylbutanoic acid,10734,2023,21679,3.8449690428410574e-5,8.26041141765091e-6,7.80639157915945e-5
"2,6-diaminopimelic acid",6123,1802,4057,2.193287260044326e-5,7.358013531689045e-6,1.460885217798325e-5
1-monopalmitin,4694,2752,5258,1.681412771296434e-5,1.123709946681923e-5,1.8933533337893993e-5
1-kestose,24792,2396,31492,8.880610444393096e-5,9.783463053233603e-6,1.133995496152449e-4
588382,156851,184903,197854,5.618476237550426e-4,7.550048701719754e-4,7.124525114179684e-4
588380,133014,59397,55772,4.7646237401198103e-4,2.4253270240939747e-4,2.0082940686972685e-4
588375,25876,17255,43408,9.268904318292827e-5,7.045645032702246e-5,1.563078765940096e-4
588374,48907,105953,26015,1.7518716319939222e-4,4.326324127208931e-4,9.367741912995668e-5
588356,4237,5957,2841,1.5177132322077102e-5,2.4323910437442644e-5,1.0230157514826329e-5
562527,50742,35072,103538,1.8176021909059153e-4,1.432076862283009e-4,3.728300066068597e-4
554665,1628,888,987,5.831572202110343e-6,3.6259245372585304e-6,3.5540885135985873e-6
553510,27137,15437,9188,9.720600420679876e-5,6.303310482168912e-5,3.308507118839293e-5
553483,65963,65413,75311,2.3628255354287748e-4,2.6709752449965345e-4,2.711873961981998e-4
553440,55473,24562,48479,1.98706882535422e-4,1.0029274604070273e-4,1.7456804159143456e-4
553439,8864,11763,17335,3.175126289895951e-5,4.8031250373617226e-5,6.242160525150102e-5
553386,236291,148952,206307,8.464054221184613e-4,6.082080086415909e-4,7.428909209472986e-4
553359,49237,32649,53618,1.7636923864576594e-4,1.3331397546954252e-4,1.9307306780357554e-4
553345,37832,10466,42561,1.355159948097288e-4,4.273527726007633e-5,1.532579141107087e-4
553344,205559,129238,211497,7.363219596398035e-4,5.277108506151104e-4,7.615795930704766e-4
553268,71826,39618,25035,2.5728409397345053e-4,1.6177013323998701e-4,9.014853691787297e-5
553263,160050,72724,121621,5.733065914912533e-4,2.969501532067448e-4,4.3794508522023687e-4
550987,15830,16588,17370,5.670380095786654e-5,6.77329236757258e-5,6.254763675907544e-5
545358,15795023,5890509,4733544,0.05657851170669135,0.024052411171218705,0.017045019613995453
545069,3582,31405,4927,1.2830891663365631e-5,1.2823441451869836e-4,1.774163536626164e-5
544748,2742624,4702527,4919789,0.009824207542531129,0.01920158562659994,0.017715669274801095
544707,1333,1158,1281,4.774868393988383e-6,4.728401592506057e-6,4.612753177223698e-6
544105,50723,17652,59937,1.8169216020125486e-4,7.20774999230716e-5,2.158271562710826e-4
544078,7992,6978,1821,2.862771808308714e-5,2.8492907005619398e-5,6.557239294086148e-6
544032,944,2000,1790,3.3814521859902724e-6,8.166496705537231e-6,6.445611387377377e-6
541377,59975,118314,72362,2.148332572614053e-4,4.83105445609466e-4,2.60568341460001e-4
540580,28900,8214,38521,1.0352115272788016e-4,3.353980196964141e-5,1.3871027723640444e-4
539711,165656,2941,66282,5.933875458923778e-4,1.2008833405492498e-5,2.3867486814421637e-4
539702,28540,4222,15480,1.0223161587729066e-4,1.7239474545389094e-5,5.574193535005687e-5
539604,7087,2981,6508,2.5385965722577395e-5,1.2172163339603243e-5,2.3434658608408922e-5
534660,3304,1526,5417,1.1835082650965954e-5,6.231036986324907e-6,1.950607647230349e-5
524550,6436,2210,2956,2.3054053251094696e-5,9.02397885961864e-6,1.0644261039713701e-5
521677,2480,12227,4858,8.883476081838851e-6,4.992587760930186e-5,1.7493173251329217e-5
521666,2000,1200,1512,7.1640936143861704e-6,4.899898023322339e-6,5.444561127214857e-6
520868,179818,61475,49200,6.441164927758462e-4,2.5101769248645064e-4,1.7716429064746757e-4
520865,10059,4457,10714,3.603180883355524e-5,1.819903790828972e-5,3.858004491863755e-5
520862,4819,2245,3723,1.726188356386348e-5,9.166892551965542e-6,1.3406151505701661e-5
520631,166252,96212,204468,5.955224457894648e-4,3.92857490516574e-4,7.36268865449317e-4
519942,332,5727,336,1.1892395399881043e-6,2.3384763316305862e-5,1.2099024727144127e-6
519090,154421,100517,169978,5.531432500135634e-4,4.1043587467524294e-4,6.120738169852691e-4
517908,16604,13656,20113,5.9476305186633985e-5,5.576083950540821e-5,7.24249060526934e-5
517902,24886,3666,8966,8.914281684380712e-5,1.4969188461249744e-5,3.2285671340349475e-5
514161,680,824,761,2.435791828891298e-6,3.364596642681339e-6,2.740285064689488e-6
513579,878,1830,843,3.145037096715529e-6,7.472344485566567e-6,3.0355588824352677e-6
511804,667,591,542,2.3892252203977878e-6,2.4131997764862516e-6,1.9516879172952727e-6
511719,19606,25372,15439,7.022960970182763e-5,1.0360017720644532e-4,5.559429844118398e-5
509844,153451,77278,122680,5.496686646105861e-4,3.155452662052531e-4,4.417584385494171e-4
488159,280,199,488,1.002973106014064e-6,8.125664222009545e-7,1.757239305609028e-6
486463,16556,10422,136,5.930436693988872e-5,4.255561433255451e-5,4.897224294320242e-7
476084,1368,2117,1383,4.90024003224014e-6,8.64423676281116e-6,4.980044999297716e-6
474821,23437,11590,40870,8.395243102018435e-5,4.732484840858825e-5,1.471687918447561e-4
474672,210347,73090,124480,7.534727997526439e-4,2.984446221038581e-4,4.482400589389586e-4
474251,854,7942,11058,3.059067973342895e-6,3.242915841768834e-5,3.981875459308326e-5
474221,85523,50563,75282,3.063473890915742e-4,2.064612864610395e-4,2.7108297009192386e-4
474043,8079,18263,16849,2.8939356155312936e-5,7.457236466661322e-5,6.0671567746324816e-5
425777,1051,1465,932,3.7647311943599327e-6,5.981958836806022e-6,3.3560390016959304e-6
425770,34689,16997,36135,1.2425762169472094e-4,6.940297225200816e-5,1.3011852932004553e-4
425127,22227,4723,26606,7.961815438348071e-5,1.928518197012617e-5,9.580555115785614e-5
422265,338848,238204,331807,0.0012137693965237626,9.726460906228953e-4,0.0011948038981069973
421543,4025,9408,1007,1.4417738398952169e-5,3.841520050284714e-5,3.626106517926826e-6
417901,9484,9931,20440,3.397213191941922e-5,4.0550739391345123e-005,7.36024004234601e-5
417820,5011,4566,5686,1.794963655084455e-5,1.86441119787415e-5,2.0474718630518304e-5
417688,22476,3806,13330,8.051008403847178e-5,1.554084323063735e-5,4.799999988477119e-5
412153,4646,2493,5462,1.6642189466219075e-5,1.0179538143452159e-5,1.966811698204203e-5
407336,53649,21781,57800,1.9217322915910184e-4,8.893723237165322e-5,2.0813203250861028e-4
406926,22506,751,5371,8.061754544268758e-5,3.06651951292923e-6,1.9340435062348545e-5
406851,217296,332444,244795,7.783644430158287e-4,0.0013574514153878096,8.814823684765615e-4
406846,45939,306129,371440,1.6455564827564314e-4,0.0012500007349847036,0.001337518376384052
405282,11938,7023,18855,4.276247478427105e-5,2.8676653181493988e-5,6.789497358044717e-5
404192,26763,9626,16623,9.586631870090854e-5,3.9305348643750694e-5,5.985776429741572e-5
404164,163934,30976,164213,5.872192612903913e-4,1.2648270097536063e-4,5.913146272376543e-4
