BinBase name,L1_SAT_440,L2_SAT_440,L3_SAT_440,normL1_SAT_440,normL2_SAT_440,normL3_SAT_440
zymostenol,997,450,647,4.257325440465473e-6,1.7731774846399288e-6,2.518067827476735e-6
xylulose,349025,272995,187638,0.0014903841643515165,0.0010757079720428385,7.302708052736934e-4
xylose,25565,35393,82702,1.0916602295436292e-4,1.3946237936413557e-4,3.2186900381449914e-4
xanthosine,13544,8716,12447,5.7834719925440696e-5,3.4344477680270266e-5,4.844264335178195e-5
xanthine,697388,516988,325705,0.0029779414987716507,0.002037136625397839,0.0012676155823003246
valine,6572362,2806021,2240783,0.028064878582295425,0.01105682946361515,0.0087209328912779
uridine-5'-monophosphate,2655,13387,13842,1.1337210676465228e-5,5.275005997083273e-5,5.3871862237918034e-5
uridine,234007,254624,163965,9.992416793851596e-4,0.001003318986331016,6.381375445629411e-4
uric acid,195766,892996,915657,8.359474144214281e-4,0.0035187564468300396,0.003563657546682944
urea,377588,809316,333562,0.0016123520545782118,0.0031890242425752194,0.0012981943441557878
uracil,757653,810519,728244,0.0032352812356519433,0.0031937645370508235,0.0028342624218747566
undecanoic acid,27663,47008,15145,1.1812476796348685e-4,1.8523006043989727e-4,5.894302511149173e-5
UDP-N-acetylglucosamine,27645,28998,36933,1.1804790551822268e-4,1.1426355711019702e-4,1.437400294778953e-4
UDP-glucuronic acid,3963,6453,4821,1.6922548365661657e-5,2.5427365129736578e-5,1.8762913440904696e-5
tyrosine,790014,1461439,414634,0.003373467101829379,0.005758646066610429,0.0016137195294868448
tryptophan,5790413,6360701,6253515,0.024725850126080244,0.025063670666059287,0.02433813744998945
trisaccharide,2285,5352,7986,9.757260412701712e-6,2.108899088398422e-5,3.108081865568656e-5
tridecanoic acid,2369223,3433245,1380595,0.010116904064228617,0.013528339407228028,0.00537315587677781
tocopherol gamma-,763,1204,803,3.25811365203125e-6,4.744234870014388e-6,3.12520628356077e-6
tocopherol alpha-,11910,8155,2335,5.085731794979317e-5,3.2133916416085824e-5,9.087617275360397e-6
thymine,5299,10745,6712,2.262744985860235e-5,4.233953793879119e-5,2.612252126433361e-5
threonine,3370512,3404556,2772731,0.014392544117346202,0.013415293431990617,0.010791228323566299
terephthalic acid,1625,3022,1866,6.938970753015441e-6,1.1907871907959699e-5,7.262309993928265e-6
tagatose,4067,2957,3045,1.7366642493854644e-5,1.1651746271289487e-5,1.185087563317876e-5
sucrose,6323,4930,13681,2.700006896696408e-5,1.9426144442833e-5,5.324526421593387e-5
succinic acid,211122,149212,208711,9.015196205034621e-4,5.879541307513179e-4,8.122850917163785e-4
stigmasterol,112,82,130,4.782552149770643e-7,3.2311234164549814e-7,5.059487134033625e-7
stearic acid,1426623,1321374,988292,0.00609187401389486,0.0052067347235302255,0.0038463466605141226
squalene,1295,2441,1816,5.529825923172305e-6,9.618502755569037e-6,7.0677143349269715e-6
spermidine,150171,164708,115213,6.412505704314349e-4,6.490144825334964e-4,4.4839899321032006e-4
sorbitol,1942950,1857647,2977864,0.008296660445890062,0.007319861855130911,0.011589588149924545
sophorose,130882,76653,115759,5.588839200591796e-4,3.020430527335655e-4,4.505239778066142e-4
shikimic acid,37658,44273,14650,1.6080477576434183e-4,1.7445308172769683e-4,5.701652808737893e-5
serine,8513146,14974232,12682619,0.0363522899139387,0.059004380071499406,0.04935965204334646
salicyl alcohol,35389,24036,41045,1.5111583752520826e-4,9.471132004623407e-5,1.5974357647416165e-4
saccharic acid,16425,7995,28881,7.013698130355607e-5,3.150345331043607e-5,1.1240234455232703e-4
ribulose-5-phosphate,3190,1422,1428,1.362173335515031e-5,5.603240851462175e-6,5.557652021076936e-6
ribose-5-phosphate,10752,8148,1269,4.591250063779817e-5,3.210633365521365e-5,4.938837825452823e-6
ribonic acid,78126,85849,72788,3.3360863326159035e-4,3.38278919730785e-4,2.832845765477227e-4
ribitol,2250743,2278445,876324,0.009610978368956451,0.00897797194220094,0.0034105769255729865
quinic acid,9441,8828,4298,4.031435254105771e-5,3.4785801854225095e-5,1.672744284775117e-5
pyrophosphate,165898,123908,435892,7.084069969130804e-4,4.882463905928096e-4,0.0016964538198678345
putrescine,173110,191034,174406,7.392032166489249e-4,7.527493057793426e-4,6.787730100755911e-4
pseudo-uridine,156091,34959,109205,6.665297746516512e-4,1.3775224819006062e-4,4.2501637882472464e-4
prunin,27672,21623,32050,1.1816319918611893e-4,8.520314833415373e-5,1.2473581741982899e-4
propyleneglycol,408961,312490,617622,0.001746319026537814,0.0012313338492780698,0.002403731202073935
proline,11115959,245275,1569027,0.04746665501090386,9.66480238989019e-4,0.006106516861116444
pipecolinic acid,11626,21161,2536,4.964459936895847e-5,8.338268611659008e-5,9.869891824545595e-6
phthalic acid,85531,66382,169995,3.6522898921610074e-4,2.615712617452617e-4,6.61605781038497e-4
phosphoinositol,39072,39633,21930,1.6684274785342727e-4,1.56169651663854e-4,8.534965603796724e-5
phosphoethanolamine,711829,225138,652834,0.0030396065305527556,8.871325167485873e-4,0.002540773248969006
phosphate,809576,1058973,1246861,0.0034569994992881404,0.004172771289870221,0.004852674759560231
phenylalanine,5532196,10912115,9013714,0.023623228457814775,0.0429980369506703,0.03508059231758366
phenylacetic acid,4322,8915,5031,1.8455527135097066e-5,3.5128616167922145e-5,1.9580215208710128e-5
pentadecanoic acid,359079,572347,281401,0.001533316110167404,0.002255272919558243,0.0010951882607724585
pelargonic acid,28535,42083,53420,1.2184832642295114e-4,1.6582361796911582e-4,2.0790600207698173e-4
parabanic acid,28470,28367,23162,1.2157076759283053e-4,1.1177716823729081e-4,9.014449307575909e-5
pantothenic acid,39339,44853,54882,1.679828741248458e-4,1.7673851048567718e-4,2.1359597914617955e-4
palmitoleic acid,359089,408558,199562,0.0015333588115258841,0.0016098796594878222,7.766779780323218e-4
palmitic acid,1642749,1745390,929178,0.0070147613941817615,0.006877524999812634,0.0036162801047900737
palatinitol,26191,30231,169409,1.1183912799521687e-4,1.1912206341811042e-4,6.593251199150019e-4
oxoproline,10515576,3340334,5750416,0.04490293804006837,0.013162233422171626,0.022380119821031618
ornithine,1732015,4187113,1706995,0.007395939340790178,0.016498876660540326,0.0066434763387382524
oleic acid,589171,612646,318282,0.0025158402077076064,0.002414066873899364,0.0012387259107649925
octadecanol,1491,1995,9579,6.366772549382168e-6,7.861086848570351e-6,3.7280636351467765e-5
nonadecanoic acid,34888,41531,21639,1.489764994653555e-4,1.636485202546242e-4,8.42171093025797e-5
N-methyl-UMP,12101,33069,16464,5.1672913896762984e-5,1.303049027545729e-4,6.407645859594585e-5
N-methylethanolamine,1598975,2064499,2016899,0.006827840467570993,0.008134940319692552,0.007849595800880987
nicotinic acid,605377,531110,332025,0.0025850420292604483,0.00209278287526025,0.001292212473598088
nicotinamide,26376,35048,26451,1.1262910312709863e-4,1.3810294329257827e-4,1.0294499552486417e-4
n-epsilon-trimethyllysine,14499,14528,8171,6.191269966028977e-5,5.724604999299753e-5,3.180082259399135e-5
N-alpha-acetyllysine,32898,55350,57813,1.404789291278166e-4,2.1810083061071125e-4,2.2500317667683537e-4
N-acetylserine,68594,245138,107753,2.929056983583638e-4,9.659404049548064e-4,4.193653208873271e-4
N-acetylputrescine,166136,51590,42592,7.094232892449066e-4,2.0328494762794207e-4,1.6576436616366167e-4
N-acetylglucosamine-6-phosphate,3997,5490,5808,1.706773298449398e-5,2.1632765312607133e-5,2.2604231749590227e-5
N-acetylgalactosamine,36790,52097,14354,1.570982978482696e-4,2.052827275939697e-4,5.5864521786091276e-5
N-acetylaspartic acid,3206,4732,6921,1.3690055528718464e-5,1.864594634959143e-5,2.6935931118959017e-5
myristic acid,1793154,2240589,1420553,0.00765701117640163,0.008828804371404209,0.005528668943625283
myo-inositol,1223045,1139961,1058969,0.005222568298228781,0.004491895952372484,0.0041214154083388105
methionine sulfoxide,1161037,1174534,1098748,0.004957785714565408,0.004628127208320165,0.004276231822727059
methionine,1361243,3724186,1969952,0.005812692532151998,0.014674761697358306,0.007666882152818314
methanolphosphate,14371,13462,25722,6.136612227174455e-5,5.304558955160605e-5,1.0010779081662531e-4
melezitose,780,1072,1641,3.3307059614474118e-6,4.224102807853341e-6,6.386629528422445e-6
maltotriose,22277,7026,74457,9.512581628610767e-5,2.7685211126844757e-5,2.897801796451859e-4
maltotriitol,17559,9112,15380,7.497931535519885e-5,3.59048738667534e-5,5.9857624708797814e-5
maltose,413968,274511,483112,0.0017676995967287976,0.00108168160996887,0.0018802299602286559
maltitol,3000,4016,2096,1.2810407544028506e-5,1.582462395180879e-5,8.157450025334214e-6
malonic acid,2277,2255,2348,9.723099325917637e-6,8.8855893952512e-6,9.138212146700732e-6
malonamide,1132,4064,1765,4.8337937799467564e-6,1.6013762883503714e-5,6.869226762745653e-6
malic acid,80127,184476,90823,3.4215317509345735e-4,7.269081992365234e-4,3.534752307494892e-4
maleimide,60910,206922,95651,2.6009397450225876e-4,8.15354292170363e-4,3.7226538758265406e-4
lysine,3735855,1889609,1503807,0.01595260835846554,0.00744580474127327,0.005852686283515157
loganin,173293,126051,108133,7.399846515091106e-4,4.96690655814106e-4,4.2084424789573695e-4
linolenic acid,81398,73784,60032,3.4758051775627747e-4,2.9073806117038334e-4,2.3363933202331276e-4
linoleic acid,302394,297793,134264,0.0012912634596229852,0.0011734218726297296,5.225438312029928e-4
lignoceric acid,3842,2786,5044,1.6405861928052507e-5,1.0977938827126315e-5,1.9630810080050467e-5
leucrose,23883,48844,47637,1.0198365445801094e-4,1.924646245772282e-4,1.8539906815689215e-4
leucine,8707823,9902056,13147342,0.037183587150421644,0.03901800611298603,0.05116831361210762
L-DOPA,2072798,1159249,884010,0.0088511290454824,0.004567898279758562,0.0034404901702746655
lauric acid,238860,453262,348951,0.0010199646486555496,0.0017860310512063631,0.0013580869960832058
lactulose,49715,109385,296273,2.122898036837924e-4,4.3102004257186357e-4,0.0011530687935858033
lactose,47822,152532,377701,2.0420643652351042e-4,6.010362401935503e-4,0.0014699795000089496
lactobionic acid,46625,46049,45042,1.9909508391344302e-4,1.8145122220040907e-4,1.7529955345472505e-4
lactitol,1064468,636708,1441975,0.004545422965858978,0.0025088806442002663,0.005612041507767797
