BinBase name,L1_SAC_907,L2_SAC_907,L3_SAC_907,normL1_SAC_907,normL2_SAC_907,normL3_SAC_907
octadecanol,3158,10189,1901,1.2509292695238935e-5,4.245321306136827e-5,7.610668620058267e-6
nonadecanoic acid,23532,13229,11302,9.321364018504199e-5,5.511959520942594e-5,4.5247646893160725e-5
N-methyl-UMP,42559,16749,23336,1.6858232673105567e-4,6.978593243349272e-5,9.342586160845856e-5
N-methylethanolamine,440117,1132319,1488836,0.0017433668059374523,0.004717889857732404,0.0059605667678132935
nicotinic acid,440193,207418,329006,0.0017436678528800862,8.642222540742845e-4,0.0013171781378279277
nicotinamide,47349,29586,32648,1.8755620640496147e-4,1.2327223099751122e-4,1.3070652767367824e-4
n-epsilon-trimethyllysine,33754,4322,32490,1.3370445396931443e-4,1.8007928830231985e-5,1.3007397341698742e-4
N-alpha-acetyllysine,24402,43821,40423,9.665983544940483e-5,1.8258339872040624e-4,1.618338020140007e-4
N-acetylserine,14606,15485,23940,5.785646900147558e-5,6.451938406666874e-5,9.584398041251705e-5
N-acetylputrescine,84090,290894,174196,3.330925974485883e-4,0.001212031108084568,6.973950715095581e-4
N-acetylglucosamine-6-phosphate,6868,4188,5706,2.7205136868556366e-5,1.7449608038179443e-5,2.284401638403602e-5
N-acetylgalactosamine,41095,14026,30570,1.6278321194136922e-4,5.844035395021606e-5,1.2238723814580812e-4
N-acetylaspartic acid,7368,8498,5703,2.9185708859569495e-5,3.54075379915112e-5,2.2832005860174804e-5
myristic acid,1576612,1608898,1713365,0.006245187135790389,0.006703591087251869,0.006859470405158408
myo-inositol,1238401,411777,854936,0.004905484668485304,0.001715698961112086,0.0034227430759379983
methionine sulfoxide,1004672,600460,1282716,0.003979650446710288,0.00250186046862589,0.005135363708388564
methionine,885972,2352534,1521073,0.003509462656043771,0.009802004822466676,0.0060896278537179846
methanolphosphate,8739,10634,14725,3.46164372589275e-5,4.4307338079751715e-5,5.895165461881009e-5
melezitose,2344,453,502,9.284921493869557e-6,1.887457602983593e-6,2.009760992777091e-6
maltotriose,11701,25301,17982,4.634934573368929e-5,1.0541846537105494e-4,7.199108002413875e-5
maltotriitol,13720,7475,10531,5.434689543340031e-5,3.114513373576679e-5,4.2160942260827783e-5
maltose,165562,88499,151377,6.558149199522319e-4,3.687375505661037e-4,6.060390235131827e-4
maltitol,881,1633,1231,3.4897678481651366e-6,6.804013831505976e-6,4.9283182910529864e-6
malonic acid,3437,2077,2224,1.3614451866224262e-5,8.653972276814398e-6,8.903801689116037e-6
malonamide,891,1151,1301,3.529379287985399e-6,4.7957256093468334e-6,5.2085638478147324e-6
malic acid,208465,270441,93360,8.257598802131047e-4,0.001126812188981205,3.737675025610941e-4
maleimide,61985,132635,120077,2.4553150972589783e-4,5.526334198051409e-4,4.8072922456114496e-4
lysine,2668366,3226135,2162850,0.010569781922743488,0.013441927227376322,0.008658987177744883
loganin,90744,52379,72536,3.5945004950499107e-4,2.1824093109641858e-4,2.9039845293242847e-4
linolenic acid,74565,29075,58501,2.953627010197882e-4,1.2114311215617652e-4,2.3420921880169842e-4
linoleic acid,174716,71494,153574,6.920752319637003e-4,2.978849754254062e-4,6.148347304875478e-4
lignoceric acid,5493,1701,4861,2.1758563893270254e-5,7.087340800607266e-6,1.9461052163126373e-5
leucrose,5260,22575,19453,2.0835617345458136e-5,9.406038716855323e-5,7.788024022408915e-5
leucine,10664939,13418674,13644375,0.042245358938527176,0.05590988579085709,0.05462536383630064
L-DOPA,677331,1772624,756190,0.0026830056144898297,0.007385767430532425,0.003027412679538065
lauric acid,283190,449262,359005,0.001121756364270017,0.0018718829528291722,0.0014372793729321505
lactulose,45313,105237,38206,1.79491317257556e-4,4.3847765069577124e-4,1.5295802488056085e-4
lactose,106226,143588,49820,4.207764806347217e-4,5.982698946958237e-4,1.994547662552882e-4
lactobionic acid,20992,26583,5911,8.315233447069529e-5,1.1076001205322925e-4,2.3664735514552562e-5
lactitol,660269,697741,748588,0.0026154205758684977,0.0029071888639368103,0.002996978012073739
lactic acid,1031403,335838,389796,0.004085535786493832,0.0013992935683682206,0.0015605513863357352
kynurenine,16372,30973,22396,6.485184927373396e-5,1.2905126785256254e-4,8.96625641319437e-5
kynurenic acid,8704,3235,6047,3.447779721955658e-5,1.3478863897686366e-5,2.4209212596261096e-5
ketoisoleucine,40263,30782,40057,1.5948754014832338e-4,1.282554523952339e-4,1.6036851810293215e-4
isoxanthopterin,71092,12697,22118,2.81605647970211e-4,5.290297833351585e-5,8.854958892080418e-5
isothreonic acid,16667,15424,18910,6.602038674843171e-5,6.426522310909258e-5,7.570633540520876e-5
isomaltotriose,1731,216,363,6.856740232887459e-6,8.999797842040974e-7,1.4532733872073389e-6
isomaltose,6447,4388,5163,2.5537495252123308e-5,1.8282922653183238e-5,2.067011156515562e-5
isoleucine,8174696,12948174,10109614,0.032381147865294155,0.053949513159060665,0.04047392005823343
isoheptadecanoic acid,23816,5442,18882,9.433860507593745e-5,2.267449067425323e-5,7.559423718250406e-5
isogluconic acid,1292257,659959,915103,0.005118816038781311,0.0027497674000164438,0.0036636221389906264
inulotriose,52936,159,3746,2.0968711783254219e-4,6.624851189280161e-7,1.4997140794707138e-5
inosine-5-monophosphate,5499,6095,7603,2.178233075716241e-5,2.5395262892240617e-5,3.043867097227933e-5
inosine,2296191,2379481,2595694,0.009095543161232863,0.009914281467119212,0.010391881574473185
indole-3-acetate,5647,5380,10384,2.2368580066502298e-5,2.2416163143602052e-5,4.157242659162812e-5
hypoxanthine,1395000,440257,958884,0.005525795854926635,0.0018343629622886264,0.0038388997207132835
hypotaurine,13831,6726,8680,5.4786582415405224e-5,2.8024370502577587e-5,3.4750449038456474e-5
homoserine,21463,82872,54053,8.501803328622965e-5,3.4529224387297203e-4,2.1640161542346636e-4
histidine,8162493,8004141,9019396,0.03233281002528149,0.033349838379255405,0.036109223623923756
heptanoic acid,13513,12422,14391,5.3526938629120875e-5,5.1757170737885635e-5,5.7614482962261195e-5
heptadecanoic acid,92932,38434,75616,3.6811703253766457e-4,1.6013806956527906e-4,3.0272925742994526e-4
guanosine,115338,227304,179772,4.56870424598945e-4,9.470787262441118e-4,7.19718631859608e-4
glycyl-proline,47776,134325,80886,1.8924761488528668e-4,5.59674928301923e-4,3.2382774434615096e-4
glycyl-glycine,28837,26045,31350,1.142275090096913e-4,1.0851839573886905e-4,1.255099743497247e-4
glycolic acid,28075,24080,30874,1.112091172953873e-4,1.0033107964645677e-4,1.2360430456374483e-4
glycine,3591963,3308058,3250322,0.014228282621110996,0.013783265393401101,0.013012689979213586
glycerol-alpha-phosphate,291823,340236,282808,0.0011559529202668497,0.001417618156752154,0.001132224077381083
glycerol-3-galactoside,89551,24355,79560,3.5472440473443374e-4,1.0147688724208699e-4,3.1851909279949277e-4
glycerol,4402887,2665790,3421527,0.017440469343591662,0.011107208837654817,0.01369811055843351
glyceric acid,110779,93410,88861,4.3881156918488726e-4,3.891995909375219e-4,3.557557202772213e-4
glutaric acid,8832,4948,8564,3.4984823649255945e-5,2.061620357519386e-5,3.428604211582273e-5
glutamine,14431608,2860024,6664244,0.05716567718016206,0.011916498992308053,0.02668035385965891
glutamate,8869987,7717844,10841505,0.035135295625701175,0.0321569610075967,0.04340405149800358
glucose-6-phosphate,26794,38437,27952,1.0613489185441165e-4,1.601505692845041e-4,1.1190605432291883e-4
glucose,8179965,6011675,4913088,0.03240201913293545,0.02504808319076466,0.019669586885420743
gluconic acid lactone,149051,72621,126400,5.904124716649964e-4,3.0258070328095256e-4,5.060434053526381e-4
gluconic acid,151301,256047,111123,5.993250456245554e-4,0.0010668385361393819,4.4488181434336395e-4
galacturonic acid,45782,23780,38824,1.813490937851263e-4,9.908110772395108e-5,1.5543219279597168e-4
galactose,327935,125780,209147,0.001298997751745782,5.24071561375886e-4,8.373216780006978e-4
galactinol,1754,2890,1922,6.947846544474063e-6,1.2041396186804821e-5,7.69474228708679e-6
fumaric acid,179396,230647,104391,7.106133857995833e-4,9.610075800339002e-4,4.1793019879879145e-4
fructose-6-phosphate,14128,5348,14198,5.596304217806703e-5,2.2282832805201446e-5,5.684180592718952e-5
fructose-1-phosphate,8973,6335,7110,3.554334495072165e-5,2.6395240430245168e-5,2.846494155108589e-5
fructose,119698,153853,137613,4.741410123605795e-4,6.410397673108935e-4,5.50934740037916e-4
ethanolamine,9082104,8999187,3027984,0.03597552160373664,0.03749577025126073,0.012122558027795115
erythritol,179214,604444,400829,7.098924575948544e-4,0.002518460095756766,0.00160472208958934
ergosterol,44029,13707,23361,1.7440520838463426e-4,5.711121713928501e-5,9.352594930730205e-5
Dopamine,16587,86524,15776,6.57034952298696e-5,3.605085687429413e-4,6.315934147819001e-5
digalacturonic acid,8917,15137,11435,3.5321520887728176e-5,6.306941663656214e-5,4.578011345100804e-5
dehydroabietic acid,28751,24728,25727,1.1388685062723705e-4,1.0303101899906907e-4,1.0299824912584905e-4
cytidine,4399,13565,7680,1.7425072376933524e-5,5.651956376263231e-5,3.074694108471725e-5
cystathionine,70051,35704,54232,2.7748209708492166e-4,1.4876332507047726e-4,2.1711824334718567e-4
citrulline,437112,542287,518087,0.0017314635682714632,0.0022594784131328115,0.002074165425228894
citric acid,94120,617882,336180,3.7282287158831175e-4,0.0025744505047388708,0.0013458993038880528
cholesterol,24169,37661,49805,9.573688890159272e-5,1.569173085782894e-4,1.9939471363598213e-4
chenodeoxycholic acid,782,849,154,3.0976145939445367e-6,3.5374205406911045e-6,6.165402248758407e-7
cerotinic acid,1485,1425,1211,5.882298813308999e-6,5.937366631902031e-6,4.848248131978202e-6
cellobiose minor,3758,8019,6028,1.4885979084454691e-5,3.341174948857711e-5,2.413314594514005e-5
caproic acid,21816,19381,20097,8.641631711188492e-5,8.075235276694264e-5,8.045849934629722e-5
capric acid,10305,7934,8574,4.081958873478063e-5,3.30575907772005e-5,3.432607719536012e-5
campesterol,15253,16574,16430,6.041932915784657e-5,6.90567821453644e-5,6.577763567993548e-5
butylamine,136729,121139,119188,5.416032555184688e-4,5.047344957347229e-4,4.771701059902708e-4
biphenyl,5521,6792,8758,2.186947592476699e-5,2.8299364325528836e-5,3.506272265884814e-5
biopterin,9132,4752,8300,3.617316684386382e-5,1.979955525249014e-5,3.322911601603557e-5
beta-sitosterol,200718,219676,185176,7.950728977843472e-4,9.152961068278671e-4,7.413535888416148e-4
beta-alanyl lysine,1205013,288410,680334,0.004773229993213412,0.0012016813405662209,0.002723722580199222
beta-alanine,819119,548881,785637,0.0032446482974133693,0.0022869527959894866,0.0031453039782518236
Benzaldehyde-4-carboxylic acid,7180,6687,4769,2.8441013790948558e-5,2.7861874152651845e-5,1.9092729431382368e-5
behenic acid,53210,41844,49707,2.1077247128361738e-4,1.7434608375109373e-4,1.9900236985651568e-4
azelaic acid,7650,8919,12224,3.03027514625009e-5,3.716166525609418e-5,4.8938881226508294e-5
aspartate,442408,4042461,1986761,0.0017524417868002744,0.016843209159414257,0.007954013465678898
asparagine,1616455,2684603,2030151,0.00640301099546626,0.01118559457691515,0.008127725675791642
arachidic acid,87381,34664,73817,3.461287222934368e-4,1.4443008907245755e-4,2.955269466211684e-4
arabitol,1059910,1042594,1155221,0.004198456117989455,0.004344044088576327,0.004624936461826582
