BinBase name,L1_SF_440,L2_SF_440,L3_SF_440,normL1_SF_440,normL2_SF_440,normL3_SF_440
loganin,114525,128393,112289,4.5322303551380516e-4,5.36811138224246e-4,4.6583739487502946e-4
linolenic acid,73169,65654,83935,2.895601509321948e-4,2.744993766714279e-4,3.482091900260542e-4
linoleic acid,156642,260287,181131,6.198975134595369e-4,0.0010882599575909458,7.514324036291084e-4
lignoceric acid,4576,4448,4737,1.8109134341944313e-5,1.8597088180986864e-5,1.9651717795358537e-5
leucrose,41158,6600,43243,1.6287931626873776e-4,2.759460026855065e-5,1.7939608035142266e-4
leucine,8214733,10500181,8223399,0.032509113522771686,0.043901257188247035,0.034115245190338525
L-DOPA,10281260,2661777,5892291,0.040687219961638633,0.011128889745306354,0.024444509161944468
lauric acid,221610,275622,258322,8.770028980590645e-4,0.0011523755932149192,0.0010716637205684205
lactulose,81472,78169,90029,3.224185736684631e-4,3.268245921806569e-4,3.7349050061185e-4
lactose,98240,142066,138592,3.8877652048789537e-4,5.939779517805934e-4,5.749569078940955e-4
lactobionic acid,46021,30191,29473,1.8212422892277517e-4,1.2622857222845647e-4,1.2227044090829683e-4
lactitol,1582677,752200,1491012,0.0062633108419810745,0.003144948230606636,0.006185549304093966
lactic acid,2862642,1417869,2351139,0.011328664456051607,0.00592811034669237,0.009753835787557837
kynurenine,178443,16674,14380,7.061731336056751e-4,6.97139946784566e-5,5.9656259636321665e-5
kynurenic acid,1818,8505,10300,7.194581781830149e-6,3.555940534606413e-5,4.273014424576587e-5
ketoisoleucine,16461,43640,15796,6.514302019290763e-5,1.8245884177568944e-4,6.553061733069103e-5
isoxanthopterin,37403,54075,24294,1.480192202342096e-4,2.260875772002843e-4,1.0078506061229476e-4
isothreonic acid,15192,22825,13585,6.012105964222421e-5,9.543132592873767e-5,5.6358156269779545e-5
isomaltotriose,974,2161,11410,3.854522912817693e-6,9.035141087929994e-6,4.733504328584355e-5
isomaltose,113990,7817,7122,4.5110581810276054e-4,3.2682877318069764e-5,2.9546027894984904e-5
isoleucine,5828853,10843862,7679787,0.023067194500971402,0.04533818746323124,0.03186003944531626
isoheptadecanoic acid,37249,27287,45636,1.4740977821308649e-4,1.1408694811029418e-4,1.8932357891259915e-4
isogluconic acid,1253031,1837805,2108503,0.00495876457902553,0.007683862779779353,0.008747246342973794
inulotriose,38565,30233,42060,1.526177373026841e-4,1.2640417423016542e-4,1.7448833659970022e-4
inosine-5-monophosphate,4397,6139,6346,1.7400756927781717e-5,2.5667159249792793e-5,2.632674712462429e-5
inosine,1758171,1679580,2363499,0.006957813556623814,0.007022324048341258,0.009805111960652755
indole-3-acetate,2567,5636,2942,1.0158686157292624e-5,2.356411622932598e-5,1.2205056735052736e-5
hypoxanthine,2201320,1497368,1888233,0.008711538376225712,0.006260495668927144,0.007833443539768468
hypotaurine,16975,11895,15787,6.717713187379911e-5,4.973299548400151e-5,6.549328031144715e-5
homoserine,15334,22408,98482,6.0683012674688395e-5,9.368784891177014e-5,4.085582587972344e-4
histidine,7033856,5717043,5521669,0.027835892317720948,0.023902957015623578,0.022906962412366387
heptanoic acid,17003,11331,12453,6.72879395140033e-5,4.737491146105264e-5,5.1661988960439066e-5
heptadecanoic acid,51793,70560,59638,2.0496643246772767e-4,2.9501136287105056e-4,2.474116837406781e-4
guanosine,86034,126040,113952,3.404723041903053e-4,5.269732451285037e-4,4.7273644631975846e-4
glycyl-proline,48652,33726,40395,1.9253618968624885e-4,1.4100840737229383e-4,1.675809880395837e-4
glycyl-glycine,25505,26217,41574,1.0093388797886575e-4,1.0961327806675642e-4,1.724721375605311e-4
glycolic acid,28263,33862,15373,1.1184844053897992e-4,1.415770233778276e-4,6.3775777426229e-5
glycine,3083774,3098271,2854666,0.012203775709395756,0.012953871177067075,0.011842746597425579
glycerol-alpha-phosphate,288419,238398,389797,0.0011413938850020186,9.967420477002937e-4,0.001617095343356
glycerol-3-galactoside,18807,169689,160223,7.442711747573136e-5,7.094697159045593e-4,6.646943593678975e-4
glycerol,4159319,3720641,1818734,0.01646015440166116,0.015556000172390994,0.007545122928609586
glyceric acid,108287,116625,120014,4.28536676242597e-4,4.8760912974541207e-4,4.978850030593539e-4
glutaric acid,5246,7106,5547,2.0760602875402067e-5,2.9710186289139532e-5,2.3012049527307114e-5
glutamine,5982364,6951240,7888764,0.023674701345806674,0.029063134722842426,0.03272699258648592
glutamate,6159925,8201986,7569702,0.024377384038745918,0.03429250379973465,0.03140334547159829
glucose-6-phosphate,15145,10664,7121,5.9935061103310015e-5,4.4586184433912746e-5,2.954187933729114e-5
glucose,7897201,5606208,6383796,0.03125250739386735,0.02343955587611376,0.026483546011217784
gluconic acid lactone,152222,221601,254948,6.024057359701589e-4,9.265137900168322e-4,0.0010576664869096618
gluconic acid,167925,564356,217864,0.00066454903504610985,0.002359572458963359,9.038213733941296e-4
galacturonic acid,52885,37020,48710,2.0928793043569163e-4,1.54780621506325e-4,2.0207624526322868e-4
galactose,203985,771701,301763,8.072534459662392e-4,0.003226481912400122,0.0012518812153432084
galactinol,5017,2982,3162,1.9854354675160538e-5,1.2467742121336066e-5,1.3117739427680745e-5
fumaric acid,79339,135754,54208,3.1397740593433563e-4,5.675874795237613e-4,2.2488501546354136e-4
fructose-6-phosphate,10058,6668,7854,3.980368732763896e-5,2.7878908271317535e-5,3.258277212681991e-5
fructose-1-phosphate,5961,5453,7354,2.3590155116330868e-5,2.2798993221879803e-5,3.0508493279938076e-5
fructose,264900,185047,396811,0.0010483194246462082,7.736815145294685e-4,0.0016461933270200582
ethanolamine,9302479,7378813,30413,0.03681377664425607,0.030850817453240156,1.2617008514043468e-4
erythritol,372187,672820,297055,0.0014728986851672264,0.0028130604473767043,0.0012323498057209689
ergosterol,16043,19836,19952,6.348882042128772e-5,8.293431680711677e-5,8.277202310597288e-5
Dopamine,1448078,32465,79877,0.005730646643272298,1.3573616632098437e-4,3.313743429047612e-4
digalacturonic acid,5440,6018,7579,2.1528341525388344e-5,2.5161258244869366e-5,3.14419187610349e-5
dehydroabietic acid,24569,18624,23863,9.722974686346806e-5,7.78669447578011e-5,9.899703224628262e-5
cytidine,2964,3841,3820,1.1729780198759384e-5,1.605922115628834e-5,1.5847490390177243e-5
cystathionine,73544,51789,75552,2.9104418182778684e-4,2.1652981110726813e-4,3.134318308792333e-4
citrulline,580406,541239,491431,0.00229690782929863,0.00226292028102274,0.0020387298560039773
citric acid,33636,164568,48913,1.3311163521102247e-4,6.880588146961884e-4,2.029184024750627e-4
cholesterol,59029,66501,81644,2.336022926290714e-4,2.7804068370589194e-4,3.387048443496416e-4
chenodeoxycholic acid,1197,1030,316,4.737026618729751e-6,4.3064300419101776e-6,1.3109442312293217e-6
cerotinic acid,1168,4134,3952,4.622261562803968e-6,1.7284254168210363e-5,1.639510000575405e-5
cellobiose minor,6289,8659,6454,2.4888187473008695e-5,3.6203279352330316e-5,2.677479135555077e-5
caproic acid,22809,18880,7845,9.026469519348947e-5,7.893728076821761e-5,3.254543510757604e-5
capric acid,8078,7244,7823,3.196800419891306e-5,3.0287164294754684e-5,3.245416683831324e-5
campesterol,15604,50472,16622,6.175151491951466e-5,2.1102343405368006e-4,6.895732598573984e-5
butylamine,126002,97167,82129,4.986422957503644e-4,4.062552309536759e-4,3.40716894831117e-4
biphenyl,4518,6569,8351,1.7879604230092744e-5,2.7464989267289275e-5,3.464460530062046e-5
biopterin,9812,6258,10023,3.8830163060130596e-5,2.6164698254634843e-5,4.158099376459333e-5
beta-sitosterol,372733,220250,278109,0.0014750594341512084,9.208652589618607e-4,0.0011537512316549224
beta-alanyl lysine,437307,617446,369807,0.0017306055969564338,0.0025815417511235645,0.001534165675057664
beta-alanine,2839528,1803204,2312737,0.011237192749063036,0.007539195997371456,0.009594522875001925
Benzaldehyde-4-carboxylic acid,7062,70396,5377,2.794726982578906e-5,2.943256788643775e-4,2.230679471936729e-5
behenic acid,58668,47143,60958,2.321736655535815e-4,1.9710488491822475e-4,2.528877798964462e-4
azelaic acid,9275,8039,12687,3.670503081764281e-5,3.361105932710283e-5,5.2632751460779765e-5
aspartate,544964,2471463,1101320,0.0021566491012944364,0.010333186903562575,0.004568889559295812
asparagine,1866192,2536988,1969524,0.0073852975602844715,0.010607146931228753,0.00817068394325221
arachidic acid,94213,91042,90214,3.728400073770978e-4,3.8064660570445274e-4,3.7425798378519634e-4
arabitol,1715077,850326,1864630,0.0067872726835181,0.003555213040599333,0.007735525132522564
arabinose,19600,36378,32087,7.75653481429433e-5,1.5209641948020237e-4,1.331147707197951e-4
alpha-ketoglutarate,177282,397251,370881,7.015785739529221e-4,0.0016609064471639415,0.0015386212260207661
alpha-aminoadipic acid,7429,16700,4988,2.9399641395608457e-5,6.982270067951453e-5,2.069300577649322e-5
allantoin,53745,35543,7478,2.1269130795624936e-4,1.4860528444622664e-4,3.102291443396477e-5
allantoic acid,125615,111034,62758,4.971107758661134e-4,4.642331585179171e-4,2.603551837452208e-4
alanine,20837798,17928443,20754924,0.08246382940828202,0.07495882091249924,0.08610299964368039
adipic acid,11818,14107,14979,4.6768738997617545e-5,5.898136757400667e-5,6.214124569488611e-5
adenosine-5-monophosphate,8098,8058,8399,3.204715251334463e-5,3.369049832787593e-5,3.484373606992112e-5
adenosine,9238,12974,20305,3.6558606435944394e-5,5.424429452790547e-5,8.423646397187145e-5
adenine,10901,9655,9801,4.313978878092984e-5,4.036755539285705e-5,4.0660013956577796e-5
aconitic acid,1626,4554,1760,6.4347579632870305e-6,1.904027418529995e-5,7.301461541024071e-6
9-myristoleate,61712,75351,129245,2.4422003901006717e-4,3.150425340659939e-4,5.361803391304864e-4
6-methylcholecalciferol,1228,1024,819,4.859706506098692e-6,4.281344041666041e-6,3.397668751192451e-6
5-methyluridine,626,1251,1021,2.477342241708291e-6,5.230431050902555e-6,4.235677405332714e-6
5-aminovaleric acid,17428,31326,35217,6.896984119567427e-5,1.3097400727463904e-4,1.460997563012754e-4
4-hydroxybutyric acid,1657,2323,1622,6.557437850655972e-6,9.71246309452169e-6,6.728960579284683e-6
3-phosphoglycerate,48003,6465,36262,1.8996782688294423e-4,2.703016526305757e-5,1.5043499909125844e-4
3-hydroxypropionic acid,87601,73470,59990,3.4667357462601916e-4,3.07178072989457e-4,2.4887197604888295e-4
3-hydroxykynurenine,156891,24481,17860,6.2088290997421e-4,1.0235506199611947e-4,7.409324041061927e-5
3-hydroxy-3-methylglutaric acid,2650,3881,4473,1.048715166218366e-5,1.622646115791592e-5,1.8556498564204925e-5
"3-Aminopiperidine-2,6-dione",63964,132494,91513,2.531321392150625e-4,5.539574193911136e-4,3.796469602293953e-4
3-aminoisobutyric acid,9943,4903,7309,3.934858451965741e-5,2.0499443199500582e-5,3.0321808183718712e-5
"3,6-anhydro-D-galactose",24245,31532,25023,9.594754416967655e-5,1.3183529328302107e-4,1.0380935917104848e-4
"3,4-dihydroxyphenylacetic acid",42478,18891,16000,1.681031050212217e-4,7.89832717686652e-5,6.637692310021883e-5
2-picolinic acid,2934,2028,2787,1.1611057727112022e-5,8.479068082518291e-6,1.1562030292519367e-005
2-monoolein,23102,15647,22966,9.142421799991204e-5,6.542010763666849e-5,9.52757759949766e-5
2-ketoisovaleric acid,31889,49411,69568,1.2619802994542442e-4,2.0658739301050852e-4,2.8860686163975147e-4
2-ketoisocaproic acid,39511,180057,64119,1.563614525752976e-4,7.52818324326428e-4,2.6600137076643316e-4
2-hydroxyglutaric acid,2298382,1872174,1842670,0.009095653060993587,0.007827559570177809,0.007644422805567513
2-Deoxyinosine,1868,3223,2272,7.392452567909085e-6,1.3475363131142234e-5,9.425523080231074e-6
2-amino-4-oxo-4-phenylbutanoic acid,9093,1929,1642,3.598478115631548e-5,8.065149078490031e-6,6.811931733159957e-6
"2,6-diaminopimelic acid",1955,1343,1258,7.736747735686436e-6,5.615083054645988e-6,5.218885578754705e-6
1-monopalmitin,3200,10035,3425,1.2663730309051967e-5,4.1956335408319055e-5,1.4208810101140592e-5
1-kestose,38565,2004,4379,1.526177373026841e-4,8.378724081541743e-6,1.816653414099114e-5
588382,112977,191452,177898,4.4709695597680126e-4,8.004608197900847e-4,7.380201166051705e-4
588380,54072,84253,48463,2.1398538289720562e-4,3.522617964282118e-4,2.0105155151286906e-4
588375,34146,29828,27526,1.3512991722902765e-4,1.2471086921368618e-4,1.1419319907853896e-4
588374,27587,104252,68058,1.0917322751119269e-4,4.35877616241961e-4,2.823425395221683e-4
588356,3263,8126,3710,1.2913047499511428e-5,3.3974806330642816e-5,1.539114904386324e-5
562527,46883,22937,43233,1.8553552127477605e-4,9.589959793329489e-5,1.7935459477448504e-4
554665,2487,2641,2293,9.842092899566325e-6,1.104202110746095e-5,9.51264279180011e-6
553510,14139,15644,23727,5.59539008874018e-5,6.540756463654641e-5,9.843282839993075e-5
553483,44650,55461,129861,1.7669861196849073e-4,2.3188244325667994e-4,5.387358506698448e-4
553440,23386,19277,7845,9.25481240648404e-5,8.059713778437134e-5,3.254543510757604e-5
553439,7165,5134,2735,2.835488364511167e-5,2.1465254208899853e-5,1.1346305292443655e-5
553386,126002,97167,82129,4.986422957503644e-4,4.062552309536759e-4,3.40716894831117e-4
553359,28626,20261,20434,1.13284982445913e-4,8.47112418244098e-5,8.477162791436696e-5
553345,25621,17912,6637,1.0139294820256889e-4,7.489007272883018e-5,2.753397741350952e-5
553344,100508,76837,77494,3.9775193934443596e-4,3.2125550012645853e-4,3.2148832992052236e-4
553268,35456,24958,51656,1.4031413182429578e-4,1.0434939901552835e-4,2.1429789622905648e-4
553263,61800,47107,37103,2.445682915935661e-4,1.969543689167599e-4,1.5392393611171368e-4
550987,14506,12775,3512,5.74062724572212e-5,5.3412275519808265e-5,1.4569734620498031e-5
545358,4302049,2355049,6426082,0.017024996347602094,0.009846459964825749,0.026658971921856275
545069,31800,258033,501325,1.2584581994620392e-4,0.0010788359834992317,0.002079775685826075
544748,6495080,5978195,5433671,0.02570373170491164,0.02499483353824972,0.02254189763243057
544707,1001,965,1183,3.961373137300318e-6,4.03466503926536e-6,4.907743751722429e-6
544105,28640,10274,13903,1.133403862660151e-4,4.2955594418043844e-5,5.7677397616396395e-5
544078,15320,20852,12636,6.062760885458629e-5,8.718221284845729e-5,5.242117501839782e-5
544032,4172,9306,8042,1.6510338390426502e-5,3.890838637865642e-5,3.336270097324749e-5
541377,82515,106946,64646,3.265461582660697e-4,4.4714123035157844e-4,2.6818766067104665e-4
540580,9505,5225,6018,3.761523643360592e-5,2.1845725212602598e-5,2.4966020201069805e-5
539711,8802,11472,1177,3.483317318133607e-5,4.7964432466789854e-5,4.882852405559848e-6
539702,6241,7732,2659,2.4698231518372913e-5,3.2327492314611154e-5,1.1031014907717616e-5
539604,6064,5870,1492,2.3997768935653476e-5,2.454247023884732e-5,6.189648079095405e-6
534660,1909,3463,5621,7.554706612493814e-6,1.4478803140907713e-5,2.3319042796645627e-5
524550,6585,857,1996,2.6059582526596e-5,3.583117034870895e-6,8.280521156752299e-6
521677,44721,46781,38287,1.7697958848472283e-4,1.9559136290349516e-4,1.588358284211299e-4
521666,4442,2307,6463,1.757884063525276e-5,9.645567093870659e-6,2.681212837479464e-5
520868,48427,6902,3498,1.9164577114889363e-4,2.8857262280838878e-5,1.451165481278534e-5
520865,9403,7325,11120,3.721158003000489e-5,3.0625825298050534e-5,4.613196155465208e-5
520862,3761,4571,5425,1.488384052885764e-5,1.911135118599167e-5,2.2505925488667947e-5
520631,62747,61122,39341,2.4831596428190116e-4,2.5555108448702314e-4,1.632084082303568e-4
519942,978,4383,966,3.870352575704007e-6,1.8325323178342047e-5,4.0075067321757115e-6
519090,100283,70550,83816,3.9686152080708076e-4,2.949695528706437e-4,3.477155116604963e-4
517908,8704,18284,8244,3.444534644062135e-5,7.644540474396669e-5,3.420070962738775e-5
517902,12058,8355,9989,4.771851877079644e-5,3.4932255339960706e-5,4.1439942803005365e-5
514161,727,1992,2250,2.8770412295877436e-6,8.32855208105347e-6,9.334254810968272e-6
513579,3167,5214,5270,1.2533135590239869e-5,2.1799734212155015e-5,2.1862899046134575e-5
511804,545,1300,640,2.1567915682604132e-6,5.4353000528963405e-6,2.6550769240087527e-006
511719,32961,48532,39885,1.3044037959895685e-4,2.0291229397474244e-4,1.6546522361576423e-4
509844,66070,59820,41618,2.6146645672470734e-4,2.5010742243404544e-4,1.726546740990567e-4
488159,345,559,313,1.3653084239446652e-6,2.3371790227454264e-6,1.2984985581480307e-6
486463,91,8215,14234,3.601248306636653e-7,3.434691533426418e-5,5.905057021303217e-5
476084,1680,2522,2291,6.648458412252282e-6,1.05444821026189e-5,9.504345676412583e-6
474821,38234,24981,28878,1.5130783269884154e-4,1.044455620164642e-4,1.1980204908050746e-4
474672,110616,110723,52791,4.3775349745815386e-4,4.6293286750526266e-4,2.1900650921147824e-4
474251,7620,14031,5819,3.0155507798429996e-005,5.866361157091427e-5,2.4140457220010834e-5
474221,75128,53406,85250,2.9731272833076754e-4,2.2329048817306302e-4,3.5366454339335343e-4
474043,31445,44256,34966,1.2444093736504346e-4,1.8503433780075418e-4,1.4505846832014072e-4
425777,2273,8435,3463,8.995205935148475e-6,3.526673534321587e-5,1.4366455293503612e-5
425770,29633,18314,12604,1.1727010007754279e-4,7.657083474518737e-5,5.2288421172197376e-5
425127,6513,3077,2789,2.577464859464233e-5,1.2864937125201569e-5,1.1570327407906894e-5
422265,192392,196448,69278,7.613751255059768e-4,8.213490959933694e-4,2.8740377990856e-4
421543,4328,7738,3584,1.7127695242992785e-5,3.235257831485529e-5,1.4868430774449017e-5
417901,16829,5864,20558,6.659934917844861e-5,2.4517384238603184e-5,8.528604906839366e-5
417820,3893,3888,3032,1.5406219404106033e-5,1.6255728158200748e-5,1.2578426927491468e-5
417688,6155,4714,4569,2.435789376631714e-5,1.9709234191810266e-5,1.895476010280624e-5
412153,2346,1892,2021,9.284097282823723e-6,7.91045207698452e-6,8.38423509909639e-6
407336,30683,22172,30786,1.2142538658520047e-4,9.270113290216743e-5,1.2771749716020855e-4
406926,15426,1497,1668,6.104709492107363e-5,6.25895706091217e-6,6.919794233197813e-6
406851,228958,209401,3493,9.060819887812251e-4,8.755055895204204e-4,1.4490912024316522e-5
406846,82094,123491,101577,3.24880086247285e-4,5.163158760247861e-4,4.21398044859433e-4
405282,11581,7493,8991,4.583083147160338e-5,3.1328233304886365e-5,3.7299682224629216e-5
404192,16407,10642,8436,6.492931974394238e-5,4.449420243301758e-5,3.4997232704590376e-5
404164,22395,6492,19145,8.862632508475587e-5,2.7143052264156186e-5,7.942413704710559e-5
404049,26208,32654,14794,1.0371595123113561e-4,1.3652637532867468e-4,6.137376252153983e-5
400553,179,461,295,7.083774141625944e-7,1.927441018757856e-6,1.2238245196602846e-6
