BinBase name,L1_SF_440,L2_SF_440,L3_SF_440,normL1_SF_440,normL2_SF_440,normL3_SF_440
zymostenol,709,1125,622,2.8058077465993265e-6,4.703625045775679e-6,2.5804028855210067e-6
xylulose,186650,263131,243535,7.386516444326717e-4,0.001100150721706667,0.0010103189979507369
xylose,31080,24514,63950,1.2299648062666724e-4,1.0249303499746221e-4,2.653002645161871e-4
xanthosine,19885,14776,15127,7.869321162359324e-5,6.177845660122794e-5,6.275523223356314e-5
xanthine,646959,564322,480349,0.0025602857178168596,0.002359430304961976,0.0019927555396416882
valine,2073520,3508262,6878474,0.008205780647007948,0.0146680435647494,0.02853574623405341
uridine-5'-monophosphate,5440,2458,3992,2.1528341525388344e-5,1.0276898100014772e-5,1.6561042313504598e-5
uridine,146970,191346,144931,5.816213886004274e-4,8.000176337857716e-4,6.012546151148634e-4
uric acid,1497487,336769,538562,0.005926178596659782,0.0014080312027029596,0.002234255528668753
urea,268740,456939,532279,0.0010635159010170705,0.001910461977592616,0.002208190140678836
uracil,665032,670328,684509,0.002631808092152952,0.0028026413952753062,0.0028397250784004805
undecanoic acid,20454,33152,24061,8.094498116917153e-5,1.3860851334893806e-4,9.981844666964781e-5
UDP-N-acetylglucosamine,28624,21481,27437,1.1327706761446984e-4,8.981206187405098e-5,1.1382397744379399e-4
UDP-glucuronic acid,7945,5711,4483,3.1441667907943084e-5,2.387769123237769e-5,1.859798414114256e-5
tyrosine,4059449,1735305,3450986,0.016064927293547093,0.00725531027560868,0.014316614521370735
tryptophan,4520685,5870870,4836188,0.017890229891305183,0.02454610770888272,0.020063204935887567
trisaccharide,1551,1105,1460,6.137951784168625e-6,4.620005044961889e-6,6.056894232894968e-6
tridecanoic acid,1138713,2581768,1515333,0.004506360728566091,0.010794372113050829,0.006286446375763993
tocopherol gamma-,449,889,1113,1.776879658988854e-6,3.7169090361729587e-6,4.617344713158972e-6
tocopherol alpha-,4545,8962,4929,1.798645445457537e-5,3.747012236465923e-5,2.0448240872561163e-5
thymine,4976,7035,4863,1.969210063057581e-5,2.941333528625058e-5,2.0174436064772758e-5
threonine,2024613,2405295,3387498,0.008012235316312696,0.010056538492870233,0.014053230890509067
terephthalic acid,1945,2409,2617,7.697173578470649e-6,1.0072029098020988e-5,1.0856775484579542e-5
tagatose,2358,3500,2510,9.331586271482668e-6,1.4633500142413223e-5,1.0412879811346828e-5
sucrose,3840,3859,104476,1.519647637086236e-5,1.613447915702075e-5,4.3342471361365386e-4
succinic acid,112853,226399,227675,4.466062364273255e-4,9.465742282120604e-4,9.44522872927645e-4
stigmasterol,97,161,144,3.8386932499313776e-7,6.731410065510083e-7,5.973923079019694e-7
stearic acid,1249811,1260458,1406313,0.004946021700402046,0.005269974949287396,0.005834170615989877
squalene,2575,2378,2771,1.0190345483065254e-5,9.942418096759614e-6,1.1495653369419148e-5
spermidine,94288,79016,144945,3.731368135562162e-4,3.3036589921512093e-4,6.013126949225761e-4
sorbitol,4045993,2455117,132187,0.01601167630759753,0.010264844276897464,5.483853958655391e-4
sophorose,133766,97998,124575,5.293676714127017e-4,4.097296419874889e-4,5.1680657470061e-4
shikimic acid,11208,31915,12617,4.435471540745451e-5,1.3343661629860515e-4,5.234235242221631e-5
serine,8498776,10925809,8937292,0.033633189756576073,0.04568080787356562,0.03707687148801256
salicyl alcohol,48427,36328,38304,1.9164577114889363e-4,1.518873694781679e-4,1.5890635390192385e-4
saccharic acid,49293,13745,38176,1.950728931637808e-4,5.746784555927707e-5,1.5837533851712212e-4
ribulose-5-phosphate,6288,1812,1390,2.4884230057287115e-5,7.57597207372936e-6,5.76649519433151e-6
ribose-5-phosphate,12313,9411,9660,4.872765977979902e-5,3.9347391382928814e-5,4.0075067321757115e-5
ribonic acid,36527,65931,48903,1.445525240621066e-4,2.756575136826989e-4,2.0287691689812508e-4
ribitol,539964,2104470,603608,0.0021368620226865425,0.008798789155629816,0.002504102612417305
quinic acid,2343,7919,3945,9.272225035658987e-6,3.310933932222009e-5,1.6366060101897704e-5
pyrophosphate,391086,188672,214837,0.0015476898848893429,7.888376396769679e-4,8.91263689255107e-4
putrescine,155058,125355,159861,6.136289669565562e-4,5.241092601006313e-4,6.631925814827551e-4
pseudo-uridine,97627,101139,80271,3.8635062465056764e-4,4.228621631152946e-4,3.330088746361041e-4
prunin,31883,22703,23121,1.2617428545109495e-4,9.492124392377355e-5,9.591880243750997e-5
propyleneglycol,328230,357824,649929,0.0012989425622937896,0.001496062158559677,0.0026962679533501324
proline,1768404,2024044,15064947,0.00699830979170273,0.008462528046357323,0.06249780178299202
pipecolinic acid,5537,6582,8995,2.1912210850381483e-5,2.751934226781824e-5,3.731627645540427e-5
phthalic acid,122126,112391,86525,4.8330335241352515e-4,4.6990677557313276e-4,3.589539544529021e-4
phosphoinositol,22117,21382,23933,8.752616351415698e-5,8.939814287002272e-5,9.928743128484607e-5
phosphoethanolamine,733941,272803,609020,0.002904509652111222,0.0011405893541002155,0.002526554606655954
phosphate,1721424,1213519,1472108,0.0068123904011029605,0.005073722988377472,0.006107124969451058
phenylalanine,4647417,6890958,4285835,0.0183917611005323,0.028811095678389582,0.017780033763451646
phenylacetic acid,2437,5004,3137,9.644222113487389e-6,2.092172420361022e-5,1.3014025485336653e-5
pentadecanoic acid,274450,592703,23114,0.001086112744787285,0.0024780912671167844,9.588976253365361e-5
pelargonic acid,85911,56410,76337,3.399855420565511e-4,2.3585021229529426e-4,3.166884486688378e-4
parabanic acid,32818,46705,24410,1.2987446915077109e-4,1.9527360690040275e-4,1.0126629330477134e-4
pantothenic acid,73862,41180,70247,2.9230264002724884e-4,1.721735816755933e-4,2.9142373231381697e-4
palmitoleic acid,258309,363633,288130,0.0010222360976252826,0.0015203495877960421,0.001195323928304128
palmitic acid,1182562,1674900,1286440,0.0046798894505415975,0.007002756968150831,0.005336870559565344
palatinitol,176562,35995,184729,6.987292346333855e-4,1.5049509646461828e-4,7.663589142112702e-4
oxoproline,8927380,8487990,7919790,0.03532935396450761,0.035488286535372005,0.03285570573749263
ornithine,889906,2190057,1376663,0.00352172799512725,0.009156628406112307,0.005711165880369784
oleic acid,346737,536527,428858,0.0013721824550530473,0.0022432194088310114,0.0017791421554321028
octadecanol,31223,3023,2262,1.23562391074853e-4,1.2639163123004335e-5,9.384037503293436e-6
nonadecanoic acid,19094,34294,24483,7.556289578782446e-5,1.4338321539540544e-4,1.0156913801641609e-4
N-methyl-UMP,18672,12985,28287,7.389286635331823e-5,5.429028552835306e-5,1.1735025148349312e-4
N-methylethanolamine,1644719,1647288,1601650,0.006508836828179263,0.006887311195027312,0.006644537430216592
nicotinic acid,356485,500929,343953,0.001410759343506997,0.0020943841693825465,0.0014269088644430978
nicotinamide,27743,27345,22286,1.0979058436375898e-4,1.1432944611265416e-4,9.24547567632173e-5
n-epsilon-trimethyllysine,33508,31683,29180,1.3260508599866042e-4,1.3246662428916518e-4,1.2105491350402408e-4
N-alpha-acetyllysine,42699,52976,42837,1.689776938956906e-4,2.2149265815556656e-4,1.7771176592775462e-4
N-acetylserine,17648,51136,84746,6.984047265442159e-5,2.1379961808069787e-4,3.5157367031569655e-4
N-acetylputrescine,39538,43718,98470,1.564683027997802e-4,1.8278495977886323e-4,4.085084761049092e-4
N-acetylglucosamine-6-phosphate,2971,2956,4224,1.1757482108810435e-5,1.235903612027814e-5,1.752350769845777e-5
N-acetylgalactosamine,18845,23951,43793,7.457749927315135e-5,1.0013913197455403e-4,1.8167778708299268e-4
N-acetylaspartic acid,5412,3157,5831,2.1417533885184138e-5,1.3199417128456728e-5,2.4190239912335997e-5
myristic acid,1186822,1954217,1485292,0.0046967480415155225,0.008170581356516098,0.006161819554085638
myo-inositol,1230007,1147005,1144168,0.004867649039451901,0.004795627951671051,0.004746646959358198
methionine sulfoxide,953519,1080769,781482,0.003773471081424038,0.004518695232975942,0.0032420231636378256
methionine,609545,1637954,1127064,0.0024122229660097127,0.006848285740647517,0.004675690028564064
methanolphosphate,25601,14829,18595,1.0131379988813732e-4,6.200004960338449e-5,7.714243031553557e-5
melezitose,1030,1135,1510,4.076138193226102e-6,4.7454350461825735e-6,6.264322117583152e-6
maltotriose,96432,15146,65559,3.8162151286328104e-4,6.332542661628305e-5,2.719752938454529e-4
maltotriitol,22936,14612,22546,9.076728699012998e-5,6.109277259455486e-5,9.353338176359585e-5
maltose,611640,294161,476499,0.0024205137519464205,0.0012298871529692619,0.001976783592520698
maltitol,3775,1608,1600,1.4939244348959742e-5,6.723048065428704e-6,6.6376923100218825e-6
malonic acid,2543,2330,2655,1.0063708179974735e-5,9.741730094806518e-6,1.101442067694256e-5
malonamide,882,2016,1075,3.4904406664324484e-6,8.428896082030017e-6,4.459699520795952e-6
malic acid,89773,133428,46006,3.552690815732882e-4,5.578624734291176e-4,1.908585452592917e-4
maleimide,27568,104252,68058,1.0909803661248269e-4,4.35877616241961e-4,2.823425395221683e-4
lysine,2502876,2165781,2764619,0.00990492083156211,0.009055130449124529,0.011469181422775242
