BinBase name,L1_PAT_907,L2_PAT_907,L3_PAT_907,normL1_PAT_907,normL2_PAT_907,normL3_PAT_907
zymostenol,210,108,138,8.476446425661759e-7,4.46202296032244e-7,5.665383903327334e-7
xylulose,188883,104562,141028,7.624079191515572e-4,4.3199818960855087e-4,5.789693921148169e-4
xylose,9613,10344,12845,3.880194261423166e-5,4.273626435331048e-5,5.273322915814464e-5
xanthosine,12885,4258,5100,5.200905342602465e-5,1.7591938671345325e-5,2.0937288338383626e-5
xanthine,369348,253403,268421,0.0014908373973453902,0.0010469351890875808,0.0011019623280543668
valine,1183079,2873933,2304612,0.004775383695631185,0.011873662067063287,0.009461240382764503
uridine-5'-monophosphate,8915,3763,5638,3.5984533278464085e-5,1.5546844814530872e-5,2.314596699055037e-5
uridine,130814,92173,68251,5.280180298697702e-4,3.808130021498151e-4,2.8019428752608253e-4
uric acid,1035137,695851,907323,0.0041782301541524935,0.002874910313854935,0.0037248790719700484
urea,174255,220993,168216,7.033634151922332e-4,9.130331852504972e-4,6.905856657116745e-4
uracil,543455,486004,576644,0.0021936034248847673,0.002007926858156062,0.002367325822862527
undecanoic acid,14209,82747,8946,5.7353251077251395e-5,3.4186945731277864e-4,3.672646695591763e-5
UDP-N-acetylglucosamine,21606,19516,24625,8.721052451087997e-5,8.063040749412291e-5,1.0109425986915623e-4
UDP-glucuronic acid,673,750,1013,2.7164992592716017e-6,3.098627055779472e-6,4.15872021309463e-6
tyrosine,3793621,2363354,1418696,0.015312583412269232,0.009764203529046184,0.005824244552257156
tryptophan,3664354,3607338,3900001,0.014790809697933033,0.014903726834855214,0.01601087165823225
trisaccharide,529,944,2490,2.1352572186547956e-6,3.900138587541095e-6,1.0222323129916712e-5
tridecanoic acid,711074,992540,936093,0.002870181269371909,0.004100681730591143,0.0038429900103024595
tocopherol gamma-,1204,870,1674,4.859829284046075e-6,3.5944073847041876e-6,6.872356995775331e-6
tocopherol alpha-,1362,1677,1517,5.497580967500626e-6,6.9285300967229e-6,6.227816943005483e-6
thymine,3606,1770,3523,1.455526943377919e-5,7.312759851639555e-6,1.4463150356103043e-5
threonine,1169225,1549455,2249344,0.004719463367640176,0.006401577579617043,0.009234345862786897
terephthalic acid,6860,2423,4882,2.768972499049508e-5,1.0010631141538215e-5,2.004232189568409e-5
tagatose,877,834,1014,3.539925483478744e-6,3.445673286026773e-6,4.162825563749215e-6
sucrose,6535,13171,8829,2.6377893996047426e-5,5.441602260222857e-5,3.6246140929331185e-5
succinic acid,584235,354273,388785,0.0023582079416649988,0.0014636798705762147,0.0015960987542428388
stigmasterol,23561,22611,21787,9.510169249286509e-5,9.341740847763953e-5,8.944327471144393e-5
stearic acid,1014247,754308,944469,0.004093909694232458,0.0031164255695878694,0.0038773764273852636
squalene,10328,2119,11774,4.1687970802016496e-5,8.75465430826227e-6,4.833639860708408e-5
spermidine,113671,64515,33705,4.5882197221495133e-4,2.665438993381502e-4,1.3837084381278827e-4
sorbitol,131514,107293,4091840,5.308435120116574e-4,4.4328132359432924e-4,0.016798438022457188
sophorose,45321,36733,31931,1.8293382307496027e-4,1.5176249018659647e-4,1.310879517515544e-4
shikimic acid,11472,10160,8258,4.6305615902472237e-5,4.197606784895925e-5,3.390198570556313e-5
serine,11548443,11379914,11092580,0.046614170661575506,0.04701614588379146,0.04553893056403675
salicyl alcohol,1001,1013,811,4.040439462898772e-6,4.185212276672807e-6,3.3294393808684552e-6
saccharic acid,28372,15581,22751,1.145208276137502e-4,6.437294420813327e-5,9.34008327424639e-5
ribulose-5-phosphate,3505,1664,1747,1.4147592724735459e-5,6.874820561089389e-6,7.172047593560038e-6
ribose-5-phosphate,8912,1420,4496,3.5972424069284565e-5,5.8667338922758005e-6,1.845765654301427e-5
ribonic acid,5460,5639,8416,2.203876070672057e-5,2.3297543956720593e-5,3.4550631108987566e-5
ribitol,130118,153645,288554,5.252086933401223e-4,6.347847386469827e-4,0.0011846153527831273
quinic acid,26830,26307,84863,1.0829669409547857e-4,1.0868744260852077e-4,3.4839237260004895e-4
pyrophosphate,176584,160780,161211,7.127641979185981e-4,6.64263010704298e-4,6.618276843763064e-4
putrescine,174187,148109,118482,7.030889397841642e-4,6.119127394725891e-4,4.864101562565429e-4
