BinBase name,L1_SF_907,L2_SF_907,L3_SF_907,normL1_SF_907,normL2_SF_907,normL3_SF_907
octadecanol,8600,5111,7458,3.439854783090477e-5,2.1178320743807154e-5,3.2235529706062846e-5
nonadecanoic acid,48743,17439,25096,1.9496376940951061e-4,7.226154088265564e-5,1.0847182267408864e-4
N-methyl-UMP,17527,10508,25467,7.010504044561255e-5,4.3541732415559695e-5,1.1007538683618965e-4
N-methylethanolamine,1904900,533967,1666749,0.007619278344545406,0.002212585480846894,0.007204148149912917
nicotinic acid,310364,258169,306454,0.001241403592905922,0.0010697683208976618,0.0013245785760983887
nicotinamide,27960,22169,19712,1.1183527876187178e-4,9.186112161406003e-5,8.520069208446108e-5
n-epsilon-trimethyllysine,4318,4976,22054,1.7271270876028697e-5,2.0618924676420348e-5,9.53234609999343e-5
N-alpha-acetyllysine,54116,36589,40630,2.1645486214153984e-4,1.516129089601174e-4,1.7561404826459283e-4
N-acetylserine,15125,18444,18879,6.049744603981798e-5,7.642593382875742e-5,8.160023670163052e-5
N-acetylputrescine,38517,42449,76304,1.5406149613987895e-4,1.7589484195927802e-4,3.298068997977231e-4
N-acetylglucosamine-6-phosphate,2321,3408,1162,9.28360808320116e-6,1.4121642945586927e-5,5.022483979410703e-6
N-acetylgalactosamine,25703,15252,17913,1.0280765987183085e-4,6.319932459098938e-5,7.742491869465054e-5
N-acetylaspartic acid,6167,4936,5961,2.4666958659673225e-5,2.0453177693490925e-5,2.5765083477854733e-5
myristic acid,1931372,1025226,1631411,0.007725161874566303,0.004248202908020042,0.007051407582903953
myo-inositol,767752,622694,659058,0.0030708783597991627,0.002580241294706369,0.0028486301605012555
methionine sulfoxide,1427318,1091224,1283419,0.0057090309875478295,0.004521677142504445,0.005547290332505426
methionine,2783945,2169936,2465843,0.011135309911756765,0.008991508628748566,0.010658052464063705
methanolphosphate,12229,12284,11491,4.891393504931796e-5,5.090089845762612e-5,4.966726627143579e-5
melezitose,856,872,718,3.423855458517963e-6,3.6132842278614438e-6,3.1033937153329475e-006
maltotriose,17900,27699,37019,7.159697746199947e-5,1.147756420040529e-4,1.6000631190516765e-4
maltotriitol,13178,13276,11467,5.2709774804146866e-5,5.501142363427584e-5,4.956353166256672e-5
maltose,190128,189949,2600422,7.604798955807282e-4,7.870868415115291e-4,0.011239739961021634
maltitol,2483,2336,1560,9.93158072838797e-6,9.679623803078364e-6,6.7427495764894115e-6
malonic acid,3459,2668,2303,1.3835415924081348e-5,1.1055323761392582e-5,9.954200176060972e-6
malonamide,1741,1144,1660,6.9637060201866515e-6,4.740363711781527e-6,7.1749771134438616e-6
malic acid,196365,199170,188897,7.854268424204204e-4,8.252956647513346e-4,8.164648504808465e-4
maleimide,149074,142981,160335,5.962708278307323e-4,5.924667341557995e-4,6.930120213759166e-4
lysine,2501922,2477403,2194165,0.010007265533278248,0.010265551818757598,0.009483785336216596
loganin,99500,69967,66774,3.979831987412819e-4,2.899204788655753e-4,2.886156155259641e-4
linolenic acid,48951,23860,40845,1.9579573428728133e-4,9.886807531740143e-5,1.765433374690449e-4
linoleic acid,154617,62521,110568,6.184418918570933e-4,2.59066677993263e-4,4.779053430597957e-4
lignoceric acid,4495,2454,3484,1.7979240988362436e-5,1.0168577402720165e-5,1.505880738749302e-5
leucrose,23946,20071,21107,9.577995655335415e-5,8.316769235941174e-5,9.123026622497565e-5
leucine,16430802,12384235,11688946,0.06572043354617742,0.05131623967847439,0.05052284339173564
L-DOPA,1928404,2057676,3093856,0.007713290375733498,0.008526339721157138,0.013372497585717453
lauric acid,541860,311155,442524,0.002167348503215588,0.0012893250618351234,0.001912710585632308
lactulose,68808,84773,64437,2.752203812963832e-4,3.512717245969016e-4,2.785144579873386e-4
lactose,124789,147717,94683,4.991349285198576e-4,6.120911769346432e-4,4.092459988145814e-4
lactobionic acid,25927,22481,14612,1.0370362204789162e-4,9.315394808090954e-5,6.315708769978415e-5
lactitol,843609,756760,1131536,0.0033742935508234585,0.003135767170041773,0.0048908101825529
lactic acid,681255,910607,505722,0.00272490496541198,0.003773259072110351,0.002185869744436781
kynurenine,4981,32514,12072,1.992315892392287e-5,1.3472743507418231e-4,5.217850826114114e-5
kynurenic acid,5604,3977,5679,2.24150537260919e-5,1.6479393777757983e-5,2.4546201823643184e-5
ketoisoleucine,76003,61313,35419,3.039991663711925e-4,2.5406111910879437e-4,1.5309067131389647e-4
isoxanthopterin,13712,12084,24785,5.4845684634577465e-5,5.0072163542978995e-5,1.071275950341603e-4
isothreonic acid,30760,25756,25240,1.230348059626315e-4,1.0672448230825614e-4,1.0909423032730304e-4
isomaltotriose,2794,3978,5810,1.1175528213900922e-5,1.648353745233122e-5,2.5112419897053515e-5
isomaltose,9115,8360,10656,3.645846086961593e-5,3.464111943224962e-5,4.6058166337866134e-5
isoleucine,11499009,12265039,11876002,0.04599409431331447,0.050822330244043,0.05133135093326116
isoheptadecanoic acid,6169,23999,5400,2.467495832195948e-5,9.944404608308118e-5,2.3340286995540272e-5
isogluconic acid,1593168,979393,1389237,0.006372402982635685,0.0040582858713049345,0.006004664867559886
inulotriose,241,300,12049,9.639593054939592e-7,1.2431023719706803e-6,5.207909592764162e-5
inosine-5-monophosphate,3317,4463,5575,1.3267439901757108e-5,1.8493219620350484e-5,2.409668518521056e-5
inosine,2911160,2143143,2525063,0.011644148430629853,0.008880487155907864,0.010914017611448132
indole-3-acetate,6548,10756,7606,2.6190894325205168e-5,4.456936370972212e-5,3.287522646075543e-5
hypoxanthine,735629,612174,514487,0.002942391783988447,0.0025366498381959304,0.0022237544880508386
hypotaurine,18119,12170,17711,7.24729404823446e-5,5.042851955627726e-5,7.655181907000254e-5
homoserine,28257,20443,129685,1.1302322861138094e-4,8.470913930065538e-5,5.605342812993778e-4
