BinBase name,L1_PF_748,L2_PF_748,L3_PF_748,normL1_PF_748,normL2_PF_748,normL3_PF_748
lysine,3606104,3361499,3352017,0.013793198676556657,0.012960248778863908,0.01369609781356963
loganin,139923,104342,79667,5.35199688755465e-4,4.022902514872733e-4,3.255135712359608e-4
linolenic acid,59846,57487,43079,2.289084751846341e-4,2.216409469556735e-4,1.76017662711963e-4
linoleic acid,151069,146263,119758,5.778326778342327e-4,5.639165346004778e-4,4.893224831370103e-4
lignoceric acid,4817,8831,4083,1.842482580229894e-5,3.404789261164354e-5,1.668284121852747e-5
leucrose,18002,13089,13939,6.885690556217263e-5,5.046459816485136e-5,5.695374081436552e-5
leucine,7993606,8123896,10069545,0.030575212389913148,0.03132165537268266,0.04114342894386902
L-DOPA,10518464,1462939,9370711,0.040232689829302996,0.005640356694528954,0.03828804401609326
lauric acid,352069,422084,212966,0.0013466493658687122,0.001627343529055934,8.701635961168066e-4
lactulose,157047,545712,43156,6.006982806256263e-4,0.0021039908926378916,1.7633227911505547e-4
lactose,311138,1454372,105074,0.0011900899834909047,0.005607326653083597,4.293247264745421e-4
lactobionic acid,39204,8327,12087,1.4995367879454591e-4,3.210472220327888e-5,4.938660343089433e-5
lactitol,2370452,1693442,1321325,0.009066880874550785,0.006529060283098955,0.005398837906703603
lactic acid,3624101,2400900,1332056,0.013862036457325597,0.009256662367941908,0.005442683992698219
kynurenine,23931,6932,45301,9.15350853798663e-5,2.6726304108698115e-5,1.8509659320120326e-4
kynurenic acid,4879,5041,5299,1.866197323840908e-5,1.943555958048863e-5,2.1651328831000996e-5
ketoisoleucine,22956,31438,24795,8.780575069910203e-5,1.212091097185879e-4,1.0131056772309297e-4
isoxanthopterin,19079,13471,24555,7.297638602492454e-5,5.1937397958492834e-5,1.0032994516799952e-4
isothreonic acid,15007,14562,11635,5.740115441459419e-5,5.614374501310761e-5,4.7539764285468314e-5
isomaltotriose,598,9594,14551,2.2873252708687497e-6,3.6989636702084496e-5,5.945432832985384e-5
isomaltose,4483,5509,3236,1.7147289614221748e-5,2.1239932102541535e-5,1.322206078451014e-5
isoleucine,5824096,5939786,7439198,0.02227692635579532,0.022900826165116496,0.03039602229419229
isoheptadecanoic acid,32567,29288,18385,1.2456742825482035e-4,1.1291979150830213e-4,7.511977364747185e-5
isogluconic acid,687256,490860,464996,0.002628725779859822,0.0018925091798608709,0.0018999398567843251
inulotriose,52389,91232,11038,2.003857585544196e-4,3.517446878887401e-4,4.5100465679673335e-5
inosine-5-monophosphate,44428,39257,16150,1.699352627661485e-4,1.5135523952613413e-4,6.598772610316401e-5
inosine,3749388,1758852,2328961,0.01434125405132448,0.006781248331533742,0.009515965360554239
indole-3-acetate,1170,21418,3673,4.475201616917119e-6,8.257703136181423e-5,1.5007611020242812e-5
hypoxanthine,1068327,835848,759181,0.0040863065964070215,0.0032226093243864834,0.003101958383326697
hypotaurine,21924,15130,17767,8.385839337546233e-5,5.833366721935985e-5,7.259467056810619e-5
homoserine,13569,14464,14883,5.190086388029777e-5,5.576590632259226e-5,6.081085619773312e-5
histidine,7275895,6421530,6566124,0.02782999749446084,0.024758188635765753,0.02682870539141868
heptanoic acid,19554,31728,11936,7.479324138221996e-5,1.22327203802766e-4,4.876962840664803e-5
heptadecanoic acid,46251,48941,37193,1.7690816237951596e-4,1.8869187094399805e-4,1.519678945482959e-4
guanosine,130493,107097,113690,4.991303287148424e-4,4.129121452869651e-4,4.645290762023973e-4
glycyl-proline,56762,58079,58235,2.1711230271747822e-4,2.2392340108613355e-4,2.3794397706611493e-4
glycyl-glycine,38815,35660,28309,1.4846576988088715e-4,1.3748701738548397e-4,1.1566851630058638e-4
glycolic acid,23011,26185,19381,8.80161234246836e-5,1.0095618480759668e-4,7.918935725110971e-5
glycine,3509893,3477831,3044756,0.013425195580176134,0.013408766437486681,0.012440651701483915
glycerol-alpha-phosphate,398467,468592,167579,0.001524119797169328,0.0018066549761833622,6.847156131666948e-4
glycerol-3-galactoside,133219,73940,75468,5.095571659863946e-4,2.8507543649699055e-4,3.083567624491382e-4
glycerol,3073576,2939876,2415666,0.011756301098220213,0.011334682633852133,0.009870235688218315
glyceric acid,57266,45151,41832,2.1904008187553482e-4,1.7407953791284315e-4,1.709225113527899e-4
glutaric acid,1196,12223,5548,4.574650541737499e-6,4.7125737899685094e-5,2.266872473191046e-5
glutamine,2614573,15548045,13001525,0.010000633604399865,0.05994543839667097,0.05312328610671452
glutamate,5899497,7171659,5525163,0.02256533206273307,0.027650308626353405,0.022575414409866004
glucose-6-phosphate,66643,42277,31307,2.549067191078697e-4,1.6299883998895415e-4,1.2791812638462884e-4
glucose,8728113,9472565,7175579,0.033384671290799424,0.03652144444307703,0.029318894221895698
gluconic acid lactone,87799,48032,67370,3.3582754424248384e-4,1.8518722431462605e-4,2.752689230693597e-4
gluconic acid,948121,597006,350482,0.003626523617293227,0.0023017547476511004,0.001432043976476107
galacturonic acid,36078,32529,36090,1.3799685806421865e-4,1.2541545677320268e-4,1.474611167221789e-4
galactose,178522,142740,346060,6.828392675686136e-4,5.503336192261352e-4,0.0014139760058985101
galactinol,768,1160,1531,2.93756824084816e-6,4.472376336712322e-6,6.25555471603369e-6
fumaric acid,90917,105917,152578,3.4775376530363564e-4,4.083626590134129e-4,6.234226175460408e-4
fructose-6-phosphate,33526,21921,17599,1.2823556359723362e-4,8.45163462733369e-5,7.190823477954077e-5
fructose-1-phosphate,10979,12003,5290,4.19942209847291e-5,4.6277528594446545e-5,2.161455548518499e-5
fructose,473871,150081,167234,0.0018125369789830188,5.786368215432086e-4,6.83305968243748e-4
ethanolamine,8996564,8892181,7531621,0.034411485264528495,0.034283775763933544,0.03077365595423147
erythritol,144783,111442,91914,5.537889877795822e-4,4.296642790654263e-4,3.7555392303691745e-4
ergosterol,53834,49033,22574,2.059128237992446e-4,1.8904657665346142e-4,9.22357231611656e-5
Dopamine,340497,173406,441695,0.001302386944406349,6.685662853827042e-4,0.001804733664466689
digalacturonic acid,12557,2747,6213,4.80300057295968e-5,1.0591049824955818e-5,2.538586639498192e-5
dehydroabietic acid,1936,2184,1681,7.405119940471404e-6,8.420405102913543e-6,6.868443812967102e-6
cytidine,3381,3327,4152,1.2932185185296392e-5,1.2827237993311977e-5,1.696477020311684e-5
cystathionine,85958,85349,49899,3.2878579537347157e-4,3.2906279996729307e-4,2.038836869858688e-4
citrulline,554942,476133,180225,0.0021226302014489056,0.0018357292778688344,7.363862499654944e-4
citric acid,104191,54234,56434,3.9852626638308677e-4,2.0909901572866902e-4,2.305852219756011e-4
cholesterol,119161,69935,77588,4.557858973277443e-4,2.696341716448071e-4,3.170189283524637e-4
chenodeoxycholic acid,2058,239,1392,7.871764895397805e-6,9.21463745236418e-7,5.687610819542062e-6
cerotinic acid,4458,4677,2730,1.7051665648048305e-5,1.803215873000304e-5,1.1154581564188095e-5
cellobiose minor,2472,1917,1942,9.455297775230016e-6,7.390987446101311e-6,7.934870841631239e-6
caproic acid,20200,28968,18026,7.726416466814171e-5,1.1168603251886426e-4,7.365292574214454e-5
capric acid,8590,8287,6510,3.2856394777194914e-5,3.1950502329599145e-5,2.6599386806910074e-5
campesterol,119590,93332,78058,4.5742680458728057e-4,3.598412312569262e-4,3.1893931418952175e-4
butylamine,127859,107813,27395,4.890553876388085e-4,4.1567268102583237e-4,1.1193397873660545e-4
biphenyl,7683,6756,4926,2.9387157284422413e-5,2.604773666450728e-5,2.0127277943293244e-5
biopterin,4544,2641,3071,1.7380612091684947e-5,1.0182367159704519e-5,1.2547882777883386e-5
beta-sitosterol,206272,423324,209649,7.88981870021135e-4,0.001632124345140006,8.566105752199525e-4
beta-alanyl lysine,861841,749900,307012,0.0032965061852354414,0.0028912370818108364,0.0012544287161848043
beta-alanine,1027556,683254,917185,0.003930359207412724,0.0026342836392793455,0.0037475512424724757
Benzaldehyde-4-carboxylic acid,1982,1511,1744,7.581068038230538e-6,5.8256557282519985e-6,7.125857233679135e-6
behenic acid,49650,26062,27485,1.8990919682045722e-4,1.0048195869603149e-4,1.123017121947655e-4
azelaic acid,8106,10597,2294,3.100511479207707e-5,4.0856700034603855e-5,9.373117255768312e-6
aspartate,107969,211279,439981,4.1297696015121744e-4,8.145855172795195e-4,0.0017977303850523966
asparagine,2347398,2646536,1842550,0.008978700277904284,0.010203711190221794,0.007528525370364387
arachidic acid,79949,72267,53892,3.058016188640229e-4,2.7862519028033566e-4,2.2019879474623622e-4
arabitol,932180,1024533,706776,0.0035655499515023933,0.003950083746018004,0.0028878353624947274
arabinose,16978,18835,1853,6.494014790770842e-5,7.261828301894533e-5,7.571223310784081e-6
alpha-ketoglutarate,414629,311570,467127,0.001585938778821135,0.0012012571510598776,0.0019086469678880925
alpha-aminoadipic acid,8014,13862,3489,3.0653218596558795e-5,5.344489722371224e-5,1.425580039467116e-5
allantoin,37936,18964,13062,1.4510363123022892e-4,7.311564211156247e-5,5.3370382560961505e-5
allantoic acid,122651,66329,71002,4.691350030055569e-4,2.5573125003257893e-4,2.9010901106977404e-4
alanine,17873387,15895733,20171440,0.06836496615571402,0.061285948382669965,0.08241903763631
adipic acid,18293,16027,12004,6.996996852843151e-5,6.179204788662791e-5,4.904747146392451e-5
adenosine-5-monophosphate,23427,17546,13021,8.96073062218097e-5,6.764854758961586e-5,5.3202859541133036e-5
adenosine,7174,5790,21814,2.744025333313112e-5,2.2323326715141675e-5,8.913041840336964e-5
adenine,15231,12627,10476,5.825794515150824e-5,4.868335862385042e-5,4.2804174529829484e-5
aconitic acid,789,666,761,3.017892372433852e-6,2.5677608967675917e-6,3.1093906851088427e-6
9-myristoleate,159777,126787,64123,6.111404177317662e-4,4.888268781058148e-4,2.620019170844078e-4
6-methylcholecalciferol,3527,1527,922,1.3490629147749297e-5,5.8873436777238924e-6,3.767224982484038e-6
5-methyluridine,1726,2329,1349,6.601878624614485e-6,8.979452145002584e-6,5.511915945087817e-6
5-aminovaleric acid,12803,12510,10967,4.897094555674348e-5,4.823226549333719e-5,4.4810364840458185e-5
4-hydroxybutyric acid,906,1070,1179,3.465412534125564e-6,4.125381620932917e-6,4.817308301896617e-6
3-phosphoglycerate,32391,18790,1081,1.238942355329593e-4,7.244478566105562e-5,4.416887425233455e-6
3-hydroxypropionic acid,114191,91557,55219,4.3677585285246387e-4,3.5299772436238796e-4,2.2562082029044047e-4
3-hydroxykynurenine,32218,46966,63574,1.232325176870391e-4,1.8107726468106111e-4,2.597587429896315e-4
3-hydroxy-3-methylglutaric acid,2028,6130,3639,7.757016135989674e-6,2.3634195641419424e-5,1.4868689491604572e-5
"3-Aminopiperidine-2,6-dione",57756,65087,82473,2.2091431161253428e-4,2.5094272295482316e-4,3.369786832759285e-4
3-aminoisobutyric acid,5258,2497,9175,2.011163256559847e-5,9.627175614457471e-6,3.748838309576036e-5
"3,6-anhydro-D-galactose",36491,47791,15535,1.3957656598540392e-4,1.8425804957570565e-4,6.347488080573702e-5
"3,4-dihydroxyphenylacetic acid",24743,26357,16586,9.464095180117972e-5,1.0161933026441954e-4,6.776919041158379e-5
2-picolinic acid,2694,2229,2160,1.0304438594850186e-5,8.593902460803245e-6,8.825602995841131e-6
2-monoolein,18615,15929,11816,7.120160521274544e-5,6.141420919611256e-5,4.8279317129101296e-5
2-ketoisovaleric acid,28470,37029,42041,1.0889657267831656e-4,1.427651925621729e-4,1.7177647016118378e-4
2-ketoisocaproic acid,57883,107995,98487,2.2140008136069538e-4,4.1637438145107516e-4,4.0241072326453953e-4
2-hydroxyglutaric acid,1817296,1449818,3418192,0.00695108204924531,0.005589768720465159,0.013966484053500086
2-Deoxyinosine,7094,6169,2543,2.7134256641376104e-5,2.3784560018257165e-5,1.0390513156677775e-5
2-amino-4-oxo-4-phenylbutanoic acid,3032,4914,4247,1.1597274617515132e-5,1.8945911481555474e-5,1.7352933297841333e-5
"2,6-diaminopimelic acid",1130,1664,5925,4.32220327103961e-6,6.4155467450769854e-6,2.4209119328869768e-5
1-monopalmitin,2430,3013,1502,9.294649512058632e-6,1.1616611984926055e-5,6.137062823959897e-6
1-kestose,30305,52942,2725,1.1591537179544726e-4,2.0411771380881357e-4,1.1134151927623648e-5
588382,70951,55540,61665,2.7138464095887734e-4,2.1413429460431237e-4,2.519587077493256e-4
588380,81086,42691,122229,3.1015059684559105e-4,1.6459501568153942e-4,4.9941880952716e-4
588375,19862,15366,18269,7.597132864547677e-5,5.9243564474070285e-5,7.464580607917667e-5
588374,7132,18518,39237,2.7279605069959737e-5,7.139609052003342e-5,1.6031952997584188e-4
588356,6043,5706,2455,2.311422510344457e-5,2.199946498041423e-5,1.0030951553143508e-5
562527,29870,26583,24031,1.1425151478402936e-4,1.0249067255071005e-4,9.818891925604547e-5
554665,2063,3050,1011,7.890889688632493e-6,1.175926536807981e-5,4.130872513331196e-6
553510,15532,16530,10946,5.940925770423649e-5,6.373136279815059e-5,4.472456036688751e-5
553483,41675,36434,46366,1.59405151611129e-4,1.4047117194118682e-4,1.8944810578943049e-4
553440,20200,28968,18026,7.726416466814171e-5,1.1168603251886426e-4,7.365292574214454e-5
553439,6032,9647,10087,2.3072150558328258e-5,3.7193978034710146e-5,4.1214748805115504e-5
553386,127859,107813,131726,4.890553876388085e-4,4.1567268102583237e-4,5.382228612176707e-4
553359,27595,22960,26869,1.0554973386224607e-4,8.852220749216802e-5,1.0978478097002562e-4
553345,22323,17681,19403,8.538455187559047e-5,6.816903966328496e-5,7.927924765199327e-5
553344,105167,91075,105331,4.02259426022498e-4,3.5113937488454717e-4,4.303748097939547e-4
553268,37864,32866,33740,1.448282342076494e-4,1.2671475920895446e-4,1.3785918753688876e-4
553263,75868,277989,64789,2.9019196262587005e-4,0.001071785711608898,2.6472314467479213e-4
550987,10554,14093,11563,4.0368613559780575e-5,5.4335516994212713e-5,4.7245577518940276e-5
545358,6145713,6243709,5271884,0.023507098080947485,0.02407260033182565,0.021540534825984687
545069,6127,13427,23098,2.343552162978734e-5,5.1767756097445126e-5,9.437674907311965e-5
544748,7285399,6977680,6610168,0.027866349901441333,0.026902423204440373,0.027008665973987583
544707,838,984,1253,3.2053153461338e-6,3.7938088925214865e-6,5.119666923050434e-6
544105,41878,11848,24134,1.6018161821645735e-4,4.5679926583937576e-5,9.860976976927308e-5
544078,5885,7863,1966,2.2509881637228413e-5,3.0315771668593954e-5,8.032933097140585e-6
544032,2702,4719,2326,1.0335038264025688e-5,1.8194089597366763e-5,9.503866929780772e-6
541377,79342,92772,112882,3.0347986896533166e-4,3.576821530254099e-4,4.6122764693358264e-4
540580,4534,3643,4764,1.734236250521557e-5,1.4045574995381886e-5,1.9465357718605162e-5
539711,5741,4454,9096,2.1959087592069385e-5,1.717238293423852e-5,3.71655948380421e-5
539702,7525,8193,4851,2.8782813818206255e-5,3.158808562645177e-5,1.9820833394826538e-5
539604,8996,8301,4070,3.440932798785162e-5,3.2004479285387054e-5,1.662972416345991e-5
534660,1697,4673,1521,6.490954823853291e-6,1.8016736742635068e-005,6.2146954429047965e-6
524550,2327,1176,2280,8.900678771424048e-6,4.534064286184216e-6,9.31591427338786e-6
521677,62311,56687,31811,2.3833699824933556e-4,2.1855654948207877e-4,1.299774337503251e-4
521666,7201,10097,2289,2.754352721659844e-5,3.8928951613607166e-5,9.352687619203865e-6
520868,41912,29488,46171,1.6031166681045324e-4,1.1369089087670081e-4,1.8865134996341707e-4
520865,7430,5863,4489,2.8419442746747173e-5,2.260477798460719e-5,1.834172770756057e-5
520862,4679,6189,2904,1.789698150902154e-5,2.3861669955097032e-5,1.1865532916630854e-5
520631,65444,42161,52923,2.503205936901914e-4,1.6255160235528293e-4,2.1623953118004636e-4
519942,1060,1152,3065,4.054456165753971e-6,4.441532361976375e-6,1.252336721400605e-5
519090,84695,72607,79068,3.239548726023892e-4,2.799360592066134e-4,3.2306610077554004e-4
517908,4216,12414,9799,1.6126025655489378e-5,4.786213779650583e-5,4.003800173900335e-5
517902,8876,12073,3353,3.39503329502191e-5,4.6547413373386085e-5,1.37001142801182e-5
514161,267,203,259,1.0212639587323682e-6,7.826658589246563e-7,1.0582551740383578e-6
513579,7979,4630,4654,3.0519345043915976e-5,1.7850950378429353e-5,1.9015905714187324e-5
511804,439,673,343,1.679156846005654e-6,2.594749374661545e-6,1.4014730683210684e-6
511719,52100,51491,44664,1.992803455054546e-4,1.9852338789108116e-4,1.824938575028927e-4
509844,80490,63634,71719,3.078709214920162e-4,2.453406860434068e-4,2.9303862095311577e-4
488159,217,214,430,8.300160263854828e-7,8.250763241865835e-7,1.7569487445424474e-6
486463,11630,4779,9884,4.448426906388555e-5,1.8425419407886368e-5,4.038530556059895e-5
476084,1594,1502,1596,6.0969840832187075e-6,5.790956256674058e-6,6.521139991371502e-6
474821,9293,5414,9127,3.5545340705992125e-5,2.0873659902552163e-5,3.729225858474167e-5
474672,138868,651057,72171,5.311643573829457e-4,0.0025101482074576845,2.948854600985418e-4
474251,11802,12860,6568,4.514216195115883e-5,4.9581689388034877e-5,2.683637059105766e-5
474221,62045,49920,42479,2.3731955924925012e-4,1.9246640235230956e-4,1.7356610632422934e-4
474043,24510,28144,32902,9.374973643644324e-5,1.0850910312106171e-4,1.3443518044868746e-4
425777,1451,1331,1082,5.550014996706615e-6,5.13166629669319e-6,4.420973352546344e-6
425770,30321,20094,2959,1.1597657113379826e-4,7.747235354301499e-5,1.2090258918839771e-5
425127,2883,3373,2532,1.1027355779121414e-5,1.3004590848043673e-5,1.0345567956235992e-5
422265,96583,79208,204788,3.694259809971847e-4,3.053861938606117e-4,8.36748882551997e-4
421543,5564,4258,5700,2.128206991156141e-5,1.6416705553207814e-5,2.328978568346965e-5
417901,24065,23033,23455,9.204762983855595e-5,8.880365876163354e-5,9.583542512382116e-5
417820,3640,2764,3877,1.3922849474853259e-5,1.0656593271269704e-5,1.5841140192072252e-5
417688,6756,6062,3880,2.584142061871116e-5,2.3372021856163874e-5,1.585339797401092e-5
412153,1834,1269,3034,7.014974158483758e-6,4.8926254924896e-6,1.2396703467306477e-5
407336,242858,328881,27168,9.28921807077998e-4,0.001267999656891625,1.1100647323657955e-4
406926,7375,8552,5483,2.82090700211656e-5,3.297220899272739e-5,2.240313945657265e-5
406851,198034,178541,235388,7.574718606876621e-4,6.883642616663402e-4,9.61778258326413e-4
406846,123051,102279,134713,4.7066498646433196e-4,3.9433636150224097e-4,5.504275261012714e-4
405282,7756,8217,7976,2.9666379265648865e-5,3.168061755065961e-5,3.2589356247605955e-5
404192,31628,10717,14880,1.2097579208534584e-4,4.131935965564306e-5,6.079859841579446e-5
404164,61005,42270,34073,2.333416022564349e-4,1.629718515110602e-4,1.3921980133208096e-4
