BinBase name,L1_PF_440,L2_PF_440,L3_PF_440,normL1_PF_440,normL2_PF_440,normL3_PF_440
zymostenol,1073,142,1949,4.173638061967237e-6,5.442623461026351e-7,7.4770071289062196e-6
xylulose,278310,341249,247423,0.0010825398033794053,0.001307950572853367,9.491962723731983e-4
xylose,5624,54695,15335,2.1875620186862762e-5,2.0963682408509595e-4,5.883012022666848e-5
xanthosine,15918,30581,13178,6.191609568536299e-5,1.172118789166527e-4,5.055515646214785e-5
xanthine,368998,506789,535824,0.001435288068583212,0.0019424378177394952,0.002055597674622394
valine,2399812,1873785,1710586,0.009334526285895359,0.00718190577599948,0.00656237235331307
uridine-5'-monophosphate,7219,1890,3392,2.8079676765462708e-5,7.244055169957607e-6,1.3012831288481219e-5
uridine,182431,442892,269447,7.09600154037973e-4,0.0016975312604935794,0.0010336876038288324
uric acid,1435240,1886537,1814918,0.005582639601172282,0.007230782067812865,0.0069626243326732775
urea,514213,369837,381747,0.0020001294955809498,0.0014175236147574665,0.0014645074604610377
uracil,637537,842130,541372,0.0024798217046713947,0.003227744010728254,0.002076881633345417
undecanoic acid,22710,16336,19853,8.833487454545756e-5,6.261316680234259e-5,7.61626590714085e-5
UDP-N-acetylglucosamine,34820,60046,49543,1.3543902825507848e-4,2.3014631573294947e-4,1.9006329614540833e-4
UDP-glucuronic acid,1991,736,2600,7.744374073976487e-6,2.8209653995178833e-6,9.97445794518018e-6
tyrosine,2404314,5056906,4649839,0.009352037673178654,0.019382278335073888,0.017838316752830253
tryptophan,4309649,1759174,3914121,0.016763201398060618,0.006742620904526458,0.015015859733402534
trisaccharide,1491,883,1059,5.7995287515313615e-6,3.384391912736808e-6,4.062673447671466e-6
tridecanoic acid,1335769,965837,676074,0.005195728183034403,0.0037018923350192307,0.0025936429541652864
tocopherol gamma-,2867,2856,2693,1.1151743078900344e-5,1.094657225682483e-5,1.0331236633219318e-5
tocopherol alpha-,10261,10239,10360,3.9912115707218844e-5,3.924438142073859e-5,3.97443785815641e-5
thymine,4177,5950,3641,1.6247237823706572e-5,2.280535886838506e-5,1.3968077453231167e-5
threonine,1821519,1596123,1450411,0.007085145413789842,0.006117673582030818,0.0055642552010487425
terephthalic acid,2281,2522,2899,8.872384360994659e-6,9.66640589345666e-6,1.11215206088759e-5
tagatose,1135,1417,1270,4.414798881950433e-6,5.431124960756577e-6,4.872139073222627e-6
sucrose,13656,12461,21223,5.3117615446621244e-5,4.7760937287217854e-5,8.141843114252267e-5
succinic acid,493443,432564,676547,0.0019193406208865792,0.0016579457568981707,0.0025954575382453136
stigmasterol,15147,12307,11167,5.89171441981526e-5,4.7170680940036126e-5,4.284029687454887e-5
stearic acid,1169012,1720974,1488077,0.00454709504016444,0.006596206667758002,0.005708754406034571
squalene,9809,936,12335,3.815397553572846e-5,3.587532084169482e-6,4.7321130289922124e-5
spermidine,120854,80153,207905,4.7008467319756617e-4,3.0721309737439796e-4,7.975921842664174e-4
sorbitol,3956339,82116,147572,0.015388934796314443,3.1473694938425337e-4,5.661348876485114e-4
sophorose,112969,114625,123472,4.3941446246260657e-4,4.393385311409475e-4,4.736793351566489e-4
shikimic acid,13865,12711,16716,5.3930560791403305e-5,4.8719145643032355e-5,6.412809192755073e-5
serine,10156619,8072059,6872700,0.03950610590801456,0.030938857529710494,0.02636594504609224
salicyl alcohol,46162,54861,55239,1.795558995494237e-4,2.1027307443335677e-4,2.1191503170531076e-4
saccharic acid,30124,38811,38307,1.1717304098667386e-4,1.4875609799006598e-4,1.469582925023143e-4
ribulose-5-phosphate,6216,4845,3641,2.417831704863779e-5,1.8570077935684978e-5,1.3968077453231167e-5
ribose-5-phosphate,11265,3609,13247,4.381736511468866e-5,1.3832695824538099e-5,5.081986323069302e-5
ribonic acid,13620,11046,11935,5.297758658340519e-5,4.2337477993307795e-5,4.578659829835594e-5
ribitol,306882,177181,498243,0.0011936760444852094,6.791052587662745e-4,0.0019114245576847724
quinic acid,251244,58733,324067,9.772614363848058e-4,2.2511380544821172e-4,0.0012432279472771944
pyrophosphate,489158,434808,696151,0.0019026732964732246,0.0016665466350999616,0.002670664951151972
putrescine,205796,343401,433199,8.004827759558337e-4,0.0013161988303802181,0.0016618943105361956
pseudo-uridine,38232,72073,72588,1.4871065273544401e-4,2.762438033144734e-4,2.7847152050951496e-4
prunin,21722,11079,23212,8.449186018830599e-5,4.246396149627531e-5,8.904889147058551e-5
propyleneglycol,319953,1087958,925952,0.00124451819090457,0.00416996178550092,0.003552257416636722
proline,1773284,1235344,1669853,0.006897526185533561,0.004734867772421223,0.006406107124281907
pipecolinic acid,2845,4157,2828,1.1066169884712758e-5,1.593308854048348e-5,1.0849141180372903e-5
phthalic acid,115912,1579980,115697,4.5086182203051857e-4,0.0060558001520791644,4.438518695705812e-4
phosphoinositol,24513,25276,54079,9.534798677819467e-5,9.687869760626905e-5,2.0746488892976883e-4
phosphoethanolamine,1139213,971754,1080898,0.004431186148637355,0.0037245712103846484,0.004146681401549756
phosphate,1714481,661409,2061734,0.006668800706542079,0.002535070521643646,0.007909491952749275
phenylalanine,5543591,3973949,3721224,0.02156285405179778,0.01523148454952268,0.01427584318945968
phenylacetic acid,3019,4479,3478,1.1742976056923662e-5,1.716726090277255e-5,1.3342755666667948e-5
pentadecanoic acid,386753,370780,358524,0.0015043495259832386,0.0014211379766755987,0.0013754163693606841
pelargonic acid,77996,72627,76452,3.033803115388599e-4,2.783671930309583e-4,2.932950995480443e-4
parabanic acid,15073,10407,14260,5.8629307090430725e-5,3.988829743584594e-5,5.470606549933437e-5
pantothenic acid,50908,70750,63462,1.980163713500728e-4,2.7117296469550303e-4,2.4346117312193253e-4
palmitoleic acid,331047,489546,422361,0.0012876704189189823,0.0018763482710222577,0.00162031616622471
palmitic acid,1160728,1746834,1487150,0.0045148728428621695,0.006695323740083454,0.005705198128144117
palatinitol,179405,148490,177645,6.978299501465352e-4,5.691374350195794e-4,6.815048391044358e-4
oxoproline,11162253,9664482,11426597,0.043417711069998116,0.03704234962807526,0.04383619662808538
ornithine,2146913,535873,1031793,0.00835082741149326,0.002053911945021531,0.003958298417935113
oleic acid,315258,433503,338163,0.0012262560933268103,0.00166154478748261,0.0012973048546599867
octadecanol,5992,4946,3629,2.3307026344182372e-5,1.8957194111434037e-5,1.3922041493484182e-5
nonadecanoic acid,8554,12261,9505,3.327241377639119e-5,4.699437060256626e-5,3.6464316449591386e-5
N-methyl-UMP,54448,52130,40884,2.117858762329843e-4,1.998056063544392e-4,1.5684451485797942e-4
N-methylethanolamine,1938168,1923753,271527,0.007538873937825644,0.007373424796492835,0.0010416671701849764
nicotinic acid,541270,725413,549853,0.002105372855359745,0.0027803871920658507,0.002109417547896599
nicotinamide,22568,29661,34219,8.778253847388314e-5,1.1368567216725535e-4,1.312753755485079e-4
n-epsilon-trimethyllysine,5296,32341,38872,2.059980165533876e-5,1.2395766574158676e-4,1.4912581894040153e-4
N-alpha-acetyllysine,48338,14653,42247,1.8801986639270486e-4,5.6162508150999376e-5,1.6207343261924118e-4
N-acetylserine,17634,35330,23809,6.859080483199465e-5,1.354140048437049e-4,9.133918046799804e-5
N-acetylputrescine,6467,107597,142241,2.5154629400505242e-5,4.1240137784229034e-4,5.45683412530913e-4
N-acetylglucosamine-6-phosphate,6903,6386,7047,2.685053452167739e-5,2.4476474240925546e-5,2.7034617361417202e-5
N-acetylgalactosamine,20676,103978,37200,8.042324377375079e-5,3.9853035368351967e-4,1.4271147521565487e-4
N-acetylaspartic acid,9440,4203,10433,3.6718679687763954e-5,1.6109398877953346e-5,4.0024430670024926e-5
myristic acid,1487357,1401326,1169139,0.005785358608512026,0.005371049129680431,0.004485202995219235
myo-inositol,1173424,1558071,1398578,0.004564256355289696,0.005971826604609006,0.005365406709251617
methionine sulfoxide,619685,625052,574247,0.002410382947278814,0.0023957201968742552,0.0022030009814022625
methionine,1137931,843154,823737,0.004426199565230606,0.0032316688321536702,0.0031601269478418793
methanolphosphate,23894,31649,26412,9.294026826900761e-5,1.2130534501269224e-4,1.0132514740311497e-4
