BinBase name,L1_PAC_440,L2_PAC_440,L3_PAC_440,normL1_PAC_440,normL2_PAC_440,normL3_PAC_440
nicotinic acid,330751,392776,406390,0.001348640358520735,0.0016333809341042974,0.0016679310940681533
nicotinamide,21023,20331,2980,8.572148310112868e-5,8.454759906734238e-5,1.22307011991513e-5
n-epsilon-trimethyllysine,30269,32087,NA,1.234221363263123e-4,1.3343558168677462e-4,NA
N-alpha-acetyllysine,39738,61235,21413,1.620320741793584e-4,2.5464916771869117e-4,8.788456536155262e-5
N-acetylserine,50416,15572,39954,2.0557172106866307e-4,6.4757031758234e-5,1.639816898358695e-4
N-acetylputrescine,111384,39908,48959,4.541693228243408e-4,1.6595964702078106e-4,2.009405704729022e-4
N-acetylglucosamine-6-phosphate,4959,4916,NA,2.022036981869843e-5,2.0443460578183815e-5,NA
N-acetylgalactosamine,5948,17951,1357,2.4253026755720564e-5,7.46502361348612e-5,5.5694837339759445e-6
N-acetylaspartic acid,4213,6256,NA,1.71785477003784e-5,2.601592542252196e-5,NA
myristic acid,1060266,1470117,1423542,0.00432324473204116,0.006113563656390939,0.005842589545785987
myo-inositol,758887,895562,1117998,0.0030943689837875776,0.0037242445977053403,0.0045885568722311264
methionine sulfoxide,290927,513705,593659,0.0011862576185207659,0.002136270934970691,0.0024365321621432757
methionine,1105137,1246484,991944,0.004506206662699522,0.005183573335097004,0.004071198211507026
methanolphosphate,20922,13613,NA,8.53096546373883e-5,5.661042084027996e-5,NA
melezitose,993,3488,NA,4.048966975190067e-6,1.4505042818695107e-5,NA
maltotriose,86140,92913,30362,3.5123667194649784e-4,3.863839000611865e-4,1.246136073183328e-4
maltotriitol,13365,12834,NA,5.4495915028615553e-5,5.337090583002666e-5,NA
maltose,237482,195289,50450,9.683351210494336e-4,8.121202141686206e-4,2.0706002533462523e-4
maltitol,1763,2260,NA,7.188649322517712e-6,9.398336230003136e-6,NA
malonic acid,1497,1130,NA,6.10403178434998e-6,4.699168115001568e-6,NA
