BinBase name,L1_PAT_440,L2_PAT_440,L3_PAT_440,normL1_PAT_440,normL2_PAT_440,normL3_PAT_440
zymostenol,204,102,77,7.713086287237746e-7,4.114993194345888e-7,3.355906292217955e-7
xylulose,223809,167156,131863,8.462049651276434e-4,6.743586297981188e-4,5.747011317022548e-4
xylose,18736,25223,12228,7.083940425376785e-5,1.0175732680488857e-4,5.3293535248365134e-5
xanthosine,21326,6155,3067,8.06319990988393e-5,2.483115991294014e-5,1.3366967010691516e-5
xanthine,557605,213713,168684,0.00210826248980157,8.62183863277689e-4,7.351788272681734e-4
valine,456707,3737187,3215361,0.0017267747544046515,0.015076959873527378,0.014013571703444435
uridine-5'-monophosphate,4260,4846,8671,1.6106739011584703e-5,1.9550251980196248e-5,3.7790991506262194e-5
uridine,189628,126284,65002,7.169691796452545e-4,5.094684319164472e-4,2.832995075412357e-4
uric acid,2196224,717347,357163,0.008303757459854132,0.0028939980617494507,0.0015566305961655083
urea,170605,390300,339448,6.450446500167625e-4,0.0015745900428952941,0.0014794229598451953
uracil,245248,445012,375442,9.272642087120013e-4,0.001795315050394365,0.0016362963248868745
undecanoic acid,12569,17430,18631,4.752244193347609e-5,7.031797193867532e-5,8.119985731209444e-5
UDP-N-acetylglucosamine,47692,30968,19440,1.8031985843673654e-4,1.2493442082598378e-4,8.47257380788533e-5
UDP-glucuronic acid,2103,1433,927,7.95128454022597e-6,5.781162007350644e-6,4.040162510241616e-6
tyrosine,18618251,969239,5369186,0.07039420415708356,0.003910207734014327,0.02340062997595916
tryptophan,2384833,5322983,4226319,0.009016873877280418,0.02147454786139104,0.01841965003249389
trisaccharide,1075,979,254,4.064493999402243e-6,3.949586605161396e-6,1.1070132444459227e-6
tridecanoic acid,478664,1986924,1673474,0.0018097925169580237,0.008015861507531872,0.007293534969432663
tocopherol gamma-,1887,1089,1179,7.134604815694915e-6,4.393360381022227e-6,5.138459114967492e-6
