BinBase name,L1_PF_907,L2_PF_907,L3_PF_907,normL1_PF_907,normL2_PF_907,normL3_PF_907
nonadecanoic acid,25849,12381,16466,9.023436688110184e-5,4.770849170576446e-5,6.53465491682322e-5
N-methyl-UMP,52745,83537,57711,1.8412362881131634e-4,3.2189841463730283e-4,2.2903040805586353e-4
N-methylethanolamine,950548,1416075,1418237,0.0033181978788385464,0.005456651513790519,0.0056283793181529295
nicotinic acid,578118,728126,512629,0.0020181094708719423,0.0028057340466643614,0.0020344064225410975
nicotinamide,40356,51379,40165,1.408757828099248e-4,1.9798195584770796e-4,1.5939779833244543e-4
n-epsilon-trimethyllysine,5458,26518,28468,1.9052929491936005e-5,1.02183489463974e-4,1.1297738137502942e-4
N-alpha-acetyllysine,12408,22825,22370,4.3314171699513005e-5,8.795301859171908e-5,8.877701353658171e-5
N-acetylserine,20158,16224,21436,7.036807488062404e-5,6.251696708136037e-5,8.507036487126354e-5
N-acetylputrescine,154956,134812,256295,5.409244672686764e-4,5.194796206960277e-4,0.00101712582406608
N-acetylglucosamine-6-phosphate,7163,10354,6106,2.5004788191780435e-5,3.9897724183950025e-5,2.423211643515279e-5
N-acetylgalactosamine,80509,37114,65791,2.810429278978153e-4,1.430137275799808e-4,2.6109649072799496e-4
N-acetylaspartic acid,22862,26767,30752,7.980726897116911e-5,1.0314297693952003e-4,1.2204160573432994e-4
myristic acid,1143501,1159349,940251,0.003991763269871439,0.004467392952959077,0.003731456225068596
myo-inositol,1740118,1698978,557,0.006074449534930139,0.006546779567181673,2.210496045591239e-6
methionine sulfoxide,193100,308036,326844,6.740785424867796e-4,0.0011869746346076136,0.0012971047926844217
methionine,505124,595320,717034,0.0017633001019942622,0.0022939842728596804,0.002845602911228848
methanolphosphate,29744,34071,19581,1.0383113499599571e-4,1.3128794288887012e-4,7.770865901027298e-5
melezitose,1652,1401,964,5.7668449103477986e-6,5.3985620612047505e-6,3.825705902962216e-6
maltotriose,173793,170402,113914,6.066811607167524e-4,6.566208225220641e-4,4.5207620563281935e-4
maltotriitol,25755,18665,11833,8.990622921671159e-5,7.19230270323959e-5,4.696014310140239e-5
maltose,493250,706342,6182738,0.0017218500314945832,0.0027217923793258288,0.0245366569118971
maltitol,4329,4256,4491,1.511178669303609e-5,1.63999144414614e-5,1.782286847531464e-5
malonic acid,2074,2210,2157,7.239973573887006e-6,8.515933015890434e-6,8.560215386607364e-6
malonamide,1412,489,850,4.9290466182875855e-6,1.8842946808915937e-6,3.373288399914817e-6
malic acid,16502,24216,39052,5.760561423157347e-5,9.331304701936776e-5,1.5498077481585108e-4
maleimide,20000,18742,6985,6.981652433835107e-5,7.221973601077761e-5,2.7720493498123526e-5
lysine,4672592,4546828,5404794,0.016311206654559224,0.017520580399445734,0.021449328122504944
loganin,124457,145043,89099,4.3445775847890795e-4,5.589033811872382e-4,3.535960272282474e-4
linolenic acid,79989,58927,78155,2.792276982650182e-4,2.2706714245582607e-4,3.101639469356971e-4
linoleic acid,194555,189094,205075,6.791576946323946e-4,7.286478903650614e-4,8.138554336618013e-4
lignoceric acid,6237,7202,7816,2.177228311491478e-5,2.775192288707824e-5,3.1018378980863774e-5
leucrose,37955,76247,35930,1.3249430906310574e-4,2.938073957749312e-4,1.425908849516934e-4
leucine,5029268,4736212,6321979,0.01755630058630451,0.01825034576518392,0.025089245206123618
L-DOPA,4490600,7622179,5216735,0.015675904209689964,0.029371025248473636,0.02070300195403485
lauric acid,169473,180994,90884,5.916007914596685e-4,6.974356471846486e-4,3.6067993286806847e-4
lactulose,76456,74143,47616,2.668946092406485e-4,2.8569991927473505e-4,1.8896764758863992e-4
lactose,79231,54469,34430,2.7658165199259465e-4,2.0988884861653217e-4,1.3663802306949075e-4
lactobionic acid,47220,54673,39017,1.6483681396284688e-4,2.1067493474107588e-4,1.5484187470526638e-4
lactitol,1462386,1194243,921495,0.005104935388053193,0.004601852213889611,0.0036570216400935345
lactic acid,5198542,4429960,824729,0.01814720670334701,0.01707024553080271,0.003272998551498055
kynurenine,34078,22541,160509,1.1896037582011639e-4,8.685866339872682e-5,6.369919385669733e-4
kynurenic acid,17089,9101,5513,5.965472922090407e-5,3.5069459899375045e-5,2.187875170438869e-5
ketoisoleucine,11761,16507,16080,4.105560713716734e-5,6.360746891099702e-5,6.381467937721206e-5
isoxanthopterin,65450,63603,82493,2.2847457589725387e-4,2.450854695066422e-4,3.273796234990271e-4
isothreonic acid,12439,18760,23090,4.342238731223745e-5,7.228909655117852e-5,9.163438724003897e-5
isomaltotriose,28277,28735,18051,9.871009293577765e-5,1.1072639602335367e-4,7.16367398904263e-5
isomaltose,5636,6068,7759,1.967429655854733e-5,2.338220884182043e-5,3.079217022934008e-5
isoleucine,3370124,3419058,4322987,0.011764517213463053,0.013174872807893355,0.0171560963530383
isoheptadecanoic acid,30020,28366,28526,1.0479460303186495e-4,1.0930450494513487e-4,1.1320755870114126e-4
isogluconic acid,1540064,1955473,955922,0.0053760957869309145,0.00753514800107797,0.003793647757439261
inulotriose,48898,190,132,1.7069442035483453e-4,7.32139037565241e-7,5.238518456338304e-7
inosine-5-monophosphate,57717,44711,30241,2.0148001676183042e-4,1.7228772899252363e-4,1.2001366411979292e-4
inosine,2098570,2778962,2381501,0.00732574317403667,0.010708350337423038,0.009451164350218278
indole-3-acetate,4677,4629,10246,1.6326594216523398e-5,1.7837218973102633e-5,4.0662015230032016e-5
hypoxanthine,2031646,2335438,1737655,0.007092123120295679,0.008999291208491007,0.00689601347594586
hypotaurine,5269,7122,9139,1.8393163336938587e-5,2.7443653818629718e-5,3.6268803160966484e-5
homoserine,26810,18599,19257,9.358905087555961e-5,7.166870505092588e-5,7.642284084371721e-5
histidine,5576361,6284241,7343166,0.019466107173796585,0.024215463987200144,0.029141901984057514
heptanoic acid,34737,32983,21829,1.2126083029706506e-4,1.2709548355797022e-4,8.663001468440063e-5
heptadecanoic acid,94837,80673,71575,3.3105948593381e-4,3.108623819868457e-4,2.8405072614576824e-4
guanosine,56978,85273,71772,1.9890029618752834e-4,3.2858785342263576e-4,2.8483253533963086e-4
glycyl-proline,35145,35109,45417,1.226850873935674e-4,1.352877340519897e-4,1.8024075206933088e-4
glycyl-glycine,61703,66849,55657,2.153944500624638e-4,2.57593486958941e-4,2.2087895585183408e-4
glycolic acid,40594,31501,36912,1.4170659944955116e-4,1.2138479906496135e-4,1.4648802519724204e-4
glycine,2840623,1501487,2750183,0.00991612124077899,0.005785774984719584,0.010914306366521095
glycerol-alpha-phosphate,516587,336309,266023,0.0018033154429187882,0.001295920776760677,0.0010557321176594581
glycerol-3-galactoside,189355,148209,128584,6.610053983044233e-4,5.711031295710884e-4,5.10295194840761e-4
glycerol,6720713,4532530,5020669,0.02346084113677862,0.01746548501018727,0.019924899408837557
glyceric acid,49583,50986,89509,1.7308563631342305e-4,1.964675840489546e-4,3.5522314280938275e-4
glutaric acid,6240,1643,5580,2.1782755593565532e-5,6.331075993261531e-6,2.214464620179374e-5
glutamine,8314666,15679183,13434083,0.029025054057713006,0.06041758921804888,0.053314160408697464
glutamate,3290236,4303823,4600693,0.011485642088645944,0.016584193837216567,0.01825819332761094
glucose-6-phosphate,39223,69908,26860,1.3692067670615718e-4,2.693809254637414e-4,1.0659591343730822e-4
glucose,5886277,9955810,9999526,0.020547970071638805,0.03836335342938106,0.03968386477699601
gluconic acid lactone,201838,261620,147435,7.045813819702052e-4,0.0010081169210937808,5.851067944016953e-4
gluconic acid,271444,277549,306458,9.475638316249683e-4,0.0010694971459852371,0.0012162014311307
galacturonic acid,55979,52052,57899,1.954129607968277e-4,2.0057526938603118e-4,2.2977650007843293e-4
galactose,388002,379766,407413,0.0013544475538164445,0.0014633763881052699,0.0016168488786758768
galactinol,2637,799,689,9.205308734011588e-6,3.0788373211296187e-6,2.7343478912250694e-6
fumaric acid,26124,25422,39289,9.119434409075416e-5,9.796020322622924e-5,1.559213269932391e-4
fructose-6-phosphate,26846,42183,15485,9.371472061936864e-5,1.6254642642955032e-4,6.145337749727169e-5
fructose-1-phosphate,3315,3842,7297,1.157208890908169e-5,1.4804622012240294e-5,2.895868876962167e-5
fructose,410519,606484,656998,0.001433050487742777,0.0023370032213616714,0.0026073455672555703
ethanolamine,8776146,8182579,8068259,0.030636000540296117,0.03153045007295554,0.03201948763789214
erythritol,166525,95723,410519,5.813098357721956e-4,3.68855500488724e-4,0.0016291752713466245
