BinBase name,L1_SF_748,L2_SF_748,L3_SF_748,normL1_SF_748,normL2_SF_748,normL3_SF_748
octadecanol,10193,5084,11705,4.215782553137141e-5,2.0976688219361102e-5,4.585790967627869e-5
nonadecanoic acid,16651,10496,21631,6.886784586705243e-5,4.330671116255195e-5,8.474604393059243e-5
N-methyl-UMP,15009,15940,16196,6.207660192292294e-5,6.576876676172619e-5,6.345277275668601e-5
N-methylethanolamine,1782391,536160,659819,0.007371895301352557,0.002212207151001701,0.0025850422985640776
nicotinic acid,304233,246560,308306,0.0012582950784740233,0.0010173116143520208,0.0012078828449940007
nicotinamide,19907,19342,18276,8.233452691582563e-5,7.980548850096034e-5,7.160180753897218e-5
n-epsilon-trimethyllysine,8078,31442,12780,3.3410273191643116e-5,1.2973033654467973e-4,5.006955024885448e-5
N-alpha-acetyllysine,36387,39058,58460,1.504951238703043e-4,1.6115410866872657e-4,2.2903489104444702e-4
N-acetylserine,15822,22323,22904,6.543913622656317e-5,9.210515560991303e-5,8.973340992955892e-5
N-acetylputrescine,137976,114136,85440,5.706630173174239e-4,4.709274757287566e-4,3.347372749031398e-4
N-acetylglucosamine-6-phosphate,3995,3397,4213,1.6523154419486784e-5,1.4016091636736755e-5,1.6505713239313295e-5
N-acetylgalactosamine,27581,18906,26361,1.1407387285203128e-4,7.800654356318666e-5,1.032772624499259e-4
N-acetylaspartic acid,6785,6045,7098,2.8062478782532623e-5,2.4941793919362286e-5,2.7808581194551574e-5
myristic acid,1364383,1252945,1612059,0.005643031538503789,0.0051696767547221465,0.00631573310677763
myo-inositol,538100,432988,563849,0.002225559297403214,0.0017865173640292534,0.002209050535075614
methionine sulfoxide,1006484,1336461,1232373,0.004162776108321086,0.005514265482756797,0.004828197327764596
methionine,2397934,2352089,3166195,0.009917755636980632,0.009704767430603625,0.012404535183894509
methanolphosphate,14365,14138,13247,5.941304461475035e-5,5.8333677821661536e-5,5.1899165269685076e-5
melezitose,715,757,775,2.957210365440063e-6,3.123397518107072e-6,3.0362990174383584e-6
maltotriose,32350,22265,26661,1.3379825919158884e-4,9.186584642094314e-5,1.0445260400506333e-4
maltotriitol,12140,10117,12040,5.021053683418512e-5,4.174294939324868e-5,4.717037441284882e-5
maltose,168464,108305,131733,6.967601216832095e-4,4.4686865019628327e-4,5.161042302763965e-4
maltitol,2660,2829,3314,1.1001649751147646e-5,1.167251199303158e-5,1.29836063790848e-5
malonic acid,2284,2965,3166,9.446529335195948e-6,1.2233650780960989e-5,1.240377121188367e-5
