BinBase name,L1_SAC_748,L2_SAC_748,L3_SAC_748,normL1_SAC_748,normL2_SAC_748,normL3_SAC_748
zymostenol,2422,2036,1880,9.7862193513752e-6,8.275205737120475e-6,7.20334860380655e-6
xylulose,231912,167720,305366,9.370527259356422e-4,6.81688362588333e-4,0.001170030717952123
xylose,39772,41411,60180,1.607008736758441e-4,1.683126447838389e-4,2.3058378668993523e-4
xanthosine,4613,6133,21477,1.863907096114525e-5,2.4927228283772037e-5,8.229059466167728e-5
xanthine,337161,336958,682331,0.0013623168879971154,0.0013695465494934385,0.002614397902225493
valine,2622288,1313559,1627726,0.010595493629429797,0.005338885546584594,0.0062367435156806495
uridine-5'-monophosphate,18595,2056,13838,7.513408292271752e-5,8.356494595048966e-6,5.302124360610375e-5
uridine,110741,253752,160643,4.474548791043109e-4,0.0010313605138535338,6.155146434900509e-4
uric acid,930942,1286395,2886042,0.0037615204853046784,0.0052284790197461165,0.011058067346397376
urea,313952,306438,130646,0.0012685396935602587,0.00124549975229456,5.005790860068673e-4
uracil,579972,473525,355253,0.002343407601013946,0.0019246153225294562,0.0013611761710362173
undecanoic acid,25389,28144,45826,1.0258559996369321e-4,1.1438968087697379e-4,1.7558545378619096e-4
UDP-N-acetylglucosamine,28100,29819,35566,1.1353953913032334e-4,1.2119762272848499e-4,1.3627356193775733e-4
UDP-glucuronic acid,4719,8510,7921,1.906736957850519e-5,3.45884090485733e-5,3.0349853346144514e-5
tyrosine,569111,316640,214819,0.002299523154946528,0.0012869651987238836,8.230936934686805e-4
tryptophan,4464513,4603491,3442431,0.01803910136873086,0.018710626293704555,0.013189909860399142
trisaccharide,610,491,1351,2.4647373263166277e-6,1.9956414621444757e-6,5.176448916884388e-6
tridecanoic acid,1894616,2330815,1483719,0.007655296351207711,0.009473464469629891,0.005684970844197474
tocopherol gamma-,614,662,1133,2.480899538292474e-6,2.6906611974330817e-6,4.341167004315331e-6
tocopherol alpha-,10319,13064,25274,4.1694466344690624e-5,5.3097881998890905e-5,9.683905990032274e-5
thymine,8882,6946,2736,3.588819169236768e-5,2.8231620358565232e-5,1.0483171159582299e-5
threonine,1876951,1800019,1580739,0.007583919982569378,0.007316074437979302,0.006056709610974768
terephthalic acid,2209,2314,5411,8.92558156366136e-6,9.405120862326512e-6,2.0732616646381514e-5
tagatose,4837,6220,6421,1.954415483179267e-5,2.528083481576098e-5,2.4602500736724396e-5
sucrose,12730,18942,8371,5.1436239613132247e-005,7.698867734407467e-5,3.207405912897055e-5
succinic acid,269828,282070,503144,0.0010902543332546933,0.0011464574077944853,0.0019278306542093845
stigmasterol,174,184,578,7.030562209493331e-7,7.478574929421253e-7,2.2146465388298864e-6
stearic acid,1132576,1145286,1832998,0.004576233347689149,0.004654949547074538,0.007023257225574574
squalene,4738,2990,4027,1.914414008539046e-5,1.2152684260309538e-5,1.542972597208988e-5
spermidine,34102,56237,35749,1.3779093820008137e-4,2.2857207516622992e-4,1.3697473895610658e-4
sorbitol,68692,58591,72572,2.7755366626121606e-4,2.381397737444134e-4,2.7806458238055796e-4
sophorose,62746,60941,121308,2.5352853815911985e-4,2.476912145510112e-4,4.64799900229024e-4
shikimic acid,26617,55942,39752,1.0754739904027816e-4,2.2737306451178467e-4,1.5231250728644575e-4
serine,11549493,11033925,8392267,0.046666338519889515,0.04484675808593174,0.03215554509426691
salicyl alcohol,858,761,1065,3.466794468819125e-6,3.0930410441791166e-6,4.080620352688285e-6
saccharic acid,19515,27246,24577,7.885139167716227e-5,1.107398111559845e-4,9.416845672114553e-5
ribulose-5-phosphate,4087,4719,14029,1.6513740086321406e-5,1.918010602822766e-5,5.3753073171703246e-5
ribose-5-phosphate,6355,7840,4595,2.5677714276626505e-5,3.186523230796882e-5,1.760605682685697e-5
ribonic acid,86892,105122,119027,3.510917307513187e-4,4.272623661579462e-4,4.560600926942991e-4
ribitol,404959,609431,526639,0.0016362582998817297,0.002476997498810937,0.002017853353914935
quinic acid,5731,6858,5701,2.3156409208394414e-5,2.787394938367987e-5,2.1843771484202735e-5
pyrophosphate,295953,358423,594042,0.0011958137802219424,0.0014567898162651924,0.0022761125592034312
putrescine,99342,127238,139059,4.0139661552614166e-4,5.171515852552726e-4,5.328140710089016e-4
pseudo-uridine,77773,89802,96380,3.142459279993821e-4,3.6499510098472146e-4,3.692865629972741e-4
prunin,17091,16778,25546,6.905709121979914e-5,6.819322291621185e-5,9.788124650683093e-5
propyleneglycol,154940,147899,444169,6.260432808844234e-4,6.011270399383011e-4,0.0017018639074490168
proline,2154659,2002574,1882087,0.008706013873416489,0.008139347668864585,0.007211345087070457
pipecolinic acid,3706,3007,5121,1.4974289395622003e-5,1.2221779789548756e-5,1.962146180856029e-5
phthalic acid,54254,71403,236242,2.1921616213439724e-4,2.9021341613340534e-4,9.051773834364186e-4
phosphoinositol,31680,32930,46243,1.2800471884870618e-4,1.338421045792619e-4,1.7718321781160973e-4
phosphoethanolamine,734319,783424,646480,0.0029670548339729504,0.0031841821116885415,0.002477032343291946
phosphate,1854209,2029065,1513168,0.007492029726380701,0.00824701882563377,0.0057978067021940164
phenylalanine,6710637,7074151,4341880,0.027114684421740056,0.02875248278018494,0.016636210231859353
phenylacetic acid,4752,5332,4253,1.9200707827305926e-5,2.1671609523735937e-5,1.6295660431909182e-5
pentadecanoic acid,379006,523916,817666,0.0015313938280294421,0.002129426664523188,0.003132943212489408
pelargonic acid,64431,95865,72089,2.603368699539453e-4,3.8963781826574376e-4,2.762139348403247e-4
parabanic acid,32167,29271,104862,1.299724681567655e-4,1.189703080212443e-4,0.00040178592621934177
pantothenic acid,40591,41577,56124,1.6401008657789874e-4,1.6898734230464538e-4,2.1504294523406323e-4
palmitoleic acid,201918,248754,314160,8.158603794347554e-4,0.0010110464282572036,0.00120372553051695
palmitic acid,1184999,1285043,2002896,0.004788051257291602,0.00522298389295015,0.0076742330346647476
palatinitol,15066,143376,223513,6.087497140702674e-5,5.827435647177727e-4,8.564053491928796e-4
oxoproline,10740856,9484629,7628699,0.04339899786851132,0.03854973296427271,0.02922988206942044
ornithine,980594,946455,538601,0.003962142022560864,0.00384681230153554,0.0020636865751908575
oleic acid,300875,307708,507543,0.0012157013820582219,0.0012506615947730192,0.0019446857236286106
octadecanol,6356,9629,5989,2.5681754829620467e-5,3.913652064967242e-5,2.29472631852114e-5
nonadecanoic acid,25342,20405,23487,1.0239569397297701e-4,8.293495730154385e-5,8.999204715830024e-5
N-methyl-UMP,12492,15250,33878,5.047458800056936e-5,6.198275417047507e-5,1.2980587446795655e-4
N-methylethanolamine,1340367,676259,140784,0.005415823894857441,0.0027486160886932,5.394235265097348e-4
nicotinic acid,302110,310306,477713,0.0012206914650057645,0.0012612210174179302,0.001830390038069276
nicotinamide,33869,37758,46743,1.368494893524883e-4,1.5346523488319984e-4,1.7909900201474978e-4
n-epsilon-trimethyllysine,8544,40321,35733,3.452248478040863e-5,1.6388240202673608e-4,1.369134338616061e-4
N-alpha-acetyllysine,33442,27980,12822,1.3512417322406666e-4,1.1372311224196016e-4,4.912837010532319e-5
N-acetylserine,2377,9580,18192,9.604394466646925e-6,3.893736294774762e-5,6.970389244704722e-5
N-acetylputrescine,30465,84912,209144,1.230954469610427e-4,3.451199752212052e-4,8.01349542763041e-4
N-acetylglucosamine-6-phosphate,5277,5531,6717,2.1321998149135808e-5,2.2480433660124434e-5,2.57366449849833e-5
N-acetylgalactosamine,20663,19675,45227,8.348994651423029e-5,7.99679139871539e-5,1.7329034431082919e-4
N-acetylaspartic acid,3822,3347,4922,1.5442993542921558e-5,1.3603690374333118e-5,1.8858979695710555e-5
myristic acid,1333940,1506896,1286902,0.0053898552607652495,0.006124692742850636,0.004930853045178648
myo-inositol,805503,774280,1562192,0.0032546775582951186,0.003147016845843635,0.005985645511743491
methionine sulfoxide,769816,822070,521809,0.003110482343599608,0.0033412565718637663,0.0019993468785126024
methionine,1512698,1553748,533576,0.006112136432859852,0.006315120021433921,0.0020444329439493
methanolphosphate,11746,9380,16051,4.746033546707394e-5,3.81244743684627e-5,6.150050448920157e-5
melezitose,634,532,1666,2.561710598171708e-6,2.1622836208978845e-6,6.383392964862613e-6
maltotriose,12273,11604,28314,4.958970689489175e-5,4.7163795370110996e-5,1.0848702785541419e-4
maltotriitol,9436,9976,31420,3.812665805102245e-5,4.0546882334731754e-5,1.2038787932532012e-4
maltose,182900,177216,365325,7.390171425955921e-4,7.202843123327809e-4,0.0013997677280242703
maltitol,1901,2512,3887,7.681091241521162e-6,1.0209880555818582e-5,1.4893306395210672e-5
malonic acid,2899,3210,4463,1.1713563129494923e-5,1.3046861697522949e-5,1.7100289797228e-5
malonamide,1372,1013,1041,5.543638707715431e-6,4.117280654078114e-6,3.988662710937563e-6
malic acid,106839,185187,130011,4.316886413218724e-4,7.526819866601813e-4,4.981460400688795e-4
maleimide,87335,80236,60676,3.528816957276437e-4,3.2611464023752377e-4,2.3248424461945014e-4
lysine,2193157,2896680,3583385,0.008861567082578027,0.011773390449215194,0.013729984753537944
loganin,85749,86137,143666,3.464733786792205e-4,3.500989177693253e-4,5.504661066566339e-4
linolenic acid,49542,50728,102550,2.0017707642684977e-4,2.0618105924982683e-4,3.929273400640222e-4
linoleic acid,125494,132695,241296,5.070651574242276e-4,5.393312501410616e-4,9.245421301617582e-4
lignoceric acid,3382,4237,5806,1.3665150225578417e-5,1.7221044552151007e-5,2.2246086166862145e-5
leucrose,11073,11025,24180,4.474104330213773e-5,4.481048293308115e-5,9.264732406385234e-5
leucine,14023080,13863128,10801371,0.05666099787856422,0.0563458921218249,0.04138619186810988
L-DOPA,405625,494747,896777,0.0016389493081757083,0.002010870929677379,0.0034360624206786314
