BinBase name,L1_SAT_907,L2_SAT_907,L3_SAT_907,normL1_SAT_907,normL2_SAT_907,normL3_SAT_907
octadecanol,7634,8395,3091,2.9542391185522576e-5,3.142884032659473e-5,1.2698114620421023e-5
nonadecanoic acid,5829,34440,21412,2.2557322271471192e-5,1.289349923582993e-4,8.796248147928015e-5
N-methyl-UMP,40710,50776,33570,1.5754136038284306e-4,1.9009300731663779e-4,1.37908672859118e-4
N-methylethanolamine,1513962,1588939,1308762,0.0058587971763185915,0.005948601562799179,0.005376515654109175
nicotinic acid,357014,358228,306665,0.0013815885835352577,0.0013411185958922428,0.0012598082562508615
nicotinamide,34012,36538,30620,1.3162114343751556e-4,1.3678939462217013e-4,1.2578979931326164e-4
n-epsilon-trimethyllysine,45625,39344,32968,1.7656164498814088e-4,1.472943768683196e-4,1.3543560103721782e-4
N-alpha-acetyllysine,45591,33071,30588,1.7643007028283466e-4,1.2380978897448653e-4,1.2565834034598456e-4
N-acetylserine,12605,36127,29767,4.8779387070148294e-5,1.3525071047991517e-4,1.222855962167818e-4
N-acetylputrescine,40356,139756,124169,1.5617143550994878e-4,5.232125084792821e-4,5.100977658696402e-4
N-acetylglucosamine-6-phosphate,5049,5348,4903,1.9538843737975305e-5,2.0021612634500134e-5,2.0141978642486018e-5
N-acetylgalactosamine,22456,51991,23023,8.690122301049187e-5,1.9464167211673456e-4,9.458061886313595e-5
N-acetylaspartic acid,7296,9661,4613,2.823438382100769e-5,3.616843673558448e-5,1.8950631751537425e-5
myristic acid,1351489,1309506,918140,0.0052300519676356716,0.0049024723026465464,0.003771804256743241
myo-inositol,1130880,1657229,995411,0.004376329492256192,0.006204262730863878,0.0040892406898828575
methionine sulfoxide,882142,915480,307337,0.0034137521673014482,0.0034273346923396003,0.0012625688945636804
methionine,843185,508787,1019928,0.0032629946439304233,0.0019047749116434965,0.004189958799280742
methanolphosphate,19939,26342,15034,7.716082497355706e-5,9.861804787172823e-5,6.176106606386596e-5
melezitose,1285,1041,3653,4.97274989172079e-6,3.897251075638489e-6,1.5006862733224846e-5
maltotriose,72692,81564,33194,2.813067199447219e-4,3.053557989753869e-4,1.3636402999361223e-4
maltotriitol,18200,18349,10799,7.043116578157071e-5,6.869419787405441e-5,4.436329336328911e-5
maltose,314571,393530,4945763,0.0012173407830260705,0.0014732807068165365,0.020317653011788204
maltitol,1961,3695,10118,7.588764620750559e-6,1.3833182252146222e-5,4.1565682215923625e-5
malonic acid,2087,2361,2099,8.076364999238357e-6,8.839010364632539e-6,8.622886634831358e-6
malonamide,1112,713,807,4.3032668323684965e-6,2.66929876746421e-6,3.315230831019012e-6
malic acid,154385,47995,76346,5.974459081971316e-4,1.7968161899641622e-4,3.1363644736676267e-4
maleimide,58005,66503,77484,2.2447031709670382e-4,2.489710742393722e-4,3.1831145689055403e-4
lysine,2444897,3235677,3775629,0.009461370655267302,0.012113588538586666,0.015510634036294275
loganin,85128,89420,63048,3.2943210333261276e-4,3.347667542589757e-4,2.5900703027767865e-4
linolenic acid,74581,108199,48104,2.8861685577776517e-4,4.050707676589903e-4,1.9761569255927948e-4
